req_id	stla_id	doc	section	section_title	resolution
SWE-RA-SXM-001	4872752	CFTS024	1.5	HU Satellite Audio	reqif
SWE-RA-SXM-002	4872783	CFTS024	1.5.3	Tune Up	reqif
SWE-RA-SXM-003	4872789	CFTS024	1.5.4	Tune Down	reqif
SWE-RA-SXM-004	4872798	CFTS024	1.5.6	Preset Select	reqif
SWE-RA-SXM-005	4872826	CFTS024	1.5.9.1	Favorites - Store/Delete	reqif
SWE-RA-SXM-006	4872765	CFTS024	1.5.1	Seek Up	reqif
SWE-RA-SXM-007	4872766	CFTS024	1.5.1	Seek Up	reqif
SWE-RA-SXM-008	4872767	CFTS024	1.5.1	Seek Up	reqif
SWE-RA-SXM-009	4872768	CFTS024	1.5.1	Seek Up	reqif
SWE-RA-SXM-010	4872769	CFTS024	1.5.1	Seek Up	reqif
SWE-RA-SXM-011	4872770	CFTS024	1.5.1	Seek Up	reqif
SWE-RA-SXM-012	4872771	CFTS024	1.5.1	Seek Up	reqif
SWE-RA-SXM-013	4872772	CFTS024	1.5.1	Seek Up	reqif
SWE-RA-SXM-014	4872774	CFTS024	1.5.2	Seek Down	reqif
SWE-RA-SXM-015	4872775	CFTS024	1.5.2	Seek Down	reqif
SWE-RA-SXM-016	4872776	CFTS024	1.5.2	Seek Down	reqif
SWE-RA-SXM-017	4872777	CFTS024	1.5.2	Seek Down	reqif
SWE-RA-SXM-018	4872778	CFTS024	1.5.2	Seek Down	reqif
SWE-RA-SXM-019	4872779	CFTS024	1.5.2	Seek Down	reqif
SWE-RA-SXM-020	4872780	CFTS024	1.5.2	Seek Down	reqif
SWE-RA-SXM-021	4872781	CFTS024	1.5.2	Seek Down	reqif
SWE-RA-SXM-022	4872784	CFTS024	1.5.3	Tune Up	reqif
SWE-RA-SXM-023	4872785	CFTS024	1.5.3	Tune Up	reqif
SWE-RA-SXM-024	4872786	CFTS024	1.5.3	Tune Up	reqif
SWE-RA-SXM-025	4872787	CFTS024	1.5.3	Tune Up	reqif
SWE-RA-SXM-026	4872790	CFTS024	1.5.4	Tune Down	reqif
SWE-RA-SXM-027	4872791	CFTS024	1.5.4	Tune Down	reqif
SWE-RA-SXM-028	4872792	CFTS024	1.5.4	Tune Down	reqif
SWE-RA-SXM-029	4872793	CFTS024	1.5.4	Tune Down	reqif
SWE-RA-SXM-030	4872795	CFTS024	1.5.5	Tune by Direct Number Input	reqif
SWE-RA-SXM-031	4872796	CFTS024	1.5.5	Tune by Direct Number Input	reqif
SWE-RA-SXM-032	4872799	CFTS024	1.5.6	Preset Select	reqif
SWE-RA-SXM-033	4872800	CFTS024	1.5.6	Preset Select	reqif
SWE-RA-SXM-034	4872801	CFTS024	1.5.6	Preset Select	reqif
SWE-RA-SXM-035	4872803	CFTS024	1.5.7	Preset Save	reqif
SWE-RA-SXM-036	4872804	CFTS024	1.5.7	Preset Save	reqif
SWE-RA-SXM-037	4872805	CFTS024	1.5.7	Preset Save	reqif
SWE-RA-SXM-038	4872806	CFTS024	1.5.7	Preset Save	reqif
SWE-RA-SXM-039	4872815	CFTS024	1.5.9	Favorites (Sirius Seek)	reqif
SWE-RA-SXM-040	4872817	CFTS024	1.5.9.1	Favorites - Store/Delete	reqif
SWE-RA-SXM-041	4872818	CFTS024	1.5.9.1	Favorites - Store/Delete	reqif
SWE-RA-SXM-042	4872819	CFTS024	1.5.9.1	Favorites - Store/Delete	reqif
