source	kind	target	line_sha8	line	reason
docs/fw036/CANON_DRAFT_r16_delivery_integrity.md	section	§0	9559741f	15	active-backlog
docs/fw036/CANON_DRAFT_r16_delivery_integrity.md	section	§0	80ec1e01	60	active-backlog
docs/fw036/CANON_DRAFT_r16_delivery_integrity.md	section	§6a	90a8feb9	161	active-backlog
docs/fw036/MECHANISM_FIXES_20260821.md	section	§8.4	7e5497eb	39	active-backlog
docs/fw036/RD1_amfm_submission.md	section	§7	c8044adc	6	active-backlog
docs/fw036/RD1_projection_submission.md	section	§8.2	b559bde7	162	active-backlog
docs/fw036/RD1_sxm_submission.md	section	§7	85674347	10	active-backlog
docs/fw036/RESYNC_proposal_projection_closeout.md	section	§2	f523c919	99	active-backlog
docs/fw036/RULE_COMPLIANCE_SURVEY_20260821.md	section	§6	b7e09fb5	38	active-backlog
docs/fw036/handoff/10_BATCH_PLAYBOOK_A.md	section	§8.5	c00cb955	39	historical-record
docs/fw036/handoff/15_r12_precondition_specref.md	section	§2	18522f4f	39	historical-record
docs/fw036/handoff/22_process_improvement.md	section	§9	0097891c	58	historical-record
docs/fw036/handoff/22_process_improvement.md	section	§9	ae21b82b	164	historical-record
docs/fw036/handoff/22_process_improvement.md	section	§9	8df1a0d3	165	historical-record
docs/fw036/handoff/22_process_improvement.md	section	§9	c4ceaeea	198	historical-record
docs/fw036/handoff/23_process_improvement.md	section	§9	0097891c	71	historical-record
docs/fw036/handoff/23_process_improvement.md	section	§9	32ace082	177	historical-record
docs/fw036/handoff/23_process_improvement.md	section	§9	8df1a0d3	178	historical-record
docs/fw036/handoff/23_process_improvement.md	section	§9	c4ceaeea	216	historical-record
docs/fw036/handoff/24_wp1_continuation.md	section	§8.1	96c37eaf	85	historical-record
docs/fw036/handoff/24_wp1_continuation.md	section	§9	96c37eaf	85	historical-record
docs/fw036/handoff/24_wp1_continuation.md	section	§9	03736ab7	119	historical-record
docs/fw036/upstream/05_pm_batch2.md	section	§7	ddd90cb5	56	historical-record
docs/fw036/upstream/20_pm_closeout.md	section	§1	ffc5e7f8	118	historical-record
docs/fw036/upstream/23a_wp1.md	section	§9	1aa7dfe1	18	historical-record
docs/fw036/upstream/23a_wp1.md	section	§7.3	c8734c0b	184	historical-record
docs/fw036/upstream/23a_wp1.md	section	§9	8e33d987	196	historical-record
docs/fw036/upstream/23a_wp1.md	item	§8.5-1	bb42bf3f	329	historical-record
