# 本檔為單一全域檔：其重生一律掃描全部 canon 與各 feature 之 RULINGS.md，故其 commit 不可能只含單一變更之列。夾帶之他線列為結構性質，非該次提交之瑕疵（下放包 56 §二 #1）。
ruling_id	kind	sha8	sha256	body_sha8	body_sha256	body_kind	source	line	body_lines	ancestor	slug
R-G73	ruling	e64d7231	e64d7231a6fd1b0e5a0197a45502975e89efbd09c22db2d469a13f828cc64559	acaf3ae9	acaf3ae9392dadb6221be81d4459626dce4c7e7ae66487f1b58a0fe910ddbd0f	fenced	docs/fw036/RULINGS_LEDGER.md	1916	19	下放包 CDD-01_A 之全域條文（R-G73／R-G74，Pei 2026-09-17「逐項准」）	裁決錨點前綴放寬至四字母（全域，Pei 2026-09-17）
R-G74	ruling	832cde95	832cde9503256d7f46141caf30f707c497b6c5dda661e6417d9bb138d1114a08	2ac40b3e	2ac40b3e1e3bfeb2302e38cf0dba5f6cb3a7e45d7f13e0312b02109d24afeb59	fenced	docs/fw036/RULINGS_LEDGER.md	1938	16	下放包 CDD-01_A 之全域條文（R-G73／R-G74，Pei 2026-09-17「逐項准」）	Commander (598)／Regengade (5210) 全域一律 0（全域，Pei 2026-09-17）
R-G75	ruling	33a9b1bd	33a9b1bdd7210bdaddf1fbfd9c71516b822645bb962ac29efd28b8f8be9e1ec5	86032bfd	86032bfd0520e0a515a3b90a187791ca8500432ba2ca6a5146b2cb74e56527e0	fenced	docs/fw036/RULINGS_LEDGER.md	1962	27	下放包 CDD-01_A 審閱追補 B 之全域條文（R-G75，Pei 2026-09-17）	`RULINGS.sha.tsv` 之併發寫入過渡規則（全域，Pei 2026-09-17）
R-DIAG1	ruling	b2bee17e	b2bee17ea74339867e9d654e7e043ddeedcffcd9e4163c98f69766bd529362e2	f4b22845	f4b228457f0c338e8181dd097aa097c9693cc3b3c68aae1dd185994c1510b2cf	fenced	features/diagnostics/RULINGS.md	9	8		TC ↔ SWE1 為 N:1；三段式各列各自成 TC 群（Pei 裁，2026-09-17）
R-DIAG2	ruling	ed3616d3	ed3616d323a3de84f171ff2ff87452b4f98be3983b0650f7940a7727319d410e	f289eaac	f289eaace48d64251c8f8ce8a82b9e467cf8b0290aa8eb1ef522dd828aac1c62	fenced	features/diagnostics/RULINGS.md	20	6		重複 SWE1 ID 之處置（Pei 裁，2026-09-17）
R-DIAG3	ruling	4492e16d	4492e16d13668e6acacc454ab535209341f4d5cd3a30132ca9bfa238b54b216a	6ad4f9e6	6ad4f9e67a6eee1a93ceb8444131a54b2d480f4c4fb0261af09613108b52d0d9	fenced	features/diagnostics/RULINGS.md	29	7		Out of Scope 列不產 TC、保留原內容（Pei 裁，2026-09-17）
R-DIAG4	ruling	114991db	114991dbd9c7b6ade5f77d0e8be3c6c73e30ce549fa8ca021a0ac8646a37f62f	ef03d068	ef03d06887b3777d835e4dbc62e388620527e6e1ebcba3cdfe5853540790d823	fenced	features/diagnostics/RULINGS.md	39	7		拼字與空白（Pei 裁，2026-09-17）
R-DIAG5	ruling	ed8ed0ce	ed8ed0ce0b9d6bd7c951918ed12ea48173f74623c0e237e6c41bfacdfc2a5bf1	2633a6ae	2633a6aee51fe4b24add4467a08d017a064b41c90b4b7ed881662ab2bc22031a	fenced	features/diagnostics/RULINGS.md	49	13		DID 與 UDS 記法（IN §8.7.5 之本 feature [ADD]）（Pei 裁，2026-09-17）
R-DIAG6	ruling	b16e40e2	b16e40e20d348bcabc902e6ffb488b37cf1c25e29e34d4080081d9987cb5e0ca	04efc37d	04efc37d22763be763957ee36122a34fa7cf4e5173cac679991c56284dd0b755	fenced	features/diagnostics/RULINGS.md	65	6		037 Verification Method 空白之處置（Pei 裁，2026-09-17）
R-DIAG7	ruling	15e271dc	15e271dc650db20485383eed430b1bd1b3fedb3b55d7a2b0472cfb750494af3b	8ee0ffa5	8ee0ffa591696d96fd0b35c0ed0ecb99a35984d26b6f64f2f51b6720e3c3dd8e	fenced	features/diagnostics/RULINGS.md	74	8		Harman Status 與 Region（Pei 裁，2026-09-17）
