# R-G22′ 遷移對照（下放包 57 T69a）：既有引用之 sha8 為舊式（含成因段），改制後 R-G13 之比對一律用 body_sha8。`same=Y` 者其引用不受影響。
ruling_id	old_sha8	new_body_sha8	same	body_kind	source
R-G1	550ace4f	550ace4f	Y	section	docs/fw036/FEATURE_ONBOARDING.md
R-G2	521fde5f	521fde5f	Y	section	docs/fw036/FEATURE_ONBOARDING.md
R-G3	79860d4a	79860d4a	Y	section	docs/fw036/FEATURE_ONBOARDING.md
R-G4	329570ce	329570ce	Y	section	docs/fw036/FEATURE_ONBOARDING.md
R-G5	9814d24c	9814d24c	Y	section	docs/fw036/FEATURE_ONBOARDING.md
R-G6	6ad48387	6ad48387	Y	section	docs/fw036/FEATURE_ONBOARDING.md
R-G7	bc6acec6	bc6acec6	Y	section	docs/fw036/FEATURE_ONBOARDING.md
R-G8	d3ac16c4	d3ac16c4	Y	section	docs/fw036/FEATURE_ONBOARDING.md
R-G9	d4f630f0	d4f630f0	Y	section	docs/fw036/FEATURE_ONBOARDING.md
R-G10	2b51c522	2b51c522	Y	section	docs/fw036/FEATURE_ONBOARDING.md
R-G11	894614b2	894614b2	Y	section	docs/fw036/FEATURE_ONBOARDING.md
R-G12	eabe2726	eabe2726	Y	section	docs/fw036/FEATURE_ONBOARDING.md
R-G13	abdc56e3	e67a4fc3	N	fenced	docs/fw036/FEATURE_ONBOARDING.md
R-G14	fb508d10	fe92f06c	N	fenced	docs/fw036/FEATURE_ONBOARDING.md
R-G15	2aa0c28f	a6d2d055	N	fenced	docs/fw036/FEATURE_ONBOARDING.md
R-G16	2ec55d94	7918a7a2	N	fenced	docs/fw036/FEATURE_ONBOARDING.md
R-G17	24cdeec6	fc029a89	N	fenced	docs/fw036/FEATURE_ONBOARDING.md
R-G18	8f61f9fd	5fe1d67b	N	fenced	docs/fw036/FEATURE_ONBOARDING.md
R-G19	bd206972	d1054896	N	fenced	docs/fw036/FEATURE_ONBOARDING.md
R-G20	3d0cd37b	8b841b5a	N	fenced	docs/fw036/FEATURE_ONBOARDING.md
R-G21	1230e795	b5ab30d6	N	fenced	docs/fw036/FEATURE_ONBOARDING.md
R-G22	bca29f8f	3253a3d6	N	fenced	docs/fw036/FEATURE_ONBOARDING.md
R-G23	67bae889	84988030	N	fenced	docs/fw036/FEATURE_ONBOARDING.md
R-G23′	990b1c2e	85dcb7aa	N	fenced	docs/fw036/FEATURE_ONBOARDING.md
R-G24	bd9a8cc0	20383c2f	N	fenced	docs/fw036/FEATURE_ONBOARDING.md
R-G25	50be5127	22923d2e	N	fenced	docs/fw036/FEATURE_ONBOARDING.md
R-G26	ce4fdff2	12d1ab96	N	fenced	docs/fw036/FEATURE_ONBOARDING.md
R-G27	2bd39a12	8e2be146	N	fenced	docs/fw036/FEATURE_ONBOARDING.md
R-G28	0336d5bc	0722d230	N	fenced	docs/fw036/FEATURE_ONBOARDING.md
R-G4	9551aa3b	9551aa3b	Y	section	docs/fw036/FEATURE_ONBOARDING.md
R-AM1	212e0cf0	212e0cf0	Y	section	features/audio_mgmt/RULINGS.md
R-AM2	21957d7f	21957d7f	Y	section	features/audio_mgmt/RULINGS.md
R-AM2′	447e2316	447e2316	Y	section	features/audio_mgmt/RULINGS.md
R-AM3	77bb5285	77bb5285	Y	section	features/audio_mgmt/RULINGS.md
R-AM5	d146db15	d146db15	Y	section	features/audio_mgmt/RULINGS.md
R-AM6	2851840a	2851840a	Y	section	features/audio_mgmt/RULINGS.md
R-AM7	8cc0256f	8cc0256f	Y	section	features/audio_mgmt/RULINGS.md
R-C1	0f5430ae	e8d36a44	N	fenced	features/comfort/RULINGS.md
R-C5	5c5ba91c	834164e9	N	fenced	features/comfort/RULINGS.md
R-C4	4c297718	c5101b9a	N	fenced	features/comfort/RULINGS.md
R-C6	8b678433	0ad30481	N	fenced	features/comfort/RULINGS.md
R-C8	e24753cf	086244d3	N	fenced	features/comfort/RULINGS.md
R-C11	2ca4c893	7f2d73f9	N	fenced	features/comfort/RULINGS.md
