tc_name	hmi_candidates(row [category] parent > item (template; options))	fip_candidates	tier2_proposal	tier2_evidence
6 Aux Switches	r585 [21. Aux Switches]Aux 6 (None; None) | r565 [21. Aux Switches]Aux 1 (None; None)	No.267 AUX SWITCH Type | No.5 Aux Camera 1	manual	HMI r565–r588 [21. Aux Switches] Aux 1–Aux 6（親項）；FIP No.267 AUX SWITCH Type（Type2 → 6）
SWITCH 5 Power Mode	r38 [1. My Profile (only di]Power (Unit_Power; None) | r169 [2. Display]> Units > Power (3 radio buttons; HP (US) , HP (UK) , kW)	No.141 Power - Unit | No.266 Power Tailgate	manual	HMI [21. Aux Switches] > Aux 5 > Power Source (2 radio; Battery, Ignition)（r583）—— Power Mode≟Power Source 待認
SWITCH 6 Power Mode	r38 [1. My Profile (only di]Power (Unit_Power; None) | r169 [2. Display]> Units > Power (3 radio buttons; HP (US) , HP (UK) , kW)	No.141 Power - Unit | No.266 Power Tailgate	manual	HMI [21. Aux Switches] > Aux 6 > Power Source (2 radio; Battery, Ignition)（r587）—— Power Mode≟Power Source 待認
SWITCH 1 Type	r566 [21. Aux Switches]Type (2 radio buttons; Latching, Momentary) | r570 [21. Aux Switches]Type (2 radio buttons; Latching, Momentary)	No.267 AUX SWITCH Type | No.264 IPC type	manual	HMI r566/r570/… [21. Aux Switches] > Aux n > Type (2 radio; Latching, Momentary)
SWITCH 5 Type	r566 [21. Aux Switches]Type (2 radio buttons; Latching, Momentary) | r570 [21. Aux Switches]Type (2 radio buttons; Latching, Momentary)	No.267 AUX SWITCH Type | No.264 IPC type	manual	HMI r566/r570/… [21. Aux Switches] > Aux n > Type (2 radio; Latching, Momentary)
SWITCH 6 Type	r566 [21. Aux Switches]Type (2 radio buttons; Latching, Momentary) | r570 [21. Aux Switches]Type (2 radio buttons; Latching, Momentary)	No.267 AUX SWITCH Type | No.264 IPC type	manual	HMI r566/r570/… [21. Aux Switches] > Aux n > Type (2 radio; Latching, Momentary)
SWITCH 5 Hold Last State	r568 [21. Aux Switches]Recall Last State (On/Off Checkbox; None) | r572 [21. Aux Switches]Recall Last State (On/Off Checkbox; None)	No.267 AUX SWITCH Type | No.137 Auto Hold	manual	HMI r568/r572/… [21. Aux Switches] > Aux n > Recall Last State (On/Off)
SWITCH 6 Hold Last State	r568 [21. Aux Switches]Recall Last State (On/Off Checkbox; None) | r572 [21. Aux Switches]Recall Last State (On/Off Checkbox; None)	No.267 AUX SWITCH Type | No.137 Auto Hold	manual	HMI r568/r572/… [21. Aux Switches] > Aux n > Recall Last State (On/Off)
Rear Guidance Lighting with Approach	r506 [15. Lights]Signature Lighting (On/Off Checkbox; None) | r491 [15. Lights]Headlight Illumination on Approach (-/+ selector with value in middle; 0 sec, 30 sec, 60 sec, 90 sec)	No.272 Rear Guidance Lights with Cargo Lights | No.275 Rear Guidance Light Status	DR	HMI 15. Lights 無同名；FIP No.272/275 為 Cargo Lights / Light Status，非此
E-Save	r643 [23. dna Messages]dna Messages (On/Off Checkbox; None) | r36 [1. My Profile (only di]Pressure (Unit_Pressure; None)	No.25 Nav | No.37 Rear Sunshade	DR	兩表皆無候選
Navigation Turn by Turn	r45 [1. My Profile (only di]Navigation Turn-by-Turn Displayed in Cluster (Navigation_TBT_Displayed_Cluster; None) | r179 [2. Display]Navigation Turn-by-Turn Displayed in Cluster (On/Off Checkbox; None)	No.215 Phone Information on Cluster | No.265 PAM Configuration	manual	HMI r179 [2. Display] Navigation Turn-by-Turn Displayed in Cluster
Phone Repetition	r81 [1. My Profile (only di]18.9.6 Audio Repetition (None; None) | r214 [2. Display]> Cluster Options > 17.9.6 Audio Repetition (On/Off Checkbox; None)	No.32 Phone | No.215 Phone Information on Cluster	manual	HMI r214 [2. Display] > Cluster Options > 17.9.6 Audio Repetition (On/Off) —— Phone≟Audio 待認
Park Sense Rear Volume	r15 [1. KeySense (only disp]Rear ParkSense Volume* (3 radio buttons; Low , Med , High) | r311 [4. Safety & Driving As]Rear ParkSense Volume* (3 radio buttons; Low , Med , High)	No.243 Park sense event based camera view setting | No.92 Rear Mode	manual	HMI r311 [4.] Rear ParkSense Volume* (3 radio; Low, Med, High)
