section	key	value	note
meta	feature	vehicle_setting	
meta	family	DBC	
meta	inputs_path	features/vehicle_setting/inputs/PDT27_E2A_R4_BHCAN.dbc	9ef1ec98
meta	forms_path	forms/PDT27_E2A_R1_BHCAN2.dbc	46cb73f3
dbc_count	BO_ inputs	155	
dbc_count	BO_ forms	63	
BO__only_in_inputs	1200:MEM_SEAT1		
BO__only_in_inputs	1202:PASS_SEAT2		
BO__only_in_inputs	1270:HAPTIC1		
BO__only_in_inputs	1294:IPC_VEHICLE_SETUP3		
BO__only_in_inputs	1306:GW_B_6		
BO__only_in_inputs	1307:GW_B_DALM		
BO__only_in_inputs	1424:MEM_SEAT3		
BO__only_in_inputs	1427:GW_B_4		
BO__only_in_inputs	1441:STATUS_CLIMATE9		
BO__only_in_inputs	1448:STATUS_CLIMATE5		
BO__only_in_inputs	1450:STATUS_BH_BCM3		
BO__only_in_inputs	1471:DALM1		
BO__only_in_inputs	1474:BCM_VPS2		
BO__only_in_inputs	1485:IPC_VEHICLE_SETUP4		
BO__only_in_inputs	1486:IPC_VEHICLE_SETUP2		
BO__only_in_inputs	1492:HUM_SENSOR_L		
BO__only_in_inputs	1498:CM_CTRL		
BO__only_in_inputs	149:SPAAK2		
BO__only_in_inputs	1504:CENTERSTACK1		
BO__only_in_inputs	1505:CENTERSTACK4		
BO__only_in_inputs	1510:PLGM_A1		
BO__only_in_inputs	1512:STATUS_HCP2		
BO__only_in_inputs	1539:BCM_CFG		
BO__only_in_inputs	160:BODY6		
BO__only_in_inputs	166:RFHUB4		
BO__only_in_inputs	179:PFTM		
BO__only_in_inputs	1899:STATUS_HCP		
BO__only_in_inputs	1904:STATUS_CLIMATE4		
BO__only_in_inputs	199:RFHUB5		
BO__only_in_inputs	200:POWER_TAIL		
BO__only_in_inputs	2564425713:DIAGNOSTIC_REQUEST_PTGM		
BO__only_in_inputs	2564444657:DIAGNOSTIC_REQUEST_SMMD		
BO__only_in_inputs	2564444913:DIAGNOSTIC_REQUEST_SMMP		
BO__only_in_inputs	2564451057:DIAGNOSTIC_REQUEST_DCSD		
