feature	n	family	key	hit_rows	query
comfort	3	Pop Up List	PU1579		母體=features/comfort/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_Comfort_20260817_rowsort.xlsx（sha8 235f2ca7）全分頁全列；逐 key 子字串比對
comfort	3	Pop Up List	PU1578		母體=features/comfort/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_Comfort_20260817_rowsort.xlsx（sha8 235f2ca7）全分頁全列；逐 key 子字串比對
user_profiles	8	Pop Up List	PU1579		母體=features/user_profiles/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_UserProfiles_20260820_itemgap.xlsx（sha8 cbd04af6）全分頁全列；逐 key 子字串比對
user_profiles	8	Pop Up List	PU1578		母體=features/user_profiles/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_UserProfiles_20260820_itemgap.xlsx（sha8 cbd04af6）全分頁全列；逐 key 子字串比對
time_management	4	HMI Settings List	3D Sound Intensity		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Service Mode		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Walk Away Lock and Unlock on Approach		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Lane Change Assist		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Active Driving Assist		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Personal Settings Linked to Key Fob		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Auto Launch with Off Road+		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Car Door Open Alert		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Traffic Sign Assist*		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Hands Free Power Liftgate		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Traffic Sign Assist Warning*		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Power Liftgate Alert		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Traffic Sign Assist Sensitivity		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Power Tailgate		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Traffic Sign Assist Offset		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Hands Free Power Sliding Door		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Traffic Sign Blinking*		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Traffic Sign Sensitivity*		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Traffic Sign Information Offset		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Traffic Sign*		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Flash Lights with Sliding Door		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Intelligent Speed Options*		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Trunk Unlock		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Intelligent Speed Control		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Intelligent Speed Control Offset		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Power Trunk Roof Level		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Automatic Emergency Braking*		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Fratzonic Chambered Exhaust		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
