needle	path	line	category	text
FICTITIOUS	backend/parser.py	77	code other	"TC_SHEET_NAME = ""Test Case Specification&Result"""
FICTITIOUS	backend/api_server.py	2325	code other	"- Sheet ""Test Case Specification&Result"" 存在"
FICTITIOUS	backend/writer.py	10	code other	"TC_SHEET_NAME = ""Test Case Specification&Result"""
FICTITIOUS	backend/review_engine.py	1338	code other	"""sheet"": ""Test Case Specification&Result"","
FICTITIOUS	backend/tools/inspect.py	21	code other	"""Test Case Specification&Result"","
MASTER	scripts/translate_xlsx.py	6	code other	"[--sheet ""Test Case Specification 測試用例規範""] [--start-row 10] \"
MASTER	scripts/translate_xlsx.py	50	code other	"DEFAULT_SHEET = ""Test Case Specification 測試用例規範"""
MASTER	scripts/test_translate_xlsx.py	79	code other	"def _build_workbook(self, sheet_name: str = ""Test Case Specification 測試用例規範""):"
MASTER	scripts/test_translate_xlsx.py	119	code read/write	"ws.title = ""Test Case Specification 測試用例規範"""
MASTER	scripts/test_translate_xlsx.py	142	code read/write	"ws.title = ""Test Case Specification 測試用例規範"""
MASTER	scripts/test_translate_xlsx.py	176	code read/write	"ws.title = ""Test Case Specification 測試用例規範"""
FICTITIOUS	tests/test_parser.py	20	test other	# Test Case Specification&Result sheet
FICTITIOUS	tests/test_parser.py	21	test fixture	"ws_tc = wb.create_sheet(""Test Case Specification&Result"")"
FICTITIOUS	tests/test_parser.py	74	test fixture	"ws_tc = wb.create_sheet(""Test Case Specification&Result"")"
MASTER	tests/test_parser.py	135	test fixture	"ws_tc = wb.create_sheet(""Test Case Specification 測試用例規範"")"
FICTITIOUS	tests/test_parser.py	181	test fixture	"ws_tc = wb.create_sheet(""Test Case Specification&Result"")"
FICTITIOUS	tests/test_parser.py	206	test fixture	"ws_tc = wb.create_sheet(""Test Case Specification&Result"")"
FICTITIOUS	tests/test_tool_parse.py	24	test fixture	"tc_sheet = wb.create_sheet(""Test Case Specification&Result"")"
FICTITIOUS	tests/test_xlsx_surgical_insert.py	38	test other	"SHEET = ""Test Case Specification&Result"""
MASTER	tests/test_writer.py	51	test fixture	"ws = wb.create_sheet(""Test Case Specification 測試用例規範"")"
FICTITIOUS	tests/test_writer.py	89	test fixture	"ws_tc = wb.create_sheet(""Test Case Specification&Result"")"
FICTITIOUS	tests/test_writer.py	213	test fixture	"ws = wb[""Test Case Specification&Result""]"
MASTER	tests/test_writer.py	221	test fixture	"ws = wb.create_sheet(""Test Case Specification 測試用例規範"")"
MASTER	tests/test_writer.py	233	test other	"ws_out = saved[""Test Case Specification 測試用例規範""]"
FICTITIOUS	tests/test_writer.py	243	test fixture	"ws = wb[""Test Case Specification&Result""]"
FICTITIOUS	tests/test_writer.py	251	test fixture	"ws = wb[""Test Case Specification&Result""]"
FICTITIOUS	tests/test_writer.py	278	test fixture	"ws = wb[""Test Case Specification&Result""]"
FICTITIOUS	tests/test_writer.py	307	test fixture	"ws = wb[""Test Case Specification&Result""]"
FICTITIOUS	tests/test_writer.py	316	test fixture	"ws = wb[""Test Case Specification&Result""]"
FICTITIOUS	tests/test_writer.py	321	test fixture	"ws = wb[""Test Case Specification&Result""]"
FICTITIOUS	tests/test_writer.py	330	test fixture	"ws = wb[""Test Case Specification&Result""]"
FICTITIOUS	tests/test_writer.py	341	test fixture	"ws = wb[""Test Case Specification&Result""]"
FICTITIOUS	tests/test_writer.py	352	test fixture	"ws = wb[""Test Case Specification&Result""]"
FICTITIOUS	tests/test_writer.py	369	test fixture	"ws = wb[""Test Case Specification&Result""]"
FICTITIOUS	tests/test_writer.py	396	test fixture	"ws = wb[""Test Case Specification&Result""]"
FICTITIOUS	tests/test_writer.py	408	test fixture	"ws = wb[""Test Case Specification&Result""]"
FICTITIOUS	tests/test_writer.py	419	test fixture	"ws = wb[""Test Case Specification&Result""]"
FICTITIOUS	tests/test_writer.py	430	test fixture	"ws = wb[""Test Case Specification&Result""]"
FICTITIOUS	tests/test_writer.py	440	test fixture	"ws = wb[""Test Case Specification&Result""]"
FICTITIOUS	tests/test_writer.py	450	test fixture	"ws = wb[""Test Case Specification&Result""]"
FICTITIOUS	tests/test_writer.py	457	test fixture	"ws = wb[""Test Case Specification&Result""]"
FICTITIOUS	tests/test_writer.py	464	test other	"ws_out = wb_out[""Test Case Specification&Result""]"
FICTITIOUS	tests/test_writer.py	477	test fixture	"ws = wb[""Test Case Specification&Result""]"
FICTITIOUS	tests/test_writer.py	504	test fixture	"ws = wb[""Test Case Specification&Result""]"
FICTITIOUS	tests/test_writer.py	566	test fixture	"ws = wb[""Test Case Specification&Result""]"
FICTITIOUS	tests/test_writer.py	600	test fixture	"ws = wb[""Test Case Specification&Result""]"
FICTITIOUS	tests/test_writer.py	620	test fixture	"ws = wb[""Test Case Specification&Result""]"
