path	size	sha256	filename	doc_id_or_NONE	dup_group	note
forms/.gitkeep	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	.gitkeep	NONE		META
features/time_management/inputs/4814254- 4561062- CFTSMV015_CIP_R1_O833_116_inline.rtf	89141	ac9be886c8b95cc75c69f8dc10df6d5c1d5bea6131c228e1a469d613a20d2d24	4814254- 4561062- CFTSMV015_CIP_R1_O833_116_inline.rtf	NONE		
features/time_management/inputs/4814255- 4561063- CFTSMV015_CIP_R1_O882_117_inline.rtf	154078	0163cf7d298bb14e92012503c12f52e9e0d05552d68ec7d867582052fd7c1de2	4814255- 4561063- CFTSMV015_CIP_R1_O882_117_inline.rtf	NONE		
features/time_management/inputs/4814256- 4561064- CFTSMV015_CIP_R1_O922_118_inline.rtf	154078	186a6c7f3e41d5be29ea841e321861c56c664979f72159d920ce618450c0c71f	4814256- 4561064- CFTSMV015_CIP_R1_O922_118_inline.rtf	NONE		
features/sw_update/inputs/cfts057_objects/4907974.png	509783	fd0353130d36b5ee2cc02f32d6cfbec445aba1a8273033ea2df2f6fb5e32de27	4907974.png	NONE		
features/sw_update/inputs/cfts057_objects/4907975.png	277139	e2c2a23c53db8451047db8a6e647d8f1d9b5f39a84e110aaf32a1f69d9c5a27d	4907975.png	NONE		
features/sw_update/inputs/cfts057_objects/4907976.png	1873969	2e8b0d8d3e68f4d7d59d360eac3d0fbef47cc94a117eb54e8c6892d840994f10	4907976.png	NONE	G003	
features/sw_update/inputs/cfts057_objects/4907977.png	1873969	2e8b0d8d3e68f4d7d59d360eac3d0fbef47cc94a117eb54e8c6892d840994f10	4907977.png	NONE	G003	
features/sw_update/inputs/cfts057_objects/4907980.png	664884	2ad17a43bf5ef812f9f9b4853c06c3f6dcd28b7e05ed9f3d6522e9c7ae88e76a	4907980.png	NONE		
features/sw_update/inputs/cfts057_objects/4908702.png	612377	bf5deb188197a052b481b6d112c00129602cd2f0d051fb9d5bf7f9d60dcade58	4908702.png	NONE		
features/power/inputs/4942177- CFTSMV009_CIP_R4_O829_4_inline.rtf	10083195	a29fe63963192b804e20ed2fc6278dc9c434cbbb36b26bd77627cc0ea92949bb	4942177- CFTSMV009_CIP_R4_O829_4_inline.rtf	NONE		
features/power/inputs/4942178- CFTSMV009_CIP_R4_O1584_5_inline.rtf	1048356	dede965f228429c6e95aa7f7c4de08f0a52f1fd28b12ef10da3fc6db8638a9cc	4942178- CFTSMV009_CIP_R4_O1584_5_inline.rtf	NONE		
features/privacy/inputs/Audio_Output_Management_-_ETM_Non-Amplified_Audio_System_(Base_Audio)_VF651_V3_R3.docx	148196	c54f700f81c4c70e52b9ccf460a143b341471163c7b6d5e1d5f0b9f00637aa0f	Audio_Output_Management_-_ETM_Non-Amplified_Audio_System_(Base_Audio)_VF651_V3_R3.docx	NONE		
features/privacy/inputs/Audio_Output_Management_-_LTM_ETM_Amplified_Audio_System_VF651_V6_R2.docx	177388	e20ba7a4f8f744e89bfa5c770700ba267ed7f6a0015becc045ef8f63dbeef0f2	Audio_Output_Management_-_LTM_ETM_Amplified_Audio_System_VF651_V6_R2.docx	NONE		
features/privacy/inputs/Audio_Output_Management_-_LTM_Non-Amplified_Audio_System_(Base_Audio)_VF651_V2_R2.docx	146929	d5813bb7ccd6f721949c166c60727448193cbbff920d539b79639ebb31461cae	Audio_Output_Management_-_LTM_Non-Amplified_Audio_System_(Base_Audio)_VF651_V2_R2.docx	NONE		
features/bed_lowering/inputs/Bed Lowering Mode HMI Logic and Flow R1 SR24 1A (June 21 2021).pdf	665190	0277ed00beab2d05d3a95a68d996c8297bfc9ae09ce0d43c4158ea667750e9d0	Bed Lowering Mode HMI Logic and Flow R1 SR24 1A (June 21 2021).pdf	NONE		
features/vehicle_setting/inputs/C-VF230_V1_R5_PDT27.doc	352747	800c1fd2c34e14c9dcb0490d9453b554c1fd243f3d0a543b9bd1dc22a88760b5	C-VF230_V1_R5_PDT27.doc	NONE		
features/vehicle_setting/inputs/C-VF230_V1_R5_PDT27.docx	356457	79aea8490ca2627440121189d2800f1ed3c50418b73be4538e47dd02fc9bbc8b	C-VF230_V1_R5_PDT27.docx	NONE		
features/audio_mgmt/inputs/CFTS 019_Part2 -All Accepted-Except-DTC-rework.xlsx	346866	b2c8e22fd9715ecf49886d546969ff8e07ec95bd178f8fe94468b7be55782f33	CFTS 019_Part2 -All Accepted-Except-DTC-rework.xlsx	NONE		
