path	sha8	which	sheets
forms/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260817_ext.xlsx	6372fb6b	B(測試用例規範)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification 測試用例規範 | Reference | QS Suggestion | 下拉選單
archive/forms_superseded/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_Home_20260809.xlsx	1895fb2a	A(&Result)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification&Result | Test Case Framework | Reference | QS Suggestion | 下拉選單
archive/forms_superseded/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260816_ext.xlsx	4b3d4470	B(測試用例規範)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification 測試用例規範 | Reference | QS Suggestion | 下拉選單
archive/forms_superseded/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260121.xlsx	cd876c20	B(測試用例規範)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification 測試用例規範 | Reference | QS Suggestion | 下拉選單
_intake/SW_Update/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260817_ext.xlsx	6372fb6b	B(測試用例規範)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification 測試用例規範 | Reference | QS Suggestion | 下拉選單
features/power/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_PowerManagement_20260830.xlsx	cedb6b84	A(&Result)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification&Result | Reference | Test Case Framework | QS Suggestion | 下拉選單
features/power/sandbox/delivery_backup/20260821T084928Z/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_PowerManagement_20260821(Revise).xlsx	3d14a092	A(&Result)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification&Result | Reference | Test Case Framework | QS Suggestion | 下拉選單
features/power/sandbox/delivery_backup/20260821T084928Z/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_PowerManagement_20260820.xlsx	c80ee6da	A(&Result)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification&Result | Reference | Test Case Framework | QS Suggestion | 下拉選單
features/power/sandbox/delivery_backup/20260820T034803Z/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_PowerManagement_20260816.xlsx	ce931747	A(&Result)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification&Result | Reference | Test Case Framework | QS Suggestion | 下拉選單
features/power/sandbox/delivery_backup/20260821T080541Z/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_PowerManagement_20260820.xlsx	c80ee6da	A(&Result)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification&Result | Reference | Test Case Framework | QS Suggestion | 下拉選單
features/power/sandbox/delivery_backup/20260821T093234Z/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_PowerManagement_20260821.xlsx	0ab0e603	A(&Result)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification&Result | Reference | Test Case Framework | QS Suggestion | 下拉選單
features/power/sandbox/delivery_backup/20260821T093234Z/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_PowerManagement_20260820.xlsx	c80ee6da	A(&Result)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification&Result | Reference | Test Case Framework | QS Suggestion | 下拉選單
features/power/sandbox/delivery_backup/20260821T124700Z/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_PowerManagement_20260821.xlsx	94419a2f	A(&Result)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification&Result | Reference | Test Case Framework | QS Suggestion | 下拉選單
features/power/sandbox/delivery_backup/20260821T124700Z/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_PowerManagement_20260820.xlsx	c80ee6da	A(&Result)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification&Result | Reference | Test Case Framework | QS Suggestion | 下拉選單
features/power/sandbox/delivery_backup/20260821T094127Z/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_PowerManagement_20260821.xlsx	5ef12126	A(&Result)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification&Result | Reference | Test Case Framework | QS Suggestion | 下拉選單
features/power/sandbox/delivery_backup/20260821T094127Z/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_PowerManagement_20260820.xlsx	c80ee6da	A(&Result)	Cover_old | ChangeHistory_old | Cover 封面 | ChangeHistory 修訂履歷 | Product Document 記錄封面頁 | Test Case Specification&Result | Reference | Test Case Framework | QS Suggestion | 下拉選單
