swe_id	source_id	sheet	title	status	categorization	sub_categorization	priority
SWE1_AMM_001	SYS-RA-AMM-082	Part 01	Audio Management - Entertainment Stereo Output Configuration	New	Functional Requirement	Audio Policy	High
SWE1_AMM_002	SYS-RA-AMM-083	Part 01	Audio Management - Entertainment Channel Routing	New	Functional Requirement	Audio Routing	High
SWE1_AMM_003	SYS-RA-AMM-084	Part 01	Audio Management - Entertainment Playback State Handling	New	Functional Requirement	Source Management	High
SWE1_AMM_004	SYS-RA-AMM-085	Part 01	Audio Management - Entertainment Audio Priority Handling	New	Functional Requirement	Audio Focus	High
SWE1_AMM_005	SYS-RA-AMM-086	Part 01	Audio Management - Entertainment Source Classification	New	Functional Requirement	Source Configuration	High
SWE1_AMM_006	SYS-RA-AMM-087	Part 01	Audio Management - TA/PTY31 Entertainment Source Classification	New	Functional Requirement	Audio Policy	High
SWE1_AMM_007	SYS-RA-AMM-095	Part 01	Audio Management - Information Source Mono Configuration	New	Functional Requirement	Audio Policy	High
SWE1_AMM_008	SYS-RA-AMM-097	Part 01	Audio Management - Information Source Audio Focus Priority	New	Functional Requirement	Audio Focus	High
SWE1_AMM_009	SYS-RA-AMM-098	Part 01	Audio Management - Information 1 Source Routing	New	Functional Requirement	Audio Routing	High
SWE1_AMM_010	SYS-RA-AMM-100	Part 01	Audio Management - Information 2 Source Routing	New	Functional Requirement	Audio Routing	High
SWE1_AMM_011	SYS-RA-AMM-101	Part 01	Audio Management - VR Confirmation Tone Playback	New	Functional Requirement	Confirmation Tone	High
SWE1_AMM_012	SYS-RA-AMM-102	Part 01	Audio Management - Common VR Tone Resource Handling	New	Functional Requirement	Confirmation Tone	High
SWE1_AMM_013	SYS-RA-AMM-122	Part 01	Audio Management - Confirmation Tone Front Channel Routing	New	Functional Requirement	Audio Routing	High
SWE1_AMM_014	SYS-RA-AMM-123	Part 01	Audio Management - Confirmation Tone Mixing with ENT and INFO1	New	Functional Requirement	Audio Mixing	High
SWE1_AMM_015	SYS-RA-AMM-124	Part 01	Audio Management - Confirmation Tone Suppression on INFO2	New	Functional Requirement	Audio Mixing	High
SWE1_AMM_016	SYS-RA-AMM-125	Part 01	Audio Management - Confirmation Tone Enable State Handling	New	Functional Requirement	User Settings	High
SWE1_AMM_017	SYS-RA-AMM-126	Part 01	Audio Management - Confirmation Tone Event Classification	New	Functional Requirement	Confirmation Tone	High
SWE1_AMM_018	SYS-RA-AMM-127	Part 01	Audio Management - Confirmation Tone Parameter Handling	New	Functional Requirement	Tone Generation	High
SWE1_AMM_019	SYS-RA-AMM-128	Part 01	Audio Management - Conf3 Pulse Sequence Handling	New	Functional Requirement	Tone Generation	High
SWE1_AMM_020	SYS-RA-AMM-131	Part 01	Audio Management - Alert Front Channel Routing	New	Functional Requirement	Audio Routing	High
SWE1_AMM_021	SYS-RA-AMM-132	Part 01	Audio Management - Entertainment and Information Alert Generation	New	Functional Requirement	Alert Generation	High
