tc_id	req_id	test_set	priority	design_method	row
newR1L-BLM-001	SWE1-HMI-BLM-011-01	Fault Handling	P1	Fault Injection	10
newR1L-BLM-002	SWE1-HMI-BLM-011-02	Fault Handling	P2	Fault Injection	11
newR1L-BLM-003	SWE1-HMI-BLM-011-03	Fault Handling	P1	Fault Injection	12
newR1L-BLM-004	SWE1-HMI-BLM-011-04	Fault Handling	P2	Fault Injection	13
newR1L-BLM-005	SWE1-HMI-BLM-037-01	Fault Handling	P1	Fault Injection	14
newR1L-BLM-006	SWE1-HMI-BLM-037-02	Fault Handling	P1	Fault Injection	15
newR1L-BLM-007	SWE1-HMI-BLM-037-03	Fault Handling	P1	Fault Injection	16
newR1L-BLM-008	SWE1-HMI-BLM-037-04	Fault Handling	P1	Fault Injection	17
newR1L-BLM-009	SWE1-HMI-BLM-037-05	Fault Handling	P1	Fault Injection	18
newR1L-BLM-010	SWE1-HMI-BLM-038-01	Fault Handling	P1	Fault Injection	19
newR1L-BLM-011	SWE1-HMI-BLM-038-02	Fault Handling	P2	Fault Injection	20
newR1L-BLM-012	SWE1-HMI-BLM-038-03	Fault Handling	P2	Fault Injection	21
newR1L-BLM-013	SWE1-HMI-BLM-038-04	Fault Handling	P2	Fault Injection	22
newR1L-BLM-014	SWE1-HMI-BLM-022-01	Restore And Exit	P1	Functional Based	23
newR1L-BLM-015	SWE1-HMI-BLM-027-01	Restore And Exit	P1	Functional Based	24
newR1L-BLM-016	SWE1-HMI-BLM-027-02	Restore And Exit	P1	State Transition	25
newR1L-BLM-017	SWE1-HMI-BLM-027-03	Restore And Exit	P1	Functional Based	26
newR1L-BLM-018	SWE1-HMI-BLM-027-04	Restore And Exit	P1	State Transition	27
newR1L-BLM-019	SWE1-HMI-BLM-027-05	Restore And Exit	P1	Negative / Invalid	28
newR1L-BLM-020	SWE1-HMI-BLM-005-01	Activation Gating	P1	Decision Table	29
newR1L-BLM-021	SWE1-HMI-BLM-005-02	Activation Gating	P1	Decision Table	30
newR1L-BLM-022	SWE1-HMI-BLM-005-03	Activation Gating	P1	Negative / Invalid	31
newR1L-BLM-023	SWE1-HMI-BLM-005-04	Activation Gating	P1	Negative / Invalid	32
newR1L-BLM-024	SWE1-HMI-BLM-006-01	Activation Gating	P1	Equivalence Partitioning	33
newR1L-BLM-025	SWE1-HMI-BLM-006-02	Activation Gating	P1	Decision Table	34
newR1L-BLM-026	SWE1-HMI-BLM-006-03	Activation Gating	P1	Boundary Value Analysis	35
newR1L-BLM-027	SWE1-HMI-BLM-006-04	Activation Gating	P1	Negative / Invalid	36
newR1L-BLM-028	SWE1-HMI-BLM-006-05	Activation Gating	P1	Boundary Value Analysis	37
newR1L-BLM-029	SWE1-HMI-BLM-007-01	Activation Gating	P1	State Transition	38
newR1L-BLM-030	SWE1-HMI-BLM-007-02	Activation Gating	P1	Functional Based	39
newR1L-BLM-031	SWE1-HMI-BLM-020-01	Activation Gating	P1	Equivalence Partitioning	40
newR1L-BLM-032	SWE1-HMI-BLM-020-02	Activation Gating	P1	Decision Table	41
newR1L-BLM-033	SWE1-HMI-BLM-020-03	Activation Gating	P1	Boundary Value Analysis	42
newR1L-BLM-034	SWE1-HMI-BLM-020-04	Activation Gating	P1	Negative / Invalid	43
newR1L-BLM-035	SWE1-HMI-BLM-020-05	Activation Gating	P1	Boundary Value Analysis	44
newR1L-BLM-036	SWE1-HMI-BLM-024-01	Activation Gating	P1	Functional Based	45
newR1L-BLM-037	SWE1-HMI-BLM-024-02	Activation Gating	P1	Functional Based	46
newR1L-BLM-038	SWE1-HMI-BLM-024-03	Activation Gating	P1	Functional Based	47
newR1L-BLM-039	SWE1-HMI-BLM-024-04	Activation Gating	P1	Boundary Value Analysis	48
newR1L-BLM-040	SWE1-HMI-BLM-024-05	Activation Gating	P2	Negative / Invalid	49
newR1L-BLM-041	SWE1-HMI-BLM-024-06	Activation Gating	P2	Negative / Invalid	50
newR1L-BLM-042	SWE1-HMI-BLM-024-07	Activation Gating	P2	Negative / Invalid	51
newR1L-BLM-043	SWE1-HMI-BLM-042-01	Activation Gating	P1	Negative / Invalid	52
newR1L-BLM-044	SWE1-HMI-BLM-042-02	Activation Gating	P1	Negative / Invalid	53
newR1L-BLM-045	SWE1-HMI-BLM-042-03	Activation Gating	P1	Negative / Invalid	54
newR1L-BLM-046	SWE1-HMI-BLM-001-01	Lowering Operation	P1	Functional Based	55
newR1L-BLM-047	SWE1-HMI-BLM-001-02	Lowering Operation	P1	State Transition	56
newR1L-BLM-048	SWE1-HMI-BLM-001-03	Lowering Operation	P1	State Transition	57
newR1L-BLM-049	SWE1-HMI-BLM-001-04	Lowering Operation	P2	Scenario / Use Case	58
newR1L-BLM-050	SWE1-HMI-BLM-002-01	Lowering Operation	P1	Functional Based	59
newR1L-BLM-051	SWE1-HMI-BLM-002-02	Lowering Operation	P1	State Transition	60
newR1L-BLM-052	SWE1-HMI-BLM-002-03	Lowering Operation	P1	Negative / Invalid	61
newR1L-BLM-053	SWE1-HMI-BLM-002-04	Lowering Operation	P2	Functional Based	62
newR1L-BLM-054	SWE1-HMI-BLM-002-05	Lowering Operation	P2	Functional Based	63
newR1L-BLM-055	SWE1-HMI-BLM-002-06	Lowering Operation	P2	Functional Based	64
newR1L-BLM-056	SWE1-HMI-BLM-003-01	Lowering Operation	P2	Functional Based	65
newR1L-BLM-057	SWE1-HMI-BLM-003-02	Lowering Operation	P1	Functional Based	66
newR1L-BLM-058	SWE1-HMI-BLM-003-03	Lowering Operation	P1	Functional Based	67
newR1L-BLM-059	SWE1-HMI-BLM-003-04	Lowering Operation	P2	Functional Based	68
newR1L-BLM-060	SWE1-HMI-BLM-021-01	Lowering Operation	P1	Negative / Invalid	69
