row	tc_id	setting	alias_status	path_now	path_proposed	control_proposed	proxi_now	proxi_proposed	flags
10	newR1L-BLM-001	Fault Handling	n/a（不走 Settings List）		（本 feature 不套 path 段）		（無 PROXI）	PROXI CAN node 27 (ASM/ASCM) = 1 (Present) ; PROXI Body_Types = PENDING（待 VS-SL-02 §1 之裁定）	PROSE_PRECOND
11	newR1L-BLM-002	Fault Handling	n/a（不走 Settings List）		（本 feature 不套 path 段）		（無 PROXI）	PROXI CAN node 27 (ASM/ASCM) = 1 (Present) ; PROXI Body_Types = PENDING（待 VS-SL-02 §1 之裁定）	PROSE_PRECOND
12	newR1L-BLM-003	Fault Handling	n/a（不走 Settings List）		（本 feature 不套 path 段）		（無 PROXI）	PROXI CAN node 27 (ASM/ASCM) = 1 (Present) ; PROXI Body_Types = PENDING（待 VS-SL-02 §1 之裁定）	PROSE_PRECOND
13	newR1L-BLM-004	Fault Handling	n/a（不走 Settings List）		（本 feature 不套 path 段）		（無 PROXI）	PROXI CAN node 27 (ASM/ASCM) = 1 (Present) ; PROXI Body_Types = PENDING（待 VS-SL-02 §1 之裁定）	PROSE_PRECOND
14	newR1L-BLM-005	Fault Handling	n/a（不走 Settings List）	Bed Lowering	（本 feature 不套 path 段）		（無 PROXI）	PROXI CAN node 27 (ASM/ASCM) = 1 (Present) ; PROXI Body_Types = PENDING（待 VS-SL-02 §1 之裁定）	PROSE_PRECOND
15	newR1L-BLM-006	Fault Handling	n/a（不走 Settings List）	Bed Lowering	（本 feature 不套 path 段）		（無 PROXI）	PROXI CAN node 27 (ASM/ASCM) = 1 (Present) ; PROXI Body_Types = PENDING（待 VS-SL-02 §1 之裁定）	PROSE_PRECOND
16	newR1L-BLM-007	Fault Handling	n/a（不走 Settings List）	Bed Lowering	（本 feature 不套 path 段）		（無 PROXI）	PROXI CAN node 27 (ASM/ASCM) = 1 (Present) ; PROXI Body_Types = PENDING（待 VS-SL-02 §1 之裁定）	PROSE_PRECOND
17	newR1L-BLM-008	Fault Handling	n/a（不走 Settings List）	Bed Lowering	（本 feature 不套 path 段）		（無 PROXI）	PROXI CAN node 27 (ASM/ASCM) = 1 (Present) ; PROXI Body_Types = PENDING（待 VS-SL-02 §1 之裁定）	PROSE_PRECOND
18	newR1L-BLM-009	Fault Handling	n/a（不走 Settings List）	Bed Lowering	（本 feature 不套 path 段）		（無 PROXI）	PROXI CAN node 27 (ASM/ASCM) = 1 (Present) ; PROXI Body_Types = PENDING（待 VS-SL-02 §1 之裁定）	PROSE_PRECOND
19	newR1L-BLM-010	Fault Handling	n/a（不走 Settings List）	Bed Lowering	（本 feature 不套 path 段）		（無 PROXI）	PROXI CAN node 27 (ASM/ASCM) = 1 (Present) ; PROXI Body_Types = PENDING（待 VS-SL-02 §1 之裁定）	PROSE_PRECOND
20	newR1L-BLM-011	Fault Handling	n/a（不走 Settings List）	Bed Lowering	（本 feature 不套 path 段）		（無 PROXI）	PROXI CAN node 27 (ASM/ASCM) = 1 (Present) ; PROXI Body_Types = PENDING（待 VS-SL-02 §1 之裁定）	PROSE_PRECOND
21	newR1L-BLM-012	Fault Handling	n/a（不走 Settings List）	Bed Lowering	（本 feature 不套 path 段）		（無 PROXI）	PROXI CAN node 27 (ASM/ASCM) = 1 (Present) ; PROXI Body_Types = PENDING（待 VS-SL-02 §1 之裁定）	PROSE_PRECOND
22	newR1L-BLM-013	Fault Handling	n/a（不走 Settings List）	Bed Lowering	（本 feature 不套 path 段）		（無 PROXI）	PROXI CAN node 27 (ASM/ASCM) = 1 (Present) ; PROXI Body_Types = PENDING（待 VS-SL-02 §1 之裁定）	PROSE_PRECOND
23	newR1L-BLM-014	Restore And Exit	n/a（不走 Settings List）	Bed Lowering	（本 feature 不套 path 段）		（無 PROXI）	PROXI CAN node 27 (ASM/ASCM) = 1 (Present) ; PROXI Body_Types = PENDING（待 VS-SL-02 §1 之裁定）	PROSE_PRECOND
24	newR1L-BLM-015	Restore And Exit	n/a（不走 Settings List）	Bed Lowering > Bed Lowering	（本 feature 不套 path 段）		（無 PROXI）	PROXI CAN node 27 (ASM/ASCM) = 1 (Present) ; PROXI Body_Types = PENDING（待 VS-SL-02 §1 之裁定）	PROSE_PRECOND
25	newR1L-BLM-016	Restore And Exit	n/a（不走 Settings List）	Bed Lowering > Bed Lowering	（本 feature 不套 path 段）		（無 PROXI）	PROXI CAN node 27 (ASM/ASCM) = 1 (Present) ; PROXI Body_Types = PENDING（待 VS-SL-02 §1 之裁定）	PROSE_PRECOND
26	newR1L-BLM-017	Restore And Exit	n/a（不走 Settings List）	Bed Lowering > Bed Lowering	（本 feature 不套 path 段）		（無 PROXI）	PROXI CAN node 27 (ASM/ASCM) = 1 (Present) ; PROXI Body_Types = PENDING（待 VS-SL-02 §1 之裁定）	PROSE_PRECOND
27	newR1L-BLM-018	Restore And Exit	n/a（不走 Settings List）	Bed Lowering > Bed Lowering	（本 feature 不套 path 段）		（無 PROXI）	PROXI CAN node 27 (ASM/ASCM) = 1 (Present) ; PROXI Body_Types = PENDING（待 VS-SL-02 §1 之裁定）	PROSE_PRECOND
28	newR1L-BLM-019	Restore And Exit	n/a（不走 Settings List）	Bed Lowering > Bed Lowering	（本 feature 不套 path 段）		（無 PROXI）	PROXI CAN node 27 (ASM/ASCM) = 1 (Present) ; PROXI Body_Types = PENDING（待 VS-SL-02 §1 之裁定）	PROSE_PRECOND
29	newR1L-BLM-020	Activation Gating	n/a（不走 Settings List）		（本 feature 不套 path 段）		（無 PROXI）	PROXI CAN node 27 (ASM/ASCM) = 1 (Present) ; PROXI Body_Types = PENDING（待 VS-SL-02 §1 之裁定）	PROSE_PRECOND
30	newR1L-BLM-021	Activation Gating	n/a（不走 Settings List）		（本 feature 不套 path 段）		（無 PROXI）	PROXI CAN node 27 (ASM/ASCM) = 1 (Present) ; PROXI Body_Types = PENDING（待 VS-SL-02 §1 之裁定）	PROSE_PRECOND
31	newR1L-BLM-022	Activation Gating	n/a（不走 Settings List）		（本 feature 不套 path 段）		（無 PROXI）	PROXI CAN node 27 (ASM/ASCM) = 1 (Present) ; PROXI Body_Types = PENDING（待 VS-SL-02 §1 之裁定）	PROSE_PRECOND
32	newR1L-BLM-023	Activation Gating	n/a（不走 Settings List）		（本 feature 不套 path 段）		（無 PROXI）	PROXI CAN node 27 (ASM/ASCM) = 1 (Present) ; PROXI Body_Types = PENDING（待 VS-SL-02 §1 之裁定）	PROSE_PRECOND
33	newR1L-BLM-024	Activation Gating	n/a（不走 Settings List）	Bed Lowering > Bed Lowering	（本 feature 不套 path 段）		（無 PROXI）	PROXI CAN node 27 (ASM/ASCM) = 1 (Present) ; PROXI Body_Types = PENDING（待 VS-SL-02 §1 之裁定）	PROSE_PRECOND
34	newR1L-BLM-025	Activation Gating	n/a（不走 Settings List）	Bed Lowering > Bed Lowering	（本 feature 不套 path 段）		（無 PROXI）	PROXI CAN node 27 (ASM/ASCM) = 1 (Present) ; PROXI Body_Types = PENDING（待 VS-SL-02 §1 之裁定）	PROSE_PRECOND
35	newR1L-BLM-026	Activation Gating	n/a（不走 Settings List）	Bed Lowering > Bed Lowering	（本 feature 不套 path 段）		（無 PROXI）	PROXI CAN node 27 (ASM/ASCM) = 1 (Present) ; PROXI Body_Types = PENDING（待 VS-SL-02 §1 之裁定）	PROSE_PRECOND
36	newR1L-BLM-027	Activation Gating	n/a（不走 Settings List）	Bed Lowering	（本 feature 不套 path 段）		（無 PROXI）	PROXI CAN node 27 (ASM/ASCM) = 1 (Present) ; PROXI Body_Types = PENDING（待 VS-SL-02 §1 之裁定）	PROSE_PRECOND
37	newR1L-BLM-028	Activation Gating	n/a（不走 Settings List）	Bed Lowering	（本 feature 不套 path 段）		（無 PROXI）	PROXI CAN node 27 (ASM/ASCM) = 1 (Present) ; PROXI Body_Types = PENDING（待 VS-SL-02 §1 之裁定）	PROSE_PRECOND
38	newR1L-BLM-029	Activation Gating	n/a（不走 Settings List）	Bed Lowering	（本 feature 不套 path 段）		（無 PROXI）	PROXI CAN node 27 (ASM/ASCM) = 1 (Present) ; PROXI Body_Types = PENDING（待 VS-SL-02 §1 之裁定）	PROSE_PRECOND
39	newR1L-BLM-030	Activation Gating	n/a（不走 Settings List）	Bed Lowering	（本 feature 不套 path 段）		（無 PROXI）	PROXI CAN node 27 (ASM/ASCM) = 1 (Present) ; PROXI Body_Types = PENDING（待 VS-SL-02 §1 之裁定）	PROSE_PRECOND
40	newR1L-BLM-031	Activation Gating	n/a（不走 Settings List）	Bed Lowering > Bed Lowering	（本 feature 不套 path 段）		（無 PROXI）	PROXI CAN node 27 (ASM/ASCM) = 1 (Present) ; PROXI Body_Types = PENDING（待 VS-SL-02 §1 之裁定）	PROSE_PRECOND
41	newR1L-BLM-032	Activation Gating	n/a（不走 Settings List）	Bed Lowering > Bed Lowering	（本 feature 不套 path 段）		（無 PROXI）	PROXI CAN node 27 (ASM/ASCM) = 1 (Present) ; PROXI Body_Types = PENDING（待 VS-SL-02 §1 之裁定）	PROSE_PRECOND
42	newR1L-BLM-033	Activation Gating	n/a（不走 Settings List）	Bed Lowering > Bed Lowering	（本 feature 不套 path 段）		（無 PROXI）	PROXI CAN node 27 (ASM/ASCM) = 1 (Present) ; PROXI Body_Types = PENDING（待 VS-SL-02 §1 之裁定）	PROSE_PRECOND
43	newR1L-BLM-034	Activation Gating	n/a（不走 Settings List）	Bed Lowering	（本 feature 不套 path 段）		（無 PROXI）	PROXI CAN node 27 (ASM/ASCM) = 1 (Present) ; PROXI Body_Types = PENDING（待 VS-SL-02 §1 之裁定）	PROSE_PRECOND
44	newR1L-BLM-035	Activation Gating	n/a（不走 Settings List）	Bed Lowering	（本 feature 不套 path 段）		（無 PROXI）	PROXI CAN node 27 (ASM/ASCM) = 1 (Present) ; PROXI Body_Types = PENDING（待 VS-SL-02 §1 之裁定）	PROSE_PRECOND
45	newR1L-BLM-036	Activation Gating	n/a（不走 Settings List）		（本 feature 不套 path 段）		（無 PROXI）	PROXI CAN node 27 (ASM/ASCM) = 1 (Present) ; PROXI Body_Types = PENDING（待 VS-SL-02 §1 之裁定）	PROSE_PRECOND
46	newR1L-BLM-037	Activation Gating	n/a（不走 Settings List）		（本 feature 不套 path 段）		（無 PROXI）	PROXI CAN node 27 (ASM/ASCM) = 1 (Present) ; PROXI Body_Types = PENDING（待 VS-SL-02 §1 之裁定）	PROSE_PRECOND
47	newR1L-BLM-038	Activation Gating	n/a（不走 Settings List）		（本 feature 不套 path 段）		（無 PROXI）	PROXI CAN node 27 (ASM/ASCM) = 1 (Present) ; PROXI Body_Types = PENDING（待 VS-SL-02 §1 之裁定）	PROSE_PRECOND
48	newR1L-BLM-039	Activation Gating	n/a（不走 Settings List）		（本 feature 不套 path 段）		（無 PROXI）	PROXI CAN node 27 (ASM/ASCM) = 1 (Present) ; PROXI Body_Types = PENDING（待 VS-SL-02 §1 之裁定）	PROSE_PRECOND
49	newR1L-BLM-040	Activation Gating	n/a（不走 Settings List）		（本 feature 不套 path 段）		（無 PROXI）	PROXI CAN node 27 (ASM/ASCM) = 1 (Present) ; PROXI Body_Types = PENDING（待 VS-SL-02 §1 之裁定）	PROSE_PRECOND
50	newR1L-BLM-041	Activation Gating	n/a（不走 Settings List）		（本 feature 不套 path 段）		（無 PROXI）	PROXI CAN node 27 (ASM/ASCM) = 1 (Present) ; PROXI Body_Types = PENDING（待 VS-SL-02 §1 之裁定）	PROSE_PRECOND
51	newR1L-BLM-042	Activation Gating	n/a（不走 Settings List）		（本 feature 不套 path 段）		（無 PROXI）	PROXI CAN node 27 (ASM/ASCM) = 1 (Present) ; PROXI Body_Types = PENDING（待 VS-SL-02 §1 之裁定）	PROSE_PRECOND
