swe_id	kind	sys1_book	section	spec_reference	verbatim_source_pid	verbatim_section	tc_id	axis	vehicle_model_1	proxi_premise	hop_or_trigger	pending	design_method	priority	note
SWE1-RVC-053	leaf	HeadUnitCameraSystems	27.1.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.1.1	NRL-188029	27.1.1	NR1L-RVCHMI-044	none	HDCC27;DT27;637;2261;376	—	wired and wireless AUX views are non-persistent latching wit	DR-CAM-r	狀態轉換 (State Transition Testing)	P2	互參 A 本 SWE-CAM-024
SWE1-RVC-054	leaf	HeadUnitCameraSystems	27.1.2	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.1.2	NRL-188030	27.1.2	NR1L-RVCHMI-045	none	HDCC27;DT27;637;2261;376	—	AUX camera follows the general camera activation and deactiv	—	狀態轉換 (State Transition Testing)	P1	互參 A 本 SWE-CAM-024
SWE1-RVC-055	leaf	HeadUnitCameraSystems	27.1.3	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.1.3	NRL-188031	27.1.3	NR1L-RVCHMI-046	none	HDCC27;DT27;637;2261;376	—	the soft control of the selected view is highlighted	—	功能測試 (Functional based ; no specific technique)	P2	互參 A 本 SWE-CAM-024
SWE1-RVC-056	leaf	HeadUnitCameraSystems	27.1.4	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.1.4	NRL-188032	27.1.4	NR1L-RVCHMI-047	none	HDCC27;DT27;637;2261;376	—	AUX camera settings are locked out while the vehicle is in m	—	負向測試 (Negative / Invalid)	P1	
SWE1-RVC-057	leaf	HeadUnitCameraSystems	27.1.5	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.1.5	NRL-188033	27.1.5	NR1L-RVCHMI-048	none	HDCC27;DT27;637;2261;376	—	wireless AUX is limited to four MOPAR-provided cameras	—	決策表 (Decision Table Testing)	P2	
SWE1-RVC-058	leaf	HeadUnitCameraSystems	27.1.5.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.1.5.1	NRL-188034	27.1.5.1	NR1L-RVCHMI-049	none	HDCC27;DT27;637;2261;376	—	wireless AUX authentication passes a token through a QR code	—	功能測試 (Functional based ; no specific technique)	P2	
SWE1-RVC-059	leaf	HeadUnitCameraSystems	27.2.1.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.2.1.1	NRL-188038	27.2.1.1	NR1L-RVCHMI-050	PROXI 配備	HDCC27;DT27	Rear_View_Camera = 1 (Present);Digital_CHMSL_Camera_Prsnt = 1 (Present)	AUX camera controls appear on the second surface of the back	—	功能測試 (Functional based ; no specific technique)	P2	互參 A 本 SWE-CAM-024
SWE1-RVC-060	leaf	HeadUnitCameraSystems	27.2.2.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.2.2.1	NRL-188040	27.2.2.1	NR1L-RVCHMI-051	PROXI 配備	HDCC27;DT27;637;2261;376	Rear_View_Camera = 1 (Present)	AUX Cameras icons exist in the camera views	—	功能測試 (Functional based ; no specific technique)	P2	互參 A 本 SWE-CAM-024
SWE1-RVC-061	leaf	HeadUnitCameraSystems	27.2.3.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.2.3.1	NRL-188042	27.2.3.1	NR1L-RVCHMI-052	none	HDCC27;DT27;637;2261;376	—	the wired AUX camera is always a selectable field	—	功能測試 (Functional based ; no specific technique)	P1	互參 A 本 SWE-CAM-024
SWE1-RVC-062	leaf	HeadUnitCameraSystems	27.2.3.2	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.2.3.2	NRL-188043	27.2.3.2	NR1L-RVCHMI-053	none	HDCC27;DT27;637;2261;376	—	the AUX Cameras button is greyed out when wireless cameras a	—	負向測試 (Negative / Invalid)	P1	互參 A 本 SWE-CAM-024
SWE1-RVC-063	leaf	HeadUnitCameraSystems	27.2.4.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.2.4.1	NRL-188045	27.2.4.1	NR1L-RVCHMI-054	none	HDCC27;DT27;637;2261;376	—	camera personalization settings are grouped under the Camera	—	功能測試 (Functional based ; no specific technique)	P2	
SWE1-RVC-064	leaf	HeadUnitCameraSystems	27.2.5.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.2.5.1	NRL-188047	27.2.5.1	NR1L-RVCHMI-055	none	HDCC27;DT27;637;2261;376	—	the AUX camera soft control behaves as a push button control	—	功能測試 (Functional based ; no specific technique)	P2	
SWE1-RVC-065	leaf	HeadUnitCameraSystems	27.2.6.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.2.6.1	NRL-188049	27.2.6.1	NR1L-RVCHMI-056	PROXI 配備	HDCC27;DT27	Rear_View_Camera = 1 (Present);Digital_CHMSL_Camera_Prsnt = 1 (Present);Auxiliary_Trailer_Camera = 1 (Present);Forward_Facing_Camera = 1 (Present);Surround_View_Camera = 1 (Present)	the equipped camera feature set is offered in the AUX camera	—	決策表 (Decision Table Testing)	P2	
SWE1-RVC-066	leaf	HeadUnitCameraSystems	27.2.6.2	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.2.6.2	NRL-188050	27.2.6.2	NR1L-RVCHMI-057	none	HDCC27;DT27;637;2261;376	—	AUX cameras are accessible from the Apps Drawer	—	功能測試 (Functional based ; no specific technique)	P1	
SWE1-RVC-067	leaf	HeadUnitCameraSystems	27.2.6.3	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.2.6.3	NRL-188051	27.2.6.3	NR1L-RVCHMI-058	none	HDCC27;DT27;637;2261;376	—	AUX cameras are accessible from the Camera app home page	DR-CAM-r	功能測試 (Functional based ; no specific technique)	P1	
SWE1-RVC-068	leaf	HeadUnitCameraSystems	27.2.6.4	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.2.6.4	NRL-188052	27.2.6.4	NR1L-RVCHMI-059	PROXI 配備	HDCC27;DT27;637;2261;376	Rear_View_Camera = 1 (Present)	the selected view soft control is highlighted on the second 	—	功能測試 (Functional based ; no specific technique)	P2	
SWE1-RVC-069	leaf	HeadUnitCameraSystems	27.3.2	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.3.2	NRL-188058	27.3.2	—	none	—	—	—	—	—	—	零 TC —— 來源 Description 逐字為 `First surface needs: N/A`，無可驗證之行為（A-CA35，提請裁決）
SWE1-RVC-070	leaf	HeadUnitCameraSystems	27.3.3	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.3.3	NRL-188059	27.3.3	NR1L-RVCHMI-060	none	HDCC27;DT27;637;2261;376	—	camera pop-up text matches the R1 HMI pop-up list	—	功能測試 (Functional based ; no specific technique)	P2	
SWE1-RVC-071	leaf	HeadUnitCameraSystems	27.3.4.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.3.4.1	NRL-188061	27.3.4.1	NR1L-RVCHMI-061	none	HDCC27;DT27;637;2261;376	—	the camera connection process is locked out while the vehicl	—	負向測試 (Negative / Invalid)	P1	
SWE1-RVC-072	leaf	HeadUnitCameraSystems	27.3.5.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.3.5.1	NRL-188063	27.3.5.1	NR1L-RVCHMI-062	none	HDCC27;DT27;637;2261;376	—	the head unit passes WiFi network credentials to the camera 	—	功能測試 (Functional based ; no specific technique)	P2	
SWE1-RVC-073	leaf	HeadUnitCameraSystems	27.4.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.4.1	NRL-188065	27.4.1	NR1L-RVCHMI-063	none	HDCC27;DT27;637;2261;376	—	wireless cameras are enabled by activating the enable wirele	—	功能測試 (Functional based ; no specific technique)	P1	
SWE1-RVC-074	leaf	HeadUnitCameraSystems	27.4.2	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.4.2	NRL-188066	27.4.2	NR1L-RVCHMI-064	none	HDCC27;DT27;637;2261;376	—	a popup is displayed when the setting is selected during a w	—	功能測試 (Functional based ; no specific technique)	P1	
SWE1-RVC-075	leaf	HeadUnitCameraSystems	27.4.2.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.4.2.1	NRL-188067	27.4.2.1	NR1L-RVCHMI-065	none	HDCC27;DT27;637;2261;376	—	pressing Yes enables wireless AUX cameras and disconnects th	—	狀態轉換 (State Transition Testing)	P1	
SWE1-RVC-076	leaf	HeadUnitCameraSystems	27.4.2.2	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.4.2.2	NRL-188068	27.4.2.2	NR1L-RVCHMI-066	none	HDCC27;DT27;637;2261;376	—	pressing No keeps the projection session and leaves wireless	—	狀態轉換 (State Transition Testing)	P1	
SWE1-RVC-077	leaf	HeadUnitCameraSystems	27.4.3	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.4.3	NRL-188069	27.4.3	NR1L-RVCHMI-067	none	HDCC27;DT27;637;2261;376	—	the setting activates silently when no wireless projection s	—	負向測試 (Negative / Invalid)	P1	
SWE1-RVC-078	leaf	HeadUnitCameraSystems	27.4.4	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.4.4	NRL-188070	27.4.4	NR1L-RVCHMI-068	none	HDCC27;DT27;637;2261;376	—	the enable wireless cameras setting updates dynamically	—	狀態轉換 (State Transition Testing)	P2	
SWE1-RVC-079	leaf	HeadUnitCameraSystems	27.4.5	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.4.5	NRL-188071	27.4.5	NR1L-RVCHMI-069	none	HDCC27;DT27;637;2261;376	—	plugging in a projection device displays the wireless camera	—	功能測試 (Functional based ; no specific technique)	P1	
SWE1-RVC-080	leaf	HeadUnitCameraSystems	27.5.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.5.1	NRL-188073	27.5.1	NR1L-RVCHMI-070	none	HDCC27;DT27;637;2261;376	—	a connecting message is shown while a sleeping wireless AUX 	DR-CAM-h	功能測試 (Functional based ; no specific technique)	P2	
SWE1-RVC-081	leaf	HeadUnitCameraSystems	27.5.2	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.5.2	NRL-188074	27.5.2	NR1L-RVCHMI-071	none	HDCC27;DT27;637;2261;376	—	selecting a wireless AUX camera auto-enables the setting whe	—	狀態轉換 (State Transition Testing)	P1	
