swe_id	kind	sys1_book	section	spec_reference	verbatim_source_pid	verbatim_section	tc_id	axis	vehicle_model_1	proxi_premise	hop_or_trigger	pending	design_method	priority	note
SWE1-RVC-083	leaf	HeadUnitCameraSystems	27.6.2	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.6.2	NRL-188077	27.6.2	NR1L-RVCHMI-074	none	HDCC27;DT27;637;2261;376	—	a connecting message is shown after the projection popup ena	DR-CAM-h	功能測試 (Functional based ; no specific technique)	P2	
SWE1-RVC-084	leaf	HeadUnitCameraSystems	27.7.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.7.1	NRL-188079	27.7.1	NR1L-RVCHMI-075	none	HDCC27;DT27;637;2261;376	—	wired and wireless AUX cameras are accessible from the contr	DR-CAM-g	功能測試 (Functional based ; no specific technique)	P1	互參 A 本 SWE-CAM-024
SWE1-RVC-085	leaf	HeadUnitCameraSystems	27.7.2	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.7.2	NRL-188080	27.7.2	NR1L-RVCHMI-076	none	HDCC27;DT27;637;2261;376	—	AUX soft controls are not on the controls page when the came	DR-CAM-g;DR-CAM-r	負向測試 (Negative / Invalid)	P2	互參 A 本 SWE-CAM-024
SWE1-RVC-086	leaf	HeadUnitCameraSystems	27.7.3	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.7.3	NRL-188081	27.7.3	—	none	—	—	—	—	—	—	零 TC —— 純交叉引用（`refer to ‘Wireless cameras connection’ pages`），內容已由 §27.5／§27.6 之 TC（`NR1L-RVCHMI-070`～`-073`、`-074`）承接（R-CAM16 委派形制之 B 本類推，提請裁）
SWE1-RVC-087	leaf	HeadUnitCameraSystems	27.8.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.8.1	NRL-188083	27.8.1	NR1L-RVCHMI-077	PROXI 配備	HDCC27;DT27;637;2261;376	Rear_View_Camera = 1 (Present)	the More Aux button opens a popup listing all available AUX 	—	功能測試 (Functional based ; no specific technique)	P1	互參 A 本 SWE-CAM-024
SWE1-RVC-088	leaf	HeadUnitCameraSystems	27.8.2	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.8.2	NRL-188084	27.8.2	NR1L-RVCHMI-078	PROXI 配備	HDCC27;DT27;637;2261;376	Rear_View_Camera = 1 (Present)	selecting a new view in the popup switches to that view	—	功能測試 (Functional based ; no specific technique)	P1	互參 A 本 SWE-CAM-024
SWE1-RVC-089	leaf	HeadUnitCameraSystems	27.8.3	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.8.3	NRL-188085	27.8.3	NR1L-RVCHMI-079	PROXI 配備	HDCC27;DT27;637;2261;376	Rear_View_Camera = 1 (Present)	pressing More AUX again closes the popup	—	狀態轉換 (State Transition Testing)	P2	互參 A 本 SWE-CAM-024
SWE1-RVC-090	leaf	HeadUnitCameraSystems	27.8.4	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.8.4	NRL-188086	27.8.4	NR1L-RVCHMI-080	PROXI 配備	HDCC27;DT27;637;2261;376	Rear_View_Camera = 1 (Present)	signal strength and battery are indicated below the More AUX	—	功能測試 (Functional based ; no specific technique)	P2	互參 A 本 SWE-CAM-024
SWE1-RVC-091	leaf	HeadUnitCameraSystems	27.8.5	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_27.8.5	NRL-188087	27.8.5	—	none	—	—	—	—	—	—	零 TC —— 同 `SWE1-RVC-086`，純交叉引用
SWE1-RVC-129	leaf	HeadUnitCameraSystems	34.1.1.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_34.1.1.1	NRL-188155	34.1.1.1	NR1L-RVCHMI-081	PROXI 配備	HDCC27;DT27	Rear_View_Camera = 1 (Present);Digital_CHMSL_Camera_Prsnt = 1 (Present)	AUX controls on the second surface of the back-up and CHMSL 	—	功能測試 (Functional based ; no specific technique)	P2	
