swe_id	kind	sys1_book	section	spec_reference	verbatim_source_pid	verbatim_section	tc_id	axis	vehicle_model_1	proxi_premise	hop_or_trigger	pending	design_method	priority	note
SWE1-RVC-148	leaf	HeadUnitCameraSystems	34.9.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_34.9.1	NRL-188186	34.9.1	NR1L-RVCHMI-158	none	HDCC27;DT27;637;2261;376	—	the individual AUX Cam settings popup opens from the line it	—	功能測試 (Functional based ; no specific technique)	P1	｜Test Set: AUX Camera Settings
SWE1-RVC-149	leaf	HeadUnitCameraSystems	34.9.2.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_34.9.2.1	NRL-188188	34.9.2.1	NR1L-RVCHMI-159	none	HDCC27;DT27;637;2261;376	—	the R1 Low AUX settings popup offers Edit the name of the se	—	功能測試 (Functional based ; no specific technique)	P1	｜Test Set: AUX Camera Settings
SWE1-RVC-150-01	leaf	HeadUnitCameraSystems	34.9.2.2	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_34.9.2.2	NRL-188189	34.9.2.2	NR1L-RVCHMI-160	none	HDCC27;DT27;637;2261;376	—	Reset Camera returns the name to the AUX Camera default	—	功能測試 (Functional based ; no specific technique)	P1	｜Test Set: AUX Camera Settings
SWE1-RVC-150-02	leaf	HeadUnitCameraSystems	34.9.2.2	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_34.9.2.2	NRL-188189	34.9.2.2	NR1L-RVCHMI-161	none	HDCC27;DT27;637;2261;376	—	the soft controls read AUX 1 and AUX 2 after the reset	—	功能測試 (Functional based ; no specific technique)	P2	｜Test Set: AUX Camera Settings
SWE1-RVC-151	leaf	HeadUnitCameraSystems	34.9.4	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_34.9.4	NRL-188192	34.9.4	NR1L-RVCHMI-162	none	HDCC27;DT27;637;2261;376	—	pressing Edit Favorite from the R1 Low AUX Cam settings menu	—	功能測試 (Functional based ; no specific technique)	P1	｜Test Set: AUX Camera Settings
SWE1-RVC-152-01	leaf	HeadUnitCameraSystems	34.9.5	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_34.9.5	NRL-188193	34.9.5	NR1L-RVCHMI-163	none	HDCC27;DT27;637;2261;376	—	the R1 Low camera name is limited to 7 characters per line	—	邊界值分析 (Boundary Value Analysis, BVA)	P1	｜Test Set: AUX Camera Settings
SWE1-RVC-152-02	leaf	HeadUnitCameraSystems	34.9.5	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_34.9.5	NRL-188193	34.9.5	NR1L-RVCHMI-164	none	HDCC27;DT27;637;2261;376	—	the R1 Low camera name is truncated at 2 lines and 14 charac	—	邊界值分析 (Boundary Value Analysis, BVA)	P1	｜Test Set: AUX Camera Settings
SWE1-RVC-152-03	leaf	HeadUnitCameraSystems	34.9.5	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_34.9.5	NRL-188193	34.9.5	NR1L-RVCHMI-165	none	HDCC27;DT27;637;2261;376	—	a full word that fits is not truncated on R1 Low	—	決策表 (Decision Table Testing)	P2	｜Test Set: AUX Camera Settings
SWE1-RVC-153	leaf	HeadUnitCameraSystems	34.9.6	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_34.9.6	NRL-188194	34.9.6	NR1L-RVCHMI-166	none	HDCC27;DT27;637;2261;376	—	the QWERTY keyboard opens and typing overwrites the default 	—	狀態轉換 (State Transition Testing)	P1	｜Test Set: AUX Camera Settings
SWE1-RVC-154	leaf	HeadUnitCameraSystems	34.9.7	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_34.9.7	NRL-188195	34.9.7	NR1L-RVCHMI-167	none	HDCC27;DT27;637;2261;376	—	the R1 Low settings menu title reads the new name after conf	—	功能測試 (Functional based ; no specific technique)	P1	｜Test Set: AUX Camera Settings
SWE1-RVC-155	leaf	HeadUnitCameraSystems	34.9.8	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_34.9.8	NRL-188196	34.9.8	NR1L-RVCHMI-168	none	HDCC27;DT27;637;2261;376	—	the updated name is reflected in the R1 Low settings menu li	—	功能測試 (Functional based ; no specific technique)	P2	｜Test Set: AUX Camera Settings
SWE1-RVC-156	leaf	HeadUnitCameraSystems	34.9.9	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_34.9.9	NRL-188197	34.9.9	NR1L-RVCHMI-169	none	HDCC27;DT27;637;2261;376	—	the updated name is reflected on the R1 Low camera app homep	DR-CAM-r	功能測試 (Functional based ; no specific technique)	P2	｜Test Set: AUX Camera Settings
SWE1-RVC-157	leaf	HeadUnitCameraSystems	34.10.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_34.10.1	NRL-188199	34.10.1	NR1L-RVCHMI-170	none	HDCC27;DT27;637;2261;376	—	only the AUX cameras connected to the system are accessible	DR-CAM-r	功能測試 (Functional based ; no specific technique)	P1	｜Test Set: AUX Camera Settings
SWE1-RVC-158	leaf	HeadUnitCameraSystems	34.10.2	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_34.10.2	NRL-188200	34.10.2	NR1L-RVCHMI-171	none	HDCC27;DT27;637;2261;376	—	tapping a soft control in the Camera App AUX shows that came	DR-CAM-r	功能測試 (Functional based ; no specific technique)	P1	｜Test Set: AUX Camera Settings
SWE1-RVC-159	leaf	HeadUnitCameraSystems	34.10.3	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_34.10.3	NRL-188201	34.10.3	NR1L-RVCHMI-172	PROXI 配備	HDCC27;DT27	Surround_View_Camera = 1 (Present)	DT and HDCC with SVC and camera app have no AUX access via t	DR-CAM-r	負向測試 (Negative / Invalid)	P2	｜Test Set: AUX Camera Settings
SWE1-RVC-026	leaf	RVC+PAM	8.2	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_8.2	NRL-142633	8.2	NR1L-RVCHMI-173	PROXI 配備	HDCC27;DT27;637;2261;376	Rear_View_Camera = 1 (Present)	the Check Entire Surroundings message is displayed for 5 sec	—	功能測試 (Functional based ; no specific technique)	P1	互參 A 本 SWE-CAM-021／SWE-CAM-023｜Test Set: Warning Banners
SWE1-RVC-027	leaf	RVC+PAM	8.3	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_8.3	NRL-142634	8.3	NR1L-RVCHMI-174	PROXI 配備	HDCC27;DT27;637;2261;376	Rear_View_Camera = 1 (Present)	the banner fades out towards the edges and does not cover th	—	功能測試 (Functional based ; no specific technique)	P2	互參 A 本 SWE-CAM-021／SWE-CAM-023｜Test Set: Warning Banners
SWE1-RVC-028	leaf	RVC+PAM	8.3.1	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_8.3.1	NRL-142635	8.3.1	NR1L-RVCHMI-175	PROXI 配備	HDCC27;DT27;637;2261;376	Rear_View_Camera = 1 (Present)	the fade out banner applies to any message shown in the Chec	—	功能測試 (Functional based ; no specific technique)	P2	互參 A 本 SWE-CAM-021／SWE-CAM-023｜Test Set: Warning Banners
SWE1-RVC-029	leaf	RVC+PAM	8.3.2	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_8.3.2	NRL-142636	8.3.2	NR1L-RVCHMI-176	PROXI 配備	HDCC27;DT27;637;2261;376	Rear_View_Camera = 1 (Present)	turning off the rear view camera returns the user to the las	—	狀態轉換 (State Transition Testing)	P1	｜Test Set: Warning Banners
SWE1-RVC-030	leaf	RVC+PAM	8.3.3	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_8.3.3	NRL-142637	8.3.3	NR1L-RVCHMI-177	PROXI 配備	HDCC27;DT27;637;2261;376	Rear_View_Camera = 1 (Present)	the camera delay option is not supported when the X cannot b	—	負向測試 (Negative / Invalid)	P2	｜Test Set: Warning Banners
SWE1-RVC-031-01	leaf	RVC+PAM	8.4	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_8.4	NRL-142638	8.4	NR1L-RVCHMI-178	PROXI 配備	HDCC27;DT27;637;2261;376	Rear_View_Camera = 1 (Present)	the X button and the banners are white with a background for	—	功能測試 (Functional based ; no specific technique)	P2	｜Test Set: Warning Banners
SWE1-RVC-031-02	leaf	RVC+PAM	8.4	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_8.4	NRL-142638	8.4	NR1L-RVCHMI-179	PROXI 配備	HDCC27;DT27;637;2261;376	Rear_View_Camera = 1 (Present)	objects overlaid on the camera image are 60 percent transpar	—	邊界值分析 (Boundary Value Analysis, BVA)	P2	｜Test Set: Warning Banners
SWE1-RVC-032	leaf	RVC+PAM	8.4.1	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_8.4.1	NRL-142639	8.4.1	NR1L-RVCHMI-180	PROXI 配備	HDCC27;DT27;637;2261;376	"Rear_View_Camera = 1 (Present);Radio_Display_Type = 7 (12"" 1200x1920)"	overlaying is used only when the UI elements cannot otherwis	—	負向測試 (Negative / Invalid)	P2	｜Test Set: Warning Banners
SWE1-RVC-036	leaf	RVC+PAM	9.2	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_9.2	NRL-142646	9.2	NR1L-RVCHMI-181	PROXI 配備	HDCC27;DT27;637;2261;376	Rear_View_Camera = 1 (Present)	Check Entire Surroundings is shown for 5 seconds then the fa	—	狀態轉換 (State Transition Testing)	P1	互參 A 本 SWE-CAM-025｜Test Set: Warning Banners
SWE1-RVC-037	leaf	RVC+PAM	9.2.1	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_9.2.1	NRL-142647	9.2.1	NR1L-RVCHMI-182	PROXI 配備	HDCC27;DT27;637;2261;376	Rear_View_Camera = 1 (Present)	Camera System Unavailable is displayed for an event that pre	—	負向測試 (Negative / Invalid)	P1	｜Test Set: Warning Banners
SWE1-RVC-038	leaf	RVC+PAM	9.2.2	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_9.2.2	NRL-142648	9.2.2	NR1L-RVCHMI-183	PROXI 配備	HDCC27;DT27;637;2261;376	Rear_View_Camera = 1 (Present)	Camera System Unavailable is displayed for an event that cre	—	負向測試 (Negative / Invalid)	P2	｜Test Set: Warning Banners
SWE1-RVC-039	leaf	RVC+PAM	9.2.3	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_9.2.3	NRL-142649	9.2.3	NR1L-RVCHMI-184	PROXI 配備	HDCC27;DT27;637;2261;376	Rear_View_Camera = 1 (Present)	Camera Out of Position is displayed when the camera is out o	DR-CAM-h	負向測試 (Negative / Invalid)	P1	互參 A 本 SWE-CAM-025｜Test Set: Warning Banners
SWE1-RVC-001	leaf	RVC+PAM	6.2	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_6.2	NRL-142606	6.2	NR1L-RVCHMI-185	PROXI 配備	HDCC27;DT27;637;376	Rear_View_Camera = 1 (Present);CVPAM_Presence = 1 (Present);PAM_Configuration = 0 (Rear)	the PAM content follows the proxy configuration	—	功能測試 (Functional based ; no specific technique)	P1	｜Test Set: PAM Integration
SWE1-RVC-002-01	leaf	RVC+PAM	6.2.1	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_6.2.1	NRL-142607	6.2.1	NR1L-RVCHMI-186	PROXI 配備	HDCC27;DT27;637;376	Rear_View_Camera = 1 (Present);CVPAM_Presence = 1 (Present);PAM_Configuration = 1 (Front And Rear)	the PAM features are not mutually exclusive	—	決策表 (Decision Table Testing)	P1	｜Test Set: PAM Integration
SWE1-RVC-002-02	leaf	RVC+PAM	6.2.1	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_6.2.1	NRL-142607	6.2.1	NR1L-RVCHMI-187	PROXI 配備	HDCC27;DT27;637;376	Rear_View_Camera = 1 (Present);CVPAM_Presence = 1 (Present);PAM_Configuration = 0 (Rear)	adding a PAM functionality adds its visualization logic	—	狀態轉換 (State Transition Testing)	P1	｜Test Set: PAM Integration
SWE1-RVC-003	leaf	RVC+PAM	6.2.2	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_6.2.2	NRL-142608	6.2.2	NR1L-RVCHMI-188	PROXI 配備	HDCC27;DT27;637;376	Rear_View_Camera = 1 (Present);CVPAM_Presence = 1 (Present);PAM_Configuration = 1 (Front And Rear)	the expected PAM feature set is Rear ParkSense Front plus Re	—	決策表 (Decision Table Testing)	P2	｜Test Set: PAM Integration
SWE1-RVC-004	leaf	RVC+PAM	6.3	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_6.3	NRL-142609	6.3	NR1L-RVCHMI-189	PROXI 配備	HDCC27;DT27;637;376	Rear_View_Camera = 1 (Present);CVPAM_Presence = 1 (Present)	the flashing lines use the same flash frequency as the clust	—	功能測試 (Functional based ; no specific technique)	P2	｜Test Set: PAM Integration
SWE1-RVC-005	leaf	RVC+PAM	6.4	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_6.4	NRL-142610	6.4	NR1L-RVCHMI-190	PROXI 配備	HDCC27;DT27;637;376	Rear_View_Camera = 1 (Present);CVPAM_Presence = 1 (Present)	the ParkSense indications on the HU are consistent with thos	—	功能測試 (Functional based ; no specific technique)	P2	｜Test Set: PAM Integration
SWE1-RVC-006	leaf	RVC+PAM	6.5	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_6.5	NRL-142611	6.5	NR1L-RVCHMI-191	PROXI 配備	HDCC27;DT27;637;376	Rear_View_Camera = 1 (Present);CVPAM_Presence = 1 (Present)	the audible PAM indications are driven over CAN and follow t	—	功能測試 (Functional based ; no specific technique)	P2	｜Test Set: PAM Integration
