swe_id	test_set	kind	sys1_book	section	spec_reference	title	verification_point	axis	est_tc	note
SWE1-RVC-001	PAM Integration	leaf	RVC+PAM	6.2	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_6.2	PAM Feature Configuration Driven by Vehicle Proxy	PAM2) PAM feature have multiple configurations and scopes and actual vehicle content should be defined by prox…	none	1	
SWE1-RVC-002	PAM Integration	umbrella	RVC+PAM	6.2.1	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_6.2.1	Non-Exclusive PAM Features with Additive Visualization Logic	—	—	0	UMBRELLA — covered by children
SWE1-RVC-002-01	PAM Integration	leaf	RVC+PAM	6.2.1	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_6.2.1	PAM features are not mutually exclusive	PAM2.1) PAM features are not mutually exclusive and the addition of a new functionality will add the associate…	none	1	
SWE1-RVC-002-02	PAM Integration	leaf	RVC+PAM	6.2.1	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_6.2.1	Adding a new PAM feature adds its visualization logic	PAM2.1) PAM features are not mutually exclusive and the addition of a new functionality will add the associate…	none	1	
SWE1-RVC-003	PAM Integration	leaf	RVC+PAM	6.2.2	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_6.2.2	Supported PAM Feature Set (Rear ParkSense / Front+Rear ParkSense / SDW)	PAM2.2) Are expected PAM features Rear ParkSense, Front+Rear ParkSense and Side Distance Warning.	none	1	
SWE1-RVC-004	PAM Integration	leaf	RVC+PAM	6.3	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_6.3	PAM Flashing Lines Frequency Aligned to IPC	PAM3) Flashing lines should have the same flash frequency as the IPC (refer to VF 179).	none	1	
SWE1-RVC-005	PAM Integration	leaf	RVC+PAM	6.4	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_6.4	ParkSense Indication Consistency between HU and Cluster	PAM4) Parksense indications in HU will be consistent with Parksense indications in Cluster	none	1	
SWE1-RVC-006	PAM Integration	leaf	RVC+PAM	6.5	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_6.5	PAM Audible Indications Provided via CAN per ParkSense Logic	PAM5) Audible indications will follow Parksense logic and flow and will be provided for the Head Unit by the C…	PROXI 配備	1	
SWE1-RVC-007	Activation and Exit	umbrella	RVC+PAM	7.1	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_7.1	Camera Display Priority and Thermal Wake-Up Behavior	—	—	0	UMBRELLA — covered by children
SWE1-RVC-007-01	Activation and Exit	leaf	RVC+PAM	7.1	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_7.1	Camera display has higher priority than any other screen	ATTENTION: Camera display has higher priority than any other screen. In case the head unit display is off due …	none	1	
SWE1-RVC-007-02	Activation and Exit	leaf	RVC+PAM	7.1	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_7.1	Wake head unit from thermal-protection sleep to show camera	ATTENTION: Camera display has higher priority than any other screen. In case the head unit display is off due …	none	1	
SWE1-RVC-008	Activation and Exit	leaf	RVC+PAM	7.2	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_7.2	RVC+PAM Layout Activation Trigger Conditions	RVCPAM1) RVC+PAM layout will appear when:	none	1	互參 A 本 SWE-CAM-015／SWE-CAM-018
SWE1-RVC-008-01	Activation and Exit	leaf	RVC+PAM	7.2	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_7.2	Activate RVC+PAM layout when reverse is engaged	RVCPAM1) RVC+PAM layout will appear when:	none	1	
SWE1-RVC-008-02	Activation and Exit	leaf	RVC+PAM	7.2	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_7.2	Keep RVC+PAM layout active during reverse-to-drive delay condition	RVCPAM1) RVC+PAM layout will appear when:	none	1	
SWE1-RVC-008-03	Activation and Exit	leaf	RVC+PAM	7.2	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_7.2	Display camera feed immediately after shift into reverse	RVCPAM1) RVC+PAM layout will appear when:	none	1	
SWE1-RVC-008-04	Activation and Exit	leaf	RVC+PAM	7.2	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_7.2	Keep camera feed displayed until reverse is exited	RVCPAM1) RVC+PAM layout will appear when:	none	1	
SWE1-RVC-008-05	Activation and Exit	leaf	RVC+PAM	7.2	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_7.2	Allow RVC+PAM layout launch from Controls screen button	RVCPAM1) RVC+PAM layout will appear when:	none	1	
SWE1-RVC-008-06	Activation and Exit	leaf	RVC+PAM	7.2	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_7.2	Allow RVC+PAM layout launch from camera shortcut icon	RVCPAM1) RVC+PAM layout will appear when:	none	1	
SWE1-RVC-015	Activation and Exit	leaf	RVC+PAM	7.3	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_7.3	RVC-Only Layout Activation Trigger Conditions	RVCPAM2) RVC only layout will appear when:	none	1	
SWE1-RVC-016	Activation and Exit	leaf	RVC+PAM	7.3.1	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_7.3.1	Fallback to RVC-Only Layout when PAM Capability Absent	Any of the RVC+PAM conditions are met but the vehicle do no offer any PAM capability;	none	1	只存在於 cache 本（A-CA14／R-CAM6）
SWE1-RVC-017	Activation and Exit	leaf	RVC+PAM	7.3.2	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_7.3.2	"Fallback to RVC-Only Layout on 7"" and 8.4"" Head Units"	Any of the RVC+PAM conditions are met but the Head Unit is 7” or 8.4”;	none	1	只存在於 cache 本（A-CA14／R-CAM6）
SWE1-RVC-018	Activation and Exit	leaf	RVC+PAM	7.3.3	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_7.3.3	Vehicle Controls in RVC-Only Layout for 10.1 Portrait HU	For 10.1 Portrait head units RVC only will also provide all the available vehicle controls as described on the…	none	1	只存在於 cache 本（A-CA14／R-CAM6）
SWE1-RVC-019	Activation and Exit	umbrella	RVC+PAM	7.4	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_7.4	Camera Activation Behavior and View Control (Umbrella)	—	—	0	UMBRELLA — covered by children
SWE1-RVC-019-01	Activation and Exit	leaf	RVC+PAM	7.4	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_7.4	Initial default view on activation	RVCPAM3) When activation occurs, the initial view will be the default view (associated with current gear state…	none	1	
SWE1-RVC-019-02	Activation and Exit	leaf	RVC+PAM	7.4	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_7.4	Image display while under speed threshold	RVCPAM3) When activation occurs, the initial view will be the default view (associated with current gear state…	none	1	
SWE1-RVC-019-03	Activation and Exit	leaf	RVC+PAM	7.4	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_7.4	Soft button greyed when over speed threshold	RVCPAM3) When activation occurs, the initial view will be the default view (associated with current gear state…	none	1	
SWE1-RVC-019-04	Activation and Exit	leaf	RVC+PAM	7.4	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_7.4	Manual button press shows RVC + sensors	RVCPAM3) When activation occurs, the initial view will be the default view (associated with current gear state…	none	1	
SWE1-RVC-020	Activation and Exit	leaf	RVC+PAM	7.5	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_7.5	RVC+PAM Layout Dismissal Trigger Conditions	RVCPAM4) RVC+PAM layout will disappear when (last know Head Unit visualized screen):	none	1	互參 A 本 SWE-CAM-015／SWE-CAM-018
SWE1-RVC-021	Activation and Exit	leaf	RVC+PAM	7.5.1	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_7.5.1	Dismissal When Speed Threshold or RVC Timeout Reached (Drive)	Gear = D and speed threshold is overcome or RVC timeout expired; ○ If the camera is activated above the speed …	none	1	互參 A 本 SWE-CAM-015／SWE-CAM-018
SWE1-RVC-022	Activation and Exit	leaf	RVC+PAM	7.5.2	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_7.5.2	Dismissal When Gear Leaves Reverse and RVC Timeout Expires	Gear != R and RVC timeout expired;	none	1	互參 A 本 SWE-CAM-015／SWE-CAM-018
SWE1-RVC-023	Activation and Exit	umbrella	RVC+PAM	7.5.3	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_7.5.3	Camera Display Behavior After Shifting Out of Reverse (Umbrella)	—	—	0	UMBRELLA — covered by children
SWE1-RVC-023-01	Activation and Exit	leaf	RVC+PAM	7.5.3	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_7.5.3	10-second delay timer after exiting REVERSE	When the vehicle is shifted from REVERSE to PARK or DRIVE/NEUTRAL (AGSM) or ANY OTHER GEAR (manual gearshift);…	none	1	
SWE1-RVC-023-02	Activation and Exit	leaf	RVC+PAM	7.5.3	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_7.5.3	Auto-dismiss at 8 mph speed threshold	When the vehicle is shifted from REVERSE to PARK or DRIVE/NEUTRAL (AGSM) or ANY OTHER GEAR (manual gearshift);…	none	1	
