swe_id	test_set	source_id	anchor	vf_chapter	verification_point	axis	tc_count	note
SWE-CAM-007	LVDS Messaging	SYS-RA-VF551_V42-210	VF551_V42_P637MCA_VF_2271	1.11.1.2		—	0	委派 SWE-CAM-006（R-CAM10）
SWE-CAM-008	LVDS Messaging	SYS-RA-VF551_V2-449	VF551_V2_PHDCC27_VF_1727	1.13.1	—	—	0	covered_by: V2-477 之 TC —— 逐字近同之 `b.` 子句
SWE-CAM-008	LVDS Messaging	SYS-RA-VF551_V2-450	VF551_V2_PHDCC27_VF_1728	1.13.1	DynamicGrid missing or not yet received -> Default	車型 Atl-Hi	1	
SWE-CAM-008	LVDS Messaging	SYS-RA-VF551_V2-451	VF551_V2_PHDCC27_VF_1046	1.13.1	gate IPC_VEHICLE_SETUP.DynamicGrid to gridZoomRequest.DynamicGridRQSts	車型 Atl-Hi	1	
SWE-CAM-008	LVDS Messaging	SYS-RA-VF551_V2-477	VF551_V2_PHDCC27_VF_1666	1.13.1	DynamicGridRQSts is never sent as SNA	車型 Atl-Hi	1	與 V2-449 同一驗證點（negative 永不送 SNA）
SWE-CAM-008	LVDS Messaging	SYS-RA-VF551_V2-478	VF551_V2_PHDCC27_VF_1672	1.13.1	no user change -> Default sent to the RVCM	車型 Atl-Hi	1	
SWE-CAM-008	LVDS Messaging	SYS-RA-VF551_V2-479	VF551_V2_PHDCC27_VF_1673	1.13.1	disable gridlines -> OFF for two LVDS cycles then steady value	車型 Atl-Hi	1	兩週期之觀察需 LVDS 時序，難點 A
SWE-CAM-008	LVDS Messaging	SYS-RA-VF551_V2-480	VF551_V2_PHDCC27_VF_1674	1.13.1	enable gridlines -> ON for two LVDS cycles then steady value	車型 Atl-Hi	1	同上
SWE-CAM-008	LVDS Messaging	SYS-RA-VF551_V2-538	VF551_V2_PHDCC27_VF_1663	1.13.2.2.6		—	0	委派 SWE-CAM-002（R-CAM10）
SWE-CAM-008	LVDS Messaging	SYS-RA-VF551_V2-582	VF551_V2_PHDCC27_VF_1661	1.14.1		—	0	Out of Scope（R-CAM9）
SWE-CAM-008	LVDS Messaging	SYS-RA-VF551_V3-284	VF551_V3_P363_VF_1046	1.10.3.2	gate DynamicGrid a) OFF / b) ON (Atl-Mi)	車型 376	2	78 token，兩分支各摘句
SWE-CAM-008	LVDS Messaging	SYS-RA-VF551_V42-319	VF551_V42_P637MCA_VF_2225	1.11.2.1	internal DynamicGrid.Req = ON -> DynamicGridRQSts = ON	車型 637	1	
SWE-CAM-008	LVDS Messaging	SYS-RA-VF551_V42-320	VF551_V42_P637MCA_VF_2226	1.11.2.1	internal DynamicGrid.Req = OFF -> DynamicGridRQSts = OFF	車型 637	1	
SWE-CAM-009	LVDS Messaging	SYS-RA-VF551_V2-214	VF551_V2_PHDCC27_VF_1591	1.10.2.1		—	0	委派 SWE-CAM-004（R-CAM10）
SWE-CAM-009	LVDS Messaging	SYS-RA-VF551_V2-215	VF551_V2_PHDCC27_VF_927	1.10.2.1		—	0	委派 SWE-CAM-004（R-CAM10）
SWE-CAM-009	LVDS Messaging	SYS-RA-VF551_V2-217	VF551_V2_PHDCC27_VF_1590	1.10.2.1		—	0	委派 SWE-CAM-004（R-CAM10）
SWE-CAM-009	LVDS Messaging	SYS-RA-VF551_V2-218	VF551_V2_PHDCC27_VF_926	1.10.2.1		—	0	委派 SWE-CAM-004（R-CAM10）
SWE-CAM-009	LVDS Messaging	SYS-RA-VF551_V2-220	VF551_V2_PHDCC27_VF_1589	1.10.2.1		—	0	委派 SWE-CAM-004（R-CAM10）
SWE-CAM-009	LVDS Messaging	SYS-RA-VF551_V2-221	VF551_V2_PHDCC27_VF_123	1.10.2.1		—	0	委派 SWE-CAM-004（R-CAM10）
SWE-CAM-009	LVDS Messaging	SYS-RA-VF551_V2-485	VF551_V2_PHDCC27_VF_595	1.13.2	above c_VEHSPD_MAX: the listed LVDS behaviour per view	車型 Atl-Hi	1	47 token
SWE-CAM-009	LVDS Messaging	SYS-RA-VF551_V2-486	VF551_V2_PHDCC27_VF_750	1.13.2	below c_VEHSPD_MAX: the listed LVDS behaviour per view	車型 Atl-Hi	1	**80 token，須摘句**
SWE-CAM-009	LVDS Messaging	SYS-RA-VF551_V2-539	VF551_V2_PHDCC27_VF_1662	1.14		—	0	委派 SWE-CAM-006（R-CAM10）
SWE-CAM-009	LVDS Messaging	SYS-RA-VF551_V2-569	VF551_V2_PHDCC27_VF_1748	1.14.1		—	0	Out of Scope（R-CAM9）
SWE-CAM-009	LVDS Messaging	SYS-RA-VF551_V2-570	VF551_V2_PHDCC27_VF_1749	1.14.1		—	0	Out of Scope（R-CAM9）
