swe_id	source_id	anchor	vf_chapter	verification_point	axis	tc_count	note
SWE-CAM-021	SYS-RA-VF551_V2-500	VF551_V2_PHDCC27_VF_1759	1.13.2.1.4	image not interrupted in Audio Mode ON	—	1	NR1L-RVC-215
SWE-CAM-021	SYS-RA-VF551_V2-503	VF551_V2_PHDCC27_VF_1761	1.13.2.1.5	display updates processed after exiting	—	1	NR1L-RVC-221
SWE-CAM-021	SYS-RA-VF551_V2-504	VF551_V2_PHDCC27_VF_1760	1.13.2.1.5	image not interrupted in Audio Mode ON	—	1	NR1L-RVC-216
SWE-CAM-021	SYS-RA-VF551_V2-505	VF551_V2_PHDCC27_VF_1682	1.13.2.1.6	Audio Mode OFF behaviour	—	1	NR1L-RVC-220
SWE-CAM-021	SYS-RA-VF551_V2-506	VF551_V2_PHDCC27_VF_1764	1.13.2.1.6	image not interrupted in Audio Mode OFF	—	1	NR1L-RVC-217
SWE-CAM-021	SYS-RA-VF551_V2-510	VF551_V2_PHDCC27_VF_1752	1.13.2.1.7	display updates processed after exiting (second section)	—	1	NR1L-RVC-222
SWE-CAM-021	SYS-RA-VF551_V2-511	VF551_V2_PHDCC27_VF_1751	1.13.2.1.8	image not interrupted while features run	—	1	NR1L-RVC-218
SWE-CAM-021	SYS-RA-VF551_V2-512	VF551_V2_PHDCC27_VF_1684	1.13.2.1.8	Audio Mode ON behaviour	—	1	NR1L-RVC-219
SWE-CAM-021	SYS-RA-VF551_V2-523	VF551_V2_PHDCC27_VF_1725	1.13.2.2.1	—	—	0	委派 SWE-CAM-003（R-CAM10）
SWE-CAM-021	SYS-RA-VF551_V2-529	VF551_V2_PHDCC27_VF_1572	1.13.2.2.3	warning text removed when the display lasted under 5 s	—	1	NR1L-RVC-223
SWE-CAM-021	SYS-RA-VF551_V3-255	VF551_V3_P363_VF_520	1.10.2.1	no blanking or flicker (Atl-Mi)	—	1	NR1L-RVC-224
SWE-CAM-021	SYS-RA-VF551_V4-118	VF551_V4_PHDCC27_VF_1572	—	—	—	0	covered_by: NR1L-RVC-223（V2-529 逐字同句）
SWE-CAM-021	SYS-RA-VF551_V4-122	VF551_V4_PHDCC27_VF_1725	—	display does not flicker (analog)	—	1	NR1L-RVC-225
SWE-CAM-021	SYS-RA-VF551_V4-132	VF551_V4_PHDCC27_VF_1751	—	—	—	0	covered_by: NR1L-RVC-218（V2-511 逐字同句）
SWE-CAM-021	SYS-RA-VF551_V4-137	VF551_V4_PHDCC27_VF_1764	—	—	—	0	covered_by: NR1L-RVC-217（V2-506 逐字同句）
SWE-CAM-021	SYS-RA-VF551_V4-139	VF551_V4_PHDCC27_VF_1760	—	—	—	0	covered_by: NR1L-RVC-216（V2-504 逐字同句）
SWE-CAM-021	SYS-RA-VF551_V4-143	VF551_V4_PHDCC27_VF_1759	—	—	—	0	covered_by: NR1L-RVC-215（V2-500 逐字同句）
SWE-CAM-021	SYS-RA-VF617_V5-185	—	—	—	—	0	查無（DR-CAM-a）
SWE-CAM-021	SYS-RA-VF617_V5-190	—	—	—	—	0	查無（DR-CAM-a）
SWE-CAM-021	SYS-RA-VF617_V5-191	—	—	—	—	0	查無（DR-CAM-a）
SWE-CAM-021	SYS-RA-VF617_V5-263	—	—	—	—	0	查無（DR-CAM-a）
SWE-CAM-022	SYS-RA-VF551_V2-491	VF551_V2_PHDCC27_VF_1578	1.13.2.1.1	—	—	0	委派 SWE-CAM-003（R-CAM10）
SWE-CAM-022	SYS-RA-VF551_V2-501	VF551_V2_PHDCC27_VF_1758	1.13.2.1.4	—	—	0	委派 SWE-CAM-003（R-CAM10）
SWE-CAM-022	SYS-RA-VF551_V2-503	VF551_V2_PHDCC27_VF_1761	1.13.2.1.5	—	—	0	委派 SWE-CAM-021（R-CAM10）
SWE-CAM-022	SYS-RA-VF551_V2-507	VF551_V2_PHDCC27_VF_1762	1.13.2.1.6	—	—	0	委派 SWE-CAM-003（R-CAM10）
SWE-CAM-022	SYS-RA-VF551_V2-509	VF551_V2_PHDCC27_VF_1753	1.13.2.1.7	—	—	0	委派 SWE-CAM-003（R-CAM10）
SWE-CAM-022	SYS-RA-VF551_V2-510	VF551_V2_PHDCC27_VF_1752	1.13.2.1.7	—	—	0	委派 SWE-CAM-021（R-CAM10）
SWE-CAM-022	SYS-RA-VF551_V2-524	VF551_V2_PHDCC27_VF_520	1.13.2.2.2	—	—	0	委派 SWE-CAM-003（R-CAM10）
SWE-CAM-022	SYS-RA-VF551_V4-121	VF551_V4_PHDCC27_VF_520	—	display does not go blank (analog)	—	1	NR1L-RVC-226
SWE-CAM-022	SYS-RA-VF551_V4-133	VF551_V4_PHDCC27_VF_1752	—	display updates processed after exiting (analog)	—	1	NR1L-RVC-227
SWE-CAM-022	SYS-RA-VF551_V4-134	VF551_V4_PHDCC27_VF_1753	—	display reflects the changes after exiting (analog)	—	1	NR1L-RVC-229
SWE-CAM-022	SYS-RA-VF551_V4-136	VF551_V4_PHDCC27_VF_1762	—	rear camera image displayed (analog, second section)	—	1	NR1L-RVC-231
SWE-CAM-022	SYS-RA-VF551_V4-140	VF551_V4_PHDCC27_VF_1761	—	display updates processed once exited (analog)	—	1	NR1L-RVC-228
SWE-CAM-022	SYS-RA-VF551_V4-142	VF551_V4_PHDCC27_VF_1758	—	rear camera image displayed (analog)	—	1	NR1L-RVC-232
SWE-CAM-022	SYS-RA-VF551_V4-152	VF551_V4_PHDCC27_VF_1578	—	back to non-camera on any exit condition (analog)	—	1	NR1L-RVC-230
SWE-CAM-023	SYS-RA-VF551_V2-478	VF551_V2_PHDCC27_VF_1672	1.13.1	—	—	0	委派 SWE-CAM-008（R-CAM10）
SWE-CAM-023	SYS-RA-VF551_V2-479	VF551_V2_PHDCC27_VF_1673	1.13.1	—	—	0	委派 SWE-CAM-008（R-CAM10）
SWE-CAM-023	SYS-RA-VF551_V2-480	VF551_V2_PHDCC27_VF_1674	1.13.1	—	—	0	委派 SWE-CAM-008（R-CAM10）
SWE-CAM-023	SYS-RA-VF551_V2-526	VF551_V2_PHDCC27_VF_523	1.13.2.2.2	warning text follows the language setting	—	1	NR1L-RVC-233
SWE-CAM-023	SYS-RA-VF551_V2-527	VF551_V2_PHDCC27_VF_1708	1.13.2.2.3	warning text font and size	—	1	NR1L-RVC-235
SWE-CAM-023	SYS-RA-VF551_V2-528	VF551_V2_PHDCC27_VF_505	1.13.2.2.3	—	—	0	委派 SWE-CAM-001（R-CAM10）
SWE-CAM-023	SYS-RA-VF551_V2-529	VF551_V2_PHDCC27_VF_1572	1.13.2.2.3	—	—	0	委派 SWE-CAM-021（R-CAM10）
SWE-CAM-023	SYS-RA-VF551_V2-530	VF551_V2_PHDCC27_VF_1573	1.13.2.2.4	warning text font and size	—	1	NR1L-RVC-236
SWE-CAM-023	SYS-RA-VF551_V2-531	VF551_V2_PHDCC27_VF_507	1.13.2.2.4	—	—	0	委派 SWE-CAM-001（R-CAM10）
SWE-CAM-023	SYS-RA-VF551_V2-532	VF551_V2_PHDCC27_VF_534	1.13.2.2.4	—	—	0	委派 SWE-CAM-016（R-CAM10）
SWE-CAM-023	SYS-RA-VF551_V2-533	VF551_V2_PHDCC27_VF_1442	1.13.2.2.5	—	—	0	委派 SWE-CAM-015（R-CAM10）
SWE-CAM-023	SYS-RA-VF551_V2-540	VF551_V2_PHDCC27_VF_1707	1.14.1	zoom request stays Not Pressed when Zoom Out is not pressed	—	1	NR1L-RVC-237
SWE-CAM-023	SYS-RA-VF551_V2-541	VF551_V2_PHDCC27_VF_1706	1.14.1	—	—	0	委派 SWE-CAM-016（R-CAM10）
SWE-CAM-023	SYS-RA-VF551_V2-542	VF551_V2_PHDCC27_VF_1705	1.14.1	zoom request stays Not Pressed when Zoom In is not pressed	—	1	NR1L-RVC-238
SWE-CAM-023	SYS-RA-VF551_V2-543	VF551_V2_PHDCC27_VF_533	1.14.1	—	—	0	委派 SWE-CAM-016（R-CAM10）
SWE-CAM-023	SYS-RA-VF551_V2-569	VF551_V2_PHDCC27_VF_1748	1.14.1	—	—	0	Out of Scope（R-CAM9）
SWE-CAM-023	SYS-RA-VF551_V2-570	VF551_V2_PHDCC27_VF_1749	1.14.1	—	—	0	Out of Scope（R-CAM9）
SWE-CAM-023	SYS-RA-VF551_V2-571	VF551_V2_PHDCC27_VF_1747	1.14.1	—	—	0	Out of Scope（R-CAM9）
SWE-CAM-023	SYS-RA-VF551_V2-578	VF551_V2_PHDCC27_VF_356	1.14.1	—	—	0	Out of Scope（R-CAM9）
SWE-CAM-023	SYS-RA-VF551_V2-580	VF551_V2_PHDCC27_VF_89	1.14.1	—	—	0	Out of Scope（R-CAM9）
SWE-CAM-023	SYS-RA-VF551_V2-582	VF551_V2_PHDCC27_VF_1661	1.14.1	—	—	0	Out of Scope（R-CAM9）
SWE-CAM-023	SYS-RA-VF551_V2-583	VF551_V2_PHDCC27_VF_1660	1.14.1	—	—	0	Out of Scope（R-CAM9）
SWE-CAM-023	SYS-RA-VF551_V3-185	VF551_V3_P363_VF_89	1.10.1.1	—	—	0	Out of Scope（R-CAM9）
SWE-CAM-023	SYS-RA-VF551_V3-194	VF551_V3_P363_VF_426	1.10.1.5	—	—	0	Out of Scope（R-CAM9）
SWE-CAM-023	SYS-RA-VF551_V3-195	VF551_V3_P363_VF_425	1.10.1.5	—	—	0	Out of Scope（R-CAM9）
SWE-CAM-023	SYS-RA-VF551_V3-196	VF551_V3_P363_VF_424	1.10.1.5	—	—	0	Out of Scope（R-CAM9）
SWE-CAM-023	SYS-RA-VF551_V3-253	VF551_V3_P363_VF_523	1.10.2.1	warning text follows the language setting	—	1	NR1L-RVC-234
SWE-CAM-023	SYS-RA-VF551_V42-230	VF551_V42_P637MCA_VF_2197	1.11.1.2.0.2.1	—	—	0	委派 SWE-CAM-001（R-CAM10）
SWE-CAM-023	SYS-RA-VF551_V42-231	VF551_V42_P637MCA_VF_2201	1.11.1.2.0.2.1	warning text removed before T_INITDISPLAY (non-MTX)	—	1	NR1L-RVC-239
SWE-CAM-023	SYS-RA-VF551_V42-232	VF551_V42_P637MCA_VF_2296	1.11.1.2.0.2.1	warning text removed before T_INITDISPLAY (MTX)	—	1	NR1L-RVC-240
SWE-CAM-023	SYS-RA-VF551_V42-258	VF551_V42_P637MCA_VF_2362	1.11.1.2.0.3.1	—	—	0	委派 SWE-CAM-001（R-CAM10）
SWE-CAM-023	SYS-RA-VF551_V42-299	VF551_V42_P637MCA_VF_2394	1.11.1.2.0.5	—	—	0	委派 SWE-CAM-016（R-CAM10）
SWE-CAM-023	SYS-RA-VF617_V5-088	—	—	—	—	0	查無（DR-CAM-a）
SWE-CAM-023	SYS-RA-VF617_V5-091	—	—	—	—	0	查無（DR-CAM-a）
SWE-CAM-023	SYS-RA-VF617_V5-188	—	—	—	—	0	查無（DR-CAM-a）
SWE-CAM-023	SYS-RA-VF617_V5-196	—	—	—	—	0	查無（DR-CAM-a）
SWE-CAM-023	SYS-RA-VF617_V5-212	—	—	—	—	0	查無（DR-CAM-a）
SWE-CAM-023	SYS-RA-VF617_V5-213	—	—	—	—	0	查無（DR-CAM-a）
SWE-CAM-023	SYS-RA-VF617_V5-214	—	—	—	—	0	查無（DR-CAM-a）
SWE-CAM-023	SYS-RA-VF617_V5-215	—	—	—	—	0	查無（DR-CAM-a）
SWE-CAM-023	SYS-RA-VF617_V5-216	—	—	—	—	0	查無（DR-CAM-a）
SWE-CAM-023	SYS-RA-VF617_V5-217	—	—	—	—	0	查無（DR-CAM-a）
SWE-CAM-023	SYS-RA-VF617_V5-223	—	—	—	—	0	查無（DR-CAM-a）
SWE-CAM-023	SYS-RA-VF617_V5-238	—	—	—	—	0	查無（DR-CAM-a）
SWE-CAM-023	SYS-RA-VF617_V5-239	—	—	—	—	0	查無（DR-CAM-a）
SWE-CAM-023	SYS-RA-VF617_V5-240	—	—	—	—	0	查無（DR-CAM-a）
SWE-CAM-023	SYS-RA-VF617_V5-241	—	—	—	—	0	查無（DR-CAM-a）
SWE-CAM-023	SYS-RA-VF617_V5-242	—	—	—	—	0	查無（DR-CAM-a）
SWE-CAM-023	SYS-RA-VF617_V5-243	—	—	—	—	0	查無（DR-CAM-a）
