swe_id	kind	test_set	section	disposition	batch	tc_id
SWE1-RVC-007	umbrella	Activation and Exit	7.1	UMBRELLA — covered by children	b01a	—
SWE1-RVC-007-01	leaf	Activation and Exit	7.1	PRODUCED	b01a	NR1L-RVCHMI-015
SWE1-RVC-007-02	leaf	Activation and Exit	7.1	PRODUCED	b01a	NR1L-RVCHMI-016
SWE1-RVC-008	leaf	Activation and Exit	7.2	PRODUCED	b01a	NR1L-RVCHMI-017
SWE1-RVC-008-01	leaf	Activation and Exit	7.2	PRODUCED	b01a	NR1L-RVCHMI-018
SWE1-RVC-008-02	leaf	Activation and Exit	7.2	PRODUCED	b01a	NR1L-RVCHMI-019
SWE1-RVC-008-03	leaf	Activation and Exit	7.2	PRODUCED	b01a	NR1L-RVCHMI-020
SWE1-RVC-008-04	leaf	Activation and Exit	7.2	PRODUCED	b01a	NR1L-RVCHMI-021
SWE1-RVC-008-05	leaf	Activation and Exit	7.2	PRODUCED	b01a	NR1L-RVCHMI-022
SWE1-RVC-041	leaf	Activation and Exit	6.1.2	PRODUCED	b01a	NR1L-RVCHMI-001
SWE1-RVC-042	leaf	Activation and Exit	6.1.3	PRODUCED	b01a	NR1L-RVCHMI-002
SWE1-RVC-043	leaf	Activation and Exit	6.1.5	PRODUCED	b01a	NR1L-RVCHMI-003
SWE1-RVC-044	leaf	Activation and Exit	6.1.6	PRODUCED	b01a	NR1L-RVCHMI-004
SWE1-RVC-048	umbrella	Activation and Exit	6.5.1	UMBRELLA — covered by children	b01a	—
SWE1-RVC-048-01	leaf	Activation and Exit	6.5.1	PRODUCED	b01a	NR1L-RVCHMI-005
SWE1-RVC-048-02	leaf	Activation and Exit	6.5.1	PRODUCED	b01a	NR1L-RVCHMI-006
SWE1-RVC-048-03	leaf	Activation and Exit	6.5.1	PRODUCED	b01a	NR1L-RVCHMI-007
SWE1-RVC-049	leaf	Activation and Exit	6.5.2	PRODUCED	b01a	NR1L-RVCHMI-008
SWE1-RVC-050	leaf	Activation and Exit	6.5.3	PRODUCED	b01a	NR1L-RVCHMI-009
SWE1-RVC-051	umbrella	Activation and Exit	6.7.1	UMBRELLA — covered by children	b01a	—
SWE1-RVC-051-01	leaf	Activation and Exit	6.7.1	PRODUCED	b01a	NR1L-RVCHMI-010
SWE1-RVC-051-02	leaf	Activation and Exit	6.7.1	PRODUCED	b01a	NR1L-RVCHMI-011
SWE1-RVC-051-03	leaf	Activation and Exit	6.7.1	PRODUCED	b01a	NR1L-RVCHMI-012
SWE1-RVC-051-04	leaf	Activation and Exit	6.7.1	PRODUCED	b01a	NR1L-RVCHMI-013
SWE1-RVC-052	leaf	Activation and Exit	6.10.1	PRODUCED	b01a	NR1L-RVCHMI-014
