swe_id	source_requirement_id	book	vf_chapter	chapter_source	ee	category	source_description
SWE-CAM-001	SYS-RA-CAM-062	CFTS092		—	All	Functional Requirement	By default the camera shall be off until it is activated by the softkey or the conditions defined in the VF.
SWE-CAM-001	SYS-RA-CAM-075	CFTS092		—	All	Functional Requirement	By default the camera shall be off until it is activated by the softkey or the conditions defined in the VF.
SWE-CAM-001	SYS-RA-CAM-082	CFTS092		—	All	Functional Requirement	When the user presses the X on the top right corner of the HU screen, the HU shall receive the internal signal RVC IMAGE
SWE-CAM-001	SYS-RA-CAM-088	CFTS092		—	All	Functional Requirement	The default setting for the Surround View camera shall be OFF.
SWE-CAM-001	SYS-RA-VF551_V2-528	VF551_V2	1.13.2.2.3	I欄	ATL-Hi	Functional Requirement	"· The Head Unit shall implement the warning text overlay that displays the text, ""Camera Not in Position"" for five secon"
SWE-CAM-001	SYS-RA-VF551_V2-531	VF551_V2	1.13.2.2.4	I欄	ATL-Hi	Functional Requirement	· When Head Unit transitions from non camera display to camera display, the Head Unit shall implement the warning text o
SWE-CAM-001	SYS-RA-VF551_V3-251	VF551_V3	1.10.2.1	I欄	ATL-Mi	Functional requirement	"· The Head Unit shall implement a warning text overlay that displays the text, ""Check Entire Surroundings"" for five seco"
SWE-CAM-001	SYS-RA-VF551_V3-252	VF551_V3	1.10.2.1	I欄	ATL-Mi	Functional requirement	"· The Head Unit shall implement a warning text overlay that displays the text, ""Camera Not in Position"" for five seconds"
SWE-CAM-001	SYS-RA-VF551_V33-213	VF551_V33	1.11.1.2	I欄		Functional requirement	"When LTM_OperationalModeSts.Info ==(equal)""Ignition_On"" AND the PROXI parameter Rear_View_Camera==(equal)""Present"", LTM"
SWE-CAM-001	SYS-RA-VF551_V33-214	VF551_V33	1.11.1.2	I欄		Functional requirement	"Consider Rear_Camera_Enable.Info=""FALSE"" as the init default value."
SWE-CAM-001	SYS-RA-VF551_V33-215	VF551_V33	1.11.1.2	I欄		Functional requirement	Consider RVC_ACTIVE=False as an init deafult value (this variable must be consider internal at this functionality).
SWE-CAM-001	SYS-RA-VF551_V33-216	VF551_V33	1.11.1.2	I欄		Functional requirement	"When LTM_OperationalModeSts.Info ==(equal)""Ignition_On"", LTM starts to read the Rear_Camera_DelayOff.Req , Rear_Camera_G"
SWE-CAM-001	SYS-RA-VF551_V33-217	VF551_V33	1.11.1.2	I欄		Functional requirement	"The LTM considers Rear_Camera_DelayOff.Req =(equal)""Off"", Rear_Camera_Grid_Lines_Off.Req=(equal)""On"" as a init default"
SWE-CAM-001	SYS-RA-VF551_V33-219	VF551_V33	1.11.1.2	I欄		Functional requirement	"At next ""Ignition_On"" the LTM must keep the previously stored values for Rear_Camera_DelayOff.Req, Rear_Camera_Grid_Line"
SWE-CAM-001	SYS-RA-VF551_V33-220	VF551_V33	1.11.1.2	I欄		Functional requirement	"When LTM_OperationalModeSts.Info pass into ""Ignition_Pre_Off: LTM stops to read the Rear_Camera.Data it stops to copy"
SWE-CAM-001	SYS-RA-VF551_V33-221	VF551_V33	1.11.1.2	I欄		Functional requirement	"IF (LTM_OperationalModeSts.Info ==(equal)""Ignition_On"" OR LTM_OperationalModeSts.Info ==(equal)""Ignition_Engine_On"") AND"
SWE-CAM-001	SYS-RA-VF551_V33-223	VF551_V33	1.11.1.2	I欄		Functional requirement	"IF (LTM_OperationalModeSts.Info ==(equal)""Ignition_On"" OR LTM_OperationalModeSts.Info ==(equal)""Ignition_Engine_On"") AND"
SWE-CAM-001	SYS-RA-VF551_V33-226	VF551_V33	1.11.1.2	I欄		Functional requirement	"when the value of the STATUS_BH_BCM.RHatchSts =(equal)""Open"", LTM overlaps the related message on the RVC images (""Came"
SWE-CAM-001	SYS-RA-VF551_V33-228	VF551_V33	1.11.1.2	I欄		Functional requirement	"when the value of the BED_EXTENDER.BedExtenderSts =(equal) ""Not_Active"" AND BED_EXTENDER.IncompleteBedExtenderSts =(equ"
SWE-CAM-001	SYS-RA-VF551_V33-233	VF551_V33	1.11.1.2.1	I欄		Functional requirement	"LTM overlaps the related message on the RVC images ( ""Check surroundings for safety"" see LTM HMI specification document)"
SWE-CAM-001	SYS-RA-VF551_V33-420	VF551_V33	1.13.2.1.1	I欄		Functional requirement	"During the transition LTM_OperationalModeSts.Info==""Ignition_Pre_Off"", LTM stores DTC and Rear_Camera_Enable.Req Rear_Ca"
SWE-CAM-001	SYS-RA-VF551_V33-426	VF551_V33	1.13.2.1.3	I欄		Functional requirement	"If the Rear_Camera_Enable.Info=""TRUE"" then LTM displays the Rear_Camera.Data on Rear_Camera_Repetition.Data for T_INI"
SWE-CAM-001	SYS-RA-VF551_V4-116	VF551_V4	1.10.2.1	D欄推導		Functional Requirement	· When Head Unit transitions from non camera display to camera display, the Head Unit shall implement the warning text o
SWE-CAM-001	SYS-RA-VF551_V42-217	VF551_V42	1.11.1.2	I欄	ATL-Mi	Functional Requirement	"When the signal LTM_OperationalModeSts.Info switches from ""Ignition_Off"" or ""Initialization"" to ""Ignition ON"" or ""Igniti"
SWE-CAM-001	SYS-RA-VF551_V42-221	VF551_V42	1.11.1.2.0.1	I欄	ATL-Mi	Functional Requirement	"The user can select Rear_Camera_DelayOff.Req value equal to ""ON"" or ""OFF""."
SWE-CAM-001	SYS-RA-VF551_V42-223	VF551_V42	1.11.1.2.0.1	I欄	ATL-Mi	Functional Requirement	"The user can select RVC_Swing_Doors_Check.Req value equal to ""ON"" or ""OFF""."
SWE-CAM-001	SYS-RA-VF551_V42-230	VF551_V42	1.11.1.2.0.2.1	I欄	ATL-Mi	Functional Requirement	"implement a warning text overlay that displays the text ""Check Entire Surroundings"" for a time equal to T_INITDISPLAY si"
SWE-CAM-001	SYS-RA-VF551_V42-258	VF551_V42	1.11.1.2.0.3.1	I欄	ATL-Mi	Functional Requirement	"implement a warning text overlay that displays the text ""Check Entire Surroundings"" for a time equal to T_INITDISPLAY si"
