# CAM-24 §3　A 本 245 列之 PENDING ↔ DR 對照（母體：features/camera/generated 十一目錄）
# 『§7.5 佔位』＝ `Send CAN: X = PENDING (label)` 之賦值佔位，其 DR 號記於次一子項，不另計列
dr_id	tc_count	occurrences	status	tc_ids
DR-CAM-a	0	0	未結，SWE-CAM-024 BLOCKED（無 TC 列）	—
DR-CAM-b	0	0	未結，A 本無 PENDING 列	—
DR-CAM-c	0	0	未結，A 本無 PENDING 列	—
DR-CAM-d	0	0	未結，A 本無 PENDING 列	—
DR-CAM-e	0	0	未結，A 本無 PENDING 列	—
DR-CAM-f	9	15	未結，阻 A 本交付	NR1L-RVC-032;NR1L-RVC-033;NR1L-RVC-052;NR1L-RVC-109;NR1L-RVC-110;NR1L-RVC-152;NR1L-RVC-153;NR1L-RVC-201;NR1L-RVC-205
DR-CAM-g	5	10	未結，阻 A 本交付	NR1L-RVC-034;NR1L-RVC-035;NR1L-RVC-036;NR1L-RVC-039;NR1L-RVC-046
DR-CAM-h	0	0	未結，A 本無 PENDING 列	—
DR-CAM-i	4	4	未結，阻 A 本交付	NR1L-RVC-002;NR1L-RVC-064;NR1L-RVC-108;NR1L-RVC-204
DR-CAM-j	7	7	未結，阻 A 本交付	NR1L-RVC-038;NR1L-RVC-040;NR1L-RVC-043;NR1L-RVC-045;NR1L-RVC-093;NR1L-RVC-096;NR1L-RVC-097
DR-CAM-k	1	1	未結，阻 A 本交付	NR1L-RVC-107
DR-CAM-l	0	0	未結，A 本無 PENDING 列	—
DR-CAM-m	1	1	未結，阻 A 本交付	NR1L-RVC-092
DR-CAM-n	0	0	未結，A 本無 PENDING 列	—
DR-CAM-o	0	0	未結，A 本無 PENDING 列	—
DR-CAM-p	2	2	未結，阻 A 本交付	NR1L-RVC-122;NR1L-RVC-123
DR-CAM-q	14	14	未結，阻 A 本交付	NR1L-RVC-179;NR1L-RVC-181;NR1L-RVC-183;NR1L-RVC-186;NR1L-RVC-187;NR1L-RVC-188;NR1L-RVC-189;NR1L-RVC-190;NR1L-RVC-192;NR1L-RVC-194;NR1L-RVC-195;NR1L-RVC-197;NR1L-RVC-199;NR1L-RVC-211
DR-CAM-r	0	0	未結，A 本無 PENDING 列	—
DR-CAM-s	0	0	未結，A 本無 PENDING 列	—
§7.5-placeholder	—	6	形制（非獨立未結項）	—
TOTAL	43	54	245 列中 43 列含 PENDING	—
