# CAM-29 §2　RD 對帳 PARTIAL 中「含來源所載之點」53 列（64 點）之全案 465 列重判（不限同錨；含 B 本）
# verdict：COVERED-BY／TRUE-GAP（須於 SYS2 Description 逐字定位，evidence 為該片段）／NOT-IN-SOURCE（重判時定位不到 → RD 自加）；`internal-only`＝只涉內部訊號
sys_ra_id	point_no	missing_point	verdict	tc_ids	evidence	test_set_candidate	axis|est_tc
SYS-RA-CAM-067	1	button size and visual style shall follow the definition of HMI document	TRUE-GAP	—	source: "The softkey button shall perform similar to the other buttons within the same touch screen (i.e. press time to actuation, color change when pressed, size of button)." - RVC-035 checks only colour change ("changes colour while it is pressed, in the same way as the other buttons"); button size not checked by any TC; "HMI document" wording is RD-added	Additional Cameras	none|1
SYS-RA-CAM-068	1	the internal signal CHMC_IMAGE_ON shall be generated or received by the HU	TRUE-GAP	—	internal-only; source: "the HU shall receive the internal signal CHMC IMAGE ON" - RVC-036 checks only the cargo image, no TC checks the internal signal	Additional Cameras	none|1
SYS-RA-CAM-069	1	the HU shall generate and receive the internal signal CHMC IMAGE OFF	TRUE-GAP	—	internal-only; source: "the HU shall receive the internal signal CHMC IMAGE OFF" (source says receive only; "generate" is RD-added) - RVC-095 checks only that the cargo image closes	Additional Cameras	none|1
SYS-RA-CAM-073	1	The soft button shall not be selectable when $PowerMode$ = [OFF], [ACC], or any other state	TRUE-GAP	—	source: "The Rear View Camera soft button shall be selectable only when the signal $PowerMode$ = [IGN_RUN]." - ACC covered by NR1L-RVC-024 ("Send CAN: BCM_FD_10.CmdIgnSts = 3 (ACC) ... cannot be selected") and NR1L-RVC-106; OFF / other states not tested	Display Arbitration	none|1
SYS-RA-CAM-074	1	When $PowerMode changes from [IGN_RUN] to any other state (e.g., ACC, OFF) (only ACC is tested; OFF not verified)	TRUE-GAP	—	source: "When the signal $PowerMode$ <> [IGN_RUN], the HU shall follow the HMI Logic & Flow to update the state of the Rear View Camera soft button." - only ACC tested (RVC-024, RVC-106); OFF / other states not tested (can share the TC with CAM-073)	Display Arbitration	none|1
SYS-RA-CAM-077	1	The Rear Camera image shall remain continuously displayed on the head unit screen once activated.	COVERED-BY	NR1L-RVCHMI-029;NR1L-RVC-026	RVCHMI-029 (Manual Display Mode, 205): "The RVC+PAM layout remains displayed"; RVC-026 (Manual, 206): "The rear view camera image is still displayed" (snapshot reads, no long hold)	—	—
SYS-RA-CAM-077	2	The image shall not disappear automatically unless the driver performs a softkey press to disable it.	TRUE-GAP	—	source: "Rear Camera display image shall remain displayed until driver presses the softkey to disable it." - no TC holds Manual Display Mode below 8 mph beyond 10 s and checks the image does not close by itself; RVC-028 only checks the softkey close	Display Arbitration	none|1
SYS-RA-CAM-078	1	The camera image shall not disappear until both of the following conditions are satisfied: Display timer exceeds 10 seconds, and Vehicle speed exceeds 8 mph (no TC holds speed > 8 mph and checks the image stays until the 10 s timer expires; RVC-009 expects closing within 10 s, RVC-007/008 expect closing after 10 s below 8 mph)	COVERED-BY	NR1L-RVCHMI-033;NR1L-RVC-026	RVCHMI-033 (206 = above threshold, manual press): "The RVC+PAM layout is displayed although the speed is above the threshold" ... "Wait 10 seconds from the recorded timestamp without changing the gear or the speed" -> "no longer displayed"; RVC-026: 206 "The rear view camera image is still displayed" (no intermediate read just before 10 s)	—	—
SYS-RA-CAM-082	1	the system shall generate and receive the internal signal RVC IMAGE OFF	TRUE-GAP	—	internal-only; source: "the HU shall receive the internal signal RVC IMAGE OFF" (source says receive; "generate" is RD-added) - RVC-047 checks only that the image closes	Display Arbitration	none|1
SYS-RA-CAM-085	1	No unintended or repeated signal transmission shall occur unless another keypress event is detected.	NOT-IN-SOURCE	—	RD-added: source only states "send an on-change $SVC_SoftBtn_Rq$ = [Pressed] within <Tsend> of keypress"; no statement about unintended/repeated transmission	—	—
SYS-RA-CAM-087	1	When a new keypress occurs, the signal state changes accordingly (e.g., to [Pressed] or another defined state).	COVERED-BY	NR1L-RVC-038	RVC-038: "Press the virtual Surround View Camera button" -> "PENDING: DR-CAM-j an on-change SVC_SoftBtn_Rq = Pressed is sent within Tsend of the keypress" (ER pending DR-CAM-j)	—	—
SYS-RA-CAM-088	1	When the system (HU) is powered ON or rebooted, the Surround View camera shall remain OFF by default.	NOT-IN-SOURCE	—	RD-added: source only states "The default setting for the Surround View camera shall be OFF." (no power-on/reboot condition); default OFF itself covered by NR1L-RVC-048 "The Surround View camera setting is off" after factory reset	—	—
SYS-RA-CAM-090	1	The video display and signal transmission shall occur within the specified timing window (<Tsend>)	COVERED-BY	NR1L-RVC-040	RVC-040: "PENDING: DR-CAM-j the SVC_DisplaySts = SVC image displayed signal is sent to the CVPM within Tsend of the keypress" (ER pending DR-CAM-j; display latency itself not timed)	—	—
SYS-RA-CAM-090	2	If the vehicle speed is ≥ 8 mph, pressing the SVC button shall not activate the display	NOT-IN-SOURCE	—	RD-added: source only defines the $Speedometer$ < [8 MPH] case; >= 8 mph behaviour is in CAM-092 (grey-out, RVC-041)	—	—
SYS-RA-CAM-092	1	The grey-out action shall be completed within <Tdisplay> (defined display update time).	TRUE-GAP	—	source: "the HU shall grey-out the Surround View Camera soft button, as specified by HMI, within <Tdisplay>" - RVC-041 checks grey-out only ("The Surround View Camera soft button is greyed out"), no Tdisplay timing	Additional Cameras	boundary|1
SYS-RA-CAM-093	1	The Surround View Camera display status remains unchanged within the specified time <Tdisplay>.	COVERED-BY	NR1L-RVC-042	RVC-042: "Send CAN: BRAKE_FD_2.VehicleSpeedVSOSig = 8191 (SNA)" -> "The Surround View Camera soft button is still shown in the available state" (retention verified; Tdisplay not timed)	—	—
SYS-RA-CAM-098	1	Upon the next keypress, the HU shall update or stop sending $CameraDisplaySts$ according to the corresponding display transition logic.	COVERED-BY	NR1L-RVC-045	RVC-045: "Press the virtual Forward Facing Camera button" -> "RADIO_B3.CameraDisplaySts = 3 (View_3) is sent on change"	—	—
SYS-RA-VF551_V2-442	1	for all defined states and ranges	NOT-IN-SOURCE	—	RD-added: source only "gate PROXI PAM_Tuning_Set value to the LVDS signal: vehicleUpdate_2.PAM_Tuning_Set"; RVC-163 tests one value (1 Base)	—	—
SYS-RA-VF551_V2-445	1	for all defined states and ranges	NOT-IN-SOURCE	—	RD-added: source only "gate PROXI CAN node 27 (ASM/ASCM) value to LVDS vehicleUpdate_1.NetCfg_ASCM"; RVC-138 tests Present only	—	—
