swe_id	sub_cat	source_id	src_total	src_resolved	books	vf_chapters	title
SWE-CAM-001	NormalCameraDaemon	CFTS092, VF551_V2, VF551_V3, VF551_V33, VF551_V4, VF551_V42	28	28	CFTS092,VF551_V2,VF551_V3,VF551_V33,VF551_V4,VF551_V42	1.10.2.1,1.11.1.2,1.11.1.2.0.1,1.11.1.2.0.2.1,1.11.1.2.0.3.1,1.11.1.2.1,1.13.2.1.1,1.13.2.1.3,1.13.2.2.3,1.13.2.2.4	Camera System Startup and Shutdown Logic
SWE-CAM-002	NormalCameraDaemon	VF551_V2, VF551_V3, VF551_V4, VF551_V42, VF617_V5	27	20	VF551_V2,VF551_V3,VF551_V4,VF551_V42	1.10.2.1,1.10.2.4,1.10.3.2,1.11.1.2,1.11.2.1,1.13.1,1.13.2.1.10,1.13.2.2,1.13.2.2.6,1.14.1	PROXI based Camera Configuration and State
SWE-CAM-003	NormalCameraDaemon	CFTS092, VF551_V2, VF551_V33, VF551_V4, VF551_V42, VF617V5, VF617_V5	47	37	CFTS092,VF551_V2,VF551_V33,VF551_V4,VF551_V42	1.11.1.2,1.11.1.2.0.1,1.11.1.2.0.3,1.11.1.2.2,1.13.2.1.1,1.13.2.1.4,1.13.2.1.5,1.13.2.1.6,1.13.2.1.7,1.13.2.1.8,1.13.2.1.9,1.13.2.2.1,1.13.2.2.2,1.13.2.2.5,1.13.2.2.6,1.14.1	General Camera State Handling
SWE-CAM-004	NormalCameraDaemon	VF551_V2, VF551_V3, VF551_V33, VF551_V42	24	24	VF551_V2,VF551_V3,VF551_V33,VF551_V42	1.10.1.5,1.10.2,1.10.2.1,1.13.2.1.2.0.1,1.13.2.1.2.0.2,1.13.2.1.2.0.3,1.13.2.1.2.0.5,1.13.2.1.2.0.7,1.13.2.1.4,1.13.2.2.1,1.13.2.2.2,1.13.2.2.3,1.14.1	Camera Diagnostic and DTC Services
SWE-CAM-005	EVS HAL	VF551_V3, VF617_V5	2	1	VF551_V3	1.10.2.1	Hardware Image Format Support
SWE-CAM-006	EVS HAL	VF551_V2, VF551_V3, VF551_V42, VF617_V5	22	21	VF551_V2,VF551_V3,VF551_V42	1.10.2.1,1.11.1.2,1.11.1.2.0.2,1.11.1.2.0.2.2,1.11.1.2.0.3,1.11.1.2.0.3.2,1.11.1.2.0.4,1.11.1.2.0.4.1,1.11.1.2.0.5,1.13.2.1.2.0.4,1.13.2.2.4,1.14	Camera Forward Channel Video Routing
SWE-CAM-007	NCD HAL	VF551_V42	1	1	VF551_V42	1.11.1.2	Other LVDS / General Protocol
SWE-CAM-008	NCD HAL	VF551_V2, VF551_V3, VF551_V42	12	12	VF551_V2,VF551_V3,VF551_V42	1.10.3.2,1.11.2.1,1.13.1,1.13.2.2.6,1.14.1	Message: gridZoomRequest
SWE-CAM-009	NCD HAL	VF551_V2, VF551_V3, VF551_V42	27	27	VF551_V2,VF551_V3,VF551_V42	1.10.1.5,1.10.2.1,1.13.2,1.13.2.1.2.0.1,1.13.2.1.2.0.2,1.13.2.1.2.0.3,1.13.2.1.2.0.7,1.13.2.2.1,1.13.2.2.2,1.13.2.2.3,1.14,1.14.1	Message: systemStatus
SWE-CAM-010	NCD HAL	VF551_V2, VF551_V3, VF551_V42	20	20	VF551_V2,VF551_V3,VF551_V42	1.10.1.1,1.10.3.2,1.11.2.1,1.13.1,1.13.2.1.10,1.13.2.2,1.14.1	Message: vehicleUpdate_1
