swe_id	source_requirement_id
SWE-CAM-002	SYS-RA-VF617_V5-170
SWE-CAM-002	SYS-RA-VF617_V5-171
SWE-CAM-002	SYS-RA-VF617_V5-245
SWE-CAM-002	SYS-RA-VF617_V5-246
SWE-CAM-002	SYS-RA-VF617_V5-247
SWE-CAM-002	SYS-RA-VF617_V5-248
SWE-CAM-002	SYS-RA-VF617_V5-269
SWE-CAM-003	SYS-RA-VF617V5-406
SWE-CAM-003	SYS-RA-VF617V5-407
SWE-CAM-003	SYS-RA-VF617_V5-087
SWE-CAM-003	SYS-RA-VF617_V5-090
SWE-CAM-003	SYS-RA-VF617_V5-169
SWE-CAM-003	SYS-RA-VF617_V5-189
SWE-CAM-003	SYS-RA-VF617_V5-233
SWE-CAM-003	SYS-RA-VF617_V5-261
SWE-CAM-003	SYS-RA-VF617_V5-300
SWE-CAM-003	SYS-RA-VF617_V5-301
SWE-CAM-005	SYS-RA-VF617_V5-183
SWE-CAM-006	SYS-RA-VF617_V5-195
SWE-CAM-015	SYS-RA-VF617_V5-186
SWE-CAM-015	SYS-RA-VF617_V5-209
SWE-CAM-015	SYS-RA-VF617_V5-210
SWE-CAM-015	SYS-RA-VF617_V5-211
SWE-CAM-015	SYS-RA-VF617_V5-224
SWE-CAM-015	SYS-RA-VF617_V5-225
SWE-CAM-015	SYS-RA-VF617_V5-226
SWE-CAM-015	SYS-RA-VF617_V5-227
SWE-CAM-015	SYS-RA-VF617_V5-235
SWE-CAM-015	SYS-RA-VF617_V5-236
SWE-CAM-015	SYS-RA-VF617_V5-237
SWE-CAM-016	SYS-RA-VF617_V5-199
SWE-CAM-016	SYS-RA-VF617_V5-207
SWE-CAM-016	SYS-RA-VF617_V5-208
SWE-CAM-016	SYS-RA-VF617_V5-222
SWE-CAM-016	SYS-RA-VF617_V5-234
SWE-CAM-016	SYS-RA-VF617_V5-253
SWE-CAM-016	SYS-RA-VF617_V5-266
SWE-CAM-016	SYS-RA-VF617_V5-273
SWE-CAM-016	SYS-RA-VF617_V5-276
SWE-CAM-016	SYS-RA-VF617_V5-279
SWE-CAM-016	SYS-RA-VF617_V5-282
SWE-CAM-016	SYS-RA-VF617_V5-285
SWE-CAM-016	SYS-RA-VF617_V5-288
SWE-CAM-016	SYS-RA-VF617_V5-291
SWE-CAM-016	SYS-RA-VF617_V5-294
SWE-CAM-016	SYS-RA-VF617_V5-297
SWE-CAM-018	SYS-RA-VF617_V5-201
SWE-CAM-018	SYS-RA-VF617_V5-202
SWE-CAM-018	SYS-RA-VF617_V5-203
SWE-CAM-018	SYS-RA-VF617_V5-204
SWE-CAM-018	SYS-RA-VF617_V5-205
SWE-CAM-018	SYS-RA-VF617_V5-228
SWE-CAM-018	SYS-RA-VF617_V5-229
SWE-CAM-018	SYS-RA-VF617_V5-230
SWE-CAM-018	SYS-RA-VF617_V5-231
SWE-CAM-018	SYS-RA-VF617_V5-232
SWE-CAM-021	SYS-RA-VF617_V5-185
SWE-CAM-021	SYS-RA-VF617_V5-190
SWE-CAM-021	SYS-RA-VF617_V5-191
SWE-CAM-021	SYS-RA-VF617_V5-263
SWE-CAM-023	SYS-RA-VF617_V5-088
SWE-CAM-023	SYS-RA-VF617_V5-091
SWE-CAM-023	SYS-RA-VF617_V5-188
SWE-CAM-023	SYS-RA-VF617_V5-196
SWE-CAM-023	SYS-RA-VF617_V5-212
SWE-CAM-023	SYS-RA-VF617_V5-213
SWE-CAM-023	SYS-RA-VF617_V5-214
SWE-CAM-023	SYS-RA-VF617_V5-215
SWE-CAM-023	SYS-RA-VF617_V5-216
SWE-CAM-023	SYS-RA-VF617_V5-217
SWE-CAM-023	SYS-RA-VF617_V5-223
SWE-CAM-023	SYS-RA-VF617_V5-238
SWE-CAM-023	SYS-RA-VF617_V5-239
SWE-CAM-023	SYS-RA-VF617_V5-240
SWE-CAM-023	SYS-RA-VF617_V5-241
SWE-CAM-023	SYS-RA-VF617_V5-242
SWE-CAM-023	SYS-RA-VF617_V5-243
SWE-CAM-023	SYS-RA-VF617_V5-249
SWE-CAM-023	SYS-RA-VF617_V5-250
SWE-CAM-023	SYS-RA-VF617_V5-251
SWE-CAM-023	SYS-RA-VF617_V5-252
SWE-CAM-023	SYS-RA-VF617_V5-254
SWE-CAM-023	SYS-RA-VF617_V5-255
SWE-CAM-023	SYS-RA-VF617_V5-256
SWE-CAM-023	SYS-RA-VF617_V5-257
SWE-CAM-023	SYS-RA-VF617_V5-258
SWE-CAM-023	SYS-RA-VF617_V5-259
SWE-CAM-023	SYS-RA-VF617_V5-260
SWE-CAM-023	SYS-RA-VF617_V5-265
SWE-CAM-023	SYS-RA-VF617_V5-271
SWE-CAM-023	SYS-RA-VF617_V5-272
SWE-CAM-023	SYS-RA-VF617_V5-274
SWE-CAM-023	SYS-RA-VF617_V5-275
SWE-CAM-023	SYS-RA-VF617_V5-277
SWE-CAM-023	SYS-RA-VF617_V5-278
SWE-CAM-023	SYS-RA-VF617_V5-280
SWE-CAM-023	SYS-RA-VF617_V5-281
