# CAM-28 附帶量測（範圍外，只列不處置）：037 A 本所引 SYS-RA 來源之處置狀態（R-CAM13(a)）
# 母體：layer3_a_vf_chapters.tsv 之相異 source_requirement_id；disposition 判定序：TC source_object_id → Out of Scope → Heading/Information → plan 有記 → reasoning 具名 → NO RECORD
source_id	swe_ids	book	category	disposition	detail
SYS-RA-CAM-062	SWE-CAM-001	CFTS092	Functional Requirement	PLAN-RECORDED	batch02_plan.tsv：covered_by: NR1L-RVC-001；R-CAM12 疊層同句，錨取 Rear 節之 -075
SYS-RA-CAM-075	SWE-CAM-001	CFTS092	Functional Requirement	TC	NR1L-RVC-001
SYS-RA-CAM-082	SWE-CAM-001	CFTS092	Functional Requirement	TC	NR1L-RVC-047
SYS-RA-CAM-088	SWE-CAM-001	CFTS092	Functional Requirement	TC	NR1L-RVC-048
SYS-RA-VF551_V2-528	SWE-CAM-001;SWE-CAM-023	VF551_V2	Functional Requirement	TC	NR1L-RVC-049
SYS-RA-VF551_V2-531	SWE-CAM-001;SWE-CAM-023	VF551_V2	Functional Requirement	TC	NR1L-RVC-053
SYS-RA-VF551_V3-251	SWE-CAM-001	VF551_V3	Functional requirement	TC	NR1L-RVC-054;NR1L-RVC-055
SYS-RA-VF551_V3-252	SWE-CAM-001	VF551_V3	Functional requirement	TC	NR1L-RVC-050
SYS-RA-VF551_V33-213	SWE-CAM-001	VF551_V33	Functional requirement	TC	NR1L-RVC-058
SYS-RA-VF551_V33-214	SWE-CAM-001	VF551_V33	Functional requirement	TC	NR1L-RVC-059
SYS-RA-VF551_V33-215	SWE-CAM-001	VF551_V33	Functional requirement	PLAN-RECORDED	batch02_plan.tsv：covered_by: V33-214 之 TC
SYS-RA-VF551_V33-216	SWE-CAM-001	VF551_V33	Functional requirement	TC	NR1L-RVC-060
SYS-RA-VF551_V33-217	SWE-CAM-001	VF551_V33	Functional requirement	PLAN-RECORDED	batch02_plan.tsv：covered_by: V33-214 之 TC
SYS-RA-VF551_V33-219	SWE-CAM-001	VF551_V33	Functional requirement	TC	NR1L-RVC-061
SYS-RA-VF551_V33-220	SWE-CAM-001	VF551_V33	Functional requirement	TC	NR1L-RVC-002
SYS-RA-VF551_V33-221	SWE-CAM-001	VF551_V33	Functional requirement	TC	NR1L-RVC-062
SYS-RA-VF551_V33-223	SWE-CAM-001	VF551_V33	Functional requirement	TC	NR1L-RVC-063
SYS-RA-VF551_V33-226	SWE-CAM-001	VF551_V33	Functional requirement	TC	NR1L-RVC-051
SYS-RA-VF551_V33-228	SWE-CAM-001	VF551_V33	Functional requirement	TC	NR1L-RVC-052
SYS-RA-VF551_V33-233	SWE-CAM-001	VF551_V33	Functional requirement	TC	NR1L-RVC-057
SYS-RA-VF551_V33-420	SWE-CAM-001	VF551_V33	Functional requirement	TC	NR1L-RVC-064
SYS-RA-VF551_V33-426	SWE-CAM-001	VF551_V33	Functional requirement	TC	NR1L-RVC-065
