# CAM-26 §3　B 本 umbrella 27 列（037 Categorization = Heading，R-CAM19(a) 母體外）→ 其子 leaf 與子列 TC 數
req_id	section	child_leaves	child_tc_count
SWE1-RVC-002	6.2.1	SWE1-RVC-002-01;SWE1-RVC-002-02	2
SWE1-RVC-007	7.1	SWE1-RVC-007-01;SWE1-RVC-007-02	2
SWE1-RVC-019	7.4	SWE1-RVC-019-01;SWE1-RVC-019-02;SWE1-RVC-019-03;SWE1-RVC-019-04	4
SWE1-RVC-023	7.5.3	SWE1-RVC-023-01;SWE1-RVC-023-02;SWE1-RVC-023-03	4
SWE1-RVC-024	8.1	SWE1-RVC-024-01;SWE1-RVC-024-02	2
SWE1-RVC-025	8.1.1	SWE1-RVC-025-01;SWE1-RVC-025-02	2
SWE1-RVC-031	8.4	SWE1-RVC-031-01;SWE1-RVC-031-02	2
SWE1-RVC-047	6.2.2.3	SWE1-RVC-047-01;SWE1-RVC-047-02	3
SWE1-RVC-048	6.5.1	SWE1-RVC-048-01;SWE1-RVC-048-02;SWE1-RVC-048-03	3
SWE1-RVC-051	6.7.1	SWE1-RVC-051-01;SWE1-RVC-051-02;SWE1-RVC-051-03;SWE1-RVC-051-04	4
SWE1-RVC-082	27.6.1	SWE1-RVC-082-01;SWE1-RVC-082-02	2
SWE1-RVC-098	28.3.2	SWE1-RVC-098-01;SWE1-RVC-098-02	2
SWE1-RVC-103	28.7.1.1	SWE1-RVC-103-01;SWE1-RVC-103-02	3
SWE1-RVC-104	28.7.1.2	SWE1-RVC-104-01;SWE1-RVC-104-02	2
SWE1-RVC-105	28.7.2	SWE1-RVC-105-01;SWE1-RVC-105-02;SWE1-RVC-105-03	3
SWE1-RVC-106	28.7.3	SWE1-RVC-106-01;SWE1-RVC-106-02	2
SWE1-RVC-108	28.8.1	SWE1-RVC-108-01;SWE1-RVC-108-02;SWE1-RVC-108-03	3
SWE1-RVC-110	29.1.2	SWE1-RVC-110-01;SWE1-RVC-110-02;SWE1-RVC-110-03;SWE1-RVC-110-04	4
SWE1-RVC-112	29.2.2	SWE1-RVC-112-01;SWE1-RVC-112-02;SWE1-RVC-112-03;SWE1-RVC-112-04	4
SWE1-RVC-114	30.1.1	SWE1-RVC-114-01;SWE1-RVC-114-02	2
SWE1-RVC-119	30.1.6	SWE1-RVC-119-01;SWE1-RVC-119-02;SWE1-RVC-119-03	3
SWE1-RVC-121	31.1.2	SWE1-RVC-121-01;SWE1-RVC-121-02;SWE1-RVC-121-03	3
SWE1-RVC-125	31.1.6	SWE1-RVC-125-01;SWE1-RVC-125-02;SWE1-RVC-125-03	3
SWE1-RVC-127	33.1.2	SWE1-RVC-127-01;SWE1-RVC-127-02;SWE1-RVC-127-03	3
SWE1-RVC-143	34.7.2	SWE1-RVC-143-01;SWE1-RVC-143-02	2
SWE1-RVC-150	34.9.2.2	SWE1-RVC-150-01;SWE1-RVC-150-02	2
SWE1-RVC-152	34.9.5	SWE1-RVC-152-01;SWE1-RVC-152-02;SWE1-RVC-152-03	3
