# CAM-28 §5　A 本 CFTS092 錨 TC 之 Vehicle Model ↔ RD 七車型適用欄（dependency 本 `SR26_*`＝1、空白／全形空白＝0；既有本 `SR26_20260310-1555`＝1、`Not supported`＝0）
# 欄序 HDCC27 DT27 637 598 5210 2261 376；598／5210 依 R-CAM2 恆 0
tc_id	req_id	anchor	ours	dep_rd	raw_rd	diff_vs_dep	diff_vs_raw	our_basis
NR1L-RVC-023	SWE-CAM-016	CFTS092-4781638	1110011	1111111	1110011	598:0≠1, 5210:0≠1	—	R-CAM3(e)
NR1L-RVC-024	SWE-CAM-016	CFTS092-4781639	1110011	1111111	1110011	598:0≠1, 5210:0≠1	—	—
NR1L-RVC-025	SWE-CAM-016	CFTS092-4781637	1110011	1111111	1110011	598:0≠1, 5210:0≠1	—	PROXI Rear_View_Camera
NR1L-RVC-028	SWE-CAM-018	CFTS092-4781642	1110011	1111111	1110011	598:0≠1, 5210:0≠1	—	—
NR1L-RVC-034	SWE-CAM-016	CFTS092-4781628	1100000	1111111	1110011	637:0≠1, 598:0≠1, 5210:0≠1, 2261:0≠1, 376:0≠1	637:0≠1, 2261:0≠1, 376:0≠1	R-CAM13(a); R-CAM13(c)
NR1L-RVC-035	SWE-CAM-016	CFTS092-4781632	1100000	1111111	1110011	637:0≠1, 598:0≠1, 5210:0≠1, 2261:0≠1, 376:0≠1	637:0≠1, 2261:0≠1, 376:0≠1	R-CAM13(a); R-CAM13(c)
NR1L-RVC-036	SWE-CAM-016	CFTS092-4781633	1100000	1111111	1110011	637:0≠1, 598:0≠1, 5210:0≠1, 2261:0≠1, 376:0≠1	637:0≠1, 2261:0≠1, 376:0≠1	R-CAM13(a); R-CAM13(c)
NR1L-RVC-037	SWE-CAM-016	CFTS092-4781649	1110001	1111111	1110011	598:0≠1, 5210:0≠1, 2261:0≠1	2261:0≠1	PROXI Rear_View_Camera; R-CAM13(c); R-CAM13(d)
NR1L-RVC-038	SWE-CAM-016	CFTS092-4781650	1110001	1111111	1110011	598:0≠1, 5210:0≠1, 2261:0≠1	2261:0≠1	R-CAM13(c)
NR1L-RVC-039	SWE-CAM-016	CFTS092-4781654	1110001	1111111	1110011	598:0≠1, 5210:0≠1, 2261:0≠1	2261:0≠1	R-CAM13(a); R-CAM13(c)
NR1L-RVC-040	SWE-CAM-016	CFTS092-4781655	1110001	1111111	1110011	598:0≠1, 5210:0≠1, 2261:0≠1	2261:0≠1	R-CAM13(c)
NR1L-RVC-041	SWE-CAM-016	CFTS092-4781657	1110001	1111111	1110011	598:0≠1, 5210:0≠1, 2261:0≠1	2261:0≠1	R-CAM13(c)
NR1L-RVC-042	SWE-CAM-016	CFTS092-4781658	1110001	1111111	1110011	598:0≠1, 5210:0≠1, 2261:0≠1	2261:0≠1	R-CAM13(c)
NR1L-RVC-043	SWE-CAM-016	CFTS092-4781656	1110001	1111111	1110011	598:0≠1, 5210:0≠1, 2261:0≠1	2261:0≠1	R-CAM13(b); R-CAM13(c)
NR1L-RVC-044	SWE-CAM-016	CFTS092-4781660	1110001	1111111	1110011	598:0≠1, 5210:0≠1, 2261:0≠1	2261:0≠1	R-CAM13(b); R-CAM13(c)
NR1L-RVC-045	SWE-CAM-016	CFTS092-4781661	1110000	1111111	1110011	598:0≠1, 5210:0≠1, 2261:0≠1, 376:0≠1	2261:0≠1, 376:0≠1	R-CAM13(c)
NR1L-RVC-046	SWE-CAM-016	CFTS092-4781641	1110011	1111111	1110011	598:0≠1, 5210:0≠1	—	PROXI Rear_View_Camera; R-CAM13(c)
NR1L-RVC-047	SWE-CAM-001	CFTS092-4781647	1110011	1111111	1110011	598:0≠1, 5210:0≠1	—	—
NR1L-RVC-048	SWE-CAM-001	CFTS092-4781653	1110001	1111111	1110011	598:0≠1, 5210:0≠1, 2261:0≠1	2261:0≠1	R-CAM13(c)
NR1L-RVC-093	SWE-CAM-017	CFTS092-4781662	1110000	1111111	1110011	598:0≠1, 5210:0≠1, 2261:0≠1, 376:0≠1	2261:0≠1, 376:0≠1	376：P363 DBC 無 CameraDisplaySts；2261：DR-CAM-l；R-CAM13(d)
NR1L-RVC-094	SWE-CAM-017	CFTS092-4781663	1110000	1111111	1110011	598:0≠1, 5210:0≠1, 2261:0≠1, 376:0≠1	2261:0≠1, 376:0≠1	同 NR1L-RVC-093（376：P363 DBC 無 CameraDisplaySts；2261：DR-CAM-l）
NR1L-RVC-095	SWE-CAM-003	CFTS092-4781634	1100000	1111111	1110011	637:0≠1, 598:0≠1, 5210:0≠1, 2261:0≠1, 376:0≠1	637:0≠1, 2261:0≠1, 376:0≠1	R-CAM13(c)
NR1L-RVC-096	SWE-CAM-003	CFTS092-4781651	1110001	1111111	1110011	598:0≠1, 5210:0≠1, 2261:0≠1	2261:0≠1	R-CAM13(c)
NR1L-RVC-097	SWE-CAM-003	CFTS092-4781652	1110001	1111111	1110011	598:0≠1, 5210:0≠1, 2261:0≠1	2261:0≠1	R-CAM13(c)
NR1L-RVC-001	SWE-CAM-001	CFTS092-4781640	1110011	1111111	1110011	598:0≠1, 5210:0≠1	—	PROXI Rear_View_Camera; R-CAM3(e)
NR1L-RVC-007	SWE-CAM-018	CFTS092-4781643	1110000	1111111	1110011	598:0≠1, 5210:0≠1, 2261:0≠1, 376:0≠1	2261:0≠1, 376:0≠1	PROXI Brand_Configuration_; R-CAM3(e); R-CAM5(a); R-CAM5(b); R-CAM5(c)
NR1L-RVC-008	SWE-CAM-018	CFTS092-4781643	0000011	1111111	1110011	HDCC27:0≠1, DT27:0≠1, 637:0≠1, 598:0≠1, 5210:0≠1	HDCC27:0≠1, DT27:0≠1, 637:0≠1	PROXI Brand_Configuration_; R-CAM3(e); R-CAM5(a); R-CAM5(b); R-CAM5(c)
NR1L-RVC-009	SWE-CAM-018	CFTS092-4781643	1100001	1111111	1110011	637:0≠1, 598:0≠1, 5210:0≠1, 2261:0≠1	637:0≠1, 2261:0≠1	PROXI Rear_View_Camera_Type; R-CAM3; R-CAM3(e)
NR1L-RVC-010	SWE-CAM-018	CFTS092-4781643	1100001	1111111	1110011	637:0≠1, 598:0≠1, 5210:0≠1, 2261:0≠1	637:0≠1, 2261:0≠1	PROXI Rear_View_Camera_Type; R-CAM3; R-CAM3(e)
