ch7_outline	ch2_outline	對應強度	依據	涵蓋與未涵蓋之行為分界
7.1	2.12.2	partial	CR1「Hard controls do not switch to controlling the rear climate when on the rear climate screen」為通則；ch2 內唯一同義句為 C13.1 末句「While in Rear Climate screen the Mode Hard Control button will alter the front Mode」，只涵蓋 MODE 一鍵	涵蓋：於後排氣候畫面時，MODE 硬鍵仍作用於前排。未涵蓋：CR1 具名之 fan knob 與 driver/passenger temperature 硬鍵 —— ch2 全 22 節無對應句，該二鍵之同一行為在前排側從未被陳述
7.1.1	2.2	partial	CR1.1 末句「if on rear climate screen and user uses front controls, provide fan and temperature popup (showing update to front climate)」為 C1「according pop-ups are shown if NOT on climate screen (timeout after 3 sec)」在後排畫面上之具體化	涵蓋：使用者不在前排氣候畫面時，前排 fan／temperature 硬鍵產生 popup。未涵蓋：CR1.1 前二句（後排硬鍵之變更不於前排畫面產生 popup；駕駛須進入後排氣候畫面方能看見後排乘客所下之指令）—— 該「不顯示」之規則 ch2 無對應句
7.2	2.3	mirrored	CR2 首二句與 C2 首二句逐字相同（AUTO has on/ off state. The fan speed indicator shows Auto instead of the actual fan speed (this is based on fan speed of 15h rather than the status of AUTO)）；其後之 AUTO affects…、mutually exclusive…、If Auto is turned on, these buttons/statuses are turned off、breaking Auto 之回退規則亦逐句對應。差異為前後排之值域與連動對象：C2 為 four airflow modes ＋ front defrost ＋ AC ＋ MTC 但書，CR2 為 three airflow modes 且無 AC、無 front defrost、無 MTC 句，另加 Fan breaks Auto for Airflow mode	
7.3	no-counterpart	no-counterpart	CR3 之 LOCK REAR（後排氣候控制鎖定，以及 LOCK REAR／UNLOCK REAR 文字與 Lock 圖示之切換）於 ch2 全 22 節無對應節 —— 前排無此能力	
7.4	2.6	partial	CR4 逐句重述 C5 之溫度區間（LO, 60-84, HI）、ATC 顯示當前度數、最高顯示 HI／最低顯示 LO、Metric 切半度增量，以及 temp slider／status bar／temp slider popup／temp popup 四處同步一句	涵蓋：溫度值域、HI/LO 取代度數、Metric 半度增量、四處呈現之同步。未涵蓋：C5 之「Show pop-up when status is changed via hard control and currently shown screen is not climate screen」與 sync 時不顯示乘客側滑桿 popup 兩句 —— CR4 之狀態只指示於 rear climate screen，無 status bar 與 popup 之對應；亦未涵蓋 C5 之 Metric 值域（16-28）
7.4	2.6.1	partial	CR4 後段逐句重述 C5.1 之箭頭每按 1 增量、long press 快移、slider 之 TEMP popup、必須按住把手否則忽略、以及 SYNC 開啟時改駕駛側連動乘客側／改乘客側中斷 SYNC	涵蓋：滑桿與箭頭之調整途徑、把手判定、SYNC 之溫度連動與中斷。未涵蓋：C5.1 之 voice command 跳值、以及「Long press = fast move shall also work for temperature HARD CONTROLS」（CR1 已定後排無專屬硬鍵）。反向未涵蓋：CR4 之 long press 門檻明值 500 ms 於 C5.1 無值（見 DATA_REQUESTS #21）
7.5	2.7	partial	CR5 逐句重述 C6 之 Fan ranges: Off, 1-7, 15h (denoting to show AUTO instead)、Fan up/down (minus/plus) 按鈕／直接觸碰 fan segment／滑動三種調整途徑、不得以畫面上之 FAN 控制關閉風扇、恆有一格高亮、唯一使全部風扇格變灰之途徑為關閉 CLIMATE	涵蓋：風速值域、三種畫面調整途徑、不可關閉與恆一格高亮、關閉氣候方全灰。未涵蓋：C6 之 hard control 途徑（or use Hard Control／or hard control）與「Show pop-up when status is changed via hard control」、以及狀態同時指示於 main category control —— CR5 之狀態只指示於 TS rear climate screen
7.6	2.10	partial	CR6 與 C11 共用同一骨架：climate off 具 on/off 狀態並指示於 TS、關閉時顯示 CLIMATE OFF 畫面且 OFF 鍵轉為 ON 鍵、其餘按鈕變灰或空白	涵蓋：climate off 之 on/off 狀態、OFF→ON 之按鈕轉換、其餘按鈕之停用呈現。未涵蓋（C11 側）：FRONT /MAX DEFROST 與 REAR DEFROST 之例外、category button 之 fan 變灰與 mode oscar 轉 OFF、status bar 溫度與單位轉破折號、按 temp/fan 控制回復上次等級。未涵蓋（CR6 側）：關閉時保留 rear lock 與 front climate 兩鍵、前排氣候關閉時畫面轉為前排 OFF 畫面且 REAR CLIMATE 鍵空白、前排氣候關閉時後排氣候不可用 —— 此三者 ch2 無對應句
7.7	2.11	mirrored	CR7 首句與 C12 首句逐字相同（SYNC has on/ off state that is indicated on climate screen (highlight button if SYNC)）；Sync synchronizes driver and passenger temperatures to the driver temperature 一句亦逐字相同。差異：C12 另有 single zone 不顯示 SYNC 一句與「Adjusting Fan speed and Mode will alter the Front and Rear passengers」；CR7 另有「Fan speed and blower are sync'd front to back」並把中斷條件擴及 front or rear passenger 之 temperature／mode／fan speed	
7.7	2.6.1	partial	CR7 之中斷條件涵蓋 C5.1 末段之「adjusting passenger temperature would break SYNC and turn it off」	涵蓋：調整乘客側溫度中斷 SYNC。未涵蓋：C5.1 之滑桿／箭頭／long press 等溫度調整途徑 —— CR7 全句不述調整途徑，該部分之對應在 7.4
7.8	2.12	mirrored	CR8「ON state for the three airflow modes is shown by highlighting the button and increasing button size」與 C13「ON state for the four airflow modes is shown by highlighting the button and increasing button size」除模式數外逐字相同；Only one mode can be selected at a time 一句亦相同。差異：C13 列四模式（Face／Face plus Feet／Feet／Feet plus Windshield）並述 main category control 顯示所選模式，CR8 列三模式（Feet／Face + Feet／Face）並述 AUTO breaks Airflow Modes	
7.8	2.12.2	partial	CR8 末句之「If the Rear Mode hard control is pressed the user will be moved to the next mode available in the loop … press and hold of the control will only move one mode over, it will not continue to move through modes」與 C13.1 首句逐字對應	涵蓋：MODE 硬鍵之循環推進與長按只跳一格。未涵蓋：C13.1 之循環具名順序與 Defrost 不列入循環、於 Climate main 與非 Climate main 兩種情形之呈現差異（新模式鍵高亮 vs 小 popup 與 3 秒逾時）、main category label 更新、以及末句之後排畫面中 MODE 硬鍵改前排模式 —— 該末句之對應列於 7.1
7.9	2.4	partial	CR9 全句僅「AC has on/ off state.」，與 C3 首句逐字相同	涵蓋：A/C 之 on/off 狀態。未涵蓋：C3 之四項連動（Auto can automatically turn on AC／AC will break Auto／Defrost can automatically turn on AC／Recirc can automatically turn on AC）—— CR9 無任何連動陳述，後排 A/C 與 AUTO 之關係於 ch7 全章未述
7.10	no-counterpart	no-counterpart	CR10 之 4 Zone Climate（後排駕駛側與乘客側各有獨立溫度滑桿）於 ch2 全 22 節無對應節 —— C5／C5.1 之雙側僅指前排駕駛／乘客	
no-counterpart	2.1	no-counterpart	R1C1 之 comfort category tabs 與其順序（Front／Seats／Massage／Rear），ch7 全 11 節無對應節 —— Rear 為該表列之一項，但 ch7 不述 tab 之存在或順序	
no-counterpart	2.3.1	no-counterpart	C2.1 之 dual AUTO（雙區雙氣流之駕駛側／乘客側各一 AUTO）配置，ch7 無對應節	
no-counterpart	2.5	no-counterpart	C4 之 Recirc on/off、可用性灰化與車型專屬圖示，ch7 無對應節 —— 後排無 recirc 控制	
no-counterpart	2.5.1	no-counterpart	C4.1 之 3 state toggle recirc button（Auto／Manual／Open），ch7 無對應節	
no-counterpart	2.7.1	no-counterpart	C6.1 之前排 hvac 風速 Off, 1-8；CR5 只列 Off, 1-7, 15h，ch7 無第二值域之節	
no-counterpart	2.8	no-counterpart	C7 之 Defrost on/off 與其連動，ch7 無對應節 —— 後排無 defrost 氣流模式	
no-counterpart	2.9	no-counterpart	C8 之 Rear Defrost（後窗除霜）on/off 與灰化，ch7 無對應節。**易混淆**：C8 之 Rear Defrost 為後窗除霜器，非本章之 rear climate；ch7 全 11 節對 defrost 零命中	
no-counterpart	2.12.1	no-counterpart	C13.0 之非 tri-mode 設備 5 種氣流模式，ch7 無對應節 —— CR8 固定為 3 種	
no-counterpart	2.13	no-counterpart	C14 之 MAX A/C，ch7 無對應節	
no-counterpart	2.14	no-counterpart	C15 之 MTC 與 3 旋鈕 ICS 例外，ch7 無對應節	
no-counterpart	2.15	no-counterpart	C16 之 EXTERIOR REAR-VIEW MIRROR DEFROST，ch7 無對應節	
no-counterpart	2.16	no-counterpart	C18 之語音辨識期間風機降速不顯示，ch7 無對應節	
