req_id	outline	test_set	tc_count	q1	q1_why	q2	q2_why	q3	q3_why	q4	q4_why	q5	q5_why	q6	q6_why	q7	q7_why
001-01	2.1	Front Climate Anatomy	3	無	列舉句 `up to 3`；本 leaf 與同節皆無未支援／無效之反向 ER	無	限值 `up to 3`；TC 未觸及 limit／limit±1／=0	不適用	條文未述及電源／啟動，且本 leaf 非狀態型	不適用	條文未述及保留，且本 leaf 非狀態型	不適用	條文未述及中斷、並行或與他功能之交互	有	條文 `will not`；TC 之 ER 覆蓋否定側 `no `	有	本 leaf 已拆為 3 條
001-02	2.1	Front Climate Anatomy	1	無	列舉句 `up to 4`；本 leaf 與同節皆無未支援／無效之反向 ER	無	限值 `up to 4`；TC 未觸及 limit／limit±1／=0	不適用	條文未述及電源／啟動，且本 leaf 非狀態型	不適用	條文未述及保留，且本 leaf 非狀態型	不適用	條文未述及中斷、並行或與他功能之交互	有	條文 `will not`；TC 之 ER 覆蓋否定側 `No `	不適用	單一觸發；其後果不論幾項，依 §5.7 同屬一條
001-03	2.1	Front Climate Anatomy	1	無	列舉句 `available`；本 leaf 與同節皆無未支援／無效之反向 ER	無	限值 `up to 4`；TC 未觸及 limit／limit±1／=0	不適用	條文未述及電源／啟動，且本 leaf 非狀態型	不適用	條文未述及保留，且本 leaf 非狀態型	不適用	條文未述及中斷、並行或與他功能之交互	有	條文 `not displayed`；TC 之 ER 覆蓋否定側 `No `	不適用	單一觸發；其後果不論幾項，依 §5.7 同屬一條
002-01	2.2	Front Climate Anatomy	1	不適用	條文未列舉支援項／有效值／可選項	有	限值 `highest`；TC 之 ER 觸及端點 `second`	不適用	條文未述及電源／啟動，且本 leaf 非狀態型	不適用	條文未述及保留，且本 leaf 非狀態型	有	條文 `timeout`；TC 之 ER 覆蓋該交互 `is not displayed`	有	條文 `do not`；TC 之 ER 覆蓋否定側 `not `	不適用	單一觸發；其後果不論幾項，依 §5.7 同屬一條
002-02	2.2	Front Climate Anatomy	1	不適用	條文未列舉支援項／有效值／可選項	有	限值 `3 sec`；TC 之 ER 觸及端點 `second`	不適用	條文未述及電源／啟動，且本 leaf 非狀態型	不適用	條文未述及保留，且本 leaf 非狀態型	有	條文 `timeout`；TC 之 ER 覆蓋該交互 `is not displayed`	有	條文 `do not`；TC 之 ER 覆蓋否定側 `not `	不適用	單一觸發；其後果不論幾項，依 §5.7 同屬一條
002-03	2.2	Front Climate Anatomy	1	不適用	條文未列舉支援項／有效值／可選項	有	限值 `highest`；TC 之 ER 觸及端點 `second`	不適用	條文未述及電源／啟動，且本 leaf 非狀態型	不適用	條文未述及保留，且本 leaf 非狀態型	有	條文 `timeout`；TC 之 ER 覆蓋該交互 `is not displayed`	有	條文 `do not`；TC 之 ER 覆蓋否定側 `not `	不適用	單一觸發；其後果不論幾項，依 §5.7 同屬一條
002-04	2.2	Front Climate Anatomy	1	不適用	條文未列舉支援項／有效值／可選項	有	限值 `highest`；TC 之 ER 觸及端點 `second`	不適用	條文未述及電源／啟動，且本 leaf 非狀態型	不適用	條文未述及保留，且本 leaf 非狀態型	有	條文 `timeout`；TC 之 ER 覆蓋該交互 `is not displayed`	有	條文 `not shown`；TC 之 ER 覆蓋否定側 `No `	不適用	單一觸發；其後果不論幾項，依 §5.7 同屬一條
002-05	2.2	Front Climate Anatomy	2	不適用	條文未列舉支援項／有效值／可選項	有	限值 `highest`；TC 之 ER 觸及端點 `second`	不適用	條文未述及電源／啟動，且本 leaf 非狀態型	不適用	條文未述及保留，且本 leaf 非狀態型	有	條文 `timeout`；TC 之 ER 覆蓋該交互 `is not displayed`	有	條文 `do not`；TC 之 ER 覆蓋否定側 `not `	有	本 leaf 已拆為 2 條
002-06	2.2	Front Climate Anatomy	1	不適用	條文未列舉支援項／有效值／可選項	有	限值 `highest`；TC 之 ER 觸及端點 `second`	不適用	條文未述及電源／啟動，且本 leaf 非狀態型	不適用	條文未述及保留，且本 leaf 非狀態型	有	條文 `timeout`；TC 之 ER 覆蓋該交互 `is not displayed`	有	條文 `do not`；TC 之 ER 覆蓋否定側 `not `	不適用	單一觸發；其後果不論幾項，依 §5.7 同屬一條
002-07	2.2	Front Climate Anatomy	1	不適用	條文未列舉支援項／有效值／可選項	有	限值 `highest`；TC 之 ER 觸及端點 `second`	不適用	條文未述及電源／啟動，且本 leaf 非狀態型	不適用	條文未述及保留，且本 leaf 非狀態型	有	條文 `timeout`；TC 之 ER 覆蓋該交互 `is not displayed`	有	條文 `do not`；TC 之 ER 覆蓋否定側 `No `	不適用	單一觸發；其後果不論幾項，依 §5.7 同屬一條
