tc_id	req_id	outline	score	sent_idx	clause_verbatim
NR1L-ComfortHMI-042	SWE1-HVAC-001-03	2.1	1.00	2	If only Front climate is available in a specific vehicle the tabs will not be displayed.
NR1L-ComfortHMI-435	SWE1-HVAC-001-01	2.1	1.00	0	R1C1.) The comfort category will have up to 4 tabs depending on vehicle configuration.
NR1L-ComfortHMI-436	SWE1-HVAC-001-01	2.1	1.00	0	R1C1.) The comfort category will have up to 4 tabs depending on vehicle configuration.
NR1L-ComfortHMI-437	SWE1-HVAC-001-01	2.1	1.00	0	R1C1.) The comfort category will have up to 4 tabs depending on vehicle configuration.
NR1L-ComfortHMI-438	SWE1-HVAC-001-02	2.1	1.00	1	Tabs are displayed in the following order: Front, Seats (WS or R1 Low) or Seat & Wheel (Maserati), Massage, Rear.
NR1L-ComfortHMI-032	SWE1-HVAC-002-01	2.2	1.00	0	C1.) Whenever changes to the climate system are made via hard controls or touchscreen, these changes are reflected in both locations.
NR1L-ComfortHMI-033	SWE1-HVAC-002-02	2.2	1.00	1	Whenever fan speed or temperature hard controls are used (even if at highest/lowest setting), according pop-ups are shown if NOT on climate screen (timeout after 3 sec), and changes are reflected in status bar/ status indicator on category button.
NR1L-ComfortHMI-034	SWE1-HVAC-002-03	2.2	1.00	1	Whenever fan speed or temperature hard controls are used (even if at highest/lowest setting), according pop-ups are shown if NOT on climate screen (timeout after 3 sec), and changes are reflected in status bar/ status indicator on category button.
NR1L-ComfortHMI-035	SWE1-HVAC-002-04	2.2	1.00	2	When sync'd, do not show slider pop-up on passenger side when adjusting driver slider.
NR1L-ComfortHMI-036	SWE1-HVAC-002-05	2.2	1.00	3	If the user is outside of the climate main category and the temperature is changed through hard controls, a pop-up will be shown coming down from that temperature in the status bar to indicate it is being altered, for ATC it will display the degree (or half degree increments for Celsius and for Fahrenheit do not show half degrees) being set, for MTC (if the MTC has a Climate screen) it will display a slider bar with the arrow pointing to the current setting, this information will change as the user alters the temp.
NR1L-ComfortHMI-037	SWE1-HVAC-002-05	2.2	1.00	3	If the user is outside of the climate main category and the temperature is changed through hard controls, a pop-up will be shown coming down from that temperature in the status bar to indicate it is being altered, for ATC it will display the degree (or half degree increments for Celsius and for Fahrenheit do not show half degrees) being set, for MTC (if the MTC has a Climate screen) it will display a slider bar with the arrow pointing to the current setting, this information will change as the user alters the temp.
NR1L-ComfortHMI-038	SWE1-HVAC-002-06	2.2	1.00	3	If the user is outside of the climate main category and the temperature is changed through hard controls, a pop-up will be shown coming down from that temperature in the status bar to indicate it is being altered, for ATC it will display the degree (or half degree increments for Celsius and for Fahrenheit do not show half degrees) being set, for MTC (if the MTC has a Climate screen) it will display a slider bar with the arrow pointing to the current setting, this information will change as the user alters the temp.
NR1L-ComfortHMI-039	SWE1-HVAC-002-07	2.2	1.00	4	If on climate screen, status changes are indicated directly on touchscreen buttons / status indicator on category button and will not be shown in the status bar.
NR1L-ComfortHMI-040	SWE1-HVAC-002-08	2.2	1.00	5	If changes are made on climate screen, LEDs on hard controls reflect new status.
NR1L-ComfortHMI-127	SWE1-HVAC-003-01	2.3	1.00	1	The fan speed indicator shows Auto instead of the actual fan speed (this is based on fan speed of 15h rather than the status of AUTO).
NR1L-ComfortHMI-128	SWE1-HVAC-003-02	2.3	1.00	2	The main category control is dynamic, and will display Auto with the Mode Man and Fan speed greyed out behind it.
NR1L-ComfortHMI-129	SWE1-HVAC-003-03	2.3	1.00	3	AUTO affects Fan speed, Modes, AC in order to reach desired temperature as quickly as possible.
NR1L-ComfortHMI-130	SWE1-HVAC-003-04	2.3	1.00	4	Auto is mutually exclusive with the four airflow modes and front defrost.
NR1L-ComfortHMI-131	SWE1-HVAC-003-05	2.3	1.00	6	Auto can change the state of AC, but do not show this change.
NR1L-ComfortHMI-132	SWE1-HVAC-003-06	2.3	1.00	7	Manually selecting A/C, switching to another airflow mode (including front defrost), or changing fan speeds breaks Auto.
NR1L-ComfortHMI-386	SWE1-HVAC-003-06	2.3	1.00	7	Manually selecting A/C, switching to another airflow mode (including front defrost), or changing fan speeds breaks Auto.
NR1L-ComfortHMI-387	SWE1-HVAC-003-06	2.3	1.00	7	Manually selecting A/C, switching to another airflow mode (including front defrost), or changing fan speeds breaks Auto.
NR1L-ComfortHMI-133	SWE1-HVAC-003-07	2.3	1.00	8	When breaking Auto the system will go to the manual mode that most closely matches the auto mode exited, unless a specific mode button is pressed, in which case the system would go to that mode.
NR1L-ComfortHMI-134	SWE1-HVAC-003-08	2.3	1.00	9	Any other climate controls do NOT break Auto.
NR1L-ComfortHMI-135	SWE1-HVAC-003-09	2.3	1.00	10	(AUTO is not shown in MTC configurations)
NR1L-ComfortHMI-363	SWE1-HVAC-004-01	2.3.1	1.00	0	C2.1) Some vehicles with dual zone climate with dual airflow mode can have a configuration for dual AUTO modes, one for the driver side and passenger side.
NR1L-ComfortHMI-364	SWE1-HVAC-004-02	2.3.1	1.00	0	C2.1) Some vehicles with dual zone climate with dual airflow mode can have a configuration for dual AUTO modes, one for the driver side and passenger side.
NR1L-ComfortHMI-136	SWE1-HVAC-005-01	2.4	1.00	0	C3.) AC has on/ off state.
NR1L-ComfortHMI-137	SWE1-HVAC-005-02	2.4	1.00	1	Auto can automatically turn on AC. AC will break Auto.
