token	count	outlines
ALLCAPS AUTO	38	2.3,2.3.1,2.7,3.2,7.2,7.5,7.8,9.2,10.2,10.4,10.5,10.6,10.8,10.9,10.9.1,15.1,16.3,16.7,16.8,16.13
ALLCAPS MAX DEF	32	3.2,3.3,16.3,16.4,16.8,16.13
ALLCAPS HVAC	30	2.14,9.2,10.1,14.1,14.1.1,14.2,14.3,14.4,14.5,14.6,14.7,14.8,14.9,14.10,14.11,14.12,15.1
ALLCAPS HI	24	2.6,3.2,7.4,11.1,11.2,11.8,12.1,12.2,12.8,12.9,16.6,16.8
ALLCAPS LO	23	2.6,7.4,11.1,11.2,11.8,12.1,12.2,12.8,12.9,16.6,16.13
ALLCAPS MAX A/C	23	2.13,3.2,16.3,16.4,16.8,16.13
ALLCAPS OFF	22	2.7,2.10,3.1,7.5,9.2,9.4,11.1,11.2,11.3,11.8,11.9,12.1,12.2,12.4,12.8,12.9,16.7,16.10
ALLCAPS A/C	21	2.3,3.2,16.3,16.4,16.8,16.13,17.2
ALLCAPS SYNC	20	2.6.1,2.11,7.4,7.7,16.6.1,16.11
ALLCAPS FAN	13	2.7,7.5,12.7,14.19,16.7
ALLCAPS MTC	13	2.2,2.3,2.14,16.2,16.3,16.14
QUOTE '"'	12	2.10,2.14,14.14,16.10,16.14
ALLCAPS AC	11	2.3,2.4,2.5,2.8,7.9,16.3
ALLCAPS CCM	10	2.5,2.6,2.8,2.9,2.13,2.14,7.4,16.6,16.9,16.14
ALLCAPS LED	10	3.2,11.1,11.2,11.8,12.1,12.2,12.8,12.9,16.8,16.10
ALLCAPS MED	10	11.1,11.2,11.8,12.1,12.2
ALLCAPS ON	10	2.6.1,2.10,2.12,3.1,7.4,7.8,11.9,16.6.1,16.10,16.12
QUOTE "'"	10	2.2,2.6,7.7,16.2,16.6,16.16,17.2
ALLCAPS AUTO ECO	9	10.2,10.3,10.4,10.5,10.6,10.8,10.9,10.9.1
ALLCAPS TS	8	2.6,2.7,2.10,7.5,7.6,16.6,16.7,16.10
NONASCII '«' U+00AB LEFT-POINTING DOUBLE ANGLE QUOTATION MARK	8	9.2,9.3,9.4.1,10.9.1,11.7
NONASCII '»' U+00BB RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK	8	9.2,9.3,9.4.1,10.9.1,11.7
QUOTE '>'	8	2.12.2,16.12.1
ALLCAPS ATC	7	2.2,2.6,2.14,7.4,16.2,16.6,16.14
ALLCAPS REAR DEFROST	7	2.9,2.10,3.2,16.4,16.8,16.9
ALLCAPS RECIRC	7	2.5,2.8,3.2,16.4,16.8,16.13
ALLCAPS EXTERIOR REAR	5	2.9,2.15,16.15
ALLCAPS HMI	5	2.1,11.5,12.6,13.4,17.1
ALLCAPS MODE	5	3.1,12.7,15.1
ALLCAPS NOT	5	2.2,2.3,7.2,16.2,16.3
NUM[digit+h] 15h	5	2.3,2.7,7.2,7.5
ALLCAPS HC	4	2.10,2.12.2,16.10,16.12.1
ALLCAPS TEMP	4	2.6.1,7.4,7.10,16.6.1
ALLCAPS VIEW MIRROR DEFROST	4	2.9,2.15,16.15
ALLCAPS C13	3	2.12,2.12.1,2.12.2
ALLCAPS C2	3	2.3,2.3.1,9.2
ALLCAPS CLIMATE	3	2.7,7.5,16.7
ALLCAPS ICE11	3	16.2,16.12,16.12.1
ALLCAPS R1HVS1	3	11.6,11.6.1,11.7
ALLCAPS UP/DOWN	3	3.1,14.12
NUM[digit-digit] 1-7	3	2.7,7.5,16.7
NUM[digit-digit] 60-84	3	2.6,7.4,16.6
NUM[digit/digit] 7/7	3	3.2,16.8,16.13
ALLCAPS C1	2	2.2,9.2
ALLCAPS C12	2	2.11,9.3
ALLCAPS C16	2	2.15,16.17
ALLCAPS C4	2	2.5,2.5.1
ALLCAPS C5	2	2.6,2.6.1
ALLCAPS C6	2	2.7,2.7.1
ALLCAPS CLIMATE OFF	2	2.10,16.10
ALLCAPS CR1	2	7.1,7.1.1
ALLCAPS CR13	2	9.4,9.4.1
ALLCAPS ECO HVAC	2	10.1,10.9.1
ALLCAPS EH9	2	10.9,10.9.1
ALLCAPS F/C	2	2.10,16.10
ALLCAPS FAN SPEED	2	14.11,15.1
ALLCAPS HARD CONTROLS	2	2.6.1,16.6.1
ALLCAPS HVACP1	2	14.1,14.1.1
ALLCAPS HVACP10	2	14.10,14.10.1
ALLCAPS HVACP11	2	14.11,15.1
