req_id	outline	polarion_id	spec_reference	title
SWE1-HVAC-001-01	2.1	NRL-153340	SYS1_HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.1	R1C1.) The comfort category will have up to 4 tabs depending on vehicle configur
SWE1-HVAC-001-02	2.1	NRL-153340	SYS1_HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.1	R1C1.) The comfort category will have up to 4 tabs depending on vehicle configur
SWE1-HVAC-001-03	2.1	NRL-153340	SYS1_HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.1	R1C1.) The comfort category will have up to 4 tabs depending on vehicle configur
SWE1-HVAC-002-01	2.2	NRL-153341	SYS1_HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.2	C1.) Whenever changes to the climate system are made via hard controls or touchs
SWE1-HVAC-002-02	2.2	NRL-153341	SYS1_HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.2	C1.) Whenever changes to the climate system are made via hard controls or touchs
SWE1-HVAC-002-03	2.2	NRL-153341	SYS1_HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.2	C1.) Whenever changes to the climate system are made via hard controls or touchs
SWE1-HVAC-002-04	2.2	NRL-153341	SYS1_HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.2	C1.) Whenever changes to the climate system are made via hard controls or touchs
SWE1-HVAC-002-05	2.2	NRL-153341	SYS1_HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.2	C1.) Whenever changes to the climate system are made via hard controls or touchs
SWE1-HVAC-002-06	2.2	NRL-153341	SYS1_HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.2	C1.) Whenever changes to the climate system are made via hard controls or touchs
SWE1-HVAC-002-07	2.2	NRL-153341	SYS1_HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.2	C1.) Whenever changes to the climate system are made via hard controls or touchs
SWE1-HVAC-002-08	2.2	NRL-153341	SYS1_HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.2	C1.) Whenever changes to the climate system are made via hard controls or touchs
SWE1-HVAC-003-01	2.3	NRL-153342	SYS1_HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.3	C2.) AUTO has on/ off state. The fan speed indicator shows Auto instead of the a
SWE1-HVAC-003-02	2.3	NRL-153342	SYS1_HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.3	C2.) AUTO has on/ off state. The fan speed indicator shows Auto instead of the a
SWE1-HVAC-003-03	2.3	NRL-153342	SYS1_HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.3	C2.) AUTO has on/ off state. The fan speed indicator shows Auto instead of the a
SWE1-HVAC-003-04	2.3	NRL-153342	SYS1_HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.3	C2.) AUTO has on/ off state. The fan speed indicator shows Auto instead of the a
SWE1-HVAC-003-05	2.3	NRL-153342	SYS1_HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.3	C2.) AUTO has on/ off state. The fan speed indicator shows Auto instead of the a
SWE1-HVAC-003-06	2.3	NRL-153342	SYS1_HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.3	C2.) AUTO has on/ off state. The fan speed indicator shows Auto instead of the a
SWE1-HVAC-003-07	2.3	NRL-153342	SYS1_HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.3	C2.) AUTO has on/ off state. The fan speed indicator shows Auto instead of the a
SWE1-HVAC-003-08	2.3	NRL-153342	SYS1_HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.3	C2.) AUTO has on/ off state. The fan speed indicator shows Auto instead of the a
SWE1-HVAC-003-09	2.3	NRL-153342	SYS1_HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.3	C2.) AUTO has on/ off state. The fan speed indicator shows Auto instead of the a
SWE1-HVAC-004-01	2.3.1	NRL-153343	SYS1_HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.3.1	C2.1) Some vehicles with dual zone climate with dual airflow mode can have a con
SWE1-HVAC-004-02	2.3.1	NRL-153343	SYS1_HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.3.1	C2.1) Some vehicles with dual zone climate with dual airflow mode can have a con
SWE1-HVAC-005-01	2.4	NRL-153344	SYS1_HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.4	C3.) AC has on/ off state. Auto can automatically turn on AC. AC will break Auto
SWE1-HVAC-005-02	2.4	NRL-153344	SYS1_HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.4	C3.) AC has on/ off state. Auto can automatically turn on AC. AC will break Auto
SWE1-HVAC-005-03	2.4	NRL-153344	SYS1_HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.4	C3.) AC has on/ off state. Auto can automatically turn on AC. AC will break Auto
SWE1-HVAC-005-04	2.4	NRL-153344	SYS1_HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.4	C3.) AC has on/ off state. Auto can automatically turn on AC. AC will break Auto
SWE1-HVAC-006-01	2.5	NRL-153345	SYS1_HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.5	C4.) Recirc has on/ off state. RECIRC is not available in certain modes. Therefo
SWE1-HVAC-006-02	2.5	NRL-153345	SYS1_HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.5	C4.) Recirc has on/ off state. RECIRC is not available in certain modes. Therefo
SWE1-HVAC-006-03	2.5	NRL-153345	SYS1_HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.5	C4.) Recirc has on/ off state. RECIRC is not available in certain modes. Therefo
SWE1-HVAC-006-04	2.5	NRL-153345	SYS1_HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.5	C4.) Recirc has on/ off state. RECIRC is not available in certain modes. Therefo
SWE1-HVAC-007-01	2.5.1	NRL-153347	SYS1_HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.5.1	C4.1) Some vehicles have a configuration for a 3 state toggle recirc button: Aut
SWE1-HVAC-007-02	2.5.1	NRL-153347	SYS1_HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.5.1	C4.1) Some vehicles have a configuration for a 3 state toggle recirc button: Aut
SWE1-HVAC-008-01	2.6	NRL-153348	SYS1_HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.6	C5.) Temperature ranges: LO, 60-84, HI (English), LO, 16-28, HI (Metric). This s
SWE1-HVAC-008-02	2.6	NRL-153348	SYS1_HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.6	C5.) Temperature ranges: LO, 60-84, HI (English), LO, 16-28, HI (Metric). This s
SWE1-HVAC-008-03	2.6	NRL-153348	SYS1_HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.6	C5.) Temperature ranges: LO, 60-84, HI (English), LO, 16-28, HI (Metric). This s
SWE1-HVAC-008-04	2.6	NRL-153348	SYS1_HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.6	C5.) Temperature ranges: LO, 60-84, HI (English), LO, 16-28, HI (Metric). This s
SWE1-HVAC-008-05	2.6	NRL-153348	SYS1_HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.6	C5.) Temperature ranges: LO, 60-84, HI (English), LO, 16-28, HI (Metric). This s
