cell	tc_id	item	before	after
N10	NR1L-ComfortHMI-435	R-C49	HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.1、2.14、6.3	"HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.1
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.14
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_6.3"
W10	NR1L-ComfortHMI-435	R-C48	1	0
X10	NR1L-ComfortHMI-435	R-C48	1	0
AH10	NR1L-ComfortHMI-435	R-C52		The Comfort HMI specification allows up to 4 tabs including Massage, while the software requirement for this case allows up to 3 tabs and does not list Massage. This case checks the specification's upper limit of 4 tabs.
N11	NR1L-ComfortHMI-436	R-C49	HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.1、2.14、6.3	"HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.1
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.14
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_6.3"
W11	NR1L-ComfortHMI-436	R-C48	1	0
X11	NR1L-ComfortHMI-436	R-C48	1	0
AH11	NR1L-ComfortHMI-436	R-C52		The Comfort HMI specification allows up to 4 tabs including Massage, while the software requirement for this case allows up to 3 tabs and does not list Massage. This case checks 3 tabs drawn from the specification's four areas, which may include Massage.
N12	NR1L-ComfortHMI-437	R-C49	HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.1、2.14、6.3	"HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.1
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.14
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_6.3"
W12	NR1L-ComfortHMI-437	R-C48	1	0
X12	NR1L-ComfortHMI-437	R-C48	1	0
AH12	NR1L-ComfortHMI-437	R-C52		The Comfort HMI specification allows up to 4 tabs including Massage, while the software requirement for this case allows up to 3 tabs and does not list Massage. This case checks 2 tabs drawn from the specification's four areas, which may include Massage.
N13	NR1L-ComfortHMI-438	R-C49	HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.1、2.14、6.3	"HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.1
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.14
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_6.3"
W13	NR1L-ComfortHMI-438	R-C48	1	0
X13	NR1L-ComfortHMI-438	R-C48	1	0
AH13	NR1L-ComfortHMI-438	R-C52		The Comfort HMI specification orders the tabs Front, Seats, Massage, Rear, while the software requirement for this case lists Front, Seats, Rear without Massage. This case checks the specification's order, including Massage.
N14	NR1L-ComfortHMI-042	R-C49	HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.1、2.14、6.3	"HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.1
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.14
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_6.3"
W14	NR1L-ComfortHMI-042	R-C48	1	0
X14	NR1L-ComfortHMI-042	R-C48	1	0
I15	NR1L-ComfortHMI-032	sibling-plan wb-006	"C1.) Whenever changes to the climate system are made via hard controls or touchscreen, these changes are reflected in both locations.

(change the temperature on the climate screen -> The temperature indicated by the hard controls is the one set on the climate screen)"	"C1.) Whenever changes to the climate system are made via hard controls or touchscreen, these changes are reflected in both locations.

(change the fan speed using the fan speed hard control -> The fan speed shown on the climate screen is the one set by the hard control)"
L15	NR1L-ComfortHMI-032	sibling-plan wb-006	"1. Open the climate screen
2. Change the fan speed using the fan speed hard control
3. Change the temperature on the climate screen"	"1. Open the climate screen
2. Change the fan speed using the fan speed hard control"
M15	NR1L-ComfortHMI-032	sibling-plan wb-006	"1. The climate screen shows the current fan speed and temperature
2. The fan speed shown on the climate screen is the one set by the hard control
3. The temperature indicated by the hard controls is the one set on the climate screen"	"1. The climate screen shows the current fan speed and temperature
2. The fan speed shown on the climate screen is the one set by the hard control"
N15	NR1L-ComfortHMI-032	R-C49	HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.2、2.14、16.2	"HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.2
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.14
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_16.2"
W15	NR1L-ComfortHMI-032	R-C48	1	0
X15	NR1L-ComfortHMI-032	R-C48	1	0
N16	NR1L-ComfortHMI-033	R-C49	HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.2、2.14、16.2	"HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.2
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.14
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_16.2"
W16	NR1L-ComfortHMI-033	R-C48	1	0
X16	NR1L-ComfortHMI-033	R-C48	1	0
