tc_id	req_id	sections_before	sections_after	external_before	external_after	same_set	own_first	ascending_rest
NR1L-ComfortHMI-001	SWE1-HVAC-076-01	13.2	13.2			True	True	True
NR1L-ComfortHMI-002	SWE1-HVAC-076-02	13.2	13.2			True	True	True
NR1L-ComfortHMI-003	SWE1-HVAC-076-03	2.14|6.3|13.2	13.2|2.14|6.3			True	True	True
NR1L-ComfortHMI-004	SWE1-HVAC-077	13.2.1	13.2.1			True	True	True
NR1L-ComfortHMI-005	SWE1-HVAC-078-01	13.3	13.3			True	True	True
NR1L-ComfortHMI-006	SWE1-HVAC-078-02	13.3	13.3			True	True	True
NR1L-ComfortHMI-007	SWE1-HVAC-079-01	13.3.1	13.3.1			True	True	True
NR1L-ComfortHMI-008	SWE1-HVAC-079-02	13.3.1	13.3.1			True	True	True
NR1L-ComfortHMI-009	SWE1-HVAC-080-01	13.4	13.4			True	True	True
NR1L-ComfortHMI-010	SWE1-HVAC-080-02	13.4	13.4			True	True	True
NR1L-ComfortHMI-011	SWE1-HVAC-081-01	13.5	13.5			True	True	True
NR1L-ComfortHMI-012	SWE1-HVAC-081-02	13.5	13.5			True	True	True
NR1L-ComfortHMI-013	SWE1-HVAC-082-01	13.6	13.6			True	True	True
NR1L-ComfortHMI-014	SWE1-HVAC-082-02	13.6	13.6			True	True	True
NR1L-ComfortHMI-015	SWE1-HVAC-023-01	2.14|3.1	3.1|2.14			True	True	True
NR1L-ComfortHMI-016	SWE1-HVAC-023-02	2.14|3.1	3.1|2.14			True	True	True
NR1L-ComfortHMI-017	SWE1-HVAC-023-03	2.14|3.1	3.1|2.14			True	True	True
NR1L-ComfortHMI-018	SWE1-HVAC-024-01	2.14|3.2|16.2	3.2|2.14|16.2			True	True	True
NR1L-ComfortHMI-019	SWE1-HVAC-024-02	2.7|2.14|3.2|16.2	3.2|2.7|2.14|16.2			True	True	True
NR1L-ComfortHMI-020	SWE1-HVAC-024-03	2.14|3.2|16.2	3.2|2.14|16.2			True	True	True
NR1L-ComfortHMI-021	SWE1-HVAC-024-04	2.14|3.2|16.2	3.2|2.14|16.2			True	True	True
NR1L-ComfortHMI-022	SWE1-HVAC-024-05	2.14|3.2|16.2	3.2|2.14|16.2			True	True	True
NR1L-ComfortHMI-023	SWE1-HVAC-024-06	2.14|3.2|16.2	3.2|2.14|16.2			True	True	True
NR1L-ComfortHMI-024	SWE1-HVAC-024-07	2.14|3.2|16.2	3.2|2.14|16.2			True	True	True
NR1L-ComfortHMI-025	SWE1-HVAC-024-07	2.14|3.2|16.2	3.2|2.14|16.2			True	True	True
NR1L-ComfortHMI-026	SWE1-HVAC-024-07	2.14|3.2|16.2	3.2|2.14|16.2			True	True	True
NR1L-ComfortHMI-027	SWE1-HVAC-024-07	2.14|3.2|16.2	3.2|2.14|16.2			True	True	True
NR1L-ComfortHMI-028	SWE1-HVAC-024-08	2.14|3.2|16.2	3.2|2.14|16.2			True	True	True
NR1L-ComfortHMI-029	SWE1-HVAC-025-01	2.14|3.2|3.3|3.4|16.2	3.3|2.14|3.2|3.4|16.2			True	True	True
NR1L-ComfortHMI-030	SWE1-HVAC-025-02	2.14|3.2|3.3|3.4|16.2	3.3|2.14|3.2|3.4|16.2			True	True	True
NR1L-ComfortHMI-031	SWE1-HVAC-026	2.14|3.4	3.4|2.14			True	True	True
NR1L-ComfortHMI-032	SWE1-HVAC-002-01	2.2|2.14|16.2	2.2|2.14|16.2			True	True	True
NR1L-ComfortHMI-033	SWE1-HVAC-002-02	2.2|2.14|16.2	2.2|2.14|16.2			True	True	True
NR1L-ComfortHMI-034	SWE1-HVAC-002-03	2.2|2.14|6.3|16.2	2.2|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-035	SWE1-HVAC-002-04	2.2|2.14|16.2	2.2|2.14|16.2			True	True	True
NR1L-ComfortHMI-036	SWE1-HVAC-002-05	2.2|2.14|16.2	2.2|2.14|16.2			True	True	True
NR1L-ComfortHMI-037	SWE1-HVAC-002-05	2.2|2.14	2.2|2.14			True	True	True
NR1L-ComfortHMI-038	SWE1-HVAC-002-06	2.2|2.14|16.2	2.2|2.14|16.2			True	True	True
NR1L-ComfortHMI-039	SWE1-HVAC-002-07	2.2|2.14|6.3|16.2	2.2|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-040	SWE1-HVAC-002-08	2.2|2.14|16.2	2.2|2.14|16.2			True	True	True
NR1L-ComfortHMI-041	SWE1-HVAC-027	2.14|6.3	6.3|2.14			True	True	True
NR1L-ComfortHMI-042	SWE1-HVAC-001-03	2.1|2.14|6.3	2.1|2.14|6.3			True	True	True
NR1L-ComfortHMI-043	SWE1-HVAC-020-01	2.14|16.2	2.14|16.2			True	True	True
NR1L-ComfortHMI-044	SWE1-HVAC-020-02	2.14|16.2	2.14|16.2			True	True	True
NR1L-ComfortHMI-045	SWE1-HVAC-020-03	2.14|6.3	2.14|6.3			True	True	True
NR1L-ComfortHMI-046	SWE1-HVAC-020-04	2.14|6.3	2.14|6.3			True	True	True
NR1L-ComfortHMI-047	SWE1-HVAC-020-04	2.14|6.3	2.14|6.3			True	True	True
NR1L-ComfortHMI-048	SWE1-HVAC-008-01	2.6|2.14|16.2	2.6|2.14|16.2			True	True	True
NR1L-ComfortHMI-049	SWE1-HVAC-008-02	2.6|2.14|16.2	2.6|2.14|16.2			True	True	True
NR1L-ComfortHMI-050	SWE1-HVAC-008-03	2.6|2.14|16.2	2.6|2.14|16.2			True	True	True
NR1L-ComfortHMI-051	SWE1-HVAC-008-04	2.6|2.14|16.2	2.6|2.14|16.2			True	True	True
NR1L-ComfortHMI-052	SWE1-HVAC-008-05	2.6|2.14|16.2	2.6|2.14|16.2			True	True	True
NR1L-ComfortHMI-053	SWE1-HVAC-009-01	2.6.1|2.11|2.14|16.2	2.6.1|2.11|2.14|16.2			True	True	True
NR1L-ComfortHMI-054	SWE1-HVAC-009-02	2.6.1|2.11|2.14|16.2	2.6.1|2.11|2.14|16.2			True	True	True
NR1L-ComfortHMI-055	SWE1-HVAC-009-03	2.6.1|2.14|16.2	2.6.1|2.14|16.2			True	True	True
NR1L-ComfortHMI-056	SWE1-HVAC-009-04	2.6.1|2.14|16.2	2.6.1|2.14|16.2			True	True	True
NR1L-ComfortHMI-057	SWE1-HVAC-009-05	2.6.1|2.14|16.2	2.6.1|2.14|16.2			True	True	True
NR1L-ComfortHMI-058	SWE1-HVAC-009-06	2.6.1|2.14|16.2	2.6.1|2.14|16.2			True	True	True
NR1L-ComfortHMI-059	SWE1-HVAC-010-01	2.7|2.14|6.3|16.2	2.7|2.14|6.3|16.2			True	True	True
NR1L-ComfortHMI-060	SWE1-HVAC-010-02	2.7|2.14|16.2	2.7|2.14|16.2			True	True	True
NR1L-ComfortHMI-061	SWE1-HVAC-010-03	2.7|2.14|16.2	2.7|2.14|16.2			True	True	True
NR1L-ComfortHMI-062	SWE1-HVAC-010-04	2.7|2.14|16.2	2.7|2.14|16.2			True	True	True
NR1L-ComfortHMI-063	SWE1-HVAC-010-05	2.7|2.14|16.2	2.7|2.14|16.2			True	True	True
NR1L-ComfortHMI-064	SWE1-HVAC-022-01	2.14|2.16|16.2	2.16|2.14|16.2			True	True	True
NR1L-ComfortHMI-065	SWE1-HVAC-022-02	2.14|2.16	2.16|2.14			True	True	True
NR1L-ComfortHMI-066	SWE1-HVAC-011	2.7|2.7.1|2.14	2.7.1|2.7|2.14			True	True	True
