cell	sheet	tc_id	item	revise_0918	revise_0921
T10	Test Case Specification 測試用例規範	NR1L-ComfortHMI-435	R-C48(amend)	1	0
U10	Test Case Specification 測試用例規範	NR1L-ComfortHMI-435	R-C48(amend)	1	0
T11	Test Case Specification 測試用例規範	NR1L-ComfortHMI-436	R-C48(amend)	1	0
U11	Test Case Specification 測試用例規範	NR1L-ComfortHMI-436	R-C48(amend)	1	0
T12	Test Case Specification 測試用例規範	NR1L-ComfortHMI-437	R-C48(amend)	1	0
U12	Test Case Specification 測試用例規範	NR1L-ComfortHMI-437	R-C48(amend)	1	0
T13	Test Case Specification 測試用例規範	NR1L-ComfortHMI-438	R-C48(amend)	1	0
U13	Test Case Specification 測試用例規範	NR1L-ComfortHMI-438	R-C48(amend)	1	0
T14	Test Case Specification 測試用例規範	NR1L-ComfortHMI-042	R-C48(amend)	1	0
U14	Test Case Specification 測試用例規範	NR1L-ComfortHMI-042	R-C48(amend)	1	0
T15	Test Case Specification 測試用例規範	NR1L-ComfortHMI-032	R-C48(amend)	1	0
U15	Test Case Specification 測試用例規範	NR1L-ComfortHMI-032	R-C48(amend)	1	0
T16	Test Case Specification 測試用例規範	NR1L-ComfortHMI-033	R-C48(amend)	1	0
U16	Test Case Specification 測試用例規範	NR1L-ComfortHMI-033	R-C48(amend)	1	0
T17	Test Case Specification 測試用例規範	NR1L-ComfortHMI-034	R-C48(amend)	1	0
U17	Test Case Specification 測試用例規範	NR1L-ComfortHMI-034	R-C48(amend)	1	0
J18	Test Case Specification 測試用例規範	NR1L-ComfortHMI-035	軸 2 PC	"1. The vehicle has climate hard controls and a climate touchscreen
2. The vehicle has a passenger side temperature control
3. The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed
4. The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16"	"1. The vehicle has climate hard controls and a climate touchscreen
2. The vehicle has a passenger side temperature control
3. The vehicle is not a single zone climate configuration, for which Sync is not shown
4. The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed
5. The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16"
L18	Test Case Specification 測試用例規範	NR1L-ComfortHMI-035	M7	"1. Turn Sync on
2. Adjust the driver temperature slider"	"1. Turn ""SYNC"" on
2. Adjust the driver temperature slider"
M18	Test Case Specification 測試用例規範	NR1L-ComfortHMI-035	M7	"1. Sync is on
2. No slider pop-up is shown on the passenger side"	"1. SYNC is on
2. No slider pop-up is shown on the passenger side"
N18	Test Case Specification 測試用例規範	NR1L-ComfortHMI-035	R-C49(amend)	"HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.2
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.14
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_16.2"	"HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.2
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.11
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.14
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_16.2"
T18	Test Case Specification 測試用例規範	NR1L-ComfortHMI-035	R-C48(amend)	1	0
U18	Test Case Specification 測試用例規範	NR1L-ComfortHMI-035	R-C48(amend)	1	0
I19	Test Case Specification 測試用例規範	NR1L-ComfortHMI-036	R-C50+R-C50(amend)	"a pop-up will be shown coming down from that temperature in the status bar to indicate it is being altered, for ATC it will display the degree (or half degree increments for Celsius and for Fahrenheit do not show half degrees) being set

(change the temperature using the temperature hard control -> A pop-up comes down from the temperature in the status bar and displays the degree being set, in half degree increments)"	"A pop-up will be shown coming down from that temperature in the status bar to indicate it is being altered, for ATC it will display the degree (or half degree increments for Celsius and for Fahrenheit do not show half degrees) being set

(change the temperature using the temperature hard control -> A pop-up comes down from the temperature in the status bar and displays the degree being set, in half degree increments)"
T19	Test Case Specification 測試用例規範	NR1L-ComfortHMI-036	R-C48(amend)	1	0
U19	Test Case Specification 測試用例規範	NR1L-ComfortHMI-036	R-C48(amend)	1	0
I20	Test Case Specification 測試用例規範	NR1L-ComfortHMI-037	R-C50+R-C50(amend)	"a pop-up will be shown coming down from that temperature in the status bar to indicate it is being altered, for ATC it will display the degree (or half degree increments for Celsius and for Fahrenheit do not show half degrees) being set

(change the temperature using the temperature hard control -> A pop-up comes down from the temperature in the status bar and displays the degree being set, without half degrees)"	"A pop-up will be shown coming down from that temperature in the status bar to indicate it is being altered, for ATC it will display the degree (or half degree increments for Celsius and for Fahrenheit do not show half degrees) being set

(change the temperature using the temperature hard control -> A pop-up comes down from the temperature in the status bar and displays the degree being set, without half degrees)"
T20	Test Case Specification 測試用例規範	NR1L-ComfortHMI-037	R-C48(amend)	1	0
U20	Test Case Specification 測試用例規範	NR1L-ComfortHMI-037	R-C48(amend)	1	0
