cell	sheet	tc_id	item	v3	v4
Y10	Test Case Specification 測試用例規範	NR1L-ComfortHMI-435	R-C48(amend2)/R-C62 車型欄	1	0
Y11	Test Case Specification 測試用例規範	NR1L-ComfortHMI-436	R-C48(amend2)/R-C62 車型欄	1	0
Y12	Test Case Specification 測試用例規範	NR1L-ComfortHMI-437	R-C48(amend2)/R-C62 車型欄	1	0
Y13	Test Case Specification 測試用例規範	NR1L-ComfortHMI-438	R-C48(amend2)/R-C62 車型欄	1	0
Y14	Test Case Specification 測試用例規範	NR1L-ComfortHMI-042	R-C48(amend2)/R-C62 車型欄	1	0
Y15	Test Case Specification 測試用例規範	NR1L-ComfortHMI-032	R-C48(amend2)/R-C62 車型欄	1	0
Y16	Test Case Specification 測試用例規範	NR1L-ComfortHMI-033	R-C48(amend2)/R-C62 車型欄	1	0
Y17	Test Case Specification 測試用例規範	NR1L-ComfortHMI-034	R-C48(amend2)/R-C62 車型欄	1	0
Y18	Test Case Specification 測試用例規範	NR1L-ComfortHMI-035	R-C48(amend2)/R-C62 車型欄	1	0
Y19	Test Case Specification 測試用例規範	NR1L-ComfortHMI-036	R-C48(amend2)/R-C62 車型欄	1	0
Y20	Test Case Specification 測試用例規範	NR1L-ComfortHMI-037	R-C48(amend2)/R-C62 車型欄	1	0
V21	Test Case Specification 測試用例規範	NR1L-ComfortHMI-038	R-C48(amend2)/R-C62 車型欄	1	0
Y21	Test Case Specification 測試用例規範	NR1L-ComfortHMI-038	R-C48(amend2)/R-C62 車型欄	1	0
Z21	Test Case Specification 測試用例規範	NR1L-ComfortHMI-038	R-C48(amend2)/R-C62 車型欄	1	0
Y22	Test Case Specification 測試用例規範	NR1L-ComfortHMI-039	R-C48(amend2)/R-C62 車型欄	1	0
Y23	Test Case Specification 測試用例規範	NR1L-ComfortHMI-040	R-C48(amend2)/R-C62 車型欄	1	0
Y24	Test Case Specification 測試用例規範	NR1L-ComfortHMI-127	R-C48(amend2)/R-C62 車型欄	1	0
Y25	Test Case Specification 測試用例規範	NR1L-ComfortHMI-128	R-C48(amend2)/R-C62 車型欄	1	0
Y26	Test Case Specification 測試用例規範	NR1L-ComfortHMI-129	R-C48(amend2)/R-C62 車型欄	1	0
Y27	Test Case Specification 測試用例規範	NR1L-ComfortHMI-130	R-C48(amend2)/R-C62 車型欄	1	0
Y28	Test Case Specification 測試用例規範	NR1L-ComfortHMI-131	R-C48(amend2)/R-C62 車型欄	1	0
Y29	Test Case Specification 測試用例規範	NR1L-ComfortHMI-132	R-C48(amend2)/R-C62 車型欄	1	0
Y30	Test Case Specification 測試用例規範	NR1L-ComfortHMI-386	R-C48(amend2)/R-C62 車型欄	1	0
Y31	Test Case Specification 測試用例規範	NR1L-ComfortHMI-387	R-C48(amend2)/R-C62 車型欄	1	0
Y32	Test Case Specification 測試用例規範	NR1L-ComfortHMI-133	R-C48(amend2)/R-C62 車型欄	1	0
Y33	Test Case Specification 測試用例規範	NR1L-ComfortHMI-134	R-C48(amend2)/R-C62 車型欄	1	0
V34	Test Case Specification 測試用例規範	NR1L-ComfortHMI-135	R-C48(amend2)/R-C62 車型欄	1	0
Y34	Test Case Specification 測試用例規範	NR1L-ComfortHMI-135	R-C48(amend2)/R-C62 車型欄	1	0
Z34	Test Case Specification 測試用例規範	NR1L-ComfortHMI-135	R-C48(amend2)/R-C62 車型欄	1	0
Y35	Test Case Specification 測試用例規範	NR1L-ComfortHMI-363	R-C48(amend2)/R-C62 車型欄	1	0
Y36	Test Case Specification 測試用例規範	NR1L-ComfortHMI-364	R-C48(amend2)/R-C62 車型欄	1	0
Y37	Test Case Specification 測試用例規範	NR1L-ComfortHMI-136	R-C48(amend2)/R-C62 車型欄	1	0
Y38	Test Case Specification 測試用例規範	NR1L-ComfortHMI-137	R-C48(amend2)/R-C62 車型欄	1	0
Y39	Test Case Specification 測試用例規範	NR1L-ComfortHMI-138	R-C48(amend2)/R-C62 車型欄	1	0
Y40	Test Case Specification 測試用例規範	NR1L-ComfortHMI-139	R-C48(amend2)/R-C62 車型欄	1	0
Y41	Test Case Specification 測試用例規範	NR1L-ComfortHMI-140	R-C48(amend2)/R-C62 車型欄	1	0
L42	Test Case Specification 測試用例規範	NR1L-ComfortHMI-141	M6+R-C64/DR-46	"1. PENDING: DR-46 DBC message and raw value for $RECIRC_STAT$ = ""not available/Blink""
2. Read the ""RECIRC"" button on the climate screen"	"1. Send CAN: STATUS_CLIMATE2.HVACRecirc_Sts = 2 (BLINK)
2. Read the ""RECIRC"" button on the climate screen"
M42	Test Case Specification 測試用例規範	NR1L-ComfortHMI-141	R-C64/DR-46	"1. The climate screen is displayed
2. The ""RECIRC"" button is greyed out"	"1. STATUS_CLIMATE2.HVACRecirc_Sts = 2 (BLINK) is sent
2. The ""RECIRC"" button is greyed out"
Y42	Test Case Specification 測試用例規範	NR1L-ComfortHMI-141	R-C48(amend2)/R-C62 車型欄	1	0
Y43	Test Case Specification 測試用例規範	NR1L-ComfortHMI-142	R-C48(amend2)/R-C62 車型欄	1	0
Y44	Test Case Specification 測試用例規範	NR1L-ComfortHMI-439	R-C48(amend2)/R-C62 車型欄	1	0
Y45	Test Case Specification 測試用例規範	NR1L-ComfortHMI-365	R-C48(amend2)/R-C62 車型欄	1	0
Y46	Test Case Specification 測試用例規範	NR1L-ComfortHMI-388	R-C48(amend2)/R-C62 車型欄	1	0
Y47	Test Case Specification 測試用例規範	NR1L-ComfortHMI-366	R-C48(amend2)/R-C62 車型欄	1	0
Y48	Test Case Specification 測試用例規範	NR1L-ComfortHMI-048	R-C48(amend2)/R-C62 車型欄	1	0
Y49	Test Case Specification 測試用例規範	NR1L-ComfortHMI-049	R-C48(amend2)/R-C62 車型欄	1	0
Y50	Test Case Specification 測試用例規範	NR1L-ComfortHMI-389	R-C48(amend2)/R-C62 車型欄	1	0
Y51	Test Case Specification 測試用例規範	NR1L-ComfortHMI-050	R-C48(amend2)/R-C62 車型欄	1	0
Y52	Test Case Specification 測試用例規範	NR1L-ComfortHMI-051	R-C48(amend2)/R-C62 車型欄	1	0
Y53	Test Case Specification 測試用例規範	NR1L-ComfortHMI-052	R-C48(amend2)/R-C62 車型欄	1	0
Y54	Test Case Specification 測試用例規範	NR1L-ComfortHMI-053	R-C48(amend2)/R-C62 車型欄	1	0
Y55	Test Case Specification 測試用例規範	NR1L-ComfortHMI-054	R-C48(amend2)/R-C62 車型欄	1	0
Y56	Test Case Specification 測試用例規範	NR1L-ComfortHMI-055	R-C48(amend2)/R-C62 車型欄	1	0
Y57	Test Case Specification 測試用例規範	NR1L-ComfortHMI-390	R-C48(amend2)/R-C62 車型欄	1	0
Y58	Test Case Specification 測試用例規範	NR1L-ComfortHMI-056	R-C48(amend2)/R-C62 車型欄	1	0
Y59	Test Case Specification 測試用例規範	NR1L-ComfortHMI-057	R-C48(amend2)/R-C62 車型欄	1	0
Y60	Test Case Specification 測試用例規範	NR1L-ComfortHMI-391	R-C48(amend2)/R-C62 車型欄	1	0
Y61	Test Case Specification 測試用例規範	NR1L-ComfortHMI-058	R-C48(amend2)/R-C62 車型欄	1	0
Y62	Test Case Specification 測試用例規範	NR1L-ComfortHMI-392	R-C48(amend2)/R-C62 車型欄	1	0
Y63	Test Case Specification 測試用例規範	NR1L-ComfortHMI-059	R-C48(amend2)/R-C62 車型欄	1	0
Y64	Test Case Specification 測試用例規範	NR1L-ComfortHMI-060	R-C48(amend2)/R-C62 車型欄	1	0
Y65	Test Case Specification 測試用例規範	NR1L-ComfortHMI-061	R-C48(amend2)/R-C62 車型欄	1	0
Y66	Test Case Specification 測試用例規範	NR1L-ComfortHMI-393	R-C48(amend2)/R-C62 車型欄	1	0
Y67	Test Case Specification 測試用例規範	NR1L-ComfortHMI-394	R-C48(amend2)/R-C62 車型欄	1	0
Y68	Test Case Specification 測試用例規範	NR1L-ComfortHMI-062	R-C48(amend2)/R-C62 車型欄	1	0
Y69	Test Case Specification 測試用例規範	NR1L-ComfortHMI-395	R-C48(amend2)/R-C62 車型欄	1	0
Y70	Test Case Specification 測試用例規範	NR1L-ComfortHMI-063	R-C48(amend2)/R-C62 車型欄	1	0
Y71	Test Case Specification 測試用例規範	NR1L-ComfortHMI-066	R-C48(amend2)/R-C62 車型欄	1	0
Y72	Test Case Specification 測試用例規範	NR1L-ComfortHMI-153	R-C48(amend2)/R-C62 車型欄	1	0
Y73	Test Case Specification 測試用例規範	NR1L-ComfortHMI-154	R-C48(amend2)/R-C62 車型欄	1	0
Y74	Test Case Specification 測試用例規範	NR1L-ComfortHMI-155	R-C48(amend2)/R-C62 車型欄	1	0
Y75	Test Case Specification 測試用例規範	NR1L-ComfortHMI-156	R-C48(amend2)/R-C62 車型欄	1	0
Y76	Test Case Specification 測試用例規範	NR1L-ComfortHMI-157	R-C48(amend2)/R-C62 車型欄	1	0
Y77	Test Case Specification 測試用例規範	NR1L-ComfortHMI-396	R-C48(amend2)/R-C62 車型欄	1	0
L78	Test Case Specification 測試用例規範	NR1L-ComfortHMI-158	M6+R-C64/DR-46	"1. Turn ""FRONT DEF"" on from the climate screen
2. PENDING: DR-46 DBC message and raw value for $RECIRC_STAT$ = ""not available/Blink""
3. Read the ""RECIRC"" button on the climate screen"	"1. Turn ""FRONT DEF"" on from the climate screen
2. Send CAN: STATUS_CLIMATE2.HVACRecirc_Sts = 2 (BLINK)
3. Read the ""RECIRC"" button on the climate screen"
M78	Test Case Specification 測試用例規範	NR1L-ComfortHMI-158	M6+R-C64/DR-46	"1. The ""FRONT DEF"" button is highlighted
2. The climate screen is displayed
3. The ""RECIRC"" button is greyed out"	"1. The ""FRONT DEF"" button is highlighted
2. STATUS_CLIMATE2.HVACRecirc_Sts = 2 (BLINK) is sent
3. The ""RECIRC"" button is greyed out"
Y78	Test Case Specification 測試用例規範	NR1L-ComfortHMI-158	R-C48(amend2)/R-C62 車型欄	1	0
Y79	Test Case Specification 測試用例規範	NR1L-ComfortHMI-159	R-C48(amend2)/R-C62 車型欄	1	0
L80	Test Case Specification 測試用例規範	NR1L-ComfortHMI-160	M6+R-C64/DR-46	"1. PENDING: DR-46 DBC message and raw value for $EBL_Stat$ = ""not available/Blink""
2. Read the ""REAR DEFROST"" button on the climate screen"	"1. Send CAN: STATUS_CLIMATE2.HVACRearDef_Sts = 2 (BLINK)
2. Read the ""REAR DEFROST"" button on the climate screen"
M80	Test Case Specification 測試用例規範	NR1L-ComfortHMI-160	R-C64/DR-46	"1. The climate screen is displayed
2. The ""REAR DEFROST"" button is greyed out"	"1. STATUS_CLIMATE2.HVACRearDef_Sts = 2 (BLINK) is sent
2. The ""REAR DEFROST"" button is greyed out"
Y80	Test Case Specification 測試用例規範	NR1L-ComfortHMI-160	R-C48(amend2)/R-C62 車型欄	1	0
Y81	Test Case Specification 測試用例規範	NR1L-ComfortHMI-161	R-C48(amend2)/R-C62 車型欄	1	0
Y82	Test Case Specification 測試用例規範	NR1L-ComfortHMI-162	R-C48(amend2)/R-C62 車型欄	1	0
Y83	Test Case Specification 測試用例規範	NR1L-ComfortHMI-143	R-C48(amend2)/R-C62 車型欄	1	0
Y84	Test Case Specification 測試用例規範	NR1L-ComfortHMI-144	R-C48(amend2)/R-C62 車型欄	1	0
Y85	Test Case Specification 測試用例規範	NR1L-ComfortHMI-145	R-C48(amend2)/R-C62 車型欄	1	0
Y86	Test Case Specification 測試用例規範	NR1L-ComfortHMI-146	R-C48(amend2)/R-C62 車型欄	1	0
Y87	Test Case Specification 測試用例規範	NR1L-ComfortHMI-147	R-C48(amend2)/R-C62 車型欄	1	0
Y88	Test Case Specification 測試用例規範	NR1L-ComfortHMI-148	R-C48(amend2)/R-C62 車型欄	1	0
Y89	Test Case Specification 測試用例規範	NR1L-ComfortHMI-149	R-C48(amend2)/R-C62 車型欄	1	0
Y90	Test Case Specification 測試用例規範	NR1L-ComfortHMI-150	R-C48(amend2)/R-C62 車型欄	1	0
Y91	Test Case Specification 測試用例規範	NR1L-ComfortHMI-151	R-C48(amend2)/R-C62 車型欄	1	0
J92	Test Case Specification 測試用例規範	NR1L-ComfortHMI-430	R-C64/PROXI	"1. The vehicle is not a single zone climate configuration, for which Sync is not shown
2. The below requirements shall be implemented when the PROXI parameter $Rear_HVAC_cfg$ = [Present] — the vehicle is equipped with rear climate (CFTS043 NEWR1L-53677)
3. The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed
4. The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16
5. The vehicle is not configured with a non-foldable secondary lower screen containing comfort information, for which the comfort section is removed from the head unit"	"1. The vehicle is not a single zone climate configuration, for which Sync is not shown
2. PROXI Rear_Climate = 1 (Present) — the vehicle is equipped with rear climate (CFTS043 NEWR1L-53677)
3. The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed
4. The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16
5. The vehicle is not configured with a non-foldable secondary lower screen containing comfort information, for which the comfort section is removed from the head unit"
V92	Test Case Specification 測試用例規範	NR1L-ComfortHMI-430	R-C48(amend2)/R-C62 車型欄	1	0
Y92	Test Case Specification 測試用例規範	NR1L-ComfortHMI-430	R-C48(amend2)/R-C62 車型欄	1	0
Z92	Test Case Specification 測試用例規範	NR1L-ComfortHMI-430	R-C48(amend2)/R-C62 車型欄	1	0
J93	Test Case Specification 測試用例規範	NR1L-ComfortHMI-431	R-C64/PROXI	"1. The vehicle is not a single zone climate configuration, for which Sync is not shown
2. The below requirements shall be implemented when the PROXI parameter $Rear_HVAC_cfg$ = [Present] — the vehicle is equipped with rear climate (CFTS043 NEWR1L-53677)
3. The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed
4. The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16
5. The vehicle is not configured with a non-foldable secondary lower screen containing comfort information, for which the comfort section is removed from the head unit"	"1. The vehicle is not a single zone climate configuration, for which Sync is not shown
2. PROXI Rear_Climate = 1 (Present) — the vehicle is equipped with rear climate (CFTS043 NEWR1L-53677)
3. The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed
4. The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16
5. The vehicle is not configured with a non-foldable secondary lower screen containing comfort information, for which the comfort section is removed from the head unit"
V93	Test Case Specification 測試用例規範	NR1L-ComfortHMI-431	R-C48(amend2)/R-C62 車型欄	1	0
Y93	Test Case Specification 測試用例規範	NR1L-ComfortHMI-431	R-C48(amend2)/R-C62 車型欄	1	0
Z93	Test Case Specification 測試用例規範	NR1L-ComfortHMI-431	R-C48(amend2)/R-C62 車型欄	1	0
Y94	Test Case Specification 測試用例規範	NR1L-ComfortHMI-440	R-C48(amend2)/R-C62 車型欄	1	0
Y95	Test Case Specification 測試用例規範	NR1L-ComfortHMI-441	R-C48(amend2)/R-C62 車型欄	1	0
Y96	Test Case Specification 測試用例規範	NR1L-ComfortHMI-442	R-C48(amend2)/R-C62 車型欄	1	0
I97	Test Case Specification 測試用例規範	NR1L-ComfortHMI-443	R-C60	"ON state for the four airflow modes is shown by highlighting the button and increasing button size.

(select the ""Feet plus Windshield"" airflow mode -> The ""Feet plus Windshield"" button is highlighted and its size is increased)"	"ON state for the four airflow modes is shown by highlighting the button and increasing button size.

(select the Feet plus Windshield airflow mode -> The Feet plus Windshield button is highlighted and its size is increased)"
L97	Test Case Specification 測試用例規範	NR1L-ComfortHMI-443	R-C60	"1. Open the climate screen
2. Select the ""Feet plus Windshield"" airflow mode"	"1. Open the climate screen
2. Select the Feet plus Windshield airflow mode"
M97	Test Case Specification 測試用例規範	NR1L-ComfortHMI-443	R-C60	"1. The climate screen is displayed
2. The ""Feet plus Windshield"" button is highlighted and its size is increased"	"1. The climate screen is displayed
2. The Feet plus Windshield button is highlighted and its size is increased"
Y97	Test Case Specification 測試用例規範	NR1L-ComfortHMI-443	R-C48(amend2)/R-C62 車型欄	1	0
Y98	Test Case Specification 測試用例規範	NR1L-ComfortHMI-444	R-C48(amend2)/R-C62 車型欄	1	0
Y99	Test Case Specification 測試用例規範	NR1L-ComfortHMI-445	R-C48(amend2)/R-C62 車型欄	1	0
Y100	Test Case Specification 測試用例規範	NR1L-ComfortHMI-163	R-C48(amend2)/R-C62 車型欄	1	0
Y101	Test Case Specification 測試用例規範	NR1L-ComfortHMI-164	R-C48(amend2)/R-C62 車型欄	1	0
Y102	Test Case Specification 測試用例規範	NR1L-ComfortHMI-446	R-C48(amend2)/R-C62 車型欄	1	0
Y103	Test Case Specification 測試用例規範	NR1L-ComfortHMI-447	R-C48(amend2)/R-C62 車型欄	1	0
Y104	Test Case Specification 測試用例規範	NR1L-ComfortHMI-448	R-C48(amend2)/R-C62 車型欄	1	0
Y105	Test Case Specification 測試用例規範	NR1L-ComfortHMI-449	R-C48(amend2)/R-C62 車型欄	1	0
Y106	Test Case Specification 測試用例規範	NR1L-ComfortHMI-450	R-C48(amend2)/R-C62 車型欄	1	0
Y107	Test Case Specification 測試用例規範	NR1L-ComfortHMI-451	R-C48(amend2)/R-C62 車型欄	1	0
Y108	Test Case Specification 測試用例規範	NR1L-ComfortHMI-452	R-C48(amend2)/R-C62 車型欄	1	0
Y109	Test Case Specification 測試用例規範	NR1L-ComfortHMI-453	R-C48(amend2)/R-C62 車型欄	1	0
Y110	Test Case Specification 測試用例規範	NR1L-ComfortHMI-454	R-C48(amend2)/R-C62 車型欄	1	0
Y111	Test Case Specification 測試用例規範	NR1L-ComfortHMI-455	R-C48(amend2)/R-C62 車型欄	1	0
Y112	Test Case Specification 測試用例規範	NR1L-ComfortHMI-456	R-C48(amend2)/R-C62 車型欄	1	0
V113	Test Case Specification 測試用例規範	NR1L-ComfortHMI-457	R-C48(amend2)/R-C62 車型欄	1	0
