# coverage.tsv —— CMF-06 §3-6：403 個 leaf（Requirement ID）→ TC 之對映。
# `workbook_tc_ids` 為交付本 F 欄之值；`json_tc_ids` 為語料層之 tc_id ——
#   依 R-C46 既有 466 列之 F 不重編，兩者自 CMF-02 起為兩套號碼（A-CMF19）。
# `vehicle_V_Y_Z` 逐列之三台旗標（V Promaster／Y Toro／Z Fastback）。
# `blocked` 非空者為佔列不產步驟之 marker 列（R-C24／R-C38）。
req_id	outline	tc_count	workbook_rows	workbook_tc_ids	json_tc_ids	vehicle_V_Y_Z	blocked
SWE1-HVAC-001-01	2.1	3	10,11,12	NR1L-ComfortHMI-001,NR1L-ComfortHMI-002,NR1L-ComfortHMI-003	NR1L-ComfortHMI-435,NR1L-ComfortHMI-436,NR1L-ComfortHMI-437	101;101;101	
SWE1-HVAC-001-02	2.1	1	13	NR1L-ComfortHMI-004	NR1L-ComfortHMI-438	101	
SWE1-HVAC-001-03	2.1	1	14	NR1L-ComfortHMI-005	NR1L-ComfortHMI-042	101	
SWE1-HVAC-002-01	2.2	1	15	NR1L-ComfortHMI-006	NR1L-ComfortHMI-032	101	
SWE1-HVAC-002-02	2.2	1	16	NR1L-ComfortHMI-007	NR1L-ComfortHMI-033	101	
SWE1-HVAC-002-03	2.2	1	17	NR1L-ComfortHMI-008	NR1L-ComfortHMI-034	101	
SWE1-HVAC-002-04	2.2	1	18	NR1L-ComfortHMI-009	NR1L-ComfortHMI-035	101	
SWE1-HVAC-002-05	2.2	2	19,20	NR1L-ComfortHMI-010,NR1L-ComfortHMI-011	NR1L-ComfortHMI-036,NR1L-ComfortHMI-037	101;101	
SWE1-HVAC-002-06	2.2	1	21	NR1L-ComfortHMI-012	NR1L-ComfortHMI-038	000	
SWE1-HVAC-002-07	2.2	1	22	NR1L-ComfortHMI-013	NR1L-ComfortHMI-039	101	
SWE1-HVAC-002-08	2.2	1	23	NR1L-ComfortHMI-014	NR1L-ComfortHMI-040	101	
SWE1-HVAC-003-01	2.3	1	24	NR1L-ComfortHMI-015	NR1L-ComfortHMI-127	101	
SWE1-HVAC-003-02	2.3	1	25	NR1L-ComfortHMI-016	NR1L-ComfortHMI-128	101	
SWE1-HVAC-003-03	2.3	1	26	NR1L-ComfortHMI-017	NR1L-ComfortHMI-129	101	
SWE1-HVAC-003-04	2.3	1	27	NR1L-ComfortHMI-018	NR1L-ComfortHMI-130	101	
SWE1-HVAC-003-05	2.3	1	28	NR1L-ComfortHMI-019	NR1L-ComfortHMI-131	101	
SWE1-HVAC-003-06	2.3	4	29,30,31,484	NR1L-ComfortHMI-020,NR1L-ComfortHMI-021,NR1L-ComfortHMI-022,NR1L-ComfortHMI-475	NR1L-ComfortHMI-132,NR1L-ComfortHMI-386,NR1L-ComfortHMI-387,NR1L-ComfortHMI-475	101;101;101;101	
SWE1-HVAC-003-07	2.3	3	32,476,477	NR1L-ComfortHMI-023,NR1L-ComfortHMI-467,NR1L-ComfortHMI-468	NR1L-ComfortHMI-133,NR1L-ComfortHMI-467,NR1L-ComfortHMI-468	101;101;101	
SWE1-HVAC-003-08	2.3	1	33	NR1L-ComfortHMI-024	NR1L-ComfortHMI-134	101	
SWE1-HVAC-003-09	2.3	1	34	NR1L-ComfortHMI-025	NR1L-ComfortHMI-135	000	
SWE1-HVAC-004-01	2.3.1	1	35	NR1L-ComfortHMI-026	NR1L-ComfortHMI-363	101	
SWE1-HVAC-004-02	2.3.1	1	36	NR1L-ComfortHMI-027	NR1L-ComfortHMI-364	101	
SWE1-HVAC-005-01	2.4	1	37	NR1L-ComfortHMI-028	NR1L-ComfortHMI-136	101	
SWE1-HVAC-005-02	2.4	1	38	NR1L-ComfortHMI-029	NR1L-ComfortHMI-137	101	
SWE1-HVAC-005-03	2.4	1	39	NR1L-ComfortHMI-030	NR1L-ComfortHMI-138	101	
SWE1-HVAC-005-04	2.4	2	40,485	NR1L-ComfortHMI-031,NR1L-ComfortHMI-476	NR1L-ComfortHMI-139,NR1L-ComfortHMI-476	101;101	
SWE1-HVAC-006-01	2.5	1	41	NR1L-ComfortHMI-032	NR1L-ComfortHMI-140	101	
SWE1-HVAC-006-02	2.5	1	42	NR1L-ComfortHMI-033	NR1L-ComfortHMI-141	101	
SWE1-HVAC-006-03	2.5	1	43	NR1L-ComfortHMI-034	NR1L-ComfortHMI-142	101	
SWE1-HVAC-006-04	2.5	1	44	NR1L-ComfortHMI-035	NR1L-ComfortHMI-439	101	
SWE1-HVAC-007-01	2.5.1	2	45,46	NR1L-ComfortHMI-036,NR1L-ComfortHMI-037	NR1L-ComfortHMI-365,NR1L-ComfortHMI-388	101;101	
SWE1-HVAC-007-02	2.5.1	1	47	NR1L-ComfortHMI-038	NR1L-ComfortHMI-366	101	
SWE1-HVAC-008-01	2.6	1	48	NR1L-ComfortHMI-039	NR1L-ComfortHMI-048	101	
SWE1-HVAC-008-02	2.6	2	49,50	NR1L-ComfortHMI-040,NR1L-ComfortHMI-041	NR1L-ComfortHMI-049,NR1L-ComfortHMI-389	101;101	
SWE1-HVAC-008-03	2.6	1	51	NR1L-ComfortHMI-042	NR1L-ComfortHMI-050	101	
SWE1-HVAC-008-04	2.6	1	52	NR1L-ComfortHMI-043	NR1L-ComfortHMI-051	101	
SWE1-HVAC-008-05	2.6	1	53	NR1L-ComfortHMI-044	NR1L-ComfortHMI-052	101	
SWE1-HVAC-009-01	2.6.1	1	54	NR1L-ComfortHMI-045	NR1L-ComfortHMI-053	101	
SWE1-HVAC-009-02	2.6.1	1	55	NR1L-ComfortHMI-046	NR1L-ComfortHMI-054	101	
SWE1-HVAC-009-03	2.6.1	2	56,57	NR1L-ComfortHMI-047,NR1L-ComfortHMI-048	NR1L-ComfortHMI-055,NR1L-ComfortHMI-390	101;101	
SWE1-HVAC-009-04	2.6.1	2	58,478	NR1L-ComfortHMI-049,NR1L-ComfortHMI-469	NR1L-ComfortHMI-056,NR1L-ComfortHMI-469	101;101	
SWE1-HVAC-009-05	2.6.1	2	59,60	NR1L-ComfortHMI-050,NR1L-ComfortHMI-051	NR1L-ComfortHMI-057,NR1L-ComfortHMI-391	101;101	
SWE1-HVAC-009-06	2.6.1	2	61,62	NR1L-ComfortHMI-052,NR1L-ComfortHMI-053	NR1L-ComfortHMI-058,NR1L-ComfortHMI-392	101;101	
SWE1-HVAC-010-01	2.7	1	63	NR1L-ComfortHMI-054	NR1L-ComfortHMI-059	101	
SWE1-HVAC-010-02	2.7	1	64	NR1L-ComfortHMI-055	NR1L-ComfortHMI-060	101	
SWE1-HVAC-010-03	2.7	4	65,66,67,479	NR1L-ComfortHMI-056,NR1L-ComfortHMI-057,NR1L-ComfortHMI-058,NR1L-ComfortHMI-470	NR1L-ComfortHMI-061,NR1L-ComfortHMI-393,NR1L-ComfortHMI-394,NR1L-ComfortHMI-470	101;101;101;101	
SWE1-HVAC-010-04	2.7	2	68,69	NR1L-ComfortHMI-059,NR1L-ComfortHMI-060	NR1L-ComfortHMI-062,NR1L-ComfortHMI-395	101;101	
SWE1-HVAC-010-05	2.7	1	70	NR1L-ComfortHMI-061	NR1L-ComfortHMI-063	101	
SWE1-HVAC-011	2.7.1	1	71	NR1L-ComfortHMI-062	NR1L-ComfortHMI-066	101	
SWE1-HVAC-012-01	2.8	1	72	NR1L-ComfortHMI-063	NR1L-ComfortHMI-153	101	
SWE1-HVAC-012-02	2.8	1	73	NR1L-ComfortHMI-064	NR1L-ComfortHMI-154	101	
SWE1-HVAC-012-03	2.8	1	74	NR1L-ComfortHMI-065	NR1L-ComfortHMI-155	101	
SWE1-HVAC-012-04	2.8	1	75	NR1L-ComfortHMI-066	NR1L-ComfortHMI-156	101	
SWE1-HVAC-012-05	2.8	2	76,77	NR1L-ComfortHMI-067,NR1L-ComfortHMI-068	NR1L-ComfortHMI-157,NR1L-ComfortHMI-396	101;101	
SWE1-HVAC-012-06	2.8	1	78	NR1L-ComfortHMI-069	NR1L-ComfortHMI-158	101	
SWE1-HVAC-013-01	2.9	1	79	NR1L-ComfortHMI-070	NR1L-ComfortHMI-159	101	
SWE1-HVAC-013-02	2.9	1	80	NR1L-ComfortHMI-071	NR1L-ComfortHMI-160	101	
SWE1-HVAC-013-03	2.9	1	81	NR1L-ComfortHMI-072	NR1L-ComfortHMI-161	101	
SWE1-HVAC-013-04	2.9	1	82	NR1L-ComfortHMI-073	NR1L-ComfortHMI-162	101	
SWE1-HVAC-014-01	2.10	1	83	NR1L-ComfortHMI-074	NR1L-ComfortHMI-143	101	
SWE1-HVAC-014-02	2.10	1	84	NR1L-ComfortHMI-075	NR1L-ComfortHMI-144	101	
SWE1-HVAC-014-03	2.10	1	85	NR1L-ComfortHMI-076	NR1L-ComfortHMI-145	101	
SWE1-HVAC-014-04	2.10	1	86	NR1L-ComfortHMI-077	NR1L-ComfortHMI-146	101	
SWE1-HVAC-014-05	2.10	1	87	NR1L-ComfortHMI-078	NR1L-ComfortHMI-147	101	
SWE1-HVAC-014-06	2.10	1	88	NR1L-ComfortHMI-079	NR1L-ComfortHMI-148	101	
SWE1-HVAC-015-01	2.11	1	89	NR1L-ComfortHMI-080	NR1L-ComfortHMI-149	101	
SWE1-HVAC-015-02	2.11	1	90	NR1L-ComfortHMI-081	NR1L-ComfortHMI-150	101	
SWE1-HVAC-015-03	2.11	1	91	NR1L-ComfortHMI-082	NR1L-ComfortHMI-151	101	
SWE1-HVAC-015-04	2.11	2	92,480	NR1L-ComfortHMI-083,NR1L-ComfortHMI-471	NR1L-ComfortHMI-430,NR1L-ComfortHMI-471	000;000	
SWE1-HVAC-015-05	2.11	1	93	NR1L-ComfortHMI-084	NR1L-ComfortHMI-431	000	
SWE1-HVAC-016-01	2.12	4	94,95,96,97	NR1L-ComfortHMI-085,NR1L-ComfortHMI-086,NR1L-ComfortHMI-087,NR1L-ComfortHMI-088	NR1L-ComfortHMI-440,NR1L-ComfortHMI-441,NR1L-ComfortHMI-442,NR1L-ComfortHMI-443	101;101;101;101	
SWE1-HVAC-016-02	2.12	1	98	NR1L-ComfortHMI-089	NR1L-ComfortHMI-444	101	
SWE1-HVAC-016-03	2.12	1	99	NR1L-ComfortHMI-090	NR1L-ComfortHMI-445	101	
SWE1-HVAC-017-01	2.12.1	1	100	NR1L-ComfortHMI-091	NR1L-ComfortHMI-163	101	
SWE1-HVAC-017-02	2.12.1	1	101	NR1L-ComfortHMI-092	NR1L-ComfortHMI-164	101	
SWE1-HVAC-018-01	2.12.2	5	102,103,104,105,106	NR1L-ComfortHMI-093,NR1L-ComfortHMI-094,NR1L-ComfortHMI-095,NR1L-ComfortHMI-096,NR1L-ComfortHMI-097	NR1L-ComfortHMI-446,NR1L-ComfortHMI-447,NR1L-ComfortHMI-448,NR1L-ComfortHMI-449,NR1L-ComfortHMI-450	101;101;101;101;101	
SWE1-HVAC-018-02	2.12.2	1	107	NR1L-ComfortHMI-098	NR1L-ComfortHMI-451	101	
SWE1-HVAC-018-03	2.12.2	1	108	NR1L-ComfortHMI-099	NR1L-ComfortHMI-452	101	
SWE1-HVAC-018-04	2.12.2	3	109,110,111	NR1L-ComfortHMI-100,NR1L-ComfortHMI-101,NR1L-ComfortHMI-102	NR1L-ComfortHMI-453,NR1L-ComfortHMI-454,NR1L-ComfortHMI-455	101;101;101	
SWE1-HVAC-018-05	2.12.2	2	112,481	NR1L-ComfortHMI-103,NR1L-ComfortHMI-472	NR1L-ComfortHMI-456,NR1L-ComfortHMI-472	101;101	
SWE1-HVAC-018-06	2.12.2	1	113	NR1L-ComfortHMI-104	NR1L-ComfortHMI-457	000	
SWE1-HVAC-019-01	2.13	1	114	NR1L-ComfortHMI-105	NR1L-ComfortHMI-152	101	
SWE1-HVAC-019-02	2.13	1	115	NR1L-ComfortHMI-106	NR1L-ComfortHMI-458	101	
SWE1-HVAC-019-03	2.13	1	116	NR1L-ComfortHMI-466	NR1L-ComfortHMI-466	101	[BLOCKED-SPEC]
SWE1-HVAC-020-01	2.14	1	117	NR1L-ComfortHMI-107	NR1L-ComfortHMI-043	000	
SWE1-HVAC-020-02	2.14	1	118	NR1L-ComfortHMI-108	NR1L-ComfortHMI-044	000	
