tc_id	req_id	nav_steps	destination	entry_fixed_today	enter_comfort_reaches	missing_hop	hop_label_in_comfort_spec	hop_label_evidence	er_shift_if_rewritten
NR1L-ComfortHMI-001	SWE1-HVAC-076-01	(入口只宣告於 PC)	Lower screen	no	no（不經 Comfort app）	（不經 head unit）	n/a	6.3 述其存在，未述導航	yes
NR1L-ComfortHMI-002	SWE1-HVAC-076-02	(入口只宣告於 PC)	Lower screen	no	no（不經 Comfort app）	（不經 head unit）	n/a	6.3 述其存在，未述導航	yes
NR1L-ComfortHMI-003	SWE1-HVAC-076-03	(入口只宣告於 PC)	Lower screen	no	no（不經 Comfort app）	（不經 head unit）	n/a	6.3 述其存在，未述導航	yes
NR1L-ComfortHMI-004	SWE1-HVAC-077	Open the Seats tab	Seats tab	no	yes（2 hops 到 Comfort app）	Comfort app -> Seats tab	verbatim	17.1／18.1 之 `Seats` 為逐字之 widget 畫面名	yes
NR1L-ComfortHMI-005	SWE1-HVAC-078-01	(入口只宣告於 PC)	Seats tab	no	yes（2 hops 到 Comfort app）	Comfort app -> Seats tab	verbatim	17.1／18.1 之 `Seats` 為逐字之 widget 畫面名	yes
NR1L-ComfortHMI-006	SWE1-HVAC-078-02	(入口只宣告於 PC)	Lower screen	no	no（不經 Comfort app）	（不經 head unit）	n/a	6.3 述其存在，未述導航	yes
NR1L-ComfortHMI-007	SWE1-HVAC-079-01	Open the Seats tab and read the selected option	Seats tab	no	yes（2 hops 到 Comfort app）	Comfort app -> Seats tab	verbatim	17.1／18.1 之 `Seats` 為逐字之 widget 畫面名	yes
NR1L-ComfortHMI-008	SWE1-HVAC-079-02	(入口只宣告於 PC)	Lower screen	no	no（不經 Comfort app）	（不經 head unit）	n/a	6.3 述其存在，未述導航	yes
NR1L-ComfortHMI-009	SWE1-HVAC-080-01	(入口只宣告於 PC)	Seats tab	no	yes（2 hops 到 Comfort app）	Comfort app -> Seats tab	verbatim	17.1／18.1 之 `Seats` 為逐字之 widget 畫面名	yes
NR1L-ComfortHMI-010	SWE1-HVAC-080-02	(入口只宣告於 PC)	Seats tab	no	yes（2 hops 到 Comfort app）	Comfort app -> Seats tab	verbatim	17.1／18.1 之 `Seats` 為逐字之 widget 畫面名	yes
NR1L-ComfortHMI-011	SWE1-HVAC-081-01	(入口只宣告於 PC)	Lower screen	no	no（不經 Comfort app）	（不經 head unit）	n/a	6.3 述其存在，未述導航	yes
NR1L-ComfortHMI-012	SWE1-HVAC-081-02	(入口只宣告於 PC)	Seats tab	no	yes（2 hops 到 Comfort app）	Comfort app -> Seats tab	verbatim	17.1／18.1 之 `Seats` 為逐字之 widget 畫面名	yes
NR1L-ComfortHMI-013	SWE1-HVAC-082-01	(入口只宣告於 PC)	Seats tab	no	yes（2 hops 到 Comfort app）	Comfort app -> Seats tab	verbatim	17.1／18.1 之 `Seats` 為逐字之 widget 畫面名	yes
NR1L-ComfortHMI-014	SWE1-HVAC-082-02	(入口只宣告於 PC)	Lower screen	no	no（不經 Comfort app）	（不經 head unit）	n/a	6.3 述其存在，未述導航	yes
NR1L-ComfortHMI-015	SWE1-HVAC-023-01	Open the Tri-Mode Climate screen	Tri-Mode Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> Tri-Mode Climate screen	none	3.x 無按鍵標籤	yes
NR1L-ComfortHMI-016	SWE1-HVAC-023-02		無導航標的	no	n/a		n/a		no
NR1L-ComfortHMI-017	SWE1-HVAC-023-03		無導航標的	no	n/a		n/a		no
NR1L-ComfortHMI-018	SWE1-HVAC-024-01	Open the climate screen	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-019	SWE1-HVAC-024-02	Open the climate screen with MAX DEF not active	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-020	SWE1-HVAC-024-03		無導航標的	no	n/a		n/a		no
NR1L-ComfortHMI-021	SWE1-HVAC-024-04		無導航標的	no	n/a		n/a		no
NR1L-ComfortHMI-022	SWE1-HVAC-024-05		無導航標的	no	n/a		n/a		no
NR1L-ComfortHMI-023	SWE1-HVAC-024-06		無導航標的	no	n/a		n/a		no
NR1L-ComfortHMI-024	SWE1-HVAC-024-07		無導航標的	no	n/a		n/a		no
NR1L-ComfortHMI-025	SWE1-HVAC-024-07		無導航標的	no	n/a		n/a		no
NR1L-ComfortHMI-026	SWE1-HVAC-024-07		無導航標的	no	n/a		n/a		no
NR1L-ComfortHMI-027	SWE1-HVAC-024-07		無導航標的	no	n/a		n/a		no
NR1L-ComfortHMI-028	SWE1-HVAC-024-08		無導航標的	no	n/a		n/a		no
NR1L-ComfortHMI-029	SWE1-HVAC-025-01	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-030	SWE1-HVAC-025-02	(入口只宣告於 PC)	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-031	SWE1-HVAC-026	Open the climate screen	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-032	SWE1-HVAC-002-01	Open the climate screen	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-033	SWE1-HVAC-002-02	Open a screen other than the climate screen	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-034	SWE1-HVAC-002-03	Open a screen other than the climate screen	Comfort category	no	yes（2 hops 到 Comfort app）	Comfort app -> Climate main	none	2.12.2／16.12.1 寫 `Climate main category control`，為描述語非按鍵標籤；10.8 之 `The Comfort main Menu Bar icon` 亦無 label	yes
NR1L-ComfortHMI-035	SWE1-HVAC-002-04		無導航標的	no	n/a		n/a		no
NR1L-ComfortHMI-036	SWE1-HVAC-002-05	Open a screen outside the climate main category	Comfort category	no	yes（2 hops 到 Comfort app）	Comfort app -> Climate main	none	2.12.2／16.12.1 寫 `Climate main category control`，為描述語非按鍵標籤；10.8 之 `The Comfort main Menu Bar icon` 亦無 label	yes
NR1L-ComfortHMI-037	SWE1-HVAC-002-05	Open a screen outside the climate main category	Comfort category	no	yes（2 hops 到 Comfort app）	Comfort app -> Climate main	none	2.12.2／16.12.1 寫 `Climate main category control`，為描述語非按鍵標籤；10.8 之 `The Comfort main Menu Bar icon` 亦無 label	yes
NR1L-ComfortHMI-038	SWE1-HVAC-002-06	Open a screen outside the climate main category	Comfort category	no	yes（2 hops 到 Comfort app）	Comfort app -> Climate main	none	2.12.2／16.12.1 寫 `Climate main category control`，為描述語非按鍵標籤；10.8 之 `The Comfort main Menu Bar icon` 亦無 label	yes
NR1L-ComfortHMI-039	SWE1-HVAC-002-07	Open the climate screen	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-040	SWE1-HVAC-002-08	Open the climate screen	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-041	SWE1-HVAC-027	Open the head unit menu	Comfort category	no	yes（2 hops 到 Comfort app）	Comfort app -> Climate main	none	2.12.2／16.12.1 寫 `Climate main category control`，為描述語非按鍵標籤；10.8 之 `The Comfort main Menu Bar icon` 亦無 label	yes
NR1L-ComfortHMI-042	SWE1-HVAC-001-03	Open the comfort category	無導航標的	no	n/a		n/a		no
NR1L-ComfortHMI-043	SWE1-HVAC-020-01	Open the climate screen	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-044	SWE1-HVAC-020-02	Open the climate screen	Climate screen	no	yes（2 hops 到 Comfort app）	Comfort app -> climate screen	none	129 節全文掃描：2.3／2.7／2.10／2.12 只寫 `main category control`／`Category button`，無引號標籤；無任何節給出開啟 climate screen 之按鍵逐字	yes
NR1L-ComfortHMI-045	SWE1-HVAC-020-03	Open the head unit menu	Head unit menu	no	no（不經 Comfort app）	Menu Bar 本身即固定入口	n/a	§5.8(a) 之固定入口	yes
NR1L-ComfortHMI-046	SWE1-HVAC-020-04	Open the head unit menu	Head unit menu	no	no（不經 Comfort app）	Menu Bar 本身即固定入口	n/a	§5.8(a) 之固定入口	yes
NR1L-ComfortHMI-047	SWE1-HVAC-020-04	Open the head unit menu	Head unit menu	no	no（不經 Comfort app）	Menu Bar 本身即固定入口	n/a	§5.8(a) 之固定入口	yes
