# new_row_style_measure.tsv —— CMF-06 §3-4 之量測。**本輪未套用**：
#   backend/xlsx_surgical 之寫入路徑依設計只 patch 儲存格值（diff_cells），
#   列高 <row ht=…> 與樣式 <c s=…> 不在其內；另開 XML 編修路徑會破壞
#   本 repo 之單一寫入路徑紀律（tests/test_single_write_path.py 所守）。
# 於 Excel 內一次設定即可：選取 row 476–485 →
#   (1) 列高設為 112.0（資料列 10–475 之眾數，131/466 列）
#   (2) 以 row 475 為來源做「複製格式」（下表逐欄列出其 style id 之差異）
# 資料列 10–475 之列高分布（前 8）：[(112.0, 131), (140.0, 76), (126.0, 70), (98.0, 65), (84.0, 34), (154.0, 32), (70.0, 19), (168.0, 13)]
# 新列 476–485 現為 height=14.0 customHeight=True（範本空白列）。
column	style_id_row475_資料列	style_id_row476_空白列	style_id_row485_空白列	action
A	65	91	0	複製 row 475 之 style 至 476–485
B	80	80	80	（相同，無須改）
C	121	87	92	複製 row 475 之 style 至 476–485
D	111	87	92	複製 row 475 之 style 至 476–485
E	111	87	92	複製 row 475 之 style 至 476–485
F	111	87	92	複製 row 475 之 style 至 476–485
G	80	88	93	複製 row 475 之 style 至 476–485
H	111	87	92	複製 row 475 之 style 至 476–485
I	81	86	89	複製 row 475 之 style 至 476–485
J	81	86	89	複製 row 475 之 style 至 476–485
K	111	87	92	複製 row 475 之 style 至 476–485
L	81	86	89	複製 row 475 之 style 至 476–485
M	81	86	89	複製 row 475 之 style 至 476–485
N	81	86	89	複製 row 475 之 style 至 476–485
O	80	86	89	複製 row 475 之 style 至 476–485
P	80	80	80	（相同，無須改）
Q	80	80	80	（相同，無須改）
R	80	80	80	（相同，無須改）
S	80	80	80	（相同，無須改）
T	80	80	80	（相同，無須改）
U	80	80	80	（相同，無須改）
V	80	80	80	（相同，無須改）
W	80	80	80	（相同，無須改）
X	80	82	82	複製 row 475 之 style 至 476–485
Y	80	80	80	（相同，無須改）
Z	80	82	82	複製 row 475 之 style 至 476–485
AA	80	80	80	（相同，無須改）
AB	115	89	89	複製 row 475 之 style 至 476–485
AC	115	89	89	複製 row 475 之 style 至 476–485
AD	115	89	89	複製 row 475 之 style 至 476–485
AE	115	89	89	複製 row 475 之 style 至 476–485
AF	80	80	80	（相同，無須改）
AG	115	89	89	複製 row 475 之 style 至 476–485
AH	115	89	89	複製 row 475 之 style 至 476–485
