# proxi_axis_values.tsv -- PROXI configured values for 7 Comfort parameters, listed side by side (NOT mapped to profile axes).
# Generated read-only by CMF-02 section 5-1 investigation (2026-09-18). Sources: forms/proxi/<folder>/<file>.
# wb_col / wb_header_row9: column letter and verbatim row-9 header of sheet 'Test Case Specification 測試用例規範' in features/comfort/delivered/..._ComfortHMI_20260907.xlsx.
# U <-> DT28_ATL_HI: workbook header 'DT27 Atl-Hi' and folder forms/proxi/DT28_ATL_HI are the SAME vehicle per Pei's confirmation of 2026-09-18 (docs/fw036/handoff/down/20260918_CMF-02_A.md section 1). Header text is not changed.
# T 'HDCC27 Atl-Hi': both HDCC27_initial and HDCC28_ATL_HI listed; Pei's confirmation does NOT cover T, no choice made (CMF-02_A section 1).
# W 'Commander (598)' and X 'Regengade (5210)': no PROXI folder exists under forms/proxi/ (status NO_PROXI).
# xlsx format (HDCC/DT): configured_cell_raw = column I 'Data' verbatim; value/label split at first '='. xlsm format: configured_value = column Y 'Dec' (Setting Value), label = the matching line of column I 'Table'; proxi_read_col_value = column AC ('PROXI Read' / 'Read').
# txt_byte_at_start_byte: raw token at 1-indexed position start_byte of the folder's .txt (comma-separated hex). Bit extraction not performed here.
# Escaping: newline in a cell -> literal \n; tab -> \t; backslash -> \\.
# R-C48(amend) / Pei 2026-09-21 (docs/fw036/handoff/down/20260921_CMF-03_A.md section 1): the feature exists on Alt-Mi only -- fastback / promaster / toro.
#   The seven climate parameters read 0 in all three Atl-Hi PROXI files (HDCC27_initial, HDCC28_ATL_HI, DT28_ATL_HI); that is CONSISTENT with the ruling (the feature is absent on Atl-Hi), not a missing value.
#   Workbook vehicle-model columns follow the ruling: T=0 U=0 V=1 W=0 X=0 Y=1 Z=1 (all rows). Per-axis subdivision is a plan only -- see docs/reports/vm_axis_plan.tsv.
#   This note is a provenance record; no value in the table below was changed by CMF-03.
wb_col	wb_header_row9	proxi_folder	proxi_file	sheet	parameter	status	param_cell	start_byte	stop_byte	start_bit	stop_bit	coding	configured_value	configured_label	configured_cell	configured_cell_raw	enum_verbatim	enum_source	proxi_read_col_value	txt_file	txt_byte_at_start_byte	search_note
T	HDCC27\nAtl-Hi\n	HDCC27_initial	PROXI_HDCC27_R3_20250424_UserInputExcel_Initial.xlsx	Sheet1	Climate_Type	FOUND	A342	77	77	0	1	Data Type=Table	0	Absent	I342	0=Absent	0=Absent,1=Manual,2=Automatic	Sheet1 data validation on I342	(no such column)	PROXI_HDCC27_initial.txt	0x00	
T	HDCC27\nAtl-Hi\n	HDCC27_initial	PROXI_HDCC27_R3_20250424_UserInputExcel_Initial.xlsx	Sheet1	Rear_Climate	FOUND	A350	78	78	2	2	Data Type=Table	0	Absent	I350	0=Absent	0=Absent,1=Present	Sheet1 data validation on I350	(no such column)	PROXI_HDCC27_initial.txt	0x00	
T	HDCC27\nAtl-Hi\n	HDCC27_initial	PROXI_HDCC27_R3_20250424_UserInputExcel_Initial.xlsx	Sheet1	Climate_Panel_Type	FOUND	A701	165	165	0	2	Data Type=Not Used	0	(no label in file)	I701	0	(not listed in file)	(no data validation on cell; Max/Min Value = N/A)	(no such column)	PROXI_HDCC27_initial.txt	0x00	
T	HDCC27\nAtl-Hi\n	HDCC27_initial	PROXI_HDCC27_R3_20250424_UserInputExcel_Initial.xlsx	Sheet1	Integrated_Climate_Touchscreen	FOUND	A354	78	78	7	7	Data Type=Not Used	0	(no label in file)	I354	0	(not listed in file)	(no data validation on cell; Max/Min Value = N/A)	(no such column)	PROXI_HDCC27_initial.txt	0x00	
T	HDCC27\nAtl-Hi\n	HDCC27_initial	PROXI_HDCC27_R3_20250424_UserInputExcel_Initial.xlsx	Sheet1	Automatic_Recirculation	FOUND	A344	77	77	3	3	Data Type=Not Used	0	(no label in file)	I344	0	(not listed in file)	(no data validation on cell; Max/Min Value = N/A)	(no such column)	PROXI_HDCC27_initial.txt	0x00	
T	HDCC27\nAtl-Hi\n	HDCC27_initial	PROXI_HDCC27_R3_20250424_UserInputExcel_Initial.xlsx	Sheet1	HVAC_AUTO_ECO_Mode	FOUND	A972	220	220	2	2	Data Type=Not Used	0	(no label in file)	I972	0	(not listed in file)	(no data validation on cell; Max/Min Value = N/A)	(no such column)	PROXI_HDCC27_initial.txt	0x00	
T	HDCC27\nAtl-Hi\n	HDCC27_initial	PROXI_HDCC27_R3_20250424_UserInputExcel_Initial.xlsx	Sheet1	HVAC_Mode_Type	FOUND	A879	201	201	0	1	Data Type=Not Used	0	(no label in file)	I879	0	(not listed in file)	(no data validation on cell; Max/Min Value = N/A)	(no such column)	PROXI_HDCC27_initial.txt	0x00	
T	HDCC27\nAtl-Hi\n	HDCC28_ATL_HI	PROXI_HDCC27_Use_HDCC24_default.xlsx	Sheet1	Climate_Type	FOUND	A342	77	77	0	1	Data Type=Table	0	Absent	I342	0=Absent	0=Absent,1=Manual,2=Automatic	Sheet1 data validation on I342	(no such column)	PROXI_HDCC27_Use_HDCC24_default.txt	0x40	
T	HDCC27\nAtl-Hi\n	HDCC28_ATL_HI	PROXI_HDCC27_Use_HDCC24_default.xlsx	Sheet1	Rear_Climate	FOUND	A350	78	78	2	2	Data Type=Table	0	Absent	I350	0=Absent	0=Absent,1=Present	Sheet1 data validation on I350	(no such column)	PROXI_HDCC27_Use_HDCC24_default.txt	0x08	
T	HDCC27\nAtl-Hi\n	HDCC28_ATL_HI	PROXI_HDCC27_Use_HDCC24_default.xlsx	Sheet1	Climate_Panel_Type	FOUND	A701	165	165	0	2	Data Type=Not Used	0	(no label in file)	I701	0	(not listed in file)	(no data validation on cell; Max/Min Value = N/A)	(no such column)	PROXI_HDCC27_Use_HDCC24_default.txt	0x00	
T	HDCC27\nAtl-Hi\n	HDCC28_ATL_HI	PROXI_HDCC27_Use_HDCC24_default.xlsx	Sheet1	Integrated_Climate_Touchscreen	FOUND	A354	78	78	7	7	Data Type=Not Used	0	(no label in file)	I354	0	(not listed in file)	(no data validation on cell; Max/Min Value = N/A)	(no such column)	PROXI_HDCC27_Use_HDCC24_default.txt	0x08	
T	HDCC27\nAtl-Hi\n	HDCC28_ATL_HI	PROXI_HDCC27_Use_HDCC24_default.xlsx	Sheet1	Automatic_Recirculation	FOUND	A344	77	77	3	3	Data Type=Not Used	0	(no label in file)	I344	0	(not listed in file)	(no data validation on cell; Max/Min Value = N/A)	(no such column)	PROXI_HDCC27_Use_HDCC24_default.txt	0x40	
T	HDCC27\nAtl-Hi\n	HDCC28_ATL_HI	PROXI_HDCC27_Use_HDCC24_default.xlsx	Sheet1	HVAC_AUTO_ECO_Mode	FOUND	A972	220	220	2	2	Data Type=Not Used	0	(no label in file)	I972	0	(not listed in file)	(no data validation on cell; Max/Min Value = N/A)	(no such column)	PROXI_HDCC27_Use_HDCC24_default.txt	0x00	
T	HDCC27\nAtl-Hi\n	HDCC28_ATL_HI	PROXI_HDCC27_Use_HDCC24_default.xlsx	Sheet1	HVAC_Mode_Type	FOUND	A879	201	201	0	1	Data Type=Not Used	0	(no label in file)	I879	0	(not listed in file)	(no data validation on cell; Max/Min Value = N/A)	(no such column)	PROXI_HDCC27_Use_HDCC24_default.txt	0x00	
U	DT27\nAtl-Hi\n	DT28_ATL_HI	PROXI_HDCC27_Use_DT24_default.xlsx	Sheet1	Climate_Type	FOUND	A342	77	77	0	1	Data Type=Table	0	Absent	I342	0=Absent	0=Absent,1=Manual,2=Automatic	Sheet1 data validation on I342	(no such column)	PROXI_HDCC27_Use_DT24_default.txt	0x40	
U	DT27\nAtl-Hi\n	DT28_ATL_HI	PROXI_HDCC27_Use_DT24_default.xlsx	Sheet1	Rear_Climate	FOUND	A350	78	78	2	2	Data Type=Table	0	Absent	I350	0=Absent	0=Absent,1=Present	Sheet1 data validation on I350	(no such column)	PROXI_HDCC27_Use_DT24_default.txt	0x08	
