# vm_assign.tsv —— CMF-04 §2（**只出 plan，未填入任何工作簿**：§3 四個停點全數命中，見上繳包 §0）。
# PROXI 值取 docs/reports/proxi_axis_values.tsv 之 `Dec`（含 label）—— R-C62 之裁定；
#   `Dec` 與 `PROXI Read` 不一致者，另一值以 [PROXI Read=n] 併列於同格。
# V=Promaster、Y=Toro、Z=Fastback（工作簿欄名）。
# rule_branch 對應 CMF-04 §1 之四列；`(test-setup 蘊含)` 為執行層之判斷，見上繳包 §2-3。
# ~~CMF-06 §2／R-C67（2026-09-22）：R-C67 裁「本交付三台皆非 EMEA ICS 車」，**本輪未套用**。~~
#   其所指之 `-403`／`-404` 為**工作簿 F**（req `116-03`／`116-04`），該二列已為 V=Y=Z=0，無格可改。
#   若套用，涵蓋面為帶正向 EMEA PC 之 119 條 TC（112 列／229 格），三台皆 0 由 65 升為 177 —— 見 A-CMF24。
#   本表之值仍為 R-C62 之判定（＝候選本 v4 與交付候選本所填之值）。
# CMF-07／R-C68（Pei 2026-09-22「可以的話不寫 EMEA 也沒問題，因為不含在販售的範圍內」）：
#   帶正向 EMEA PC 之 119 條 TC，V／Y／Z 全 0（判準機械化：PC 含該句）。**列保留、不刪**（R-C46）。
#   實改 112 列／229 格；307 條否定式 EMEA PC 不動。依 R-C63 不加 Remarks。
tc_id	req_id	V_Promaster	Y_Toro	Z_Fastback	all_zero	rule_branch	deciding_pc_lines	proxi_params	proxi_values_dec	per_axis_result
NR1L-ComfortHMI-001	SWE1-HVAC-076-01	1	1	1		R-C62-3（PC 無配置軸）				
NR1L-ComfortHMI-002	SWE1-HVAC-076-02	1	1	1		R-C62-3（PC 無配置軸）				
NR1L-ComfortHMI-003	SWE1-HVAC-076-03	1	0	1		R-C62-1	The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	Climate_Panel_Type+Integrated_Climate_Touchscreen	Promaster=7(No knobs)／Toro=6(3 knobs)／Fastback=0(Only blower knob)[PROXI Read=7]	Promaster=1／Toro=0／Fastback=1
NR1L-ComfortHMI-004	SWE1-HVAC-077	1	1	1		R-C62-3（PC 無配置軸）				
NR1L-ComfortHMI-005	SWE1-HVAC-078-01	1	1	1		R-C62-3（PC 無配置軸）				
NR1L-ComfortHMI-006	SWE1-HVAC-078-02	1	1	1		R-C62-3（PC 無配置軸）				
NR1L-ComfortHMI-007	SWE1-HVAC-079-01	1	1	1		R-C62-3（PC 無配置軸）				
NR1L-ComfortHMI-008	SWE1-HVAC-079-02	1	1	1		R-C62-3（PC 無配置軸）				
NR1L-ComfortHMI-009	SWE1-HVAC-080-01	1	1	1		R-C62-3（PC 無配置軸）				
NR1L-ComfortHMI-010	SWE1-HVAC-080-02	1	1	1		R-C62-3（PC 無配置軸）				
NR1L-ComfortHMI-011	SWE1-HVAC-081-01	1	1	1		R-C62-3（PC 無配置軸）				
NR1L-ComfortHMI-012	SWE1-HVAC-081-02	1	1	1		R-C62-3（PC 無配置軸）				
NR1L-ComfortHMI-013	SWE1-HVAC-082-01	1	1	1		R-C62-3（PC 無配置軸）				
NR1L-ComfortHMI-014	SWE1-HVAC-082-02	1	1	1		R-C62-3（PC 無配置軸）				
NR1L-ComfortHMI-015	SWE1-HVAC-023-01	0	0	0	YES	R-C62-1	The vehicle is equipped with Tri-Mode climate ‖ The vehicle does not have 3 knob HVAC controls with ICS, for which no HVAC screens or pop ups are displayed	HVAC_Mode_Type ‖ Climate_Panel_Type+Integrated_Climate_Touchscreen	Promaster=0(No Trimode)／Toro=None(ABSENT)／Fastback=None(ABSENT) ‖ Promaster=7(No knobs)／Toro=6(3 knobs)／Fastback=0(Only blower knob)[PROXI Read=7]	Promaster=0／Toro=0／Fastback=0 ‖ Promaster=1／Toro=0／Fastback=1
