# vm_unmapped.tsv —— CMF-04 §2（**只出 plan，未填入任何工作簿**：§3 四個停點全數命中，見上繳包 §0）。
# PROXI 值取 docs/reports/proxi_axis_values.tsv 之 `Dec`（含 label）—— R-C62 之裁定；
#   `Dec` 與 `PROXI Read` 不一致者，另一值以 [PROXI Read=n] 併列於同格。
# V=Promaster、Y=Toro、Z=Fastback（工作簿欄名）。
# R-C62-4：PC 載有軸，但該軸無 PROXI 參數對應 —— 三台維持 1，待 Pei。
tc_id	req_id	pc_line_verbatim	reason
NR1L-ComfortHMI-018	SWE1-HVAC-024-01	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-019	SWE1-HVAC-024-02	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-020	SWE1-HVAC-024-03	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-021	SWE1-HVAC-024-04	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-022	SWE1-HVAC-024-05	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-023	SWE1-HVAC-024-06	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-024	SWE1-HVAC-024-07	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-025	SWE1-HVAC-024-07	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-026	SWE1-HVAC-024-07	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-027	SWE1-HVAC-024-07	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-028	SWE1-HVAC-024-08	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-029	SWE1-HVAC-025-01	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-030	SWE1-HVAC-025-02	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-032	SWE1-HVAC-002-01	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-033	SWE1-HVAC-002-02	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-034	SWE1-HVAC-002-03	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-035	SWE1-HVAC-002-04	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-036	SWE1-HVAC-002-05	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-038	SWE1-HVAC-002-06	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-039	SWE1-HVAC-002-07	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-040	SWE1-HVAC-002-08	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-043	SWE1-HVAC-020-01	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-044	SWE1-HVAC-020-02	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-048	SWE1-HVAC-008-01	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-049	SWE1-HVAC-008-02	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-050	SWE1-HVAC-008-03	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-051	SWE1-HVAC-008-04	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-052	SWE1-HVAC-008-05	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-053	SWE1-HVAC-009-01	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-054	SWE1-HVAC-009-02	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-055	SWE1-HVAC-009-03	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-056	SWE1-HVAC-009-04	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-057	SWE1-HVAC-009-05	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-058	SWE1-HVAC-009-06	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-059	SWE1-HVAC-010-01	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-060	SWE1-HVAC-010-02	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-061	SWE1-HVAC-010-03	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-062	SWE1-HVAC-010-04	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-063	SWE1-HVAC-010-05	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-064	SWE1-HVAC-022-01	The vehicle is not an EMEA ICS vehicle, whose climate interface is specified separately in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-082	SWE1-HVAC-106-01	The vehicle is an EMEA ICS vehicle, whose climate interface is specified in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-083	SWE1-HVAC-106-02	The vehicle is an EMEA ICS vehicle, whose climate interface is specified in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-084	SWE1-HVAC-106-03	The vehicle is an EMEA ICS vehicle, whose climate interface is specified in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-085	SWE1-HVAC-106-04	The vehicle is an EMEA ICS vehicle, whose climate interface is specified in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-086	SWE1-HVAC-106-05	The vehicle is an EMEA ICS vehicle, whose climate interface is specified in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-087	SWE1-HVAC-106-06	The vehicle is an EMEA ICS vehicle, whose climate interface is specified in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-088	SWE1-HVAC-106-07	The vehicle is an EMEA ICS vehicle, whose climate interface is specified in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-089	SWE1-HVAC-106-08	The vehicle is an EMEA ICS vehicle, whose climate interface is specified in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-090	SWE1-HVAC-106-09	The vehicle is an EMEA ICS vehicle, whose climate interface is specified in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-091	SWE1-HVAC-120-01	The vehicle is an EMEA ICS vehicle, whose climate interface is specified in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-092	SWE1-HVAC-120-02	The vehicle is an EMEA ICS vehicle, whose climate interface is specified in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-093	SWE1-HVAC-120-03	The vehicle is an EMEA ICS vehicle, whose climate interface is specified in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-094	SWE1-HVAC-122-01	The vehicle is an EMEA ICS vehicle, whose climate interface is specified in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-095	SWE1-HVAC-122-03	The vehicle is an EMEA ICS vehicle, whose climate interface is specified in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-096	SWE1-HVAC-122-04	The vehicle is an EMEA ICS vehicle, whose climate interface is specified in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-097	SWE1-HVAC-122-05	The vehicle is an EMEA ICS vehicle, whose climate interface is specified in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-098	SWE1-HVAC-110-01	The vehicle is an EMEA ICS vehicle, whose climate interface is specified in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-099	SWE1-HVAC-110-02	The vehicle is an EMEA ICS vehicle, whose climate interface is specified in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-100	SWE1-HVAC-110-03	The vehicle is an EMEA ICS vehicle, whose climate interface is specified in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-101	SWE1-HVAC-110-04	The vehicle is an EMEA ICS vehicle, whose climate interface is specified in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
NR1L-ComfortHMI-102	SWE1-HVAC-110-05	The vehicle is an EMEA ICS vehicle, whose climate interface is specified in chapter 16	EMEA ICS 於 129 節零字面（`EMEA` 0 命中）；PROXI 無對應參數
