cfts004_row	nrl_id	src_id	object_id	anchor	parent	l3	region	harman_status	description
11	NRL-1351	SYS-RA-DIAG-010	4939979	CFTS004-4939979	Read/Write DID Requirements	$7000 - Startup Animation Selection (Read/Write)	LATAM	Accepted	This DID shall be used in order to read and write the startup animation according to the brand and vehicle that is applied.
17	NRL-1357	SYS-RA-DIAG-016	4939956	CFTS004-4939956	Read/Write DID Requirements	$500B - In-Motion Menu Control (Read)	All		This DID shall report if the navigation park menu is currently disabled or enabled.
37	NRL-1377	SYS-RA-DIAG-036	4939928	CFTS004-4939928	Read/Write DID Requirements	$2974 - Suspend to RAM Configuration (Read/Write)	All	Accepted	Write Mode: This DID shall allow to set the time by minutes from 0 up to 65535 minutes.
38	NRL-1378	SYS-RA-DIAG-037	4939931	CFTS004-4939931	Read/Write DID Requirements	$2974 - Suspend to RAM Configuration (Read/Write)	All	Accepted	When the value of zero is written, skip Suspend to RAM, and go straight to deep sleep.
40	NRL-1380	SYS-RA-DIAG-039	4939926	CFTS004-4939926	Read/Write DID Requirements	$2974 - Suspend to RAM Configuration (Read/Write)	All	Accepted	This DID shall report the Suspend to RAM configuration status in minutes.
45	NRL-1385	SYS-RA-DIAG-044	4939920	CFTS004-4939920	Read/Write DID Requirements	$2870 - Media Hub Config (Read)	All		This DID shall report the current number of detected USB SD Card Reader devices.
99	NRL-1439	SYS-RA-DIAG-098	4939856	CFTS004-4939856	Read/Write DID Requirements	$2843 - X65 Module Version (Read)	NAFTA - Mexico, NAFTA - United States, NAFTA, NAFTA - Canada	Need Rework	Unless otherwise noted, the HU shall report the status of the BB Rev Minor as reported by the Sirius XM chipset when requested by this DID.
100	NRL-1440	SYS-RA-DIAG-099	4939855	CFTS004-4939855	Read/Write DID Requirements	$2843 - X65 Module Version (Read)	NAFTA - Canada, NAFTA, NAFTA - Mexico, NAFTA - United States	Need Rework	Unless otherwise noted, the HU shall report the status of the BB Rev Major as reported by the Sirius XM chipset when requested by this DID.
101	NRL-1441	SYS-RA-DIAG-100	4939857	CFTS004-4939857	Read/Write DID Requirements	$2843 - X65 Module Version (Read)	NAFTA - Mexico, NAFTA, NAFTA - United States, NAFTA - Canada	Need Rework	Unless otherwise noted, the HU shall report the status of the BB Rev Inc as reported by the Sirius XM chipset when requested by this DID.
151	NRL-1491	SYS-RA-DIAG-150	4939782	CFTS004-4939782	Read/Write DID Requirements	$2829 - GPS/Compass Bus Status (Read/Write)	All	Need Clarification	When requested by this DID, the radio shall report the authorization status of the radio to transmit GPS and Compass information on the vehicle CAN bus.
152	NRL-1492	SYS-RA-DIAG-151	4939783	CFTS004-4939783	Read/Write DID Requirements	$2829 - GPS/Compass Bus Status (Read/Write)	All	Need Clarification	When requested by this DID, the radio shall change the radio's authorization to transmit GPS and Compass information on the vehicle CAN bus using the provided settings.
168	NRL-1508	SYS-RA-DIAG-167	4939716	CFTS004-4939716	Read/Write DID Requirements	$2812 - GPS Signal Data 1 (Read)	All		When requested via this DID, the radio shall report the Date - Month as provided by the internal GPS receiver.
169	NRL-1509	SYS-RA-DIAG-168	4939717	CFTS004-4939717	Read/Write DID Requirements	$2812 - GPS Signal Data 1 (Read)	All		When requested via this DID, the radio shall report the Date - Day as provided by the internal GPS receiver.
172	NRL-1512	SYS-RA-DIAG-171	4939703	CFTS004-4939703	Read/Write DID Requirements	$280F - Radio Country Code Configuration (Read/Write)	All	Accepted	When requested via this DID, the radio shall select to override the country code received via vehicle configuration.
173	NRL-1513	SYS-RA-DIAG-172	4939702	CFTS004-4939702	Read/Write DID Requirements	$280F - Radio Country Code Configuration (Read/Write)	All	Accepted	When requested via this DID, the radio shall report if the country code received via vehicle configuration is being overridden.
176	NRL-1516	SYS-RA-DIAG-175	4939695	CFTS004-4939695	Read/Write DID Requirements	$280E - Splash Screen (Read/Write)	All	Accepted	When requested via this DID, the radio shall report the current brand splash screen that is displayed at system startup.
177	NRL-1517	SYS-RA-DIAG-176	4939696	CFTS004-4939696	Read/Write DID Requirements	$280E - Splash Screen (Read/Write)	All	Accepted	When requested via this DID, the radio shall change the brand splash screen that is displayed at system startup.
179	NRL-1519	SYS-RA-DIAG-178	4939699	CFTS004-4939699	Read/Write DID Requirements	$280E - Splash Screen (Read/Write)	All	Accepted	"The ""Automatic"" setting shall indicate that the radio is using the vehicle config value."
180	NRL-1520	SYS-RA-DIAG-179	4939697	CFTS004-4939697	Read/Write DID Requirements	$280E - Splash Screen (Read/Write)	All	Accepted	"The ""Automatic"" setting indicates the radio shall use the splash screen determined from the vehicle configuration process. Refer to CFTS009 for brand configuration information."
181	NRL-1521	SYS-RA-DIAG-180	4939698	CFTS004-4939698	Read/Write DID Requirements	$280E - Splash Screen (Read/Write)	All	Accepted	"Settings other than the ""Automatic"" setting shall override the splash screen determined from the vehicle configuration process."
184	NRL-1524	SYS-RA-DIAG-183	4939692	CFTS004-4939692	Read/Write DID Requirements	$280D - Market Selection Configuration (Read/Write)	All	Need Clarification	The market selection configuration shall be readable from and writeable to this DID.
192	NRL-1532	SYS-RA-DIAG-191	4939686	CFTS004-4939686	Read/Write DID Requirements	$280C - ECU Current Internal Settings (Read/Write)	All	Accepted	The Anti-Theft Enable Status data shall be readable from and writeable to this DID. The Anti-Theft Enable Status shows the status of the radio's anti-theft setting. The enable state shall only be overridden while the diagnostic tool is present on the bus. A full bus sleep/wake cycle is permitted before the radio again must return to normal anti-theft behavior.
196	NRL-1536	SYS-RA-DIAG-195	4939678	CFTS004-4939678	Read/Write DID Requirements	$280B - SCL/PCL/Sales Code Configuration (Read)	All	Need Clarification	The SCL shall be readable from this DID. The SCL reports the radio's SCL.
