col	header_verbatim	field_key	value_domain	source_of_domain	diagnostics_rule
B	No.# 序號	seq	遞增整數	SWC 0708 實測	自 1 起
C	Requirement or Design ID (Polarion) 設計/需求 ID (Polarion)	req_id_polarion	`NRL-{nnnnn}`	SWC 0708 實測	CFTS004 `Basic Report` A 欄之 NRL 號
D	Requirement or Design ID 需求/設計 ID	req_id	`SWE1-Diagnostics-{nnn}(-001/-002)`	R-DIAG1(a)／R-DIAG2	lint `R1-DIAG`；單值，不得並列
E	Test Case ID (TestRail) 測試用例 ID (TestRail)	tc_id_testrail	空（未上 TestRail）	SWC 0708 實測（全空）	pilot 留空
F	Test Case ID 測試用例ID	tc_id	`NR1L-DIAG-{nnn}`	R-DIAG9(a)／R-G42	自 001 連號
G	Test Group 測試組	test_group	`Diagnostics`	R-DIAG9(a)	單一值
H	Test Set 測試集	test_set	framework.md Part II 之 20 組	R-DIAG9(amend)(b)	名稱歸 Pei
I	Test Item 測試項目	test_item	上半 037 Description verbatim ＋ 下半 `(...)`	R-SEC15 前例	拼字照抄（R-DIAG4(a)）
J	Pre-Conditions 先前條件	pre	編號行	canon §5.4	未載之 session 前提 → `PENDING: DR-DIAG-3`
K	Input Test Data 輸入條件	input	`NA`	SWC 0708 實測（285/285 全為 `NA`）	一律 `NA`
L	Test procedure 測試程序	proc	編號步驟	R-DIAG5(b)	UDS 位元組串；lint `U-DIAG`
M	Expected Result 預期結果	er	編號行，與 L 之 1:1	canon §6.1	positive response 位元組 ＋ 可觀察現象
N	Specification Reference 規格參考	spec	`CFTS004-{ObjectID}`	IN §10.7(a)	一行一錨，家族內升冪
O	Test Case Reference ID 測項參考ID	tc_ref_id	`NEW`	SWC 0708 實測（285/285 全為 `NEW`）	一律 `NEW`
P	Test Case Priority 測試用例優先級別	priority	`P0`／`P1`／`P2`（實測 27／190／68；**無 P3**）	SWC 0708 實測	R-DIAG10 草案；Out of Scope 列留空
Q	Estimated Test Time (mins) 預估測試時間 （分鐘）	est_time	空	SWC 0708 實測（全空）	pilot 留空
R	Test Case Design Methods 測試用例設計方法	design_method	下拉 9 值（見下）	`下拉選單` 分頁 A 欄	canon §12 首中；逐字含中英與標點
S	Functional Safety 功能安全	functional_safety	`NA`	SWC 0708 實測（283/285；另 2 列為錯位之 `PeiPYHsu`）	一律 `NA`
T	HDCC27 Atl-Hi	vm_hdcc27	`0`／`1`	R-CAM2(a)	R-DIAG7(amend)；lint `Z`
U	DT27 Atl-Hi	vm_dt27	`0`／`1`	同上	同上
V	VF(ProMaster)637 Atl-Mi	vm_637	`0`／`1`	同上	同上
W	Commander (598) Atl-Mi	vm_598	`0`（恆）	R-G74	全域一律 0
X	Regengade (5210) Atl-Mi	vm_5210	`0`（恆）	R-G74	全域一律 0
Y	Toro(2261) Atl-Mi	vm_2261	`0`／`1`	R-CAM2(a)	All→1／NAFTA→0（Market_Area = LATAM）
Z	Fastack (376) Atl-Mi	vm_376	`0`／`1`	同上	同上
AA	Test Case Author 測試案例作者	author	`PeiPYHsu`	feature.yaml write_back	—
AB	Test Version 測試版號	test_version	空	SWC 0708 實測（全空）	execution 側，pilot 不填
AC	Test Vehicle (Bench) 測試車型(Bench)	test_vehicle	空	同上	同上
AD	Test Period 測試期間	test_period	空	同上	同上
AE	Tester 測試者	tester	空	同上	同上
AF	Test Result 測試結果	test_result	空；**Out of Scope 列填 `Out of Scope`**	R-DIAG3(amend)	無下拉限制（下拉僅規範 R 欄）
AG	Defect ID 缺陷ID	defect_id	空	SWC 0708 實測（全空）	execution 側
AH	Remarks 備註	remarks	R-DIAG 五種定型句	R-DIAG3(amend)／6／7(a)／5(amend)	lint `RM-DIAG`；SWC 0708 另有 `AACP` 26 列（他線用法，不承接）
