swe	row037	src	did	parent	l3	kind	l2_no	l2_candidate
SWE1-Diagnostics-001	8	SYS-RA-DIAG-146	$283F	R/W	$283F - Camera Level Brightness (Read/Write)	positive	6	Camera Brightness
SWE1-Diagnostics-002	9	SYS-RA-DIAG-146	$283F	R/W	$283F - Camera Level Brightness (Read/Write)	negative	6	Camera Brightness
SWE1-Diagnostics-003	10	SYS-RA-DIAG-146	$283F	R/W	$283F - Camera Level Brightness (Read/Write)	unsupported	6	Camera Brightness
SWE1-Diagnostics-004	11	SYS-RA-DIAG-147	$283F	R/W	$283F - Camera Level Brightness (Read/Write)	positive	6	Camera Brightness
SWE1-Diagnostics-005	12	SYS-RA-DIAG-147	$283F	R/W	$283F - Camera Level Brightness (Read/Write)	negative	6	Camera Brightness
SWE1-Diagnostics-006	13	SYS-RA-DIAG-147	$283F	R/W	$283F - Camera Level Brightness (Read/Write)	unsupported	6	Camera Brightness
SWE1-Diagnostics-007	14	SYS-RA-DIAG-272	$500B	I/O	$500B - In Motion Menu Control	positive	17	In Motion Menu Control
SWE1-Diagnostics-008	15	SYS-RA-DIAG-272	$500B	I/O	$500B - In Motion Menu Control	negative	17	In Motion Menu Control
SWE1-Diagnostics-009	16	SYS-RA-DIAG-272	$500B	I/O	$500B - In Motion Menu Control	unsupported	17	In Motion Menu Control
SWE1-Diagnostics-010	17	SYS-RA-DIAG-273	$500B	I/O	$500B - In Motion Menu Control	positive	17	In Motion Menu Control
SWE1-Diagnostics-011	18	SYS-RA-DIAG-273	$500B	I/O	$500B - In Motion Menu Control	negative	17	In Motion Menu Control
SWE1-Diagnostics-012	19	SYS-RA-DIAG-276	$500B	I/O	$500B - In Motion Menu Control	positive	17	In Motion Menu Control
SWE1-Diagnostics-013	20	SYS-RA-DIAG-013	$500C	R/W	$500C - SDAR Station Selection (Read)	positive	15	Tuner Control
SWE1-Diagnostics-014	21	SYS-RA-DIAG-013	$500C	R/W	$500C - SDAR Station Selection (Read)	negative	15	Tuner Control
SWE1-Diagnostics-015	22	SYS-RA-DIAG-013	$500C	R/W	$500C - SDAR Station Selection (Read)	unsupported	15	Tuner Control
SWE1-Diagnostics-016	23	SYS-RA-DIAG-023	$5009	R/W	$5009 - Frequency Step Selection (Read)	positive	15	Tuner Control
SWE1-Diagnostics-017	24	SYS-RA-DIAG-023	$5009	R/W	$5009 - Frequency Step Selection (Read)	negative	15	Tuner Control
SWE1-Diagnostics-018	25	SYS-RA-DIAG-023	$5009	R/W	$5009 - Frequency Step Selection (Read)	unsupported	15	Tuner Control
SWE1-Diagnostics-019	26	SYS-RA-DIAG-026	$5008	R/W	$5008 - Seek Status (Read)	positive	15	Tuner Control
SWE1-Diagnostics-020	27	SYS-RA-DIAG-026	$5008	R/W	$5008 - Seek Status (Read)	negative	15	Tuner Control
SWE1-Diagnostics-021	28	SYS-RA-DIAG-026	$5008	R/W	$5008 - Seek Status (Read)	unsupported	15	Tuner Control
SWE1-Diagnostics-022	29	SYS-RA-DIAG-119	$2841	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	positive	2	SXM Signal Quality
SWE1-Diagnostics-023	30	SYS-RA-DIAG-119	$2841	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	negative	2	SXM Signal Quality
SWE1-Diagnostics-024	31	SYS-RA-DIAG-119	$2841	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	unsupported	2	SXM Signal Quality
SWE1-Diagnostics-025	32	SYS-RA-DIAG-120	$2841	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	positive	2	SXM Signal Quality
SWE1-Diagnostics-026	33	SYS-RA-DIAG-120	$2841	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	negative	2	SXM Signal Quality
SWE1-Diagnostics-027	34	SYS-RA-DIAG-120	$2841	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	unsupported	2	SXM Signal Quality
SWE1-Diagnostics-028	35	SYS-RA-DIAG-121	$2841	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	positive	2	SXM Signal Quality
SWE1-Diagnostics-029	36	SYS-RA-DIAG-121	$2841	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	negative	2	SXM Signal Quality
SWE1-Diagnostics-030	37	SYS-RA-DIAG-121	$2841	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	unsupported	2	SXM Signal Quality
SWE1-Diagnostics-031	38	SYS-RA-DIAG-268	$500C	I/O	$500C - SDAR Station Selection	positive	15	Tuner Control
SWE1-Diagnostics-032	39	SYS-RA-DIAG-268	$500C	I/O	$500C - SDAR Station Selection	negative	15	Tuner Control
SWE1-Diagnostics-033	40	SYS-RA-DIAG-268	$500C	I/O	$500C - SDAR Station Selection	unsupported	15	Tuner Control
SWE1-Diagnostics-034	41	SYS-RA-DIAG-270	$500C	I/O	$500C - SDAR Station Selection	negative	15	Tuner Control
SWE1-Diagnostics-035	42	SYS-RA-DIAG-283	$5009	I/O	$5009 - Frequency Step Selection	positive	15	Tuner Control
SWE1-Diagnostics-036	43	SYS-RA-DIAG-283	$5009	I/O	$5009 - Frequency Step Selection	negative	15	Tuner Control
SWE1-Diagnostics-037	44	SYS-RA-DIAG-283	$5009	I/O	$5009 - Frequency Step Selection	unsupported	15	Tuner Control
SWE1-Diagnostics-038	45	SYS-RA-DIAG-286	$5008	I/O	$5008 - Seek Status	positive	15	Tuner Control
SWE1-Diagnostics-039	46	SYS-RA-DIAG-286	$5008	I/O	$5008 - Seek Status	negative	15	Tuner Control
SWE1-Diagnostics-040	47	SYS-RA-DIAG-286	$5008	I/O	$5008 - Seek Status	unsupported	15	Tuner Control
SWE1-Diagnostics-041	48	SYS-RA-DIAG-287	$5008	I/O	$5008 - Seek Status	positive	15	Tuner Control
SWE1-Diagnostics-042	49	SYS-RA-DIAG-287	$5008	I/O	$5008 - Seek Status	negative	15	Tuner Control
SWE1-Diagnostics-043	50	SYS-RA-DIAG-287	$5008	I/O	$5008 - Seek Status	unsupported	15	Tuner Control
