swe	row037	src	objid	parent	l3	did	kind	cat	region	harman
SWE1-Diagnostics-001	8	SYS-RA-DIAG-146	4939794	R/W	$283F - Camera Level Brightness (Read/Write)	$283F	positive	Functional Requirement	All	Need Rework
SWE1-Diagnostics-002	9	SYS-RA-DIAG-146	4939794	R/W	$283F - Camera Level Brightness (Read/Write)	$283F	negative	Functional Requirement	All	Need Rework
SWE1-Diagnostics-003	10	SYS-RA-DIAG-146	4939794	R/W	$283F - Camera Level Brightness (Read/Write)	$283F	unsupported	Functional Requirement	All	Need Rework
SWE1-Diagnostics-004	11	SYS-RA-DIAG-147	4939793	R/W	$283F - Camera Level Brightness (Read/Write)	$283F	positive	Functional Requirement	All	
SWE1-Diagnostics-005	12	SYS-RA-DIAG-147	4939793	R/W	$283F - Camera Level Brightness (Read/Write)	$283F	negative	Functional Requirement	All	
SWE1-Diagnostics-006	13	SYS-RA-DIAG-147	4939793	R/W	$283F - Camera Level Brightness (Read/Write)	$283F	unsupported	Functional Requirement	All	
SWE1-Diagnostics-007	14	SYS-RA-DIAG-272	4940346	I/O	$500B - In Motion Menu Control	$500B	positive	Functional Requirement	All	Need Rework
SWE1-Diagnostics-008	15	SYS-RA-DIAG-272	4940346	I/O	$500B - In Motion Menu Control	$500B	negative	Functional Requirement	All	Need Rework
SWE1-Diagnostics-009	16	SYS-RA-DIAG-272	4940346	I/O	$500B - In Motion Menu Control	$500B	unsupported	Functional Requirement	All	Need Rework
SWE1-Diagnostics-010	17	SYS-RA-DIAG-273	4940347	I/O	$500B - In Motion Menu Control	$500B	positive	Functional Requirement	All	
SWE1-Diagnostics-011	18	SYS-RA-DIAG-273	4940347	I/O	$500B - In Motion Menu Control	$500B	negative	Functional Requirement	All	
SWE1-Diagnostics-012	19	SYS-RA-DIAG-276	4940348	I/O	$500B - In Motion Menu Control	$500B	positive	Functional Requirement	All	
