src_id_raw	src_id_strip	n_037_rows	resolved	cfts004_row	object_id	anchor	cat	l3
SYS-RA-DIAG-013	SYS-RA-DIAG-013	3	Y	14	4939959	CFTS004-4939959	Functional Requirement	$500C - SDAR Station Selection (Read)
SYS-RA-DIAG-021	SYS-RA-DIAG-021	3	Y	22	4939952	CFTS004-4939952	Functional Requirement	$500A - Mode Selection (Read)
SYS-RA-DIAG-023	SYS-RA-DIAG-023	3	Y	24	4939949	CFTS004-4939949	Functional Requirement	$5009 - Frequency Step Selection (Read)
SYS-RA-DIAG-026	SYS-RA-DIAG-026	3	Y	27	4939946	CFTS004-4939946	Functional Requirement	$5008 - Seek Status (Read)
SYS-RA-DIAG-029	SYS-RA-DIAG-029	2	Y	30	4939942	CFTS004-4939942	Functional Requirement	$5001 - Speaker Quadrant Selection (Read)
SYS-RA-DIAG-031	SYS-RA-DIAG-031	1	Y	32	4939943	CFTS004-4939943	Functional Requirement	$5001 - Speaker Quadrant Selection (Read)
SYS-RA-DIAG-033	SYS-RA-DIAG-033	1	Y	34	4939939	CFTS004-4939939	Functional Requirement	$5000 - Buzzer Control (Read)
SYS-RA-DIAG-042	SYS-RA-DIAG-042	1	Y	43	4939923	CFTS004-4939923	Functional Requirement	$2870 - Media Hub Config (Read)
SYS-RA-DIAG-043	SYS-RA-DIAG-043	2	Y	44	4939921	CFTS004-4939921	Functional Requirement	$2870 - Media Hub Config (Read)
SYS-RA-DIAG-045	SYS-RA-DIAG-045	2	Y	46	4939919	CFTS004-4939919	Functional Requirement	$2870 - Media Hub Config (Read)
SYS-RA-DIAG-046	SYS-RA-DIAG-046	1	Y	47	4939922	CFTS004-4939922	Functional Requirement	$2870 - Media Hub Config (Read)
SYS-RA-DIAG-051	SYS-RA-DIAG-051	3	Y	52	4939896	CFTS004-4939896	Functional Requirement	$2848 - X65 Package Indication Select (Read)
SYS-RA-DIAG-054	SYS-RA-DIAG-054	2	Y	55	4939890	CFTS004-4939890	Functional Requirement	$2847 - X65 Index ID (Read/Write)
SYS-RA-DIAG-056	SYS-RA-DIAG-056	1	Y	57	4939892	CFTS004-4939892	Functional Requirement	$2847 - X65 Index ID (Read/Write)
SYS-RA-DIAG-057	SYS-RA-DIAG-057	1	Y	58	4939891	CFTS004-4939891	Functional Requirement	$2847 - X65 Index ID (Read/Write)
SYS-RA-DIAG-060	SYS-RA-DIAG-060	3	Y	61	4939885	CFTS004-4939885	Functional Requirement	$2846 - X65 Package Indication Validate (Read)
SYS-RA-DIAG-064	SYS-RA-DIAG-064	3	Y	65	4939881	CFTS004-4939881	Functional Requirement	$2845 - X65 Event Indication (Read)
SYS-RA-DIAG-067	SYS-RA-DIAG-067	3	Y	68	4939873	CFTS004-4939873	Functional Requirement	$2844 - X65 Subscription Status (Read)
SYS-RA-DIAG-068	SYS-RA-DIAG-068	3	Y	69	4939872	CFTS004-4939872	Functional Requirement	$2844 - X65 Subscription Status (Read)
SYS-RA-DIAG-069	SYS-RA-DIAG-069	3	Y	70	4939871	CFTS004-4939871	Functional Requirement	$2844 - X65 Subscription Status (Read)
SYS-RA-DIAG-070	SYS-RA-DIAG-070	3	Y	71	4939874	CFTS004-4939874	Functional Requirement	$2844 - X65 Subscription Status (Read)
SYS-RA-DIAG-071	SYS-RA-DIAG-071	3	Y	72	4939870	CFTS004-4939870	Functional Requirement	$2844 - X65 Subscription Status (Read)
SYS-RA-DIAG-072	SYS-RA-DIAG-072	3	Y	73	4939868	CFTS004-4939868	Functional Requirement	$2844 - X65 Subscription Status (Read)
SYS-RA-DIAG-073	SYS-RA-DIAG-073	3	Y	74	4939875	CFTS004-4939875	Functional Requirement	$2844 - X65 Subscription Status (Read)
SYS-RA-DIAG-076	SYS-RA-DIAG-076	3	Y	77	4939869	CFTS004-4939869	Functional Requirement	$2844 - X65 Subscription Status (Read)
SYS-RA-DIAG-078	SYS-RA-DIAG-078	3	Y	79	4939853	CFTS004-4939853	Functional Requirement	$2843 - X65 Module Version (Read)
SYS-RA-DIAG-079	SYS-RA-DIAG-079	3	Y	80	4939852	CFTS004-4939852	Functional Requirement	$2843 - X65 Module Version (Read)
SYS-RA-DIAG-080	SYS-RA-DIAG-080	3	Y	81	4939854	CFTS004-4939854	Functional Requirement	$2843 - X65 Module Version (Read)
SYS-RA-DIAG-081	SYS-RA-DIAG-081	3	Y	82	4939862	CFTS004-4939862	Functional Requirement	$2843 - X65 Module Version (Read)
SYS-RA-DIAG-082	SYS-RA-DIAG-082	3	Y	83	4939861	CFTS004-4939861	Functional Requirement	$2843 - X65 Module Version (Read)
SYS-RA-DIAG-083	SYS-RA-DIAG-083	3	Y	84	4939863	CFTS004-4939863	Functional Requirement	$2843 - X65 Module Version (Read)
SYS-RA-DIAG-084	SYS-RA-DIAG-084	3	Y	85	4939845	CFTS004-4939845	Functional Requirement	$2843 - X65 Module Version (Read)
SYS-RA-DIAG-085	SYS-RA-DIAG-085	3	Y	86	4939844	CFTS004-4939844	Functional Requirement	$2843 - X65 Module Version (Read)
SYS-RA-DIAG-086	SYS-RA-DIAG-086	3	Y	87	4939843	CFTS004-4939843	Functional Requirement	$2843 - X65 Module Version (Read)
SYS-RA-DIAG-087	SYS-RA-DIAG-087	3	Y	88	4939848	CFTS004-4939848	Functional Requirement	$2843 - X65 Module Version (Read)
SYS-RA-DIAG-088	SYS-RA-DIAG-088	3	Y	89	4939847	CFTS004-4939847	Functional Requirement	$2843 - X65 Module Version (Read)
SYS-RA-DIAG-089	SYS-RA-DIAG-089	3	Y	90	4939846	CFTS004-4939846	Functional Requirement	$2843 - X65 Module Version (Read)
SYS-RA-DIAG-090	SYS-RA-DIAG-090	3	Y	91	4939850	CFTS004-4939850	Functional Requirement	$2843 - X65 Module Version (Read)
SYS-RA-DIAG-091	SYS-RA-DIAG-091	3	Y	92	4939849	CFTS004-4939849	Functional Requirement	$2843 - X65 Module Version (Read)
SYS-RA-DIAG-092	SYS-RA-DIAG-092	3	Y	93	4939851	CFTS004-4939851	Functional Requirement	$2843 - X65 Module Version (Read)
SYS-RA-DIAG-093	SYS-RA-DIAG-093	3	Y	94	4939859	CFTS004-4939859	Functional Requirement	$2843 - X65 Module Version (Read)
SYS-RA-DIAG-094	SYS-RA-DIAG-094	3	Y	95	4939858	CFTS004-4939858	Functional Requirement	$2843 - X65 Module Version (Read)
SYS-RA-DIAG-095	SYS-RA-DIAG-095	3	Y	96	4939860	CFTS004-4939860	Functional Requirement	$2843 - X65 Module Version (Read)
SYS-RA-DIAG-097	SYS-RA-DIAG-097	3	Y	98	4939864	CFTS004-4939864	Functional Requirement	$2843 - X65 Module Version (Read)
SYS-RA-DIAG-103	SYS-RA-DIAG-103	3	Y	104	4939839	CFTS004-4939839	Functional Requirement	$2842 - X65 Overlay Signal Quality Diagnostics (Read)
SYS-RA-DIAG-104	SYS-RA-DIAG-104	2	Y	105	4939836	CFTS004-4939836	Functional Requirement	$2842 - X65 Overlay Signal Quality Diagnostics (Read)
SYS-RA-DIAG-105	SYS-RA-DIAG-105	2	Y	106	4939838	CFTS004-4939838	Functional Requirement	$2842 - X65 Overlay Signal Quality Diagnostics (Read)
SYS-RA-DIAG-106	SYS-RA-DIAG-106	2	Y	107	4939835	CFTS004-4939835	Functional Requirement	$2842 - X65 Overlay Signal Quality Diagnostics (Read)
SYS-RA-DIAG-107	SYS-RA-DIAG-107	2	Y	108	4939837	CFTS004-4939837	Functional Requirement	$2842 - X65 Overlay Signal Quality Diagnostics (Read)
SYS-RA-DIAG-108	SYS-RA-DIAG-108	2	Y	109	4939834	CFTS004-4939834	Functional Requirement	$2842 - X65 Overlay Signal Quality Diagnostics (Read)
SYS-RA-DIAG-109	SYS-RA-DIAG-109	2	Y	110	4939827	CFTS004-4939827	Functional Requirement	$2842 - X65 Overlay Signal Quality Diagnostics (Read)
SYS-RA-DIAG-110	SYS-RA-DIAG-110	2	Y	111	4939833	CFTS004-4939833	Functional Requirement	$2842 - X65 Overlay Signal Quality Diagnostics (Read)
SYS-RA-DIAG-111	SYS-RA-DIAG-111	2	Y	112	4939830	CFTS004-4939830	Functional Requirement	$2842 - X65 Overlay Signal Quality Diagnostics (Read)
SYS-RA-DIAG-112	SYS-RA-DIAG-112	2	Y	113	4939832	CFTS004-4939832	Functional Requirement	$2842 - X65 Overlay Signal Quality Diagnostics (Read)
SYS-RA-DIAG-113	SYS-RA-DIAG-113	2	Y	114	4939829	CFTS004-4939829	Functional Requirement	$2842 - X65 Overlay Signal Quality Diagnostics (Read)
SYS-RA-DIAG-114	SYS-RA-DIAG-114	2	Y	115	4939831	CFTS004-4939831	Functional Requirement	$2842 - X65 Overlay Signal Quality Diagnostics (Read)
SYS-RA-DIAG-115	SYS-RA-DIAG-115	2	Y	116	4939828	CFTS004-4939828	Functional Requirement	$2842 - X65 Overlay Signal Quality Diagnostics (Read)
SYS-RA-DIAG-119	SYS-RA-DIAG-119	3	Y	120	4939809	CFTS004-4939809	Functional Requirement	$2841 - X65 Signal Quality Diagnostics (Read)
SYS-RA-DIAG-120	SYS-RA-DIAG-120	3	Y	121	4939822	CFTS004-4939822	Functional Requirement	$2841 - X65 Signal Quality Diagnostics (Read)
SYS-RA-DIAG-121	SYS-RA-DIAG-121	3	Y	122	4939808	CFTS004-4939808	Functional Requirement	$2841 - X65 Signal Quality Diagnostics (Read)
SYS-RA-DIAG-122	SYS-RA-DIAG-122	2	Y	123	4939823	CFTS004-4939823	Functional Requirement	$2841 - X65 Signal Quality Diagnostics (Read)
SYS-RA-DIAG-123	SYS-RA-DIAG-123	2	Y	124	4939819	CFTS004-4939819	Functional Requirement	$2841 - X65 Signal Quality Diagnostics (Read)
SYS-RA-DIAG-124	SYS-RA-DIAG-124	2	Y	125	4939821	CFTS004-4939821	Functional Requirement	$2841 - X65 Signal Quality Diagnostics (Read)
SYS-RA-DIAG-125	SYS-RA-DIAG-125	2	Y	126	4939820	CFTS004-4939820	Functional Requirement	$2841 - X65 Signal Quality Diagnostics (Read)
SYS-RA-DIAG-126	SYS-RA-DIAG-126	2	Y	127	4939811	CFTS004-4939811	Functional Requirement	$2841 - X65 Signal Quality Diagnostics (Read)
SYS-RA-DIAG-127	SYS-RA-DIAG-127	2	Y	128	4939810	CFTS004-4939810	Functional Requirement	$2841 - X65 Signal Quality Diagnostics (Read)
SYS-RA-DIAG-128	SYS-RA-DIAG-128	2	Y	129	4939818	CFTS004-4939818	Functional Requirement	$2841 - X65 Signal Quality Diagnostics (Read)
SYS-RA-DIAG-129	SYS-RA-DIAG-129	2	Y	130	4939817	CFTS004-4939817	Functional Requirement	$2841 - X65 Signal Quality Diagnostics (Read)
SYS-RA-DIAG-130	SYS-RA-DIAG-130	2	Y	131	4939816	CFTS004-4939816	Functional Requirement	$2841 - X65 Signal Quality Diagnostics (Read)
