l2_no	test_set	row037	swe1_id	tc_ids	tc_count	status
5	GPS Signal Data	357	SWE1-Diagnostics-349	NR1L-DIAG-232	1	COVERED
5	GPS Signal Data	358	SWE1-Diagnostics-350	NR1L-DIAG-233;NR1L-DIAG-234	2	COVERED
5	GPS Signal Data	359	SWE1-Diagnostics-351	NR1L-DIAG-235	1	COVERED
5	GPS Signal Data	360	SWE1-Diagnostics-352	NR1L-DIAG-236	1	COVERED
5	GPS Signal Data	361	SWE1-Diagnostics-353	NR1L-DIAG-237;NR1L-DIAG-238	2	COVERED
5	GPS Signal Data	362	SWE1-Diagnostics-354	NR1L-DIAG-239	1	COVERED
5	GPS Signal Data	363	SWE1-Diagnostics-355	NR1L-DIAG-240	1	COVERED
5	GPS Signal Data	364	SWE1-Diagnostics-356	NR1L-DIAG-241;NR1L-DIAG-242	2	COVERED
5	GPS Signal Data	365	SWE1-Diagnostics-357	NR1L-DIAG-243	1	COVERED
5	GPS Signal Data	366	SWE1-Diagnostics-358	NR1L-DIAG-244	1	COVERED
5	GPS Signal Data	367	SWE1-Diagnostics-359	NR1L-DIAG-245;NR1L-DIAG-246	2	COVERED
5	GPS Signal Data	368	SWE1-Diagnostics-360	NR1L-DIAG-247	1	COVERED
5	GPS Signal Data	369	SWE1-Diagnostics-361	NR1L-DIAG-248	1	COVERED
5	GPS Signal Data	370	SWE1-Diagnostics-362	NR1L-DIAG-249;NR1L-DIAG-250	2	COVERED
5	GPS Signal Data	371	SWE1-Diagnostics-363	NR1L-DIAG-251	1	COVERED
5	GPS Signal Data	372	SWE1-Diagnostics-364	NR1L-DIAG-252	1	COVERED
5	GPS Signal Data	373	SWE1-Diagnostics-365	NR1L-DIAG-253;NR1L-DIAG-254	2	COVERED
5	GPS Signal Data	374	SWE1-Diagnostics-366	NR1L-DIAG-255	1	COVERED
5	GPS Signal Data	375	SWE1-Diagnostics-367	NR1L-DIAG-256	1	COVERED
5	GPS Signal Data	376	SWE1-Diagnostics-368	NR1L-DIAG-257;NR1L-DIAG-258	2	COVERED
5	GPS Signal Data	377	SWE1-Diagnostics-369	NR1L-DIAG-259	1	COVERED
5	GPS Signal Data	378	SWE1-Diagnostics-370	NR1L-DIAG-260	1	COVERED
5	GPS Signal Data	379	SWE1-Diagnostics-371	NR1L-DIAG-261;NR1L-DIAG-262	2	COVERED
5	GPS Signal Data	380	SWE1-Diagnostics-372	NR1L-DIAG-263	1	COVERED
5	GPS Signal Data	381	SWE1-Diagnostics-373	NR1L-DIAG-264	1	COVERED
5	GPS Signal Data	382	SWE1-Diagnostics-374	NR1L-DIAG-265;NR1L-DIAG-266	2	COVERED
5	GPS Signal Data	383	SWE1-Diagnostics-375	NR1L-DIAG-267	1	COVERED
5	GPS Signal Data	384	SWE1-Diagnostics-376	NR1L-DIAG-268	1	COVERED
5	GPS Signal Data	385	SWE1-Diagnostics-377	NR1L-DIAG-269;NR1L-DIAG-270	2	COVERED
5	GPS Signal Data	386	SWE1-Diagnostics-378	NR1L-DIAG-271	1	COVERED
5	GPS Signal Data	387	SWE1-Diagnostics-379	NR1L-DIAG-272	1	COVERED
5	GPS Signal Data	388	SWE1-Diagnostics-380	NR1L-DIAG-273;NR1L-DIAG-274	2	COVERED
5	GPS Signal Data	389	SWE1-Diagnostics-381	NR1L-DIAG-275	1	COVERED
5	GPS Signal Data	390	SWE1-Diagnostics-382	NR1L-DIAG-276	1	COVERED
18	AV Signal Detection	158	SWE1-Diagnostics-151	NR1L-DIAG-009	1	COVERED
18	AV Signal Detection	159	SWE1-Diagnostics-152	NR1L-DIAG-277;NR1L-DIAG-278	2	COVERED
18	AV Signal Detection	160	SWE1-Diagnostics-153	NR1L-DIAG-279	1	COVERED
18	AV Signal Detection	161	SWE1-Diagnostics-154	NR1L-DIAG-010	1	COVERED
18	AV Signal Detection	162	SWE1-Diagnostics-155	NR1L-DIAG-280	1	COVERED
18	AV Signal Detection	163	SWE1-Diagnostics-156	NR1L-DIAG-281	1	COVERED
18	AV Signal Detection	164	SWE1-Diagnostics-157	NR1L-DIAG-282	1	COVERED
18	AV Signal Detection	165	SWE1-Diagnostics-158	NR1L-DIAG-283	1	COVERED
18	AV Signal Detection	166	SWE1-Diagnostics-159	NR1L-DIAG-284	1	COVERED
18	AV Signal Detection	167	SWE1-Diagnostics-160	NR1L-DIAG-285	1	COVERED
19	Audio Measure AC	155	SWE1-Diagnostics-148	NR1L-DIAG-286	1	COVERED
19	Audio Measure AC	156	SWE1-Diagnostics-149	NR1L-DIAG-287;NR1L-DIAG-288	2	COVERED
19	Audio Measure AC	157	SWE1-Diagnostics-150	NR1L-DIAG-289	1	COVERED
20	Clear Key Sense PIN	354	SWE1-Diagnostics-346	NR1L-DIAG-290	1	COVERED
