old_tc_id	delivery_tc_id	swe1_id	row037
NR1L-DIAG-001	NR1L-DIAG-001	SWE1-Diagnostics-001	8
NR1L-DIAG-002	NR1L-DIAG-002	SWE1-Diagnostics-002	9
NR1L-DIAG-003	NR1L-DIAG-003	SWE1-Diagnostics-002	9
NR1L-DIAG-004	NR1L-DIAG-004	SWE1-Diagnostics-003	10
NR1L-DIAG-005	NR1L-DIAG-005	SWE1-Diagnostics-004	11
NR1L-DIAG-015	NR1L-DIAG-006	SWE1-Diagnostics-005	12
NR1L-DIAG-016	NR1L-DIAG-007	SWE1-Diagnostics-005	12
NR1L-DIAG-017	NR1L-DIAG-008	SWE1-Diagnostics-006	13
NR1L-DIAG-219	NR1L-DIAG-009	SWE1-Diagnostics-007	14
NR1L-DIAG-220	NR1L-DIAG-010	SWE1-Diagnostics-008	15
NR1L-DIAG-221	NR1L-DIAG-011	SWE1-Diagnostics-008	15
NR1L-DIAG-222	NR1L-DIAG-012	SWE1-Diagnostics-009	16
NR1L-DIAG-223	NR1L-DIAG-013	SWE1-Diagnostics-010	17
NR1L-DIAG-224	NR1L-DIAG-014	SWE1-Diagnostics-011	18
NR1L-DIAG-225	NR1L-DIAG-015	SWE1-Diagnostics-011	18
NR1L-DIAG-226	NR1L-DIAG-016	SWE1-Diagnostics-012	19
NR1L-DIAG-178	NR1L-DIAG-017	SWE1-Diagnostics-013	20
NR1L-DIAG-179	NR1L-DIAG-018	SWE1-Diagnostics-014	21
NR1L-DIAG-180	NR1L-DIAG-019	SWE1-Diagnostics-014	21
NR1L-DIAG-181	NR1L-DIAG-020	SWE1-Diagnostics-015	22
NR1L-DIAG-182	NR1L-DIAG-021	SWE1-Diagnostics-016	23
NR1L-DIAG-183	NR1L-DIAG-022	SWE1-Diagnostics-017	24
NR1L-DIAG-184	NR1L-DIAG-023	SWE1-Diagnostics-017	24
NR1L-DIAG-185	NR1L-DIAG-024	SWE1-Diagnostics-018	25
NR1L-DIAG-186	NR1L-DIAG-025	SWE1-Diagnostics-019	26
NR1L-DIAG-187	NR1L-DIAG-026	SWE1-Diagnostics-020	27
NR1L-DIAG-188	NR1L-DIAG-027	SWE1-Diagnostics-020	27
NR1L-DIAG-189	NR1L-DIAG-028	SWE1-Diagnostics-021	28
NR1L-DIAG-433	NR1L-DIAG-029	SWE1-Diagnostics-022	29
NR1L-DIAG-434	NR1L-DIAG-030	SWE1-Diagnostics-023	30
NR1L-DIAG-435	NR1L-DIAG-031	SWE1-Diagnostics-023	30
NR1L-DIAG-436	NR1L-DIAG-032	SWE1-Diagnostics-024	31
NR1L-DIAG-437	NR1L-DIAG-033	SWE1-Diagnostics-025	32
NR1L-DIAG-438	NR1L-DIAG-034	SWE1-Diagnostics-026	33
NR1L-DIAG-439	NR1L-DIAG-035	SWE1-Diagnostics-026	33
NR1L-DIAG-440	NR1L-DIAG-036	SWE1-Diagnostics-027	34
NR1L-DIAG-441	NR1L-DIAG-037	SWE1-Diagnostics-028	35
NR1L-DIAG-442	NR1L-DIAG-038	SWE1-Diagnostics-028	35
NR1L-DIAG-443	NR1L-DIAG-039	SWE1-Diagnostics-028	35
NR1L-DIAG-444	NR1L-DIAG-040	SWE1-Diagnostics-028	35
NR1L-DIAG-445	NR1L-DIAG-041	SWE1-Diagnostics-028	35
NR1L-DIAG-446	NR1L-DIAG-042	SWE1-Diagnostics-029	36
NR1L-DIAG-447	NR1L-DIAG-043	SWE1-Diagnostics-029	36
NR1L-DIAG-448	NR1L-DIAG-044	SWE1-Diagnostics-030	37
NR1L-DIAG-190	NR1L-DIAG-045	SWE1-Diagnostics-031	38
NR1L-DIAG-191	NR1L-DIAG-046	SWE1-Diagnostics-032	39
NR1L-DIAG-192	NR1L-DIAG-047	SWE1-Diagnostics-032	39
NR1L-DIAG-193	NR1L-DIAG-048	SWE1-Diagnostics-033	40
NR1L-DIAG-194	NR1L-DIAG-049	SWE1-Diagnostics-034	41
NR1L-DIAG-195	NR1L-DIAG-050	SWE1-Diagnostics-035	42
NR1L-DIAG-556	NR1L-DIAG-051	SWE1-Diagnostics-035	42
NR1L-DIAG-196	NR1L-DIAG-052	SWE1-Diagnostics-036	43
NR1L-DIAG-197	NR1L-DIAG-053	SWE1-Diagnostics-036	43
NR1L-DIAG-198	NR1L-DIAG-054	SWE1-Diagnostics-037	44
NR1L-DIAG-199	NR1L-DIAG-055	SWE1-Diagnostics-038	45
NR1L-DIAG-200	NR1L-DIAG-056	SWE1-Diagnostics-039	46
NR1L-DIAG-201	NR1L-DIAG-057	SWE1-Diagnostics-039	46
NR1L-DIAG-202	NR1L-DIAG-058	SWE1-Diagnostics-040	47
