dr_token	placeholder	line_count	tc_count	tc_ids
DR-DIAG-4	<Sirius XM package ID>	4	4	NR1L-DIAG-346;NR1L-DIAG-347;NR1L-DIAG-348;NR1L-DIAG-349
DR-DIAG-4	<enable in-motion menu>	3	3	NR1L-DIAG-009;NR1L-DIAG-013;NR1L-DIAG-016
DR-DIAG-4	<tuned frequency value>	2	2	NR1L-DIAG-050;NR1L-DIAG-051
DR-DIAG-4	<seek status value>	2	2	NR1L-DIAG-055;NR1L-DIAG-059
DR-DIAG-4	<treble tone control step value>	2	2	NR1L-DIAG-102;NR1L-DIAG-103
DR-DIAG-4	<bass tone control step value>	2	2	NR1L-DIAG-112;NR1L-DIAG-116
DR-DIAG-4	<volume step value>	2	2	NR1L-DIAG-125;NR1L-DIAG-129
DR-DIAG-4	<speaker output selection>	2	2	NR1L-DIAG-141;NR1L-DIAG-153
DR-DIAG-4	<buzzer control tone selection>	2	2	NR1L-DIAG-157;NR1L-DIAG-161
DR-DIAG-4	<tool-controlled tone selection>	2	2	NR1L-DIAG-165;NR1L-DIAG-166
DR-DIAG-4	<Tones Off option selection>	2	2	NR1L-DIAG-170;NR1L-DIAG-206
DR-DIAG-4	<video input selection>	2	2	NR1L-DIAG-484;NR1L-DIAG-488
DR-DIAG-4	<disable in-motion menu>	1	1	NR1L-DIAG-013
DR-DIAG-4	<SDAR station selection value>	1	1	NR1L-DIAG-045
DR-DIAG-4	<invalid station number>	1	1	NR1L-DIAG-049
DR-DIAG-4	<step number sent in the command>	1	1	NR1L-DIAG-051
DR-DIAG-4	<Mode 2 Entertainment audio source selection value>	1	1	NR1L-DIAG-082
DR-DIAG-4	<Mode 1 Information audio source selection value>	1	1	NR1L-DIAG-086
DR-DIAG-4	<fade control step = 9 front>	1	1	NR1L-DIAG-090
DR-DIAG-4	<fade control step = 9 rear>	1	1	NR1L-DIAG-091
DR-DIAG-4	<fade control step = 10 front>	1	1	NR1L-DIAG-092
DR-DIAG-4	<fade control step = 10 rear>	1	1	NR1L-DIAG-093
DR-DIAG-4	<fade control step value>	1	1	NR1L-DIAG-094
DR-DIAG-4	<balance control step = 9 left>	1	1	NR1L-DIAG-095
DR-DIAG-4	<balance control step = 9 right>	1	1	NR1L-DIAG-096
DR-DIAG-4	<balance control step = 10 left>	1	1	NR1L-DIAG-097
DR-DIAG-4	<balance control step = 10 right>	1	1	NR1L-DIAG-098
DR-DIAG-4	<balance control step value>	1	1	NR1L-DIAG-099
DR-DIAG-4	<treble tone control step = -9>	1	1	NR1L-DIAG-100
DR-DIAG-4	<treble tone control step = +9>	1	1	NR1L-DIAG-101
DR-DIAG-4	<bass tone control step = -9>	1	1	NR1L-DIAG-107
DR-DIAG-4	<bass tone control step = +9>	1	1	NR1L-DIAG-108
DR-DIAG-4	<volume step = 0>	1	1	NR1L-DIAG-120
DR-DIAG-4	<volume step = 38>	1	1	NR1L-DIAG-121
DR-DIAG-4	<Rear Right speaker selection>	1	1	NR1L-DIAG-133
DR-DIAG-4	<Rear Left speaker selection>	1	1	NR1L-DIAG-137
DR-DIAG-4	<Front Right speaker selection>	1	1	NR1L-DIAG-145
DR-DIAG-4	<Front Left speaker selection>	1	1	NR1L-DIAG-149
DR-DIAG-4	<7 kHz Tool controlled tone selection>	1	1	NR1L-DIAG-174
DR-DIAG-4	<7 kHz Radio controlled tone selection>	1	1	NR1L-DIAG-178
DR-DIAG-4	<60 Hz Tool controlled tone selection>	1	1	NR1L-DIAG-182
DR-DIAG-4	<60 Hz Radio controlled tone selection>	1	1	NR1L-DIAG-186
DR-DIAG-4	<200 Hz, 120 mV tone - Tool controlled tone selection>	1	1	NR1L-DIAG-190
DR-DIAG-4	<200 Hz Tool controlled tone selection>	1	1	NR1L-DIAG-194
DR-DIAG-4	<200 Hz Radio controlled tone selection>	1	1	NR1L-DIAG-198
DR-DIAG-4	<1 kHz, 120 mV tone - Tool controlled tone selection>	1	1	NR1L-DIAG-202
DR-DIAG-4	<radio-controlled tone selection>	1	1	NR1L-DIAG-206
DR-DIAG-4	<normal operation>	1	1	NR1L-DIAG-485
DR-DIAG-4	<incompatible video input>	1	1	NR1L-DIAG-489
DR-DIAG-5	<signal quality record>	20	20	NR1L-DIAG-029;NR1L-DIAG-033;NR1L-DIAG-037;NR1L-DIAG-038;NR1L-DIAG-039;NR1L-DIAG-040;NR1L-DIAG-041;NR1L-DIAG-262;NR1L-DIAG-265;NR1L-DIAG-268;NR1L-DIAG-271;NR1L-DIAG-274;NR1L-DIAG-277;NR1L-DIAG-280;NR1L-DIAG-283;NR1L-DIAG-286;NR1L-DIAG-289;NR1L-DIAG-292;NR1L-DIAG-295;NR1L-DIAG-298
DR-DIAG-5	<module version record>	19	19	NR1L-DIAG-393;NR1L-DIAG-397;NR1L-DIAG-401;NR1L-DIAG-405;NR1L-DIAG-409;NR1L-DIAG-413;NR1L-DIAG-417;NR1L-DIAG-421;NR1L-DIAG-425;NR1L-DIAG-429;NR1L-DIAG-433;NR1L-DIAG-437;NR1L-DIAG-441;NR1L-DIAG-445;NR1L-DIAG-449;NR1L-DIAG-453;NR1L-DIAG-457;NR1L-DIAG-461;NR1L-DIAG-465
DR-DIAG-5	<antenna and signal status record>	14	14	NR1L-DIAG-301;NR1L-DIAG-302;NR1L-DIAG-303;NR1L-DIAG-306;NR1L-DIAG-307;NR1L-DIAG-308;NR1L-DIAG-309;NR1L-DIAG-312;NR1L-DIAG-313;NR1L-DIAG-314;NR1L-DIAG-317;NR1L-DIAG-320;NR1L-DIAG-321;NR1L-DIAG-322
DR-DIAG-5	<overlay signal quality record>	13	13	NR1L-DIAG-226;NR1L-DIAG-229;NR1L-DIAG-232;NR1L-DIAG-235;NR1L-DIAG-238;NR1L-DIAG-241;NR1L-DIAG-244;NR1L-DIAG-247;NR1L-DIAG-250;NR1L-DIAG-253;NR1L-DIAG-256;NR1L-DIAG-259;NR1L-DIAG-469
DR-DIAG-5	<GPS signal data record>	12	12	NR1L-DIAG-504;NR1L-DIAG-508;NR1L-DIAG-512;NR1L-DIAG-516;NR1L-DIAG-520;NR1L-DIAG-524;NR1L-DIAG-528;NR1L-DIAG-532;NR1L-DIAG-536;NR1L-DIAG-540;NR1L-DIAG-544;NR1L-DIAG-548
DR-DIAG-5	<Sirius XM subscription data record>	11	11	NR1L-DIAG-358;NR1L-DIAG-362;NR1L-DIAG-366;NR1L-DIAG-370;NR1L-DIAG-374;NR1L-DIAG-378;NR1L-DIAG-382;NR1L-DIAG-386;NR1L-DIAG-387;NR1L-DIAG-388;NR1L-DIAG-389
DR-DIAG-5	<package select routine results>	7	7	NR1L-DIAG-325;NR1L-DIAG-328;NR1L-DIAG-331;NR1L-DIAG-332;NR1L-DIAG-333;NR1L-DIAG-334;NR1L-DIAG-502
DR-DIAG-5	<package validation routine results>	7	7	NR1L-DIAG-335;NR1L-DIAG-336;NR1L-DIAG-337;NR1L-DIAG-338;NR1L-DIAG-339;NR1L-DIAG-340;NR1L-DIAG-341
DR-DIAG-5	<routine results>	6	6	NR1L-DIAG-214;NR1L-DIAG-215;NR1L-DIAG-219;NR1L-DIAG-220;NR1L-DIAG-223;NR1L-DIAG-501
DR-DIAG-5	<AV Channel Number>	6	6	NR1L-DIAG-214;NR1L-DIAG-215;NR1L-DIAG-219;NR1L-DIAG-220;NR1L-DIAG-221;NR1L-DIAG-223
DR-DIAG-5	<speaker quadrant byte>	5	5	NR1L-DIAG-067;NR1L-DIAG-133;NR1L-DIAG-137;NR1L-DIAG-145;NR1L-DIAG-149
DR-DIAG-5	<brightness byte>	4	2	NR1L-DIAG-001;NR1L-DIAG-005
DR-DIAG-5	<treble tone control step byte>	4	4	NR1L-DIAG-100;NR1L-DIAG-101;NR1L-DIAG-102;NR1L-DIAG-103
DR-DIAG-5	<bass tone control step byte>	4	4	NR1L-DIAG-107;NR1L-DIAG-108;NR1L-DIAG-112;NR1L-DIAG-116
DR-DIAG-5	<volume step byte>	4	4	NR1L-DIAG-120;NR1L-DIAG-121;NR1L-DIAG-125;NR1L-DIAG-129
DR-DIAG-5	<seek status byte>	3	3	NR1L-DIAG-025;NR1L-DIAG-055;NR1L-DIAG-059
DR-DIAG-5	<Cabin EQ Curve Number byte>	3	2	NR1L-DIAG-074;NR1L-DIAG-075
DR-DIAG-5	<Automated Loudness setting byte>	3	2	NR1L-DIAG-076;NR1L-DIAG-077
DR-DIAG-5	<push button status record>	3	2	NR1L-DIAG-078;NR1L-DIAG-079
DR-DIAG-5	<fade control step byte>	3	3	NR1L-DIAG-090;NR1L-DIAG-091;NR1L-DIAG-094
DR-DIAG-5	<balance control step byte>	3	3	NR1L-DIAG-095;NR1L-DIAG-096;NR1L-DIAG-099
DR-DIAG-5	<Front Seat Video Playback state byte>	3	2	NR1L-DIAG-480;NR1L-DIAG-481
DR-DIAG-5	<Clock Defeat setting byte>	3	2	NR1L-DIAG-490;NR1L-DIAG-491
DR-DIAG-5	<12/24 Time Selection setting byte>	3	2	NR1L-DIAG-494;NR1L-DIAG-495
DR-DIAG-5	<steering wheel button status record>	3	2	NR1L-DIAG-498;NR1L-DIAG-553
DR-DIAG-5	<in-motion menu status byte>	2	2	NR1L-DIAG-009;NR1L-DIAG-013
DR-DIAG-5	<tuned frequency byte>	2	2	NR1L-DIAG-050;NR1L-DIAG-051
DR-DIAG-5	<Aux input detect switch byte>	2	2	NR1L-DIAG-072;NR1L-DIAG-073
DR-DIAG-5	<invalid AV Channel Number>	2	2	NR1L-DIAG-217;NR1L-DIAG-225
DR-DIAG-5	<test pattern byte>	2	1	NR1L-DIAG-549
DR-DIAG-5	<out-of-range brightness byte>	1	1	NR1L-DIAG-003
DR-DIAG-5	<currently tuned SDAR channel number byte>	1	1	NR1L-DIAG-017
DR-DIAG-5	<frequency step of the currently tuned station byte>	1	1	NR1L-DIAG-021
DR-DIAG-5	<SDAR station selection byte>	1	1	NR1L-DIAG-045
DR-DIAG-5	<frequency step size of the current band>	1	1	NR1L-DIAG-051
DR-DIAG-5	<starting frequency of the current band>	1	1	NR1L-DIAG-051
DR-DIAG-5	<Mode 2 Entertainment audio source byte>	1	1	NR1L-DIAG-063
DR-DIAG-5	<Buzzer output status byte>	1	1	NR1L-DIAG-071
DR-DIAG-5	<Radio Audio Output Settings byte>	1	1	NR1L-DIAG-080
DR-DIAG-5	<Mode 2 Entertainment audio source selection byte>	1	1	NR1L-DIAG-082
DR-DIAG-5	<Mode 1 Information audio source selection byte>	1	1	NR1L-DIAG-086
DR-DIAG-5	<out-of-range controlOptionRecord>	1	1	NR1L-DIAG-163
DR-DIAG-5	<measurement results>	1	1	NR1L-DIAG-210
DR-DIAG-5	<frequency and amplitude parameters>	1	1	NR1L-DIAG-210
DR-DIAG-5	<out-of-range frequency and amplitude parameters>	1	1	NR1L-DIAG-212
DR-DIAG-5	<CA Pellet status record>	1	1	NR1L-DIAG-342
DR-DIAG-5	<CA Pellet validation status record>	1	1	NR1L-DIAG-350
DR-DIAG-5	<Event data record>	1	1	NR1L-DIAG-354
DR-DIAG-5	<USB device count byte>	1	1	NR1L-DIAG-473
DR-DIAG-5	<USB Hub count byte>	1	1	NR1L-DIAG-476
DR-DIAG-5	<video input byte>	1	1	NR1L-DIAG-488
DR-DIAG-6	<unsupported SID>	184	92	NR1L-DIAG-004;NR1L-DIAG-008;NR1L-DIAG-012;NR1L-DIAG-020;NR1L-DIAG-024;NR1L-DIAG-028;NR1L-DIAG-032;NR1L-DIAG-036;NR1L-DIAG-044;NR1L-DIAG-048;NR1L-DIAG-054;NR1L-DIAG-058;NR1L-DIAG-062;NR1L-DIAG-066;NR1L-DIAG-085;NR1L-DIAG-089;NR1L-DIAG-106;NR1L-DIAG-111;NR1L-DIAG-115;NR1L-DIAG-119;NR1L-DIAG-124;NR1L-DIAG-128;NR1L-DIAG-132;NR1L-DIAG-136;NR1L-DIAG-140;NR1L-DIAG-144;NR1L-DIAG-148;NR1L-DIAG-152;NR1L-DIAG-156;NR1L-DIAG-160;NR1L-DIAG-164;NR1L-DIAG-169;NR1L-DIAG-173;NR1L-DIAG-177;NR1L-DIAG-181;NR1L-DIAG-185;NR1L-DIAG-189;NR1L-DIAG-193;NR1L-DIAG-197;NR1L-DIAG-201;NR1L-DIAG-205;NR1L-DIAG-209;NR1L-DIAG-213;NR1L-DIAG-218;NR1L-DIAG-222;NR1L-DIAG-224;NR1L-DIAG-345;NR1L-DIAG-347;NR1L-DIAG-353;NR1L-DIAG-357;NR1L-DIAG-361;NR1L-DIAG-365;NR1L-DIAG-369;NR1L-DIAG-373;NR1L-DIAG-377;NR1L-DIAG-381;NR1L-DIAG-385;NR1L-DIAG-392;NR1L-DIAG-396;NR1L-DIAG-400;NR1L-DIAG-404;NR1L-DIAG-408;NR1L-DIAG-412;NR1L-DIAG-416;NR1L-DIAG-420;NR1L-DIAG-424;NR1L-DIAG-428;NR1L-DIAG-432;NR1L-DIAG-436;NR1L-DIAG-440;NR1L-DIAG-444;NR1L-DIAG-448;NR1L-DIAG-452;NR1L-DIAG-456;NR1L-DIAG-460;NR1L-DIAG-464;NR1L-DIAG-468;NR1L-DIAG-472;NR1L-DIAG-503;NR1L-DIAG-507;NR1L-DIAG-511;NR1L-DIAG-515;NR1L-DIAG-519;NR1L-DIAG-523;NR1L-DIAG-527;NR1L-DIAG-531;NR1L-DIAG-535;NR1L-DIAG-539;NR1L-DIAG-543;NR1L-DIAG-547;NR1L-DIAG-552;NR1L-DIAG-556
DR-DIAG-6	<unsupported DID>	85	85	NR1L-DIAG-007;NR1L-DIAG-019;NR1L-DIAG-023;NR1L-DIAG-027;NR1L-DIAG-031;NR1L-DIAG-035;NR1L-DIAG-043;NR1L-DIAG-065;NR1L-DIAG-069;NR1L-DIAG-228;NR1L-DIAG-231;NR1L-DIAG-234;NR1L-DIAG-237;NR1L-DIAG-240;NR1L-DIAG-243;NR1L-DIAG-246;NR1L-DIAG-249;NR1L-DIAG-252;NR1L-DIAG-255;NR1L-DIAG-258;NR1L-DIAG-261;NR1L-DIAG-264;NR1L-DIAG-267;NR1L-DIAG-270;NR1L-DIAG-273;NR1L-DIAG-276;NR1L-DIAG-279;NR1L-DIAG-282;NR1L-DIAG-285;NR1L-DIAG-288;NR1L-DIAG-291;NR1L-DIAG-294;NR1L-DIAG-297;NR1L-DIAG-300;NR1L-DIAG-305;NR1L-DIAG-311;NR1L-DIAG-316;NR1L-DIAG-319;NR1L-DIAG-324;NR1L-DIAG-344;NR1L-DIAG-352;NR1L-DIAG-356;NR1L-DIAG-360;NR1L-DIAG-364;NR1L-DIAG-368;NR1L-DIAG-372;NR1L-DIAG-376;NR1L-DIAG-380;NR1L-DIAG-384;NR1L-DIAG-391;NR1L-DIAG-395;NR1L-DIAG-399;NR1L-DIAG-403;NR1L-DIAG-407;NR1L-DIAG-411;NR1L-DIAG-415;NR1L-DIAG-419;NR1L-DIAG-423;NR1L-DIAG-427;NR1L-DIAG-431;NR1L-DIAG-435;NR1L-DIAG-439;NR1L-DIAG-443;NR1L-DIAG-447;NR1L-DIAG-451;NR1L-DIAG-455;NR1L-DIAG-459;NR1L-DIAG-463;NR1L-DIAG-467;NR1L-DIAG-471;NR1L-DIAG-475;NR1L-DIAG-478;NR1L-DIAG-500;NR1L-DIAG-506;NR1L-DIAG-510;NR1L-DIAG-514;NR1L-DIAG-518;NR1L-DIAG-522;NR1L-DIAG-526;NR1L-DIAG-530;NR1L-DIAG-534;NR1L-DIAG-538;NR1L-DIAG-542;NR1L-DIAG-546;NR1L-DIAG-555
DR-DIAG-8	<Package Indication value>	14	14	NR1L-DIAG-325;NR1L-DIAG-328;NR1L-DIAG-331;NR1L-DIAG-332;NR1L-DIAG-333;NR1L-DIAG-334;NR1L-DIAG-335;NR1L-DIAG-336;NR1L-DIAG-337;NR1L-DIAG-338;NR1L-DIAG-339;NR1L-DIAG-340;NR1L-DIAG-341;NR1L-DIAG-502
DR-DIAG-8	<out-of-range Package Indication value>	2	2	NR1L-DIAG-327;NR1L-DIAG-330
