row037	swe1_id	tc_ids	tc_count	status
8	SWE1-Diagnostics-001	NR1L-DIAG-001	1	COVERED
9	SWE1-Diagnostics-002	NR1L-DIAG-002;NR1L-DIAG-003	2	COVERED
10	SWE1-Diagnostics-003	NR1L-DIAG-004	1	COVERED
11	SWE1-Diagnostics-004	NR1L-DIAG-005	1	COVERED
119	SWE1-Diagnostics-112	NR1L-DIAG-006	1	COVERED
120	SWE1-Diagnostics-113	NR1L-DIAG-007;NR1L-DIAG-008	2	COVERED
158	SWE1-Diagnostics-151	NR1L-DIAG-009	1	COVERED
161	SWE1-Diagnostics-154	NR1L-DIAG-010	1	COVERED
279	SWE1-Diagnostics-272	NR1L-DIAG-011	1	COVERED
347	SWE1-Diagnostics-340-001	NR1L-DIAG-013	1	COVERED
64	SWE1-Diagnostics-057	NR1L-DIAG-014	1	OUT_OF_SCOPE
196	SWE1-Diagnostics-189	NR1L-DIAG-012	1	COVERED
