tc_id	swe1_id	field	placeholder	dr_token	source_anchor
NR1L-DIAG-001	SWE1-Diagnostics-001	test_procedure	<brightness byte>	DR-DIAG-5	CFTS004-4939794
NR1L-DIAG-001	SWE1-Diagnostics-001	expected_result	<brightness byte>	DR-DIAG-5	CFTS004-4939794
NR1L-DIAG-001	SWE1-Diagnostics-001	expected_result	<brightness byte>	DR-DIAG-5	CFTS004-4939794
NR1L-DIAG-003	SWE1-Diagnostics-002	test_procedure	<out-of-range brightness byte>	DR-DIAG-5	CFTS004-4939794
NR1L-DIAG-004	SWE1-Diagnostics-003	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4939794
NR1L-DIAG-004	SWE1-Diagnostics-003	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4939794
NR1L-DIAG-005	SWE1-Diagnostics-004	expected_result	<brightness byte>	DR-DIAG-5	CFTS004-4939793
NR1L-DIAG-006	SWE1-Diagnostics-112	test_procedure	<buzzer control tone selection>	DR-DIAG-4	CFTS004-4940297
NR1L-DIAG-008	SWE1-Diagnostics-113	test_procedure	<out-of-range controlOptionRecord>	DR-DIAG-5	CFTS004-4940297
NR1L-DIAG-009	SWE1-Diagnostics-151	test_procedure	<AV Channel Number>	DR-DIAG-5	CFTS004-4940473
NR1L-DIAG-009	SWE1-Diagnostics-151	expected_result	<routine results>	DR-DIAG-5	CFTS004-4940473
NR1L-DIAG-010	SWE1-Diagnostics-154	test_procedure	<AV Channel Number>	DR-DIAG-5	CFTS004-4940477
NR1L-DIAG-010	SWE1-Diagnostics-154	expected_result	<routine results>	DR-DIAG-5	CFTS004-4940477
NR1L-DIAG-011	SWE1-Diagnostics-272	expected_result	<module version record>	DR-DIAG-5	CFTS004-4939852
NR1L-DIAG-012	SWE1-Diagnostics-189	expected_result	<signal quality record>	DR-DIAG-5	CFTS004-4939821
NR1L-DIAG-013	SWE1-Diagnostics-340-001	test_procedure	<incompatible video input>	DR-DIAG-4	CFTS004-4940355
NR1L-DIAG-017	SWE1-Diagnostics-006	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4939793
NR1L-DIAG-017	SWE1-Diagnostics-006	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4939793
NR1L-DIAG-018	SWE1-Diagnostics-052	expected_result	<Cabin EQ Curve Number byte>	DR-DIAG-5	CFTS004-4939689
NR1L-DIAG-019	SWE1-Diagnostics-052	test_procedure	<Cabin EQ Curve Number byte>	DR-DIAG-5	CFTS004-4939689
NR1L-DIAG-019	SWE1-Diagnostics-052	expected_result	<Cabin EQ Curve Number byte>	DR-DIAG-5	CFTS004-4939689
NR1L-DIAG-020	SWE1-Diagnostics-053	expected_result	<Automated Loudness setting byte>	DR-DIAG-5	CFTS004-4939685
NR1L-DIAG-021	SWE1-Diagnostics-053	test_procedure	<Automated Loudness setting byte>	DR-DIAG-5	CFTS004-4939685
NR1L-DIAG-021	SWE1-Diagnostics-053	expected_result	<Automated Loudness setting byte>	DR-DIAG-5	CFTS004-4939685
NR1L-DIAG-022	SWE1-Diagnostics-334	expected_result	<Front Seat Video Playback state byte>	DR-DIAG-5	CFTS004-4939688
NR1L-DIAG-023	SWE1-Diagnostics-334	test_procedure	<Front Seat Video Playback state byte>	DR-DIAG-5	CFTS004-4939688
NR1L-DIAG-023	SWE1-Diagnostics-334	expected_result	<Front Seat Video Playback state byte>	DR-DIAG-5	CFTS004-4939688
NR1L-DIAG-026	SWE1-Diagnostics-340-002	expected_result	<Clock Defeat setting byte>	DR-DIAG-5	CFTS004-4939684
NR1L-DIAG-027	SWE1-Diagnostics-340-002	test_procedure	<Clock Defeat setting byte>	DR-DIAG-5	CFTS004-4939684
NR1L-DIAG-027	SWE1-Diagnostics-340-002	expected_result	<Clock Defeat setting byte>	DR-DIAG-5	CFTS004-4939684
