tc_id	batch	sid	原請求串	改後請求串	下半 token 前	下半 token 後
NR1L-DIAG-016	batch1	22	$ 22 28 3F	$ 22 <unsupported DID>	($283F, NRC 31 requestOutOfRange)	($283F, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-038	batch1	22	$ 22 28 70	$ 22 <unsupported DID>	($2870, NRC 31 requestOutOfRange)	($2870, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-041	batch1	22	$ 22 28 70	$ 22 <unsupported DID>	($2870, NRC 31 requestOutOfRange)	($2870, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-047	batch1	22	$ 22 18 21	$ 22 <unsupported DID>	($1821, NRC 31 requestOutOfRange)	($1821, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-050	batch1	22	$ 22 18 21	$ 22 <unsupported DID>	($1821, NRC 31 requestOutOfRange)	($1821, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-108	batch2	22	$ 22 50 01	$ 22 <unsupported DID>	($5001, NRC 31 requestOutOfRange)	($5001, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-180	batch3	22	$ 22 50 0C	$ 22 <unsupported DID>	($500C, NRC 31 requestOutOfRange)	($500C, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-184	batch3	22	$ 22 50 09	$ 22 <unsupported DID>	($5009, NRC 31 requestOutOfRange)	($5009, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-188	batch3	22	$ 22 50 08	$ 22 <unsupported DID>	($5008, NRC 31 requestOutOfRange)	($5008, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-209	batch3	22	$ 22 50 0A	$ 22 <unsupported DID>	($500A, NRC 31 requestOutOfRange)	($500A, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-234	batch4	22	$ 22 28 12	$ 22 <unsupported DID>	($2812, NRC 31 requestOutOfRange)	($2812, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-238	batch4	22	$ 22 28 12	$ 22 <unsupported DID>	($2812, NRC 31 requestOutOfRange)	($2812, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-242	batch4	22	$ 22 28 12	$ 22 <unsupported DID>	($2812, NRC 31 requestOutOfRange)	($2812, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-246	batch4	22	$ 22 28 12	$ 22 <unsupported DID>	($2812, NRC 31 requestOutOfRange)	($2812, unsupported DID, NRC 31 requestOutOfRange)
NR1L-DIAG-250	batch4	22	$ 22 28 12	$ 22 <unsupported DID>	($2812, NRC 31 requestOutOfRange)	($2812, unsupported DID, NRC 31 requestOutOfRange)
