tc_id	batch	did_sid	原觸發串	改後串	描述行改法
NR1L-DIAG-002	pilot01	2E 283F	$ 2E 28 3F	$ 2E 28 3F	僅描述
NR1L-DIAG-007	pilot01	2F 5000	$ 2F 50 00	$ 2F 50 00	僅描述
NR1L-DIAG-015	batch1	22 283F	$ 22 28 3F	$ 22 28	位元組＋描述
NR1L-DIAG-024	batch1	2E 280C	$ 2E 28 0C	$ 2E 28 0C	僅描述
NR1L-DIAG-028	batch1	2E 280C	$ 2E 28 0C	$ 2E 28 0C	僅描述
NR1L-DIAG-032	batch1	2E 280C	$ 2E 28 0C	$ 2E 28 0C	僅描述
NR1L-DIAG-037	batch1	22 2870	$ 22 28 70	$ 22 28	位元組＋描述
NR1L-DIAG-040	batch1	22 2870	$ 22 28 70	$ 22 28	位元組＋描述
NR1L-DIAG-046	batch1	22 1821	$ 22 18 21	$ 22 18	位元組＋描述
NR1L-DIAG-049	batch1	22 1821	$ 22 18 21	$ 22 18	位元組＋描述
NR1L-DIAG-053	batch1	2E 1801	$ 2E 18 01	$ 2E 18 01	僅描述
NR1L-DIAG-058	batch2	2F 5000	$ 2F 50 00	$ 2F 50 00	僅描述
NR1L-DIAG-063	batch2	2F 5000	$ 2F 50 00	$ 2F 50 00	僅描述
NR1L-DIAG-067	batch2	2F 5000	$ 2F 50 00	$ 2F 50 00	僅描述
NR1L-DIAG-071	batch2	2F 5000	$ 2F 50 00	$ 2F 50 00	僅描述
NR1L-DIAG-075	batch2	2F 5000	$ 2F 50 00	$ 2F 50 00	僅描述
NR1L-DIAG-079	batch2	2F 5000	$ 2F 50 00	$ 2F 50 00	僅描述
NR1L-DIAG-083	batch2	2F 5000	$ 2F 50 00	$ 2F 50 00	僅描述
NR1L-DIAG-087	batch2	2F 5000	$ 2F 50 00	$ 2F 50 00	僅描述
NR1L-DIAG-091	batch2	2F 5000	$ 2F 50 00	$ 2F 50 00	僅描述
NR1L-DIAG-095	batch2	2F 5000	$ 2F 50 00	$ 2F 50 00	僅描述
NR1L-DIAG-099	batch2	2F 5000	$ 2F 50 00	$ 2F 50 00	僅描述
NR1L-DIAG-103	batch2	2F 5000	$ 2F 50 00	$ 2F 50 00	僅描述
NR1L-DIAG-107	batch2	22 5001	$ 22 50 01	$ 22 50	位元組＋描述
NR1L-DIAG-111	batch2	2F 5001	$ 2F 50 01	$ 2F 50 01	僅描述
NR1L-DIAG-115	batch2	2F 5001	$ 2F 50 01	$ 2F 50 01	僅描述
NR1L-DIAG-122	batch2	2F 5001	$ 2F 50 01	$ 2F 50 01	僅描述
NR1L-DIAG-126	batch2	2F 5001	$ 2F 50 01	$ 2F 50 01	僅描述
NR1L-DIAG-119	batch2	2F 5001	$ 2F 50 01	$ 2F 50 01	僅描述
NR1L-DIAG-131	batch2	2F 5001	$ 2F 50 01	$ 2F 50 01	僅描述
NR1L-DIAG-149	batch3	2F 5004	$ 2F 50 04	$ 2F 50 04	僅描述
NR1L-DIAG-154	batch3	2F 5003	$ 2F 50 03	$ 2F 50 03	僅描述
NR1L-DIAG-158	batch3	2F 5003	$ 2F 50 03	$ 2F 50 03	僅描述
NR1L-DIAG-162	batch3	2F 5003	$ 2F 50 03	$ 2F 50 03	僅描述
NR1L-DIAG-167	batch3	2F 5002	$ 2F 50 02	$ 2F 50 02	僅描述
NR1L-DIAG-171	batch3	2F 5002	$ 2F 50 02	$ 2F 50 02	僅描述
NR1L-DIAG-175	batch3	2F 5002	$ 2F 50 02	$ 2F 50 02	僅描述
NR1L-DIAG-179	batch3	22 500C	$ 22 50 0C	$ 22 50	位元組＋描述
NR1L-DIAG-183	batch3	22 5009	$ 22 50 09	$ 22 50	位元組＋描述
NR1L-DIAG-187	batch3	22 5008	$ 22 50 08	$ 22 50	位元組＋描述
NR1L-DIAG-191	batch3	2F 500C	$ 2F 50 0C	$ 2F 50 0C	僅描述
NR1L-DIAG-196	batch3	2F 5009	$ 2F 50 09	$ 2F 50 09	僅描述
NR1L-DIAG-200	batch3	2F 5008	$ 2F 50 08	$ 2F 50 08	僅描述
NR1L-DIAG-204	batch3	2F 5008	$ 2F 50 08	$ 2F 50 08	僅描述
NR1L-DIAG-208	batch3	22 500A	$ 22 50 0A	$ 22 50	位元組＋描述
NR1L-DIAG-212	batch3	2F 500A	$ 2F 50 0A	$ 2F 50 0A	僅描述
NR1L-DIAG-216	batch3	2F 500A	$ 2F 50 0A	$ 2F 50 0A	僅描述
NR1L-DIAG-220	batch3	2F 500B	$ 2F 50 0B	$ 2F 50 0B	僅描述
NR1L-DIAG-224	batch3	2F 500B	$ 2F 50 0B	$ 2F 50 0B	僅描述
NR1L-DIAG-229	batch3	2F 5100	$ 2F 51 00	$ 2F 51 00	僅描述
NR1L-DIAG-233	batch4	22 2812	$ 22 28 12	$ 22 28	位元組＋描述
NR1L-DIAG-237	batch4	22 2812	$ 22 28 12	$ 22 28	位元組＋描述
NR1L-DIAG-241	batch4	22 2812	$ 22 28 12	$ 22 28	位元組＋描述
NR1L-DIAG-245	batch4	22 2812	$ 22 28 12	$ 22 28	位元組＋描述
NR1L-DIAG-249	batch4	22 2812	$ 22 28 12	$ 22 28	位元組＋描述
NR1L-DIAG-253	batch4	22 2812	$ 22 28 12	$ 22 28	位元組＋描述
NR1L-DIAG-257	batch4	22 2812	$ 22 28 12	$ 22 28	位元組＋描述
NR1L-DIAG-261	batch4	22 2812	$ 22 28 12	$ 22 28	位元組＋描述
NR1L-DIAG-265	batch4	22 2812	$ 22 28 12	$ 22 28	位元組＋描述
NR1L-DIAG-269	batch4	22 2812	$ 22 28 12	$ 22 28	位元組＋描述
NR1L-DIAG-273	batch4	22 2812	$ 22 28 12	$ 22 28	位元組＋描述
NR1L-DIAG-277	batch4	31 0303	$ 31 03 03 12	$ 31 03 03	位元組＋描述
NR1L-DIAG-287	batch4	31 0303	$ 31 03 03 1B	$ 31 03 03	位元組＋描述
