tc_id	batch	欄／行	原串	改後串	改由
NR1L-DIAG-006	pilot01	步驟	$ 2F 50 00 <buzzer control tone selection>	$ 2F 50 00 03 <controlState for "buzzer control tone">	R-DIAG29(a)(b)：插入 IOCP `03 Short Term Adjustment`（Table 51），佔位改為 controlState
NR1L-DIAG-007	pilot01	步驟	$ 2F 50 00	$ 2F 50 00 03	R-DIAG29(a)＋R-DIAG22：合法請求現為 `2F <DID> 03 <controlState>`，省末 byte 即 `… 03`
NR1L-DIAG-008	pilot01	步驟	$ 2F 50 00 <out-of-range controlOptionRecord>	$ 2F 50 00 03 <out-of-range controlState>	R-DIAG29(a)(b)：插入 IOCP `03 Short Term Adjustment`（Table 51），佔位改為 controlState
NR1L-DIAG-013	pilot01	步驟	$ 2F 50 0D <incompatible video input>	$ 2F 50 0D 03 <controlState for "incompatible video input">	R-DIAG29(a)(b)：插入 IOCP `03 Short Term Adjustment`（Table 51），佔位改為 controlState
NR1L-DIAG-057	batch2	步驟	$ 2F 50 00 <buzzer control tone selection>	$ 2F 50 00 03 <controlState for "buzzer control tone">	R-DIAG29(a)(b)：插入 IOCP `03 Short Term Adjustment`（Table 51），佔位改為 controlState
NR1L-DIAG-058	batch2	步驟	$ 2F 50 00	$ 2F 50 00 03	R-DIAG29(a)＋R-DIAG22：合法請求現為 `2F <DID> 03 <controlState>`，省末 byte 即 `… 03`
NR1L-DIAG-059	batch2	步驟	$ 2F 50 00	$ 2F 50 00 03 <out-of-range controlState>	R-DIAG29(a)＋R-DIAG22(amend)：值域軸保留完整長度，資料 byte 為越界值
NR1L-DIAG-062	batch2	步驟	$ 2F 50 00 <tool-controlled tone selection>	$ 2F 50 00 03 <controlState for "tool-controlled tone">	R-DIAG29(a)(b)：插入 IOCP `03 Short Term Adjustment`（Table 51），佔位改為 controlState
NR1L-DIAG-063	batch2	步驟	$ 2F 50 00	$ 2F 50 00 03	R-DIAG29(a)＋R-DIAG22：合法請求現為 `2F <DID> 03 <controlState>`，省末 byte 即 `… 03`
NR1L-DIAG-064	batch2	步驟	$ 2F 50 00	$ 2F 50 00 03 <out-of-range controlState>	R-DIAG29(a)＋R-DIAG22(amend)：值域軸保留完整長度，資料 byte 為越界值
