# RETRACTED 2026-08-24 by R-DM13 (下放包 03 §3.1/§3.3)。本檔以 bag-of-words token 重疊產出，對 SYS2 r31-r34 同時產生偽陰性與偽陽性（SWE-DM-004/005 被誤報為命中 0 列）。其 swe_dm 欄不得引用。取代者：coverage_sys2_vs_swe_dm.tsv（錨定法）。依 R-TM13 不刪除，加註保留。
sys2_row	sys2_feature_id	melco_id	sw_hw	swe_dm	basis
13	SYS-RA-DM-012	PSCFTS020-1-116-1 PSCFTS020-1-116-2 PSCFTS020-1-262-1 PSCFTS020-1-262-2	System	無	無（最佳文字分數 2，SWE-DM-002 ['dcsd', 'received']）
17	SYS-RA-DM-016	PSCFTS020-1-45-5 PSCFTS020-1-45-6	SW	無	無（最佳文字分數 2，SWE-DM-002 ['dcsd', 'touch']）
18	SYS-RA-DM-017	PSCFTS020-1-45-5 PSCFTS020-1-45-6 PSCFTS020-1-88-10 PSCFTS020-1-88-11	SW	無	無（最佳文字分數 1，SWE-DM-001 ['dcsd']）
26	SYS-RA-DM-025	PSCFTS020-1-109-7 PSCFTS020-1-109-8	HW	無	無（最佳文字分數 0）
28	SYS-RA-DM-027	PSCFTS020-1-109-11 PSCFTS020-1-109-12	HW	無	無（最佳文字分數 0）
31	SYS-RA-DM-030	NA	System	SWE-DM-001	Description 文字：共通 token 3 個 ['dcsd', 'send', 'transition']
32	SYS-RA-DM-031	NA	System	SWE-DM-001	Description 文字：共通 token 3 個 ['dcsd', 'send', 'transition']
33	SYS-RA-DM-032	NA	System	無	無（最佳文字分數 2，SWE-DM-001 ['dcsd', 'send']）
34	SYS-RA-DM-033	NA	System	SWE-DM-003	Description 文字：共通 token 4 個 ['normal', 'resume', 'screen', 'sequence']
37	SYS-RA-DM-036	PSCFTS020-1-48-1 PSCFTS020-1-48-2	System	SWE-DM-008	Description 文字：共通 token 4 個 ['camera', 'rear', 'screen', 'view']
39	SYS-RA-DM-038	PSCFTS020-1-49-1 PSCFTS020-1-49-2	System	無	無（最佳文字分數 2，SWE-DM-003 ['normal', 'screen']）
41	SYS-RA-DM-040	PSCFTS020-1-50-1 PSCFTS020-1-50-2	System	SWE-DM-008	Description 文字：共通 token 4 個 ['camera', 'rear', 'screen', 'view']
42	SYS-RA-DM-041	PSCFTS020-1-50-7 PSCFTS020-1-50-8	System	SWE-DM-008	Description 文字：共通 token 4 個 ['camera', 'rear', 'screen', 'view']
44	SYS-RA-DM-043	PSCFTS020-1-52-1 PSCFTS020-1-52-2	System	SWE-DM-008	Description 文字：共通 token 4 個 ['camera', 'rear', 'screen', 'view']
45	SYS-RA-DM-044	PSCFTS020-1-38-5 PSCFTS020-1-52-7 PSCFTS020-1-52-8	System	SWE-DM-008	Description 文字：共通 token 4 個 ['camera', 'rear', 'screen', 'view']
47	SYS-RA-DM-046	PSCFTS020-1-53-5 PSCFTS020-1-53-6	System	SWE-DM-002	Description 文字：共通 token 5 個 ['active', 'coordinates', 'dcsd', 'previous', 'touch']
49	SYS-RA-DM-048	PSCFTS020-1-54-1 PSCFTS020-1-54-2	System	無	無（最佳文字分數 1，SWE-DM-001 ['send']）
52	SYS-RA-DM-051	PSCFTS020-1-56-1 PSCFTS020-1-56-2	System	SWE-DM-008	Description 文字：共通 token 4 個 ['camera', 'rear', 'screen', 'view']
53	SYS-RA-DM-052	PSCFTS020-1-56-7 PSCFTS020-1-56-8	System	SWE-DM-008	Description 文字：共通 token 4 個 ['camera', 'rear', 'screen', 'view']
54	SYS-RA-DM-053	PSCFTS020-1-56-9 PSCFTS020-1-56-10	System	無	Melco：037 Excluded NRLs (HW-only) 列有此 Melco ID （['PSCFTS020-1-56-10', 'PSCFTS020-1-56-9']）—— 037 明列排除，非 leaf 對應
56	SYS-RA-DM-055	PSCFTS020-1-57-3 PSCFTS020-1-57-4	System	SWE-DM-002	Description 文字：共通 token 4 個 ['coordinates', 'dcsd', 'previous', 'touch']
58	SYS-RA-DM-057		HW	無	無（最佳文字分數 0）
59	SYS-RA-DM-058		HW	無	無（最佳文字分數 0）
60	SYS-RA-DM-059		HW	無	無（最佳文字分數 0）
61	SYS-RA-DM-060		HW	無	無（最佳文字分數 0）
65	SYS-RA-DM-064		HW	無	無（最佳文字分數 1，SWE-DM-001 ['dcsd']）
66	SYS-RA-DM-065		HW	無	無（最佳文字分數 1，SWE-DM-002 ['touch']）
67	SYS-RA-DM-066		HW	無	無（最佳文字分數 1，SWE-DM-001 ['dcsd']）
68	SYS-RA-DM-067		HW	無	無（最佳文字分數 2，SWE-DM-002 ['dcsd', 'touch']）
69	SYS-RA-DM-068		HW	無	無（最佳文字分數 1，SWE-DM-002 ['touch']）
71	SYS-RA-DM-070		HW	無	無（最佳文字分數 2，SWE-DM-002 ['dcsd', 'touch']）
73	SYS-RA-DM-072		HW	無	無（最佳文字分數 1，SWE-DM-001 ['dcsd']）
74	SYS-RA-DM-073		HW	SWE-DM-002	Description 文字：共通 token 3 個 ['dcsd', 'previous', 'touch']
76	SYS-RA-DM-075		System	無	無（最佳文字分數 2，SWE-DM-002 ['coordinates', 'touch']）
77	SYS-RA-DM-076		HW	無	無（最佳文字分數 0）
78	SYS-RA-DM-077		HW	無	無（最佳文字分數 1，SWE-DM-002 ['touch']）
79	SYS-RA-DM-078		System	無	無（最佳文字分數 0）
