abbrev	expansion	source_file	source_locator	cooccurrence_quote	usable	occurrences	initials_rule
CCDMF	Comfort Controls Display Module Front	R1LR_Atl-H_26PI1.5 Mar Release-Cabin_CFTS_020 ICS and DCSD _20260310-1533.docx	CFTS_020 para 32 [(前言)]	4 Comfort Controls Display Module Front (CCDMF) - Lost Communication With Body Control Module {4819170} 16	Y	11	strict
CCDMR	Comfort Controls Display Module Rear	R1LR_Atl-H_26PI1.5 Mar Release-Cabin_CFTS_020 ICS and DCSD _20260310-1533.docx	CFTS_020 para 33 [(前言)]	5 Comfort Controls Display Module Rear (CCDMR) - Lost Communication With Body Control Module {4819177} 17	Y	7	strict
DCSD	Disassociated Center Stack Display	R1LR_Atl-H_26PI1.5 Mar Release-Cabin_CFTS_020 ICS and DCSD _20260310-1533.docx	CFTS_020 para 30 [(前言)]	2 Disassociated Center Stack Display (DCSD) - Lost Communication With Body Control Module {4819156} 15	Y	10	strict
DHCP	Dynamic Host Configuration Protocol	R1LR_Atl-H_26PI1.5 Mar Release-Cabin_CFTS_020 ICS and DCSD _20260310-1533.docx	CFTS_020 para 2836 [1.8.6.1 Police PCs and Optional 2+ Port ]	The DCSD shall contain a DHCP (Dynamic Host Configuration Protocol) server.	Y	1	strict
DPU	Display Processing Unit	SYS3_CFTS_020_display_FM-WI-FSM-011-A01_System Architectural Design_SYSAD_v1.0.docx	SYS3 para 95 [系統分解 System Decomposition]	The DRM driver programs the Display Processing Unit (DPU) to generate the final RGB display data.	Y	2	strict
ECC	Electronic Climate Control	R1LR_Atl-H_26PI1.5 Mar Release-Cabin_CFTS_020 ICS and DCSD _20260310-1533.docx	CFTS_020 para 977 [1.5.1 ICS HMI Communication {4819357}]	In the CIP A&T architecture a VP2 System that uses an HU with integrated Volume and Scroll knobs does not make use of an ICS component and the HVAC related hardkeys and knobs that are in the CIP VP3 System and VP4 System interface directly to the Electronic Climate Control (ECC) component.	Y	14	strict
FPDM	Front Passenger Display Module	R1LR_Atl-H_26PI1.5 Mar Release-Cabin_CFTS_020 ICS and DCSD _20260310-1533.docx	CFTS_020 para 31 [(前言)]	3 Front Passenger Display Module (FPDM) - Lost Communication With Body Control Module {4819163} 16	Y	7	strict
HDCP	High-bandwidth Digital Content Protection	R1LR_Atl-H_26PI1.5 Mar Release-Cabin_CFTS_020 ICS and DCSD _20260310-1533.docx	CFTS_020 para 2649 [1.8.5.1 Ethernet requirements {4819954}]	The HU shall support High-bandwidth Digital Content Protection (HDCP) v1.	Y	4	strict
HU	Head Unit	R1LR_Atl-H_26PI1.5 Mar Release-Cabin_CFTS_020 ICS and DCSD _20260310-1533.docx	CFTS_020 para 38 [(前言)]	10 Head Unit (HU) - Lost Communication with ICS {4819212} 20	Y	14	strict
ICS	Integrated Center Stack	SYS2_CFTS_020_DISP_TCH_ICS_20260616_All_HW_System_Accepted & Released.xlsx	SYS2 Basic Report r28c14	pdf FastBack: DTC Code and details section for Lost Communication with ICS (Integrated Center Stack): U175087 Reference file: D3208_LTM-R1Low_8.	Y	9	strict
LVDS	Low Voltage Differential Signal	R1LR_Atl-H_26PI1.5 Mar Release-Cabin_CFTS_020 ICS and DCSD _20260310-1533.docx	CFTS_020 para 40 [(前言)]	12 Disassociated Center Stack Display (DCSD) - Low Voltage Differential Signal (LVDS) Video Cable {4819226} 21	Y	2	strict
RVC	Rear View Camera	Display_Management_FM-WI-FSM-037-A03_STLA_Report_SWRA.xlsx	037 SWE1 Requirements r14c4	The Display Management software shall transition display state to Rear View Camera (RVC) mode when reverse gear signal is detected under static vehicle condition.	Y	3	strict
UDS	Unified Diagnostic Services	R1LR_Atl-H_26PI1.5 Mar Release-Cabin_CFTS_020 ICS and DCSD _20260310-1533.docx	CFTS_020 para 2605 [1.8.5.1 Ethernet requirements {4819954}]	00043 Standard Unified Diagnostic Services (UDS) on Ethernet CS.	Y	1	strict
