popup_id	category_raw	category_code	priority_rank	ladder_label	note
PU0001	3	3	9	Cat. 3	
PU0002	---	UNRESOLVED	UNRESOLVED	UNRESOLVED	欄 5 之值非單一矩陣類別（複合／無類別）；解析規則未定（B19）
PU0003	3	3	9	Cat. 3	
PU0004	3	3	9	Cat. 3	
PU0005	3	3	9	Cat. 3	
PU0006	3	3	9	Cat. 3	
PU0007	2	2	7	Cat. 2  and Cat. VR	
PU0008	1T	1T	5	Cat. 1	
PU0009	3	3	9	Cat. 3	
PU0010	---	UNRESOLVED	UNRESOLVED	UNRESOLVED	欄 5 之值非單一矩陣類別（複合／無類別）；解析規則未定（B19）
PU0011	---	UNRESOLVED	UNRESOLVED	UNRESOLVED	欄 5 之值非單一矩陣類別（複合／無類別）；解析規則未定（B19）
PU0012	2	2	7	Cat. 2  and Cat. VR	
PU0013	2	2	7	Cat. 2  and Cat. VR	
PU0014	3	3	9	Cat. 3	
PU0015	2	2	7	Cat. 2  and Cat. VR	
PU0016	2	2	7	Cat. 2  and Cat. VR	
PU0017	2	2	7	Cat. 2  and Cat. VR	
PU0018	2	2	7	Cat. 2  and Cat. VR	
PU0019	2	2	7	Cat. 2  and Cat. VR	
PU0020	2	2	7	Cat. 2  and Cat. VR	
PU0021	2	2	7	Cat. 2  and Cat. VR	
PU0022	2	2	7	Cat. 2  and Cat. VR	
PU0023	2	2	7	Cat. 2  and Cat. VR	
PU0024	3	3	9	Cat. 3	
PU0025	3	3	9	Cat. 3	
PU0026	---	UNRESOLVED	UNRESOLVED	UNRESOLVED	欄 5 之值非單一矩陣類別（複合／無類別）；解析規則未定（B19）
PU0027	3	3	9	Cat. 3	
PU0028	2	2	7	Cat. 2  and Cat. VR	
PU0029	2	2	7	Cat. 2  and Cat. VR	
PU0030	2	2	7	Cat. 2  and Cat. VR	
PU0031	2	2	7	Cat. 2  and Cat. VR	
PU0032	2	2	7	Cat. 2  and Cat. VR	
PU0033	2	2	7	Cat. 2  and Cat. VR	
PU0034	2	2	7	Cat. 2  and Cat. VR	
PU0035	2	2	7	Cat. 2  and Cat. VR	
PU0036	2	2	7	Cat. 2  and Cat. VR	
PU0037	2	2	7	Cat. 2  and Cat. VR	
PU0038	2	2	7	Cat. 2  and Cat. VR	
PU0039	2	2	7	Cat. 2  and Cat. VR	
PU0040	2	2	7	Cat. 2  and Cat. VR	
PU0041	3	3	9	Cat. 3	
PU0042	3	3	9	Cat. 3	
PU0043	2	2	7	Cat. 2  and Cat. VR	
PU0044	2	2	7	Cat. 2  and Cat. VR	
PU0045	1P	1P	5	Cat. 1	
PU0046	VR	VR	8	Cat. 2  and Cat. VR	
PU0047	1P	1P	5	Cat. 1	
PU0048	2	2	7	Cat. 2  and Cat. VR	
PU0049	X	X	2	Cat. X	
PU0050	2	2	7	Cat. 2  and Cat. VR	
PU0051	2	2	7	Cat. 2  and Cat. VR	
PU0052	---	UNRESOLVED	UNRESOLVED	UNRESOLVED	欄 5 之值非單一矩陣類別（複合／無類別）；解析規則未定（B19）
PU0053	2	2	7	Cat. 2  and Cat. VR	
PU0054	2	2	7	Cat. 2  and Cat. VR	
PU0055	3	3	9	Cat. 3	
PU0056	2	2	7	Cat. 2  and Cat. VR	
PU0057	2	2	7	Cat. 2  and Cat. VR	
PU0058	---	UNRESOLVED	UNRESOLVED	UNRESOLVED	欄 5 之值非單一矩陣類別（複合／無類別）；解析規則未定（B19）
PU0059	2	2	7	Cat. 2  and Cat. VR	
PU0060	2	2	7	Cat. 2  and Cat. VR	
PU0061	2	2	7	Cat. 2  and Cat. VR	
PU0062	2	2	7	Cat. 2  and Cat. VR	
PU0063	2	2	7	Cat. 2  and Cat. VR	
PU0064	2	2	7	Cat. 2  and Cat. VR	
PU0065	2	2	7	Cat. 2  and Cat. VR	
PU0066	VR	VR	8	Cat. 2  and Cat. VR	
PU0067	---	UNRESOLVED	UNRESOLVED	UNRESOLVED	欄 5 之值非單一矩陣類別（複合／無類別）；解析規則未定（B19）
PU0068	---	UNRESOLVED	UNRESOLVED	UNRESOLVED	欄 5 之值非單一矩陣類別（複合／無類別）；解析規則未定（B19）
PU0069	---	UNRESOLVED	UNRESOLVED	UNRESOLVED	欄 5 之值非單一矩陣類別（複合／無類別）；解析規則未定（B19）
PU0070	---	UNRESOLVED	UNRESOLVED	UNRESOLVED	欄 5 之值非單一矩陣類別（複合／無類別）；解析規則未定（B19）
PU0071	VR	VR	8	Cat. 2  and Cat. VR	
PU0072	VR	VR	8	Cat. 2  and Cat. VR	
PU0073	VR	VR	8	Cat. 2  and Cat. VR	
PU0074	2	2	7	Cat. 2  and Cat. VR	
PU0075	2	2	7	Cat. 2  and Cat. VR	
PU0076	---	UNRESOLVED	UNRESOLVED	UNRESOLVED	欄 5 之值非單一矩陣類別（複合／無類別）；解析規則未定（B19）
PU0077	2	2	7	Cat. 2  and Cat. VR	
PU0078	---	UNRESOLVED	UNRESOLVED	UNRESOLVED	欄 5 之值非單一矩陣類別（複合／無類別）；解析規則未定（B19）
PU0079	---	UNRESOLVED	UNRESOLVED	UNRESOLVED	欄 5 之值非單一矩陣類別（複合／無類別）；解析規則未定（B19）
PU0080	2	2	7	Cat. 2  and Cat. VR	
PU0081	2	2	7	Cat. 2  and Cat. VR	
PU0082	2	2	7	Cat. 2  and Cat. VR	
PU0083	3	3	9	Cat. 3	
PU0084	2	2	7	Cat. 2  and Cat. VR	
PU0085	2	2	7	Cat. 2  and Cat. VR	
PU0086	2	2	7	Cat. 2  and Cat. VR	
PU0087	2	2	7	Cat. 2  and Cat. VR	
PU0088	2	2	7	Cat. 2  and Cat. VR	
PU0089	2	2	7	Cat. 2  and Cat. VR	
PU0090	2	2	7	Cat. 2  and Cat. VR	
PU0091	2	2	7	Cat. 2  and Cat. VR	
PU0092	X	X	2	Cat. X	
PU0093	2	2	7	Cat. 2  and Cat. VR	
PU0094	2	2	7	Cat. 2  and Cat. VR	
PU0095	2	2	7	Cat. 2  and Cat. VR	
PU0096	2	2	7	Cat. 2  and Cat. VR	
PU0097	2	2	7	Cat. 2  and Cat. VR	
PU0098	2	2	7	Cat. 2  and Cat. VR	
PU0099	2	2	7	Cat. 2  and Cat. VR	
PU0100	2	2	7	Cat. 2  and Cat. VR	
PU0101	2	2	7	Cat. 2  and Cat. VR	
PU0102	2	2	7	Cat. 2  and Cat. VR	
PU0103	---	UNRESOLVED	UNRESOLVED	UNRESOLVED	欄 5 之值非單一矩陣類別（複合／無類別）；解析規則未定（B19）
PU0104	2	2	7	Cat. 2  and Cat. VR	
PU0105	2	2	7	Cat. 2  and Cat. VR	
PU0106	VR	VR	8	Cat. 2  and Cat. VR	
PU0107	2	2	7	Cat. 2  and Cat. VR	
PU0108	2	2	7	Cat. 2  and Cat. VR	
PU0109	2	2	7	Cat. 2  and Cat. VR	
PU0110	3	3	9	Cat. 3	
PU0111	3	3	9	Cat. 3	
PU0112	2	2	7	Cat. 2  and Cat. VR	
PU0113	2	2	7	Cat. 2  and Cat. VR	
PU0114	3	3	9	Cat. 3	
PU0115	3	3	9	Cat. 3	
PU0116	2	2	7	Cat. 2  and Cat. VR	
PU0117	2	2	7	Cat. 2  and Cat. VR	
PU0118	2	2	7	Cat. 2  and Cat. VR	
PU0119	2	2	7	Cat. 2  and Cat. VR	
PU0120	2	2	7	Cat. 2  and Cat. VR	
PU0121	2	2	7	Cat. 2  and Cat. VR	
PU0122	---	UNRESOLVED	UNRESOLVED	UNRESOLVED	欄 5 之值非單一矩陣類別（複合／無類別）；解析規則未定（B19）
PU0123	3	3	9	Cat. 3	
PU0124	---	UNRESOLVED	UNRESOLVED	UNRESOLVED	欄 5 之值非單一矩陣類別（複合／無類別）；解析規則未定（B19）
PU0125	---	UNRESOLVED	UNRESOLVED	UNRESOLVED	欄 5 之值非單一矩陣類別（複合／無類別）；解析規則未定（B19）
PU0126	---	UNRESOLVED	UNRESOLVED	UNRESOLVED	欄 5 之值非單一矩陣類別（複合／無類別）；解析規則未定（B19）
PU0127	---	UNRESOLVED	UNRESOLVED	UNRESOLVED	欄 5 之值非單一矩陣類別（複合／無類別）；解析規則未定（B19）
PU0128	---	UNRESOLVED	UNRESOLVED	UNRESOLVED	欄 5 之值非單一矩陣類別（複合／無類別）；解析規則未定（B19）
PU0129	2	2	7	Cat. 2  and Cat. VR	
PU0130	1T	1T	5	Cat. 1	
PU0131	2	2	7	Cat. 2  and Cat. VR	
PU0132	2	2	7	Cat. 2  and Cat. VR	
PU0133	2	2	7	Cat. 2  and Cat. VR	
PU0134	2	2	7	Cat. 2  and Cat. VR	
PU0135	---	UNRESOLVED	UNRESOLVED	UNRESOLVED	欄 5 之值非單一矩陣類別（複合／無類別）；解析規則未定（B19）
PU0136	2	2	7	Cat. 2  and Cat. VR	
PU0137	---	UNRESOLVED	UNRESOLVED	UNRESOLVED	欄 5 之值非單一矩陣類別（複合／無類別）；解析規則未定（B19）
PU0138	---	UNRESOLVED	UNRESOLVED	UNRESOLVED	欄 5 之值非單一矩陣類別（複合／無類別）；解析規則未定（B19）
PU0139	2	2	7	Cat. 2  and Cat. VR	
PU0140	---	UNRESOLVED	UNRESOLVED	UNRESOLVED	欄 5 之值非單一矩陣類別（複合／無類別）；解析規則未定（B19）
PU0141	2	2	7	Cat. 2  and Cat. VR	
PU0142	2	2	7	Cat. 2  and Cat. VR	
PU0143	2	2	7	Cat. 2  and Cat. VR	
PU0144	2	2	7	Cat. 2  and Cat. VR	
PU0145	2	2	7	Cat. 2  and Cat. VR	
PU0146	2	2	7	Cat. 2  and Cat. VR	
PU0147	2	2	7	Cat. 2  and Cat. VR	
PU0148	2	2	7	Cat. 2  and Cat. VR	
PU0149	3	3	9	Cat. 3	
PU0150	3	3	9	Cat. 3	
PU0151	2	2	7	Cat. 2  and Cat. VR	
PU0152	2	2	7	Cat. 2  and Cat. VR	
PU0153	2	2	7	Cat. 2  and Cat. VR	
PU0154	2	2	7	Cat. 2  and Cat. VR	
PU0155	2	2	7	Cat. 2  and Cat. VR	
PU0156	2	2	7	Cat. 2  and Cat. VR	
PU0157	2	2	7	Cat. 2  and Cat. VR	
PU0158	2	2	7	Cat. 2  and Cat. VR	
PU0159	2	2	7	Cat. 2  and Cat. VR	
PU0160	2	2	7	Cat. 2  and Cat. VR	
PU0161	2	2	7	Cat. 2  and Cat. VR	
PU0162	2	2	7	Cat. 2  and Cat. VR	
PU0163	---	UNRESOLVED	UNRESOLVED	UNRESOLVED	欄 5 之值非單一矩陣類別（複合／無類別）；解析規則未定（B19）
PU0164	---	UNRESOLVED	UNRESOLVED	UNRESOLVED	欄 5 之值非單一矩陣類別（複合／無類別）；解析規則未定（B19）
PU0165	2	2	7	Cat. 2  and Cat. VR	
PU0166	2	2	7	Cat. 2  and Cat. VR	
PU0167	3	3	9	Cat. 3	
PU0168	2	2	7	Cat. 2  and Cat. VR	
PU0169	RVC-X	UNRESOLVED	UNRESOLVED	UNRESOLVED	欄 5 之值非單一矩陣類別（複合／無類別）；解析規則未定（B19）
PU0170	RVC	RVC	1	RVC	
PU0171	2	2	7	Cat. 2  and Cat. VR	
PU0172	2	2	7	Cat. 2  and Cat. VR	
PU0173	2	2	7	Cat. 2  and Cat. VR	
PU0174	2	2	7	Cat. 2  and Cat. VR	
PU0175	2	2	7	Cat. 2  and Cat. VR	
PU0176	2	2	7	Cat. 2  and Cat. VR	
PU0177	2	2	7	Cat. 2  and Cat. VR	
PU0178	2	2	7	Cat. 2  and Cat. VR	
PU0179	2	2	7	Cat. 2  and Cat. VR	
PU0180	2	2	7	Cat. 2  and Cat. VR	
PU0181	2	2	7	Cat. 2  and Cat. VR	
PU0182	2	2	7	Cat. 2  and Cat. VR	
PU0183	2	2	7	Cat. 2  and Cat. VR	
PU0184	2	2	7	Cat. 2  and Cat. VR	
