lid_row	logical_identifier	function	atlantis_signal_name	lookup_key	proxi_row	proxi_values	related_leaf	anchor_kind	note	keyword_note
4	ACN_Hardwired		ACN_Hardwire	Atlantis Signal Name=ACN_Hardwire	728	0 = Absent 1 = Present		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r728（Parameter Group: Telematic_Configuration_1；查詢鍵 Atlantis Signal Name=ACN_Hardwire）	
5	ADASIS_Mini_Full		ADASIS_Mini_Full	Atlantis Signal Name=ADASIS_Mini_Full ¦ Logical Identifier=ADASIS_Mini_Full	884	0 = Absent 1 = ADASIS_Mini 2 = ADASIS_Full		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r884（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=ADASIS_Mini_Full ¦ Logical Identifier=ADASIS_Mini_Full）	
6	ADCAM_Present	Feature present	CAN node 28 (ADCAM)	Atlantis Signal Name=CAN node 28 (ADCAM)	34	0 = Absent 1 = Present		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r34（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=CAN node 28 (ADCAM)）	
7	Advanced_Effect_Modes_Present		Advanced_Effect_Modes_Present					none	無 leaf 片語逐字命中；PROXI Format `Parameter Name` 逐字查無；已試之鍵 ['Advanced_Effect_Modes_Present', 'Advanced_Effect_Modes_Present']	
8	AM_FM1_Antenna_Type	Antenna type (primary only)	AM_FM1_Antenna_Type	Atlantis Signal Name=AM_FM1_Antenna_Type ¦ Logical Identifier=AM_FM1_Antenna_Type	539	0 = Passive 1 = Active		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r539（Parameter Group: Antenna_Configuration；查詢鍵 Atlantis Signal Name=AM_FM1_Antenna_Type ¦ Logical Identifier=AM_FM1_Antenna_Type）	
9	AM_Presence	Feature present	AM_Presence	Atlantis Signal Name=AM_Presence ¦ Logical Identifier=AM_Presence	726	0 = Present 1 = Absent		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r726（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=AM_Presence ¦ Logical Identifier=AM_Presence）	
10	Ambient_Lighting_Present		CAN node 90 (ALM)	Atlantis Signal Name=CAN node 90 (ALM)	96	0 = Absent 1 = Present		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r96（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=CAN node 90 (ALM)）	
11	AMPPresent	Amplifier Module (1=present)	CAN node 46 (AMP)	Atlantis Signal Name=CAN node 46 (AMP)	52	0 = Absent 1 = Present		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r52（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=CAN node 46 (AMP)）	
12	ANC_Cal_Param		ANC_Calibration_Parameter_Dataset	Atlantis Signal Name=ANC_Calibration_Parameter_Dataset	655			proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r655（Parameter Group: Infotainment_Configuration_21；查詢鍵 Atlantis Signal Name=ANC_Calibration_Parameter_Dataset）	
13	ANT_TYP	Antenna type (primary & secondary)	Main_Ant_Supply_Cfg	Atlantis Signal Name=Main_Ant_Supply_Cfg	503	0 = Absent 1 = First Active 2 = Second Active 3 = Both Active		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r503（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=Main_Ant_Supply_Cfg）	
14	APP_Audio_Config		APP_Audio_Config					none	無 leaf 片語逐字命中；PROXI Format `Parameter Name` 逐字查無；已試之鍵 ['APP_Audio_Config', 'APP_Audio_Config']	
15	Assist_Call_Button_Config		Assist_Call_Button_Config	Atlantis Signal Name=Assist_Call_Button_Config ¦ Logical Identifier=Assist_Call_Button_Config	729	0 = Absent 1 = Hard-wired – TBM direct handling 2 = Hard-wired – HU selection 3 = Remote – TBM direct handing 4 = Remote – HU selection		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r729（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=Assist_Call_Button_Config ¦ Logical Identifier=Assist_Call_Button_Config）	
16	Audio Steering Wheel Controls on the IPC		Audio_Steering_Wheel_Controls_on_IPC	Atlantis Signal Name=Audio_Steering_Wheel_Controls_on_IPC	700	0 = Absent 1 = Present		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r700（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=Audio_Steering_Wheel_Controls_on_IPC）	
17	AUDIO_ENGINESOUNDSYNTHESIS_SETTING	Proxi to determine if the EV Sound Generator settings will be available to the customer.	Sound_Generator_setting	Atlantis Signal Name=Sound_Generator_setting	873	0 = Absent 1 = Present		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r873（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=Sound_Generator_setting）	
18	AUDIO_EQUALIZER_SETTING		AUDIO_EQUALIZER_SETTING					none	無 leaf 片語逐字命中；PROXI Format `Parameter Name` 逐字查無；已試之鍵 ['AUDIO_EQUALIZER_SETTING', 'AUDIO_EQUALIZER_SETTING']	
19	AUDIO_MEDIA_EXPANDER_SETTING		AUDIO_MEDIA_EXPANDER_SETTING					none	無 leaf 片語逐字命中；PROXI Format `Parameter Name` 逐字查無；已試之鍵 ['AUDIO_MEDIA_EXPANDER_SETTING', 'AUDIO_MEDIA_EXPANDER_SETTING']	
20	AUDIO_SURROUND_SETTING		AUDIO_SURROUND_SETTING					none	無 leaf 片語逐字命中；PROXI Format `Parameter Name` 逐字查無；已試之鍵 ['AUDIO_SURROUND_SETTING', 'AUDIO_SURROUND_SETTING']	
21	AUDIO_TUNINGMODE_SETTING		AUDIO_TUNINGMODE_SETTING					none	無 leaf 片語逐字命中；PROXI Format `Parameter Name` 逐字查無；已試之鍵 ['AUDIO_TUNINGMODE_SETTING', 'AUDIO_TUNINGMODE_SETTING']	
22	AUDIO_VIRTUALCONCERTHALLS_SETTING		AUDIO_VIRTUALCONCERTHALLS_SETTING					none	無 leaf 片語逐字命中；PROXI Format `Parameter Name` 逐字查無；已試之鍵 ['AUDIO_VIRTUALCONCERTHALLS_SETTING', 'AUDIO_VIRTUALCONCERTHALLS_SETTING']	
23	AudioCarLayout	Audio System Layout Type	Audio_Car_Lay_Out	Atlantis Signal Name=Audio_Car_Lay_Out	529	0 = Invalid 1 = Not Used 2 = Not Used 3 = Not Used 4 = Not Used 5 = Front Full Range 6 = Front Tweeter and Midwoofer 7 = Front Full Range, Rear Full Range 8 = Front Tweeter and Midwoofer/Full Range, Rear Full Range 9 = Front Tweeter and Midwoofer/Full Range, Rear Tweeter and Midwoofer/Full Range 10 = Front Tweeter and Midwoofer, Rear Tweeter and Midwoofer, SubWoofer 11 = Front Tweeter and Midwoofer, Rear Tweeter and Midwoofer, Centerfill, SubWoofer 12 = Front Tweeter MidRange and Midwoofer, Rear Tweeter and Midwoofer, Centerfill, SubWoofer 13 = Front Tweeter MidRange and Midwoofer, Rear Tweeter MidRange and Midwoofer, Centerfill, SubWoofer 14 = Front Tweeter and Midwoofer, Rear Full Range, SubWoofer 15 = Front Tweeter and Midwoofer, Rear Full Range, Centerfill, SubWoofer		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r529（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=Audio_Car_Lay_Out）	
24	AudioSystemType	Audio System Type Configuration	Audio_System_Type	Atlantis Signal Name=Audio_System_Type	495	0 = Base 1 = Fiat Booster 2 = Premium CAN 3 = Beats		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r495（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=Audio_System_Type）	
25	AUTO_STOP_START	Stop/Start radio button presence	Stop_Start_Menu	Atlantis Signal Name=Stop_Start_Menu	339	0 = Absent 1 = Present		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r339（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=Stop_Start_Menu）	
26	Automatic_Recirculation		Automatic_Recirculation	Atlantis Signal Name=Automatic_Recirculation ¦ Logical Identifier=Automatic_Recirculation	345	0 = Absent 1 = Present		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r345（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=Automatic_Recirculation ¦ Logical Identifier=Automatic_Recirculation）	
27	Autonomy_Level		Autonomy_Level	Atlantis Signal Name=Autonomy_Level ¦ Logical Identifier=Autonomy_Level	763	0 = None/Level 1 1 = Level 2 2 = Level 2 Plus		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r763（Parameter Group: （空）；查詢鍵 Atlantis Signal Name=Autonomy_Level ¦ Logical Identifier=Autonomy_Level）	
28	AUX_Presence		AUX_Presence	Atlantis Signal Name=AUX_Presence ¦ Logical Identifier=AUX_Presence	636	0 = Absent 1 = Present		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r636（Parameter Group: Infotainment_Configuration_20；查詢鍵 Atlantis Signal Name=AUX_Presence ¦ Logical Identifier=AUX_Presence）	
29	Battery_Type_II	Battery Type II	Battery_Type_II	Atlantis Signal Name=Battery_Type_II ¦ Logical Identifier=Battery_Type_II	635	0 = None 1 = Battery 1 2 = Battery 2		proxi_param	無 leaf 片語逐字命中；PROXI Format 定義於 r635（Parameter Group: Car_Configuration_28；查詢鍵 Atlantis Signal Name=Battery_Type_II ¦ Logical Identifier=Battery_Type_II）	
