sys2_signal	lid_row	atl_high_signal_name	can	format	sna	dbc_file	dbc_msg_id	dbc_val_labels	resolved	note
Back_Button	131	CLIMATIC_PANEL.Radio_btn3	CAN-B	1 bit signal 0 = Not_Pressed (Back button) 1 = Pressed (Back button)		BHCAN2-R1	1050 CLIMATIC_PANEL tx=SGW	0 "Not_Pressed" 1 "Pressed"	Y	
CCDMF_RQ_DISP_INTS	255	RADIO_B4.CCDMF_RQ_DISP_INTS	CAN-B	8 bit signal Units are %, Factor = 0.5% 255 = SNA					N	LID 解得 CAN 訊號名，但兩本 DBC（BHCAN2-R1／FDCAN8-R1）皆無此 SG_；R-G13(3)：訊息 RADIO_B4 於 BHCAN2-R1 存在
CM_TCH_STAT	368	TELEMATIC_FD_5.CM_TCH_STAT	FD	0 = TCH_NOT_PSD 1 = TCH_PSD 2 = TCH_PS_CAN 3 = Not_Used 4 = TCH_CFG_RES 5 = TCH_CFG_OFFSET 6 = TCH_CFG_MAX 7 = SNA		FDCAN8-R1	1428 TELEMATIC_FD_5 tx=ETM	0 "TCH_NOT_PSD" 1 "TCH_PSD" 2 "TCH_PS_CAN" 3 "Not_Used" 4 "TCH_CFG_RES" 5 "TCH_CFG_OFFSET" 6 "TCH_CFG_MAX" 7 "SNA"	Y	
DCSD_DISP_STAT	420	DIS_CENTERSTACK.DCSD_DISP_STAT	B-CAN	0 = OFF 1 = ON 2 = BLANK 3 = RR_CMRA 4 = DISP_HOT 7 = SNA	7	BHCAN2-R1	1445 DIS_CENTERSTACK tx=SGW	0 "OFF" 1 "ON" 2 "BLANK" 3 "RR_CMRA" 4 "DISP_HOT" 7 "SNA"	Y	
Enter_Button	666	CLIMATIC_PANEL.Radio_btn1	CAN-B	1 bit signal 0 = Not_Pressed (List/Enter button) 1 = Pressed (List/Enter button)		BHCAN2-R1	1050 CLIMATIC_PANEL tx=SGW	0 "Not_Pressed" 1 "Pressed"	Y	
Enter_Button	666	DIS_CENTERSTACK.DCSD_Enter	CAN-B	1 bit signal 0 = Not_Pressed (List/Enter button) 1 = Pressed (List/Enter button)		BHCAN2-R1	1445 DIS_CENTERSTACK tx=SGW	0 "Enter_Not_Pressed" 1 "Enter_Pressed"	Y	
ICSMuteButton	1038	CLIMATIC_PANEL.Radio_btn4	CAN-B	1 bit signal 0 = Not_Pressed 1 = Pressed	N/A	BHCAN2-R1	1050 CLIMATIC_PANEL tx=SGW	0 "Not_Pressed" 1 "Pressed"	Y	
ICSMuteButton	1038	GW_B_5.Mute_Button	CAN-B	1 bit signal 0 = Not_Pressed 1 = Pressed	N/A				N	LID 解得 CAN 訊號名，但兩本 DBC（BHCAN2-R1／FDCAN8-R1）皆無此 SG_；R-G13(3)：訊息 GW_B_5 於 BHCAN2-R1 存在
ICSMuteButton	1038	DIS_CENTERSTACK.DCSD_Mute	CAN-B	1 bit signal 0 = Not_Pressed 1 = Pressed	N/A	BHCAN2-R1	1445 DIS_CENTERSTACK tx=SGW	0 "Not_pressed" 1 "pressed"	Y	
ICSPowerButton	1039	CLIMATIC_PANEL.Radio_btn0	CAN-B	1 bit signal 0 = Button NOT pressed 1 = Button pressed	N/A	BHCAN2-R1	1050 CLIMATIC_PANEL tx=SGW	0 "Not_Pressed" 1 "Pressed"	Y	
