req_id	source_req_ids	title	description	categorization	sub_categorization	priority	verification_criteria	verification_method	description_raw	vc_raw	had_x000D
SWE1-RA-Driver_Distraction-001	SYS-RA-Driver_Distraction-113	Body OFF	AC1:\nWhen the vehicle exits Body OFF sleep, DD Service provides Lock Out State initialization and state notification capabilities\nCase [Normal]normal wake-up from Body OFF\nThen DD Service sets all Lock Out States to NOT_RESTRICTED	Functional	Driver_Distraction	High	1. After exiting Body OFF, all Lock Out States are NOT_RESTRICTED\n2. Confirm that no restrictions are active on the HU	1. Use a signal simulation tool that supports the Body OFF power sequence to trigger sleep and wake-up\n2. Confirm that the driving restriction is released after wake-up and verify it through logs	AC1:\nWhen the vehicle exits Body OFF sleep, DD Service provides Lock Out State initialization and state notification capabilities\nCase [Normal]normal wake-up from Body OFF\nThen DD Service sets all Lock Out States to NOT_RESTRICTED	1. After exiting Body OFF, all Lock Out States are NOT_RESTRICTED\n2. Confirm that no restrictions are active on the HU	no
SWE1-RA-Driver_Distraction-002	SYS-RA-Driver_Distraction-113	Body OFF	AC2:\nWhen the DD process is terminated during Body OFF sleep, DD Service provides cold-start state initialization capability after wake-up\nCase [Exception]the process is terminated during sleep\nThen DD Service starts with the default NOT_RESTRICTED state and initializes all states to NOT_RESTRICTED	Functional	Driver_Distraction	High	1. After cold start, all Lock Out States are NOT_RESTRICTED\n2. Confirm that no restrictions are active on the HU	1. Use the signal simulation tool to enter Body OFF sleep, terminate the DD process in the test environment, and then trigger wake-up\n2. Confirm that the state is NOT_RESTRICTED and verify it through logs	AC2:\nWhen the DD process is terminated during Body OFF sleep, DD Service provides cold-start state initialization capability after wake-up\nCase [Exception]the process is terminated during sleep\nThen DD Service starts with the default NOT_RESTRICTED state and initializes all states to NOT_RESTRICTED	1. After cold start, all Lock Out States are NOT_RESTRICTED\n2. Confirm that no restrictions are active on the HU	no
SWE1-RA-Driver_Distraction-003	SYS-RA-Driver_Distraction-114	Speedometer	AC1:\nWhen DD Service receives a valid $Speedometer$ value through CarPropertyService\nAnd DD Service provides speed monitoring, restriction-state judgment, and state notification capabilities\nCase [Normal]vehicle speed changes within the valid range\nThen DD Service outputs the restriction state according to the 5/3 MPH rule, and HMI can control the corresponding features based on the state output by DD	Functional	Driver_Distraction	High	1. State becomes RESTRICTED at 5 MPH\n2. State becomes NOT_RESTRICTED at 3 MPH	1. Use the signal simulation tool to send speed values crossing the 3 MPH and 5 MPH boundaries\n2. Confirm that the Lock Out State and HMI feature status meet expectations	AC1:\nWhen DD Service receives a valid $Speedometer$ value through CarPropertyService\nAnd DD Service provides speed monitoring, restriction-state judgment, and state notification capabilities\nCase [Normal]vehicle speed changes within the valid range\nThen DD Service outputs the restriction state according to the 5/3 MPH rule, and HMI can control the corresponding features based on the state output by DD	1. State becomes RESTRICTED at 5 MPH\n2. State becomes NOT_RESTRICTED at 3 MPH	no
SWE1-RA-Driver_Distraction-004	SYS-RA-Driver_Distraction-114	Speedometer	AC2:\nWhen DD Service can no longer obtain a valid $Speedometer$ value through CarPropertyService\nAnd DD Service provides speed-input timeout monitoring and fail-safe restriction capability\nCase [Exception]the speed input is unavailable\nThen DD Service sets the Lock Out State to RESTRICTED after the input timeout	Functional	Driver_Distraction	High	1. Lock Out State is RESTRICTED after the speed-signal timeout	1. Use the signal simulation tool to stop updating the Speedometer signal\n2. After the configured signal timeout, confirm that the driving restriction is RESTRICTED	AC2:\nWhen DD Service can no longer obtain a valid $Speedometer$ value through CarPropertyService\nAnd DD Service provides speed-input timeout monitoring and fail-safe restriction capability\nCase [Exception]the speed input is unavailable\nThen DD Service sets the Lock Out State to RESTRICTED after the input timeout	1. Lock Out State is RESTRICTED after the speed-signal timeout	no
SWE1-RA-Driver_Distraction-005	SYS-RA-Driver_Distraction-115	Speedometer	AC1:\nWhen DD Service receives a valid $Speedometer$ value through CarPropertyService\nAnd DD Service provides speed monitoring, restriction-state judgment, and state notification capabilities\nCase [Normal]vehicle speed decreases from above 3 MPH to 3 MPH or below\nThen DD Service sets the Lock Out State to NOT_RESTRICTED	Functional	Driver_Distraction	High	"1. The Lock Out State is NOT_RESTRICTED when vehicle speed is 3 MPH or below\n2. The HU sets the ""Lock Out State"" variable to ""Unlocked"""	1. Use the signal simulation tool to send a speed above 3 MPH and then reduce it to 3 MPH or below\n2. Confirm that the Lock Out State and HMI feature status meet expectations	AC1:\nWhen DD Service receives a valid $Speedometer$ value through CarPropertyService\nAnd DD Service provides speed monitoring, restriction-state judgment, and state notification capabilities\nCase [Normal]vehicle speed decreases from above 3 MPH to 3 MPH or below\nThen DD Service sets the Lock Out State to NOT_RESTRICTED	"1. The Lock Out State is NOT_RESTRICTED when vehicle speed is 3 MPH or below\n2. The HU sets the ""Lock Out State"" variable to ""Unlocked"""	no
SWE1-RA-Driver_Distraction-006	SYS-RA-Driver_Distraction-115	Speedometer	AC2:\nWhen DD Service can no longer obtain a valid $Speedometer$ value through CarPropertyService\nAnd DD Service provides speed-input timeout monitoring and fail-safe restriction capability\nCase [Exception]the speed input is unavailable\nThen DD Service sets the Lock Out State to RESTRICTED after the input timeout	Functional	Driver_Distraction	High	1. Lock Out State is RESTRICTED after the speed-signal timeout	1. Use the signal simulation tool to stop updating the Speedometer signal\n2. After the configured signal timeout, confirm that the driving restriction is RESTRICTED	AC2:\nWhen DD Service can no longer obtain a valid $Speedometer$ value through CarPropertyService\nAnd DD Service provides speed-input timeout monitoring and fail-safe restriction capability\nCase [Exception]the speed input is unavailable\nThen DD Service sets the Lock Out State to RESTRICTED after the input timeout	1. Lock Out State is RESTRICTED after the speed-signal timeout	no
SWE1-RA-Driver_Distraction-007	SYS-RA-Driver_Distraction-116	Speedometer	AC1:\nWhen DD Service receives a valid $Speedometer$ value through CarPropertyService\nAnd DD Service provides speed monitoring, restriction-state judgment, and state notification capabilities\nCase [Normal]vehicle speed increases from below 5 MPH to 5 MPH or above\nThen DD Service sets the Lock Out State to RESTRICTED	Functional	Driver_Distraction	High	1. Lock Out State is RESTRICTED at or above 5 MPH	1. Use the signal simulation tool to send a speed below 5 MPH and then increase it to 5 MPH or above\n2. Confirm that the Lock Out State and HMI feature status meet expectations	AC1:\nWhen DD Service receives a valid $Speedometer$ value through CarPropertyService\nAnd DD Service provides speed monitoring, restriction-state judgment, and state notification capabilities\nCase [Normal]vehicle speed increases from below 5 MPH to 5 MPH or above\nThen DD Service sets the Lock Out State to RESTRICTED	1. Lock Out State is RESTRICTED at or above 5 MPH	no
SWE1-RA-Driver_Distraction-008	SYS-RA-Driver_Distraction-116	Speedometer	AC2:\nWhen DD Service can no longer obtain a valid $Speedometer$ value through CarPropertyService\nAnd DD Service provides speed-input timeout monitoring and fail-safe restriction capability\nCase [Exception]the speed input is unavailable\nThen DD Service sets the Lock Out State to RESTRICTED after the input timeout	Functional	Driver_Distraction	High	1. Lock Out State is RESTRICTED after the speed-signal timeout	1. Use the signal simulation tool to stop updating the Speedometer signal\n2. After the configured signal timeout, confirm that the driving restriction is RESTRICTED	AC2:\nWhen DD Service can no longer obtain a valid $Speedometer$ value through CarPropertyService\nAnd DD Service provides speed-input timeout monitoring and fail-safe restriction capability\nCase [Exception]the speed input is unavailable\nThen DD Service sets the Lock Out State to RESTRICTED after the input timeout	1. Lock Out State is RESTRICTED after the speed-signal timeout	no
SWE1-RA-Driver_Distraction-009	SYS-RA-Driver_Distraction-117	Locked Out State	AC1:\nWhen the signal simulation tool sends vehicle signals that change the Lock Out State to RESTRICTED\nAnd DD Service provides restriction-state judgment and notification, and HMI provides feature lockout\nCase [Normal]the user attempts to access a restricted feature in the lockout table\nThen DD Service outputs RESTRICTED and HMI prevents access to the feature	Functional	Driver_Distraction	High	1. DD Service outputs RESTRICTED and HMI prevents access to the feature	1. Use the signal simulation tool to send a speed above 5 MPH or another RESTRICTED condition\n2. Operate the corresponding HMI feature and confirm the expected lockout behavior	AC1:\nWhen the signal simulation tool sends vehicle signals that change the Lock Out State to RESTRICTED\nAnd DD Service provides restriction-state judgment and notification, and HMI provides feature lockout\nCase [Normal]the user attempts to access a restricted feature in the lockout table\nThen DD Service outputs RESTRICTED and HMI prevents access to the feature	1. DD Service outputs RESTRICTED and HMI prevents access to the feature	no
SWE1-RA-Driver_Distraction-010	SYS-RA-Driver_Distraction-117	Locked Out State	AC2:\nWhen the signal simulation tool stops transmitting a vehicle message required for DD judgment\nAnd DD Service provides signal-timeout fail-safe behavior, and HMI applies lockout for RESTRICTED\nCase [Exception]a required vehicle signal is unavailable\nThen DD Service outputs RESTRICTED and HMI keeps the corresponding feature locked	Functional	Driver_Distraction	High	1. State is RESTRICTED after the required signal timeout\n2. HMI keeps the corresponding feature locked	1. Stop transmitting the message required by the current Type using the signal simulation tool\n2. After the signal timeout, confirm that HMI remains locked	AC2:\nWhen the signal simulation tool stops transmitting a vehicle message required for DD judgment\nAnd DD Service provides signal-timeout fail-safe behavior, and HMI applies lockout for RESTRICTED\nCase [Exception]a required vehicle signal is unavailable\nThen DD Service outputs RESTRICTED and HMI keeps the corresponding feature locked	1. State is RESTRICTED after the required signal timeout\n2. HMI keeps the corresponding feature locked	no
