sys2_row	doc_id	src_id	src_bucket	category	verifiability	axis_verdict	variant	scope	tc_coverage	cover_basis	covering_tcs	verif_criteria	er_match
2	SR26_20250813-1632	4819125	節標題錨	Heading		NA	NA	NA	無	無		EMPTY	不可比
3	SR26_20250813-1632	4819126	節標題錨	Heading		NA	NA	NA	無	無		EMPTY	不可比
4	SR26_20250813-1632	4819127	物件頭	Information		不適用	Unclassified	隨變體層	無	無		EMPTY	不可比
5	SR26_20250813-1632	4819128	節標題錨	Heading		NA	NA	NA	無	無		EMPTY	不可比
6	SR26_20250813-1632	4819129	物件頭	Information		不適用	Unclassified	隨變體層	無	無		EMPTY	不可比
7	SR26_20250813-1632	4819130	物件頭	Information		不適用	Unclassified	隨變體層	無	無		EMPTY	不可比
8	SR26_20250813-1632	4819133	物件頭	Information		不適用	Unclassified	隨變體層	無	無		EMPTY	不可比
9	SR26_20250813-1632	4819134	物件頭	Information		不適用	Unclassified	隨變體層	無	無		EMPTY	不可比
10	SR26_20250813-1632	4819135	物件頭	Information		不適用	Unclassified	隨變體層	無	無		EMPTY	不可比
11	SR26_20250813-1632	4819136	物件頭	Information		不適用	Unclassified	隨變體層	無	無		EMPTY	不可比
12	SR26_20250813-1632	4819352	節標題錨	Heading		NA	NA	NA	無	無		EMPTY	不可比
13	SR26_20250813-1632	4819353	物件頭	Functional Requirement	Y	適用	Unclassified	隨變體層	無	無		Check $DCSD_DISP_STAT$ in the external tool. If this is 5 or 6, this should be replaced with last palusible value or ON.	不可比
14	SR26_20250813-1632	4819620	節標題錨	Heading		NA	NA	NA	無	無		EMPTY	不可比
15	SR26_20250813-1632	4819621	物件頭	Information		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
16	SR26_20250813-1632	4819622	物件頭	Information		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
17	SR26_20250813-1632	4819623	物件頭	Functional Requirement	Y	適用	Disassociated	隨變體層	無	無		Work with DCSD supplier and prepare document.	不可比
18	SR26_20250813-1632	4819624	物件頭	Functional Requirement	Y	適用	Disassociated	隨變體層	無	無		Work with DCSD supplier and prepare document.	不可比
19	SR26_20250813-1632	4819626	物件頭	Information		適用	Disassociated	隨變體層	無	無		EMPTY	不可比
20	SR26_20250813-1632	4820119	節標題錨	Heading		NA	NA	NA	無	無		EMPTY	不可比
21	SR26_20250813-1632	4820121	節標題錨	Heading		NA	NA	NA	無	無		EMPTY	不可比
