old_tc_id	new_tc_id	changed_cols	reason
NR1L-ICS-003		12,13	P-v3→v4:bare
NR1L-ICS-005		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-ICS-006		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-ICS-007		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；X-nav
NR1L-ICS-008		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-ICS-009		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-ICS-010		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；X-nav
NR1L-ICS-011		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；X-nav
NR1L-ICS-012		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-ICS-013		12	P-v3→v4:bare
NR1L-ICS-014		12	P-v3→v4:bare
NR1L-ICS-015		12,nav	P-v3→v4:bare；X-nav
NR1L-ICS-016		10,12,nav	P-v3→v4:bare；X-nav
NR1L-ICS-017		12,nav	P-v3→v4:bare；X-nav
NR1L-ICS-018		10,12,nav	P-v3→v4:bare；X-nav
NR1L-ICS-019		12,nav	P-v3→v4:bare；X-nav
NR1L-ICS-020		12,nav	P-v3→v4:bare；X-nav
NR1L-ICS-021		12,nav	P-v3→v4:bare；X-nav
NR1L-ICS-022		12,nav	P-v3→v4:bare；X-nav
NR1L-ICS-023		12,nav	P-v3→v4:bare；X-nav
NR1L-ICS-024		nav	X-nav
NR1L-ICS-025		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；X-nav
NR1L-ICS-026		12,nav	P-v3→v4:bare；X-nav
NR1L-ICS-027		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-ICS-028		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-ICS-029		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-ICS-030		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-ICS-031		12,13	P-v3→v4:bare；P-v3→v4:recv
